 INPUT STRING:	بثينة
        INDEX:	P9W5
      OFFSETS:	26-28
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P9W6
      OFFSETS:	29-31
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	نصف
     IS_TRANS:	nSf
        INDEX:	P9W7
      OFFSETS:	32-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niSof_1]
   UNSPLITVOC:	(niSof)
          POS:	NOUN
          VOC:	niSof
        GLOSS:	half

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P9W8
      OFFSETS:	36-43
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	نساء
     IS_TRANS:	nsA'
        INDEX:	P9W9
      OFFSETS:	44-48
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(nisA')
          POS:	NOUN
          VOC:	nisA'
        GLOSS:	women

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P9W10
      OFFSETS:	51-54
       TOKENS:	P9W10-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/he

 INPUT STRING:	كم
     IS_TRANS:	km
        INDEX:	P9W11
      OFFSETS:	55-57
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kam_2]
   UNSPLITVOC:	(kam)
          POS:	REL_PRON
          VOC:	kam
        GLOSS:	how many/much

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P9W12
      OFFSETS:	58-63
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one/someone+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W13
      OFFSETS:	64-65
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	المشكلة
     IS_TRANS:	Alm$klp
        INDEX:	P10W2
      OFFSETS:	4-11
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	أننــا
     IS_TRANS:	>nn__A
        INDEX:	P10W3
      OFFSETS:	12-18
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	نطالب
     IS_TRANS:	nTAlb
        INDEX:	P10W4
      OFFSETS:	19-24
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(niTAlib)
          POS:	IV1P+IV
          VOC:	ni+TAlib
        GLOSS:	we+demand/require

 INPUT STRING:	بحقوقنــا
     IS_TRANS:	bHqwqn__A
        INDEX:	P10W5
      OFFSETS:	25-34
       TOKENS:	P10W6-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(biHquwqnA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+Hquwq+nA
        GLOSS:	with/by+rights/law+our

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W6
      OFFSETS:	35-36
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	مهى
     IS_TRANS:	mhY
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mhY)
          POS:	NO_FUNC
          VOC:	mhY
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W2
      OFFSETS:	4-6
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P11W3
      OFFSETS:	7-12
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one/someone+[fem.sg.]

 INPUT STRING:	جت
     IS_TRANS:	jt
        INDEX:	P11W4
      OFFSETS:	13-15
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[gih_1]
   UNSPLITVOC:	(jat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ja+t
        GLOSS:	came+it/they/she

 INPUT STRING:	ترشح
     IS_TRANS:	tr$H
        INDEX:	P11W5
      OFFSETS:	16-20
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$~aH_1]
   UNSPLITVOC:	(tira$~aH)
          POS:	IV3FS+IV
          VOC:	ti+ra$~aH
        GLOSS:	it/they/she+nominate/appoint as candidate

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P11W6
      OFFSETS:	21-26
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	same/self/selves+its/their/her

 INPUT STRING:	وقالولها
     IS_TRANS:	wqAlwlhA
        INDEX:	P11W7
      OFFSETS:	27-35
       TOKENS:	P11W9-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAluwA_lahA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P+PREP+PRON_3FS
          VOC:	wi+qAl+uwA+li+hA
        GLOSS:	and+said/say/be said/say/(for example)+they+to/for+it/them/her

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W8
      OFFSETS:	36-38
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W9
      OFFSETS:	39-41
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هتترشحى
     IS_TRANS:	httr$HY
        INDEX:	P11W10
      OFFSETS:	42-49
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra$~aH_1]
   UNSPLITVOC:	(Hatitra$~aHiy)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+tra$~aHiy
        GLOSS:	will+it/they/she+nominate/appoint as candidate

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P11W11
      OFFSETS:	50-55
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P11W12
      OFFSETS:	56-60
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	ست
     IS_TRANS:	st
        INDEX:	P11W13
      OFFSETS:	61-63
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(sit~)
          POS:	NOUN
          VOC:	sit~
        GLOSS:	lady/miss/ladies/misses

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W14
      OFFSETS:	64-65
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	بينى
     IS_TRANS:	bynY
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(biyniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	biyn+iy
        GLOSS:	between/among+my

 INPUT STRING:	وبينك
     IS_TRANS:	wbynk
        INDEX:	P12W2
      OFFSETS:	5-10
       TOKENS:	P12W3-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(wibiynik)
          POS:	CONJ+NOUN+POSS_PRON_2FS
          VOC:	wi+biyn+ik
        GLOSS:	and+between/among+your

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W3
      OFFSETS:	10-11
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W4
      OFFSETS:	11-12
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P12W5
      OFFSETS:	13-16
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aw~il_1]
   UNSPLITVOC:	(Aw~il)
          POS:	ADJ_NUM
          VOC:	Aw~il
        GLOSS:	first/first time

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P12W6
      OFFSETS:	17-19
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	اخدنا
     IS_TRANS:	AxdnA
        INDEX:	P12W7
      OFFSETS:	20-25
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(>axadnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	>axad+nA
        GLOSS:	take+we

 INPUT STRING:	حقوقنا
     IS_TRANS:	HqwqnA
        INDEX:	P12W8
      OFFSETS:	26-32
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(HuquwqnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Huquwq+nA
        GLOSS:	right, prerogative, truth+our

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P12W9
      OFFSETS:	33-37
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Aiy~Am)
          POS:	NOUN
          VOC:	Aiy~Am
        GLOSS:	period

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P12W10
      OFFSETS:	38-43
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P12W11
      OFFSETS:	44-49
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	اتخربت
     IS_TRANS:	Atxrbt
        INDEX:	P12W12
      OFFSETS:	50-56
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoxarab_1]
   UNSPLITVOC:	(Aitoxarabit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitoxarab+it
        GLOSS:	be destroyed+it/they/she

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W13
      OFFSETS:	56-57
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	فخلينا
     IS_TRANS:	fxlynA
        INDEX:	P13W1
      OFFSETS:	0-6
       TOKENS:	P13W1-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(faxal~iynA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	fa+xal~iy+(null)+nA
        GLOSS:	so/and+release/evacuate/allow/be released/be evacuated/be allowed+you+us

 INPUT STRING:	ساكتين
     IS_TRANS:	sAktyn
        INDEX:	P13W2
      OFFSETS:	7-13
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkit_1]
   UNSPLITVOC:	(sAkotiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	sAkot+iyn
        GLOSS:	silent/calm+[masc.pl.]

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P13W3
      OFFSETS:	14-19
       TOKENS:	P13W5-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+rab~+nA
        GLOSS:	and+lord/master+our

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P13W4
      OFFSETS:	20-24
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSolaH_1]
   UNSPLITVOC:	(yiSoliH)
          POS:	IV3MS+IV
          VOC:	yi+SoliH
        GLOSS:	he/it+put in order/repair/be put in order/be repaired

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P13W5
      OFFSETS:	25-28
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P13W6
      OFFSETS:	29-32
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P14W1
      OFFSETS:	3-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	يفلح
     IS_TRANS:	yflH
        INDEX:	P14W2
      OFFSETS:	6-10
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>afolaH_1]
   UNSPLITVOC:	(yufoliHo)
          POS:	IV3MS+IV+IVSUFF_MOOD:J
          VOC:	yu+foliH+o
        GLOSS:	he/it+succeed/prosper/thrive+[jus.]

 INPUT STRING:	قوم
     IS_TRANS:	qwm
        INDEX:	P14W3
      OFFSETS:	11-14
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawom_1]
   UNSPLITVOC:	(qawom)
          POS:	NOUN
          VOC:	qawom
        GLOSS:	people/nation

 INPUT STRING:	ولوا
     IS_TRANS:	wlwA
        INDEX:	P14W4
      OFFSETS:	15-19
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~aY_1]
   UNSPLITVOC:	(wal~awoA)
          POS:	PV+PVSUFF_SUBJ:3MP
          VOC:	wal~+awoA
        GLOSS:	put in charge/entrust/commission+they [verb]

 INPUT STRING:	أمرهم
     IS_TRANS:	>mrhm
        INDEX:	P14W5
      OFFSETS:	20-25
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>amorihim)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3MP
          VOC:	>amor+i+him
        GLOSS:	matter/issue+[def.gen.]+their

 INPUT STRING:	امرأة
     IS_TRANS:	Amr>p
        INDEX:	P14W6
      OFFSETS:	26-31
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{imora>ap_1]
   UNSPLITVOC:	(Aimora>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	{imora>+ap
        GLOSS:	woman+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	حبيبتى
     IS_TRANS:	HbybtY
        INDEX:	P15W2
      OFFSETS:	3-9
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	dear/beloved/sweetheart+[fem.sg.]+my

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P15W3
      OFFSETS:	10-15
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P15W4
      OFFSETS:	16-19
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN
          VOC:	li+All~ah
        GLOSS:	for/to+God

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P15W5
      OFFSETS:	20-24
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	واخدين
     IS_TRANS:	wAxdyn
        INDEX:	P15W6
      OFFSETS:	25-31
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAxid_1]
   UNSPLITVOC:	(wAxodiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	wAxod+iyn
        GLOSS:	takers+[masc.pl.]

 INPUT STRING:	حقوقنا
     IS_TRANS:	HqwqnA
        INDEX:	P15W7
      OFFSETS:	32-38
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(HuquwqnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Huquwq+nA
        GLOSS:	right, prerogative, truth+our

 INPUT STRING:	تالت
     IS_TRANS:	tAlt
        INDEX:	P15W8
      OFFSETS:	39-43
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(vAliv)
          POS:	ADJ_NUM
          VOC:	vAliv
        GLOSS:	third

 INPUT STRING:	متلت
     IS_TRANS:	mtlt
        INDEX:	P15W9
      OFFSETS:	44-48
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mival~iv_1]
   UNSPLITVOC:	(mival~iv)
          POS:	ADJ
          VOC:	mival~iv
        GLOSS:	third/triangular

 INPUT STRING:	خليها
     IS_TRANS:	xlyhA
        INDEX:	P15W10
      OFFSETS:	49-54
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyhA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	xal~iy+(null)+hA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+it/them/her

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P15W11
      OFFSETS:	55-57
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
