 INPUT STRING:	صحيح
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P6W21
      OFFSETS:	99-103
       TOKENS:	P6W30-P6W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	while+they

 INPUT STRING:	بيقتلونا
     IS_TRANS:	byqtlwnA
        INDEX:	P6W22
      OFFSETS:	104-112
       TOKENS:	P6W32-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(biyiqotiluwnA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	bi+yi+qotil+uwA+nA
        GLOSS:	[present-tense]+they+massacre/be massacred+[masc.pl.]+us

 INPUT STRING:	ياعني
     IS_TRANS:	yAEny
        INDEX:	P6W23
      OFFSETS:	113-118
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eanay_1]
   UNSPLITVOC:	(yaEniy)
          POS:	IV3MS+IV
          VOC:	ya+Eniy
        GLOSS:	he/it+be meant/be signified

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P6W24
      OFFSETS:	119-123
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P6W25
      OFFSETS:	124-126
       TOKENS:	P6W37-P6W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P6W26
      OFFSETS:	127-131
       TOKENS:	P6W38-P6W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	جه
     IS_TRANS:	jh
        INDEX:	P6W27
      OFFSETS:	132-134
       TOKENS:	P6W39-P6W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAh_1]
   UNSPLITVOC:	(jAh)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jAh+(null)
        GLOSS:	came+he/it

 INPUT STRING:	يقتلك
     IS_TRANS:	yqtlk
        INDEX:	P6W28
      OFFSETS:	135-140
       TOKENS:	P6W40-P6W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(yaqotilik)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	ya+qotil+ik
        GLOSS:	he/it+massacre/be massacred+you

 INPUT STRING:	هاتقوليلو
     IS_TRANS:	hAtqwlylw
        INDEX:	P6W29
      OFFSETS:	141-150
       TOKENS:	P6W42-P6W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hatuquwliy_luh)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+PREP+PRON_3MS
          VOC:	Ha+tu+quwl+iy+li+uh
        GLOSS:	will+you+said/say/be said/say/(for example)+you+to/for+him

 INPUT STRING:	والنبي
     IS_TRANS:	wAlnby
        INDEX:	P6W30
      OFFSETS:	151-157
       TOKENS:	P6W46-P6W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nabiy~_1]
   UNSPLITVOC:	(waAlnabiy)
          POS:	PREP+DET+NOUN
          VOC:	wa+Al+nabiy
        GLOSS:	with/by+the+prophet

 INPUT STRING:	اقتلي
     IS_TRANS:	Aqtly
        INDEX:	P6W31
      OFFSETS:	158-163
       TOKENS:	P6W48-P6W48
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Aqtly)
          POS:	NO_FUNC
          VOC:	Aqtly
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W32
      OFFSETS:	164-166
       TOKENS:	P6W49-P6W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هايكون
     IS_TRANS:	hAykwn
        INDEX:	P6W33
      OFFSETS:	167-173
       TOKENS:	P6W50-P6W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	ليكي
     IS_TRANS:	lyky
        INDEX:	P6W34
      OFFSETS:	174-178
       TOKENS:	P6W52-P6W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liykiy)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P6W35
      OFFSETS:	179-181
       TOKENS:	P6W54-P6W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response

 INPUT STRING:	فعل
     IS_TRANS:	fEl
        INDEX:	P6W36
      OFFSETS:	182-185
       TOKENS:	P6W55-P6W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEol)
          POS:	NOUN
          VOC:	fiEol
        GLOSS:	doing/act/action

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	الماضي
     IS_TRANS:	AlmADy
        INDEX:	P7W2
      OFFSETS:	7-13
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mADiy_1]
   UNSPLITVOC:	(AlmADiy)
          POS:	DET+NOUN
          VOC:	Al+mADiy
        GLOSS:	the+past (time)

 INPUT STRING:	بيوضح
     IS_TRANS:	bywDH
        INDEX:	P7W3
      OFFSETS:	14-19
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDaH_1]
   UNSPLITVOC:	(biyiwoDaH)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+woDaH
        GLOSS:	[present-tense]+he/it+clarify

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P7W4
      OFFSETS:	20-23
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P7W5
      OFFSETS:	24-27
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	الشخص
     IS_TRANS:	Al$xS
        INDEX:	P7W6
      OFFSETS:	28-33
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(Al$~axoS)
          POS:	DET+NOUN
          VOC:	Al+$axoS
        GLOSS:	the+individual/person/individuals/persons

 INPUT STRING:	وايه
     IS_TRANS:	wAyh
        INDEX:	P7W7
      OFFSETS:	34-38
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(wa>ayoh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wa+>ayoh
        GLOSS:	and+what

 INPUT STRING:	هيا
     IS_TRANS:	hyA
        INDEX:	P7W8
      OFFSETS:	39-42
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	اخلاقه
     IS_TRANS:	AxlAqh
        INDEX:	P7W9
      OFFSETS:	43-49
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuluq_1]
   UNSPLITVOC:	(AxolAquh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AxolAq+uh
        GLOSS:	morals+his/its

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P7W10
      OFFSETS:	50-53
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	بالنسبه
     IS_TRANS:	bAlnsbh
        INDEX:	P7W11
      OFFSETS:	54-61
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+according to+[fem.sg.]

 INPUT STRING:	لمبارك
     IS_TRANS:	lmbArk
        INDEX:	P7W12
      OFFSETS:	62-68
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(limubArak)
          POS:	PREP+NOUN_PROP
          VOC:	li+mubArak
        GLOSS:	for/to+Mubarak

 INPUT STRING:	فا
     IS_TRANS:	fA
        INDEX:	P7W13
      OFFSETS:	69-71
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fA)
          POS:	NO_FUNC
          VOC:	fA
        GLOSS:	nogloss

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P7W14
      OFFSETS:	72-76
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P7W15
      OFFSETS:	77-80
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P7W16
      OFFSETS:	81-85
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	قالك
     IS_TRANS:	qAlk
        INDEX:	P7W17
      OFFSETS:	86-90
       TOKENS:	P7W23-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlik)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	qAl+(null)+ik
        GLOSS:	said/say/be said/say/(for example)+he/it+you

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P7W18
      OFFSETS:	91-94
       TOKENS:	P7W25-P7W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P7W19
      OFFSETS:	95-98
       TOKENS:	P7W27-P7W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	عنده
     IS_TRANS:	Endh
        INDEX:	P7W20
      OFFSETS:	99-103
       TOKENS:	P7W28-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eanod+uh
        GLOSS:	have+his/its

 INPUT STRING:	ماضي
     IS_TRANS:	mADy
        INDEX:	P7W21
      OFFSETS:	104-108
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mADiy_1]
   UNSPLITVOC:	(mADiy)
          POS:	NOUN
          VOC:	mADiy
        GLOSS:	past (time)

 INPUT STRING:	مشرف
     IS_TRANS:	m$rf
        INDEX:	P7W22
      OFFSETS:	109-113
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$ar~if_1]
   UNSPLITVOC:	(mu$ar~if)
          POS:	ADJ
          VOC:	mu$ar~if
        GLOSS:	honorable/honorary

 INPUT STRING:	اصلااااااااااااااااااااااااااااااااااا
     IS_TRANS:	ASlAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
        INDEX:	P7W23
      OFFSETS:	114-152
       TOKENS:	P7W32-P7W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asl_1]
   UNSPLITVOC:	(>aslAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>asl+AF
        GLOSS:	originally/primarily+[acc.indef.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P8W2
      OFFSETS:	4-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P8W3
      OFFSETS:	7-9
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>um~_2]
   UNSPLITVOC:	(>um~)
          POS:	NOUN_PROP
          VOC:	>um~
        GLOSS:	Umm

 INPUT STRING:	ساره
     IS_TRANS:	sArh
        INDEX:	P8W4
      OFFSETS:	10-14
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sArap_1]
   UNSPLITVOC:	(sArap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	sAr+ap
        GLOSS:	sarah+[fem.sg.]

 INPUT STRING:	وسلمى
     IS_TRANS:	wslmY
        INDEX:	P8W5
      OFFSETS:	15-20
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salomaY_1]
   UNSPLITVOC:	(wisalomaY)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+salomaY
        GLOSS:	and+Salma

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P9W3
      OFFSETS:	8-11
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P9W4
      OFFSETS:	12-15
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	بيستهدف
     IS_TRANS:	bysthdf
        INDEX:	P9W5
      OFFSETS:	16-23
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<istahodaf_1]
   UNSPLITVOC:	(biyistahodif)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+stahodif
        GLOSS:	[present-tense]+he/it+target/aim at

 INPUT STRING:	البلطجيه
     IS_TRANS:	AlblTjyh
        INDEX:	P9W6
      OFFSETS:	24-32
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(AlbaloTajiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+baloTajiy~+ap
        GLOSS:	the+gangster/ruffian+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W7
      OFFSETS:	33-37
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كانو
     IS_TRANS:	kAnw
        INDEX:	P9W8
      OFFSETS:	38-42
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	اعدين
     IS_TRANS:	AEdyn
        INDEX:	P9W9
      OFFSETS:	43-48
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qaEdiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	qaEd+iyn
        GLOSS:	sitting+[masc.pl.]

 INPUT STRING:	يضربوهم
     IS_TRANS:	yDrbwhm
        INDEX:	P9W10
      OFFSETS:	49-56
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(yiDorabuwhum)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	yi+Dorab+uwA+hum
        GLOSS:	they+strike/hit/be struck/be hit+[masc.pl.]+them

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W11
      OFFSETS:	57-59
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P9W12
      OFFSETS:	60-63
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawoq_1]
   UNSPLITVOC:	(fawoq)
          POS:	NOUN
          VOC:	fawoq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	المباني
     IS_TRANS:	AlmbAny
        INDEX:	P9W13
      OFFSETS:	64-71
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabonaY_1]
   UNSPLITVOC:	(AlmabAniy)
          POS:	DET+NOUN
          VOC:	Al+mabAniy
        GLOSS:	the+building/structure

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P9W14
      OFFSETS:	72-77
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P9W15
      OFFSETS:	78-81
       TOKENS:	P9W18-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	to/for+Allah/God

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P9W16
      OFFSETS:	82-85
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you

 INPUT STRING:	جبتي
     IS_TRANS:	jbty
        INDEX:	P9W17
      OFFSETS:	86-90
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jibtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	jib+tiy
        GLOSS:	explore/traverse+you

 INPUT STRING:	المقطع
     IS_TRANS:	AlmqTE
        INDEX:	P9W18
      OFFSETS:	91-97
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqoTaE_1]
   UNSPLITVOC:	(AlmaqoTaE)
          POS:	DET+NOUN
          VOC:	Al+maqoTaE
        GLOSS:	the+section/selection/excerpt

 INPUT STRING:	والكلام
     IS_TRANS:	wAlklAm
        INDEX:	P9W19
      OFFSETS:	98-105
       TOKENS:	P9W24-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(wiAlkalAm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+kalAm
        GLOSS:	and+the+speech/statement/remark/talk/saying

 INPUT STRING:	واضح
     IS_TRANS:	wADH
        INDEX:	P9W20
      OFFSETS:	106-110
       TOKENS:	P9W26-P9W26
