 INPUT STRING:	بيحتفل
        GLOSS:	and+to+them

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P6W2
      OFFSETS:	5-8
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifos)
          POS:	NOUN
          VOC:	nifos
        GLOSS:	desire/wish

 INPUT STRING:	يحتفلوا
     IS_TRANS:	yHtflwA
        INDEX:	P6W3
      OFFSETS:	9-16
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotafal_1]
   UNSPLITVOC:	(yiHotifoluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Hotifol+uwA
        GLOSS:	they+celebrate+we

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W4
      OFFSETS:	17-18
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	SUB_CONJ
          VOC:	wi
        GLOSS:	while

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P6W5
      OFFSETS:	19-24
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	بتغلي
     IS_TRANS:	btgly
        INDEX:	P6W6
      OFFSETS:	25-30
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giliy_1]
   UNSPLITVOC:	(bitigoliy)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+goliy
        GLOSS:	[present-tense]+it/they/she+boil

 INPUT STRING:	بالشكل
     IS_TRANS:	bAl$kl
        INDEX:	P6W7
      OFFSETS:	31-37
       TOKENS:	P6W10-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(biAl$~akol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+$akol
        GLOSS:	with/by+the+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P6W8
      OFFSETS:	38-40
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P6W9
      OFFSETS:	41-44
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P6W10
      OFFSETS:	45-49
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/really/truly

 INPUT STRING:	عجايب
     IS_TRANS:	EjAyb
        INDEX:	P6W11
      OFFSETS:	50-55
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajiybap_1]
   UNSPLITVOC:	(EajAyib)
          POS:	NOUN
          VOC:	EajAyib
        GLOSS:	marvel/prodigy/wonders/prodigies/oddities

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	يحتفلوا
     IS_TRANS:	yHtflwA
        INDEX:	P7W2
      OFFSETS:	7-14
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotafal_1]
   UNSPLITVOC:	(yiHotifoluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Hotifol+uwA
        GLOSS:	they+celebrate+we

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P7W3
      OFFSETS:	15-17
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P7W4
      OFFSETS:	18-23
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	وحش
     IS_TRANS:	wH$
        INDEX:	P7W5
      OFFSETS:	24-27
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHi$)
          POS:	ADJ
          VOC:	wiHi$
        GLOSS:	bad/ugly

 INPUT STRING:	وغلط
     IS_TRANS:	wglT
        INDEX:	P7W6
      OFFSETS:	28-32
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(wigalaT)
          POS:	CONJ+ADJ
          VOC:	wi+galaT
        GLOSS:	and+wrong

 INPUT STRING:	ومايصحش
     IS_TRANS:	wmAySH$
        INDEX:	P7W7
      OFFSETS:	33-40
       TOKENS:	P7W8-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(wimA_yiSaH~$)
          POS:	CONJ+NEG_PART+IV3MS+IV+NEG_PART
          VOC:	wi+mA+yi+SaH~+$
        GLOSS:	and+not+he/it+be correct/be true+not

 INPUT STRING:	لاكن
     IS_TRANS:	lAkn
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAkin_1]
   UNSPLITVOC:	(lAkin)
          POS:	CONJ
          VOC:	lAkin
        GLOSS:	but

 INPUT STRING:	الرقص
     IS_TRANS:	AlrqS
        INDEX:	P8W2
      OFFSETS:	5-10
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqoS_1]
   UNSPLITVOC:	(Alr~aqoS)
          POS:	DET+NOUN
          VOC:	Al+raqoS
        GLOSS:	the+dancing/dance

 INPUT STRING:	والغنا
     IS_TRANS:	wAlgnA
        INDEX:	P8W3
      OFFSETS:	11-17
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gunA_1]
   UNSPLITVOC:	(wiAlgunA)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+gunA
        GLOSS:	and+the+singing

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W4
      OFFSETS:	18-20
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	راس
     IS_TRANS:	rAs
        INDEX:	P8W5
      OFFSETS:	21-24
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>os_1]
   UNSPLITVOC:	(ra>os)
          POS:	NOUN
          VOC:	ra>os
        GLOSS:	head/top/heads/tops

 INPUT STRING:	السنه
     IS_TRANS:	Alsnh
        INDEX:	P8W6
      OFFSETS:	25-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~anap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W7
      OFFSETS:	31-33
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الثوار
     IS_TRANS:	AlvwAr
        INDEX:	P8W8
      OFFSETS:	34-40
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_1]
   UNSPLITVOC:	(Alv~uw~Ar)
          POS:	DET+NOUN
          VOC:	Al+vuw~Ar
        GLOSS:	the+insurgents/revolutionaries

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P8W9
      OFFSETS:	41-45
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P8W10
      OFFSETS:	46-50
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	قلبكوا
     IS_TRANS:	qlbkwA
        INDEX:	P8W11
      OFFSETS:	51-57
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobkuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	qalob+kuw
        GLOSS:	heart/center/essence+your

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P8W12
      OFFSETS:	58-60
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	العسل
     IS_TRANS:	AlEsl
        INDEX:	P8W13
      OFFSETS:	61-66
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easal_1]
   UNSPLITVOC:	(AlEasal)
          POS:	DET+NOUN
          VOC:	Al+Easal
        GLOSS:	the+honey

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W14
      OFFSETS:	67-69
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اله
     IS_TRANS:	Alh
        INDEX:	P8W15
      OFFSETS:	70-73
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ilah_1]
   UNSPLITVOC:	(<ilah)
          POS:	NOUN
          VOC:	<ilah
        GLOSS:	god

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P8W16
      OFFSETS:	74-77
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W17
      OFFSETS:	78-82
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P9W3
      OFFSETS:	8-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P9W4
      OFFSETS:	13-17
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	يحتفل
     IS_TRANS:	yHtfl
        INDEX:	P9W5
      OFFSETS:	18-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiHtafal_1]
   UNSPLITVOC:	(yiHtifil)
          POS:	IV3MS+IV
          VOC:	yi+Htifil
        GLOSS:	he/it+celebrate

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P9W6
      OFFSETS:	24-25
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P9W7
      OFFSETS:	25-27
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P9W8
      OFFSETS:	28-33
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W9
      OFFSETS:	33-34
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W10
      OFFSETS:	34-35
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W11
      OFFSETS:	35-36
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وانتم
     IS_TRANS:	wAntm
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>inotum_1]
   UNSPLITVOC:	(wi>inotum)
          POS:	CONJ+PRON_2P
          VOC:	wi+>inotum
        GLOSS:	and+you

 INPUT STRING:	حلال
     IS_TRANS:	HlAl
        INDEX:	P10W2
      OFFSETS:	6-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HalAl_1]
   UNSPLITVOC:	(HalAl)
          POS:	NOUN
          VOC:	HalAl
        GLOSS:	permissible/legitimate

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P10W3
      OFFSETS:	11-16
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you

 INPUT STRING:	تحتفلوا
     IS_TRANS:	tHtflwA
        INDEX:	P10W4
      OFFSETS:	17-24
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotafal_1]
   UNSPLITVOC:	(tiHotifoluwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+Hotifol+uwA
        GLOSS:	you+celebrate+we

 INPUT STRING:	براس
     IS_TRANS:	brAs
        INDEX:	P10W5
      OFFSETS:	25-29
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>os_1]
   UNSPLITVOC:	(bira>os)
          POS:	PREP+NOUN
          VOC:	bi+ra>os
        GLOSS:	with/by+head/top/heads/tops

 INPUT STRING:	السنة
     IS_TRANS:	Alsnp
        INDEX:	P10W6
      OFFSETS:	30-35
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~anap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	وترقصوا
     IS_TRANS:	wtrqSwA
        INDEX:	P10W7
      OFFSETS:	36-43
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqaS_1]
   UNSPLITVOC:	(witiroquSuwA)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+ti+roquS+uwA
        GLOSS:	and+you+dance+we

 INPUT STRING:	وتغنوا
     IS_TRANS:	wtgnwA
        INDEX:	P10W8
      OFFSETS:	44-50
       TOKENS:	P10W12-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gan~aY_1]
   UNSPLITVOC:	(witgan~uwA)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+t+gan~+uwA
        GLOSS:	and+you+sing+we

 INPUT STRING:	وتتنططوا
     IS_TRANS:	wttnTTwA
        INDEX:	P10W9
      OFFSETS:	51-59
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wttnTTwA)
          POS:	NO_FUNC
          VOC:	wttnTTwA
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W10
      OFFSETS:	59-60
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W11
      OFFSETS:	60-61
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P10W12
      OFFSETS:	63-65
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الجمعة
     IS_TRANS:	AljmEp
        INDEX:	P10W13
      OFFSETS:	66-72
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(AljumoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumoE+ap
        GLOSS:	the+Friday+[fem.sg.]

 INPUT STRING:	التالية
     IS_TRANS:	AltAlyp
        INDEX:	P10W14
      OFFSETS:	73-80
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAliy_1]
   UNSPLITVOC:	(Alt~Aliyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+tAliy+ap
        GLOSS:	the+following/subsequent+[fem.sg.]

 INPUT STRING:	مباشرة
     IS_TRANS:	mbA$rp
        INDEX:	P10W15
      OFFSETS:	81-87
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubA$orap_1]
   UNSPLITVOC:	(mubA$orap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubA$or+ap
        GLOSS:	right after+[fem.sg.]

 INPUT STRING:	لجمعة
     IS_TRANS:	ljmEp
        INDEX:	P10W16
      OFFSETS:	88-93
       TOKENS:	P10W21-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(lijumoEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+jumoE+ap
        GLOSS:	for/to+Friday+[fem.sg.]

 INPUT STRING:	احداث
     IS_TRANS:	AHdAv
        INDEX:	P10W17
      OFFSETS:	94-99
       TOKENS:	P10W23-P10W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(>aHodAv)
          POS:	NOUN
          VOC:	>aHodAv
        GLOSS:	events

 INPUT STRING:	الفتاة
     IS_TRANS:	AlftAp
        INDEX:	P10W18
      OFFSETS:	100-106
       TOKENS:	P10W24-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAp_1]
   UNSPLITVOC:	(AlfatAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fatA+ap
        GLOSS:	the+young girl+[fem.sg.]

 INPUT STRING:	المسحولة
     IS_TRANS:	AlmsHwlp
        INDEX:	P10W19
      OFFSETS:	107-115
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masoHuwl_1]
   UNSPLITVOC:	(AlmasoHuwlap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+masoHuwl+ap
        GLOSS:	the+naked+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W20
      OFFSETS:	115-116
       TOKENS:	P10W26-P10W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W21
      OFFSETS:	116-117
       TOKENS:	P10W27-P10W27
