 INPUT STRING:	اخواتي
      COMMENT:	[]
        LEMMA:	[dab~Abap_1]
   UNSPLITVOC:	(dab~Abap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dab~Ab+ap
        GLOSS:	tank/tanks+[fem.sg.]

 INPUT STRING:	وثالث
     IS_TRANS:	wvAlv
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(wivAliv)
          POS:	CONJ+ADJ_NUM
          VOC:	wi+vAliv
        GLOSS:	and+third

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P6W2
      OFFSETS:	6-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P6W3
      OFFSETS:	11-14
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W4
      OFFSETS:	15-17
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المدافع
     IS_TRANS:	AlmdAfE
        INDEX:	P6W5
      OFFSETS:	18-25
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[madfaE_1]
   UNSPLITVOC:	(AlmadAfiE)
          POS:	DET+NOUN
          VOC:	Al+madAfiE
        GLOSS:	the+cannons/guns

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W6
      OFFSETS:	26-28
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P6W7
      OFFSETS:	29-35
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	وسادس
     IS_TRANS:	wsAds
        INDEX:	P6W8
      OFFSETS:	36-41
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAdis_1]
   UNSPLITVOC:	(wisAdis)
          POS:	CONJ+ADJ_NUM
          VOC:	wi+sAdis
        GLOSS:	and+sixth

 INPUT STRING:	اقوي
     IS_TRANS:	Aqwy
        INDEX:	P6W9
      OFFSETS:	42-46
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqowaY_1]
   UNSPLITVOC:	(>aqowaY)
          POS:	ADJ_COMP
          VOC:	>aqowaY
        GLOSS:	stronger/strongest/more/most powerful

 INPUT STRING:	اسطول
     IS_TRANS:	AsTwl
        INDEX:	P6W10
      OFFSETS:	47-52
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AusoTuwl_1]
   UNSPLITVOC:	(AusoTuwl)
          POS:	NOUN
          VOC:	AusoTuwl
        GLOSS:	fleet/squadron

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W11
      OFFSETS:	53-55
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P6W12
      OFFSETS:	56-62
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	وانها
     IS_TRANS:	wAnhA
        INDEX:	P6W13
      OFFSETS:	63-68
       TOKENS:	P6W15-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~ahA)
          POS:	CONJ+SUB_CONJ+PRON_3FS
          VOC:	wi+<in~+hA
        GLOSS:	and+that+it/they/she

 INPUT STRING:	ككل
     IS_TRANS:	kkl
        INDEX:	P6W14
      OFFSETS:	69-72
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kakul~)
          POS:	PREP+NOUN_QUANT
          VOC:	ka+kul~
        GLOSS:	like/such as+all, entire, every, whole

 INPUT STRING:	عاشر
     IS_TRANS:	EA$r
        INDEX:	P6W15
      OFFSETS:	73-77
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EA$ir_1]
   UNSPLITVOC:	(EA$ir)
          POS:	ADJ_NUM
          VOC:	EA$ir
        GLOSS:	tenth

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P6W16
      OFFSETS:	78-82
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	قوه
     IS_TRANS:	qwh
        INDEX:	P6W17
      OFFSETS:	83-86
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength/force/violence+[fem.sg.]

 INPUT STRING:	مسلحه
     IS_TRANS:	mslHh
        INDEX:	P6W18
      OFFSETS:	87-92
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_1]
   UNSPLITVOC:	(musal~aHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musal~aH+ap
        GLOSS:	armored/reinforced+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W19
      OFFSETS:	93-95
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P6W20
      OFFSETS:	96-102
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*a_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	القوات
     IS_TRANS:	AlqwAt
        INDEX:	P7W2
      OFFSETS:	4-10
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+quw~+At
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	الرهيبه
     IS_TRANS:	Alrhybh
        INDEX:	P7W3
      OFFSETS:	11-18
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rahiyb_1]
   UNSPLITVOC:	(Alr~ahiybap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+rahiyb+ap
        GLOSS:	the+dreadful/fearful/serious+[fem.sg.]

 INPUT STRING:	وبالرغم
     IS_TRANS:	wbAlrgm
        INDEX:	P7W4
      OFFSETS:	19-26
       TOKENS:	P7W4-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(wibiAlragom)
          POS:	PART+PREP+DET+NOUN
          VOC:	wi+bi+Al+ragom
        GLOSS:	[part.]+with/by+the+in spite of/despite

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W5
      OFFSETS:	27-29
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P7W6
      OFFSETS:	30-33
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alika_1]
   UNSPLITVOC:	(tiloka)
          POS:	DEM_PRON_F
          VOC:	tiloka
        GLOSS:	that/those

 INPUT STRING:	القوه
     IS_TRANS:	Alqwh
        INDEX:	P7W7
      OFFSETS:	34-39
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quw~+ap
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	الهائله
     IS_TRANS:	AlhA}lh
        INDEX:	P7W8
      OFFSETS:	40-47
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlhA}il_1]
   UNSPLITVOC:	(AlhA}ilap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+hA}il+ap
        GLOSS:	the+huge/formidable/appalling+[fem.sg.]

 INPUT STRING:	والعقيده
     IS_TRANS:	wAlEqydh
        INDEX:	P7W9
      OFFSETS:	48-56
       TOKENS:	P7W11-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEaqiyd_1]
   UNSPLITVOC:	(wiAlEaqiydap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wi+Al+Eaqiyd+ap
        GLOSS:	and+the+doctrine/creed/dogma/doctrines/creeds+[fem.sg.]

 INPUT STRING:	القتاليه
     IS_TRANS:	AlqtAlyh
        INDEX:	P7W10
      OFFSETS:	57-65
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qitAliy_1]
   UNSPLITVOC:	(AlqitAliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qitAliy~+ap
        GLOSS:	the+fighting/battle+[fem.sg.]

 INPUT STRING:	الصارمه
     IS_TRANS:	AlSArmh
        INDEX:	P7W11
      OFFSETS:	66-73
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SArim_1]
   UNSPLITVOC:	(AlS~Arimap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+SArim+ap
        GLOSS:	the+severe/rigorous/strict/ruthless+[fem.sg.]

 INPUT STRING:	اختارت
     IS_TRANS:	AxtArt
        INDEX:	P7W12
      OFFSETS:	74-80
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotAr_1]
   UNSPLITVOC:	(AixotArit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	AixotAr+it
        GLOSS:	choose/select+it/they/she

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W13
      OFFSETS:	81-83
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تحمي
     IS_TRANS:	tHmy
        INDEX:	P7W14
      OFFSETS:	84-88
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamay_1]
   UNSPLITVOC:	(tiHomiy)
          POS:	IV3FS+IV
          VOC:	ti+Homiy
        GLOSS:	it/they/she+defend/protect/forbid

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P7W15
      OFFSETS:	89-95
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	والحريه
     IS_TRANS:	wAlHryh
        INDEX:	P7W16
      OFFSETS:	96-103
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(wiAlHur~iy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Hur~iy~+ap
        GLOSS:	and+the+freedom+[fem.sg.]

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(wi>an)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+>an
        GLOSS:	and+That, to

 INPUT STRING:	لاتقوم
     IS_TRANS:	lAtqwm
        INDEX:	P8W2
      OFFSETS:	4-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAtqwm)
          POS:	NO_FUNC
          VOC:	lAtqwm
        GLOSS:	nogloss

 INPUT STRING:	باطلاق
     IS_TRANS:	bATlAq
        INDEX:	P8W3
      OFFSETS:	11-17
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiTolAq_1]
   UNSPLITVOC:	(biAiTolAq)
          POS:	PREP+NOUN
          VOC:	bi+AiTolAq
        GLOSS:	with/by+firing

 INPUT STRING:	رصاصه
     IS_TRANS:	rSASh
        INDEX:	P8W4
      OFFSETS:	18-23
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruSASap_1]
   UNSPLITVOC:	(ruSASap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ruSAS+ap
        GLOSS:	bullet/shot+[fem.sg.]

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P8W5
      OFFSETS:	24-29
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P8W6
      OFFSETS:	30-33
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P8W7
      OFFSETS:	34-39
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P8W8
      OFFSETS:	40-46
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	تخيلي
     IS_TRANS:	txyly
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoxay~il_1]
   UNSPLITVOC:	(taxay~aliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	taxay~al+iy
        GLOSS:	imagine+you

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P9W4
      OFFSETS:	14-17
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all, entire, every, whole+his/its

 INPUT STRING:	مراهق
     IS_TRANS:	mrAhq
        INDEX:	P9W5
      OFFSETS:	18-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murAhiq_1]
   UNSPLITVOC:	(murAhiq)
          POS:	NOUN
          VOC:	murAhiq
        GLOSS:	adolescent

 INPUT STRING:	يسب
     IS_TRANS:	ysb
        INDEX:	P9W6
      OFFSETS:	24-27
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~_1]
   UNSPLITVOC:	(yisib~)
          POS:	IV3MS+IV
          VOC:	yi+sib~
        GLOSS:	he/it+insult

 INPUT STRING:	ويشتم
     IS_TRANS:	wy$tm
        INDEX:	P9W7
      OFFSETS:	28-33
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atam_1]
   UNSPLITVOC:	(wiyi$otim)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+$otim
        GLOSS:	and+he/it+revile/curse

 INPUT STRING:	هؤلاء
     IS_TRANS:	h&lA'
        INDEX:	P9W8
      OFFSETS:	34-39
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha&ulA')
          POS:	DEM_PRON_P
          VOC:	ha&ulA'
        GLOSS:	these

 INPUT STRING:	الجنود
     IS_TRANS:	Aljnwd
        INDEX:	P9W9
      OFFSETS:	40-46
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jundiy_1]
   UNSPLITVOC:	(Aljunuwd)
          POS:	DET+NOUN
          VOC:	Al+junuwd
        GLOSS:	the+soldiers

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P9W10
      OFFSETS:	46-47
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P9W11
      OFFSETS:	47-48
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	ويقوم
     IS_TRANS:	wyqwm
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(wiyiquwm)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+quwm
        GLOSS:	and+he/it+carry out/undertake

 INPUT STRING:	بتخونهم
     IS_TRANS:	btxwnhm
        INDEX:	P10W2
      OFFSETS:	6-13
       TOKENS:	P10W3-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taxwiyn_1]
   UNSPLITVOC:	(bitaxwiynhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+taxwiyn+hum
        GLOSS:	with/by+betrayal+their

 INPUT STRING:	ونعتهم
     IS_TRANS:	wnEthm
        INDEX:	P10W3
      OFFSETS:	14-20
       TOKENS:	P10W6-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naEt_1]
   UNSPLITVOC:	(winaEtuhum)
          POS:	CONJ+NOUN.VN+POSS_PRON_3P
          VOC:	wi+naEt+hum
        GLOSS:	and+description/characterization+their

 INPUT STRING:	بالعملاء
     IS_TRANS:	bAlEmlA'
        INDEX:	P10W4
      OFFSETS:	21-29
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(biAlEumalA')
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+EumalA'
        GLOSS:	with/by+the+agents

 INPUT STRING:	ويهتف
     IS_TRANS:	wyhtf
        INDEX:	P10W5
      OFFSETS:	30-35
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hataf_1]
   UNSPLITVOC:	(wiyihtif)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+htif
        GLOSS:	and+he/it+call/shout/cheer

 INPUT STRING:	يسقط
     IS_TRANS:	ysqT
        INDEX:	P10W6
      OFFSETS:	36-40
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saqaT_1]
   UNSPLITVOC:	(yasoqaT)
          POS:	IV3MS+IV
          VOC:	ya+soqaT
        GLOSS:	he/it+fall/drop

 INPUT STRING:	العسكر
     IS_TRANS:	AlEskr
        INDEX:	P10W7
      OFFSETS:	41-47
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokar_1]
   UNSPLITVOC:	(AlEasokar)
          POS:	DET+NOUN
          VOC:	Al+Easokar
        GLOSS:	the+army/troops

 INPUT STRING:	يالها
     IS_TRANS:	yAlhA
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
