 INPUT STRING:	لا
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W7
      OFFSETS:	24-25
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عموماً
     IS_TRANS:	EmwmAF
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(EumuwmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eumuwm+AF
        GLOSS:	generality/totality+[acc.indef.]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P6W2
      OFFSETS:	7-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	مشكلتى
     IS_TRANS:	m$kltY
        INDEX:	P6W3
      OFFSETS:	11-17
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okiltiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	mu$okil+ap+iy
        GLOSS:	problem/issue+[fem.sg.]+my

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P6W4
      OFFSETS:	18-24
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W5
      OFFSETS:	25-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	npt

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P6W6
      OFFSETS:	28-30
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	أمثاله
     IS_TRANS:	>mvAlh
        INDEX:	P6W7
      OFFSETS:	31-37
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(>mvAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>mvAl+ap
        GLOSS:	examples+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W8
      OFFSETS:	38-40
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفاسدين
     IS_TRANS:	AlfAsdyn
        INDEX:	P6W9
      OFFSETS:	41-49
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAsid_1]
   UNSPLITVOC:	(AlfAsidiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+fAsid+iyn
        GLOSS:	the+corrupt/immoral+[masc.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W10
      OFFSETS:	50-52
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P6W11
      OFFSETS:	53-60
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	مشكلتى
     IS_TRANS:	m$kltY
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okiltiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	mu$okil+ap+iy
        GLOSS:	problem/issue+[fem.sg.]+my

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P7W2
      OFFSETS:	7-9
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الجيل
     IS_TRANS:	Aljyl
        INDEX:	P7W3
      OFFSETS:	10-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Aljiyl)
          POS:	DET+NOUN
          VOC:	Al+jiyl
        GLOSS:	the+generation/epoch/generations/epochs

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W4
      OFFSETS:	16-20
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	للأسف
     IS_TRANS:	ll>sf
        INDEX:	P7W5
      OFFSETS:	21-26
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W6
      OFFSETS:	27-29
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	اتربى
     IS_TRANS:	AtrbY
        INDEX:	P7W7
      OFFSETS:	30-35
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itorab~ay_1]
   UNSPLITVOC:	(<itorab~aY)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	<itorab~aY+(null)
        GLOSS:	raise/grow/be raised/be grown+he/it

 INPUT STRING:	تربية
     IS_TRANS:	trbyp
        INDEX:	P7W8
      OFFSETS:	36-41
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarobiy~ap_1]
   UNSPLITVOC:	(tarobiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tarobiy~+ap
        GLOSS:	education/pedagogy/breeding+[fem.sg.]

 INPUT STRING:	دينية
     IS_TRANS:	dynyp
        INDEX:	P7W9
      OFFSETS:	42-47
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(diyniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	diyniy~+ap
        GLOSS:	religious+[fem.sg.]

 INPUT STRING:	تخليه
     IS_TRANS:	txlyh
        INDEX:	P7W10
      OFFSETS:	48-53
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(txlyh)
          POS:	NO_FUNC
          VOC:	txlyh
        GLOSS:	nogloss

 INPUT STRING:	يقلع
     IS_TRANS:	yqlE
        INDEX:	P7W11
      OFFSETS:	54-58
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~aE_1]
   UNSPLITVOC:	(yaqal~aE)
          POS:	IV3MS+IV
          VOC:	ya+qal~aE
        GLOSS:	he/it+stop/cease/uproot/extirpate

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P7W12
      OFFSETS:	59-61
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	مشاهدة
     IS_TRANS:	m$Ahdp
        INDEX:	P7W13
      OFFSETS:	62-68
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Ahodap_1]
   UNSPLITVOC:	(mu$Ahodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$Ahod+ap
        GLOSS:	observation/viewing/inspection+[fem.sg.]

 INPUT STRING:	الإسفاف
     IS_TRANS:	Al<sfAf
        INDEX:	P7W14
      OFFSETS:	69-76
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isofAf_1]
   UNSPLITVOC:	(Al<isofAf)
          POS:	DET+NOUN
          VOC:	Al+<isofAf
        GLOSS:	the+triviality/decline

 INPUT STRING:	وبإذن
     IS_TRANS:	wb<*n
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(wibi<i*on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+<i*on
        GLOSS:	and+with/by+permission/authorization/bonds

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W2
      OFFSETS:	6-10
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P8W3
      OFFSETS:	11-13
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	غداً
     IS_TRANS:	gdAF
        INDEX:	P8W4
      OFFSETS:	14-18
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gad_1]
   UNSPLITVOC:	(gadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	gad+AF
        GLOSS:	tomorrow+[acc.indef.]

 INPUT STRING:	لناظره
     IS_TRANS:	lnAZrh
        INDEX:	P8W5
      OFFSETS:	19-25
       TOKENS:	P8W7-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAzir_1]
   UNSPLITVOC:	(linAZruh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+nAZr+uh
        GLOSS:	for/to+looking/observer/supervisor+his/its

 INPUT STRING:	قريب
     IS_TRANS:	qryb
        INDEX:	P8W6
      OFFSETS:	26-30
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(quray~ib)
          POS:	ADJ
          VOC:	quray~ib
        GLOSS:	near/close

 INPUT STRING:	ويوم
     IS_TRANS:	wywm
        INDEX:	P8W7
      OFFSETS:	31-35
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(wiyawm)
          POS:	CONJ+NOUN
          VOC:	wi+yawm
        GLOSS:	and+today/some day/ever/days

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P8W8
      OFFSETS:	36-38
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	يفوق
     IS_TRANS:	yfwq
        INDEX:	P8W9
      OFFSETS:	39-43
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAq_1]
   UNSPLITVOC:	(yifuwq)
          POS:	IV3MS+IV
          VOC:	yi+fuwq
        GLOSS:	he/it+surpass/excel

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P8W10
      OFFSETS:	44-50
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	ويتكوّن
     IS_TRANS:	wytkw~n
        INDEX:	P8W11
      OFFSETS:	51-58
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wytkw~n)
          POS:	NO_FUNC
          VOC:	wytkw~n
        GLOSS:	nogloss

 INPUT STRING:	جيل
     IS_TRANS:	jyl
        INDEX:	P8W12
      OFFSETS:	59-62
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(jiyl)
          POS:	NOUN
          VOC:	jiyl
        GLOSS:	generation/epoch/generations/epochs

 INPUT STRING:	يتحمل
     IS_TRANS:	ytHml
        INDEX:	P8W13
      OFFSETS:	63-68
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHam~al_1]
   UNSPLITVOC:	(yitHamil)
          POS:	IV3MS+IV
          VOC:	yi+tHamil
        GLOSS:	he/it+bear/assume

 INPUT STRING:	المسئولية
     IS_TRANS:	Alms}wlyp
        INDEX:	P8W14
      OFFSETS:	69-78
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&uliy~ap_1]
   UNSPLITVOC:	(Almaso}uwliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maso}uwliy~+ap
        GLOSS:	the+responsibility+[fem.sg.]

 INPUT STRING:	ويكون
     IS_TRANS:	wykwn
        INDEX:	P8W15
      OFFSETS:	79-84
       TOKENS:	P8W20-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wiyikuwn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+kuwn
        GLOSS:	and+he/it+be

 INPUT STRING:	جيل
     IS_TRANS:	jyl
        INDEX:	P8W16
      OFFSETS:	85-88
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(jiyl)
          POS:	NOUN
          VOC:	jiyl
        GLOSS:	generation/epoch/generations/epochs

 INPUT STRING:	مجاهد
     IS_TRANS:	mjAhd
        INDEX:	P8W17
      OFFSETS:	89-94
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujAhid_1]
   UNSPLITVOC:	(mujAhid)
          POS:	ADJ
          VOC:	mujAhid
        GLOSS:	fighting

 INPUT STRING:	ساعتها
     IS_TRANS:	sAEthA
        INDEX:	P8W18
      OFFSETS:	95-101
       TOKENS:	P8W24-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	sAE+ap+hA
        GLOSS:	hour/time/hours+[fem.sg.]+its/their/her

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P8W19
      OFFSETS:	102-105
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W20
      OFFSETS:	106-110
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P8W21
      OFFSETS:	111-113
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيلاقوا
     IS_TRANS:	hylAqwA
        INDEX:	P8W22
      OFFSETS:	114-121
       TOKENS:	P8W29-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HayilAquwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+lAq+uwA
        GLOSS:	will+they+find+we

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P8W23
      OFFSETS:	122-125
       TOKENS:	P8W31-P8W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	for/to+them

 INPUT STRING:	سوق
     IS_TRANS:	swq
        INDEX:	P8W24
      OFFSETS:	126-129
       TOKENS:	P8W33-P8W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwq_1]
   UNSPLITVOC:	(suwq)
          POS:	NOUN
          VOC:	suwq
        GLOSS:	market

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W25
      OFFSETS:	129-130
       TOKENS:	P8W34-P8W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W26
      OFFSETS:	130-131
       TOKENS:	P8W35-P8W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	خليه
     IS_TRANS:	xlyh
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyh)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3MS
          VOC:	xal~iy+(null)+uh
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+it/him

 INPUT STRING:	يصور
     IS_TRANS:	ySwr
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(yiSaw~ar)
          POS:	IV3MS+IV
          VOC:	yi+Saw~ar
        GLOSS:	he/it+film/photograph/be filmed/be photographed

 INPUT STRING:	أفلامه
     IS_TRANS:	>flAmh
        INDEX:	P9W3
      OFFSETS:	10-16
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(>flAmh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>flAm+uh
        GLOSS:	film/movie+his/its

 INPUT STRING:	ويروح
     IS_TRANS:	wyrwH
        INDEX:	P9W4
      OFFSETS:	17-22
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wiyiruwH)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+ruwH
        GLOSS:	and+he/it+go

 INPUT STRING:	يتفرج
     IS_TRANS:	ytfrj
        INDEX:	P9W5
      OFFSETS:	23-28
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(yatofar~aj)
          POS:	IV3MS+IV
          VOC:	ya+tofar~aj
        GLOSS:	he/it+see/observe

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P9W6
      OFFSETS:	29-34
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/her

 INPUT STRING:	لوحده
     IS_TRANS:	lwHdh
        INDEX:	P9W7
      OFFSETS:	35-40
       TOKENS:	P9W11-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(lawaHoduh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	la+waHod+hi
        GLOSS:	for/to+alone/only+its/his

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P9W8
      OFFSETS:	41-43
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P9W9
      OFFSETS:	44-48
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	هتلر
     IS_TRANS:	htlr
        INDEX:	P9W10
      OFFSETS:	49-53
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hitolar_1]
   UNSPLITVOC:	(hitolar)
          POS:	NOUN_PROP
          VOC:	hitolar
        GLOSS:	Hitler

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P9W11
      OFFSETS:	54-59
       TOKENS:	P9W17-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يغيظه
     IS_TRANS:	ygyZh
        INDEX:	P9W12
      OFFSETS:	60-65
       TOKENS:	P9W19-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAZ_1]
