 INPUT STRING:	اكاذيب
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(>aSowAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	>aSow+At
        GLOSS:	voice/sound/voices/sounds+[fem.pl.]

 INPUT STRING:	المعترضين
     IS_TRANS:	AlmEtrDyn
        INDEX:	P11W4
      OFFSETS:	16-25
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotariD_1]
   UNSPLITVOC:	(AlmuEotariDiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muEotariD+iyn
        GLOSS:	the+objecting+two

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W5
      OFFSETS:	26-29
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	التأجيل
     IS_TRANS:	Alt>jyl
        INDEX:	P11W6
      OFFSETS:	30-37
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>ojiyl_1]
   UNSPLITVOC:	(Alt~a>ojiyl)
          POS:	DET+NOUN
          VOC:	Al+ta>ojiyl
        GLOSS:	the+postponement/delay

 INPUT STRING:	منادين
     IS_TRANS:	mnAdyn
        INDEX:	P11W7
      OFFSETS:	38-44
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munAdiy_1]
   UNSPLITVOC:	(mnAdiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mnAd+iyn
        GLOSS:	calling+two

 INPUT STRING:	بضرورة
     IS_TRANS:	bDrwrp
        INDEX:	P11W8
      OFFSETS:	45-51
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daruwrap_1]
   UNSPLITVOC:	(biDaruwrap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Daruwr+ap
        GLOSS:	with/by+necessity/need/imperative+[fem.sg.]

 INPUT STRING:	عقد
     IS_TRANS:	Eqd
        INDEX:	P11W9
      OFFSETS:	52-55
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqod_1]
   UNSPLITVOC:	(Eaqod)
          POS:	NOUN
          VOC:	Eaqod
        GLOSS:	contract/agreement/contracts/agreements

 INPUT STRING:	القمة
     IS_TRANS:	Alqmp
        INDEX:	P11W10
      OFFSETS:	56-61
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(Alqim~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qim~+ap
        GLOSS:	the+summit/summits+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W11
      OFFSETS:	62-64
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موعدها
     IS_TRANS:	mwEdhA
        INDEX:	P11W12
      OFFSETS:	65-71
       TOKENS:	P11W13-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawEid_1]
   UNSPLITVOC:	(mwEdahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mwEd+hA
        GLOSS:	date+its/their/her

 INPUT STRING:	لكى
     IS_TRANS:	lkY
        INDEX:	P11W13
      OFFSETS:	72-75
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(likayo)
          POS:	PREP+SUB_CONJ
          VOC:	li+kayo
        GLOSS:	in order+that

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W14
      OFFSETS:	76-78
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	نرجع
     IS_TRANS:	nrjE
        INDEX:	P11W15
      OFFSETS:	79-83
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ragaE_0]
   UNSPLITVOC:	(nirojaE)
          POS:	IV1P+IV
          VOC:	ni+rojaE
        GLOSS:	we+come back

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P11W16
      OFFSETS:	84-87
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	«
     IS_TRANS:	&#xab;
        INDEX:	P11W17
      OFFSETS:	88-89
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xab;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	القطيعة
     IS_TRANS:	AlqTyEp
        INDEX:	P11W18
      OFFSETS:	89-96
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTiyEap_1]
   UNSPLITVOC:	(AlqaTiyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaTiyE+ap
        GLOSS:	the+breaking/rupture/rift+[fem.sg.]

 INPUT STRING:	»
     IS_TRANS:	&#xbb;
        INDEX:	P11W19
      OFFSETS:	96-97
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xbb;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P11W20
      OFFSETS:	97-98
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P11W21
      OFFSETS:	99-101
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	«
     IS_TRANS:	&#xab;
        INDEX:	P11W22
      OFFSETS:	102-103
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xab;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الأخوة
     IS_TRANS:	Al>xwp
        INDEX:	P11W23
      OFFSETS:	103-109
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(AlAixowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Aixow+ap
        GLOSS:	the+brothers+[fem.sg.]

 INPUT STRING:	»
     IS_TRANS:	&#xbb;
        INDEX:	P11W24
      OFFSETS:	109-110
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xbb;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P11W25
      OFFSETS:	110-111
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W26
      OFFSETS:	111-112
       TOKENS:	P11W29-P11W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اليكم
     IS_TRANS:	Alykm
        INDEX:	P12W1
      OFFSETS:	1-6
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaykum)
          POS:	PREP+PRON_2MP
          VOC:	<ilay+kum
        GLOSS:	to/towards+you [masc.pl.]

 INPUT STRING:	اكاذيبهم
     IS_TRANS:	AkA*ybhm
        INDEX:	P12W2
      OFFSETS:	7-15
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uk*uwbap_1]
   UNSPLITVOC:	(>akA*iybhim)
          POS:	NOUN+POSS_PRON_3P
          VOC:	>akA*iyb+him
        GLOSS:	lies+their

 INPUT STRING:	لتحكموا
     IS_TRANS:	ltHkmwA
        INDEX:	P12W3
      OFFSETS:	16-23
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ltHkmwA)
          POS:	NO_FUNC
          VOC:	ltHkmwA
        GLOSS:	nogloss

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P12W4
      OFFSETS:	24-29
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+they

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P13W1
      OFFSETS:	1-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P13W2
      OFFSETS:	2-3
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	كذبة
     IS_TRANS:	k*bp
        INDEX:	P13W3
      OFFSETS:	3-7
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*bap_1]
   UNSPLITVOC:	(k*bap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	k*b+ap
        GLOSS:	lie+[fem.sg.]

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P13W4
      OFFSETS:	8-13
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	العربى
     IS_TRANS:	AlErbY
        INDEX:	P13W5
      OFFSETS:	14-20
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arab

 INPUT STRING:	الموحد
     IS_TRANS:	AlmwHd
        INDEX:	P13W6
      OFFSETS:	21-27
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaH~ad_1]
   UNSPLITVOC:	(AlmuwaH~ad)
          POS:	DET+ADJ
          VOC:	Al+muwaH~ad
        GLOSS:	the+united/unified/standardized

 INPUT STRING:	واتفاقية
     IS_TRANS:	wAtfAqyp
        INDEX:	P14W1
      OFFSETS:	1-9
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ifAqiy~ap_1]
   UNSPLITVOC:	(wiAit~ifAqiy~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Ait~ifAqiy~+ap
        GLOSS:	and+agreement+[fem.sg.]

 INPUT STRING:	الدفاع
     IS_TRANS:	AldfAE
        INDEX:	P14W2
      OFFSETS:	10-16
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[difAE_1]
   UNSPLITVOC:	(Ald~ifAE)
          POS:	DET+NOUN
          VOC:	Al+difAE
        GLOSS:	the+defense/in defense

 INPUT STRING:	العربى
     IS_TRANS:	AlErbY
        INDEX:	P14W3
      OFFSETS:	17-23
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arab

 INPUT STRING:	المشترك
     IS_TRANS:	Alm$trk
        INDEX:	P14W4
      OFFSETS:	24-31
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$otarak_1]
   UNSPLITVOC:	(Almu$otarak)
          POS:	DET+ADJ
          VOC:	Al+mu$otarak
        GLOSS:	the+shared/common/joint/collective

 INPUT STRING:	حلم
     IS_TRANS:	Hlm
        INDEX:	P15W1
      OFFSETS:	1-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(Hilom)
          POS:	NOUN
          VOC:	Hilom
        GLOSS:	dream/dreams

 INPUT STRING:	يراود
     IS_TRANS:	yrAwd
        INDEX:	P15W2
      OFFSETS:	5-10
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAwad_1]
   UNSPLITVOC:	(yirAwod)
          POS:	IV3MS+IV
          VOC:	yi+rAwod
        GLOSS:	he/it+come

 INPUT STRING:	الكثيرين
     IS_TRANS:	Alkvyryn
        INDEX:	P15W3
      OFFSETS:	11-19
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyriyn_1]
   UNSPLITVOC:	(Alkaviyriyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+kaviyr+iyn
        GLOSS:	the+many+[masc. pl.]

 INPUT STRING:	منا
     IS_TRANS:	mnA
        INDEX:	P15W4
      OFFSETS:	20-23
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minnA)
          POS:	PREP+PRON_1P
          VOC:	min+nA
        GLOSS:	from+us

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W5
      OFFSETS:	23-24
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W6
      OFFSETS:	25-27
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P15W7
      OFFSETS:	28-30
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	نتشارك
     IS_TRANS:	nt$Ark
        INDEX:	P15W8
      OFFSETS:	31-37
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito$Arik_1]
   UNSPLITVOC:	(nito$Arik)
          POS:	IV1P+IV
          VOC:	ni+to$Arik
        GLOSS:	we+share

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P15W9
      OFFSETS:	38-43
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W10
      OFFSETS:	44-46
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدفاع
     IS_TRANS:	AldfAE
        INDEX:	P15W11
      OFFSETS:	47-53
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[difAE_1]
   UNSPLITVOC:	(Ald~ifAE)
          POS:	DET+NOUN
          VOC:	Al+difAE
        GLOSS:	the+defense/in defense

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P15W12
      OFFSETS:	54-56
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	أنفسنا
     IS_TRANS:	>nfsnA
        INDEX:	P15W13
      OFFSETS:	57-63
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naf_1]
   UNSPLITVOC:	(>nfsnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>nfs+nA
        GLOSS:	ourselves+us

 INPUT STRING:	تجاه
     IS_TRANS:	tjAh
        INDEX:	P15W14
      OFFSETS:	64-68
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tujAh_1]
   UNSPLITVOC:	(tujAh)
          POS:	NOUN
          VOC:	tujAh
        GLOSS:	towards/facing

 INPUT STRING:	الاعتداءات
     IS_TRANS:	AlAEtdA'At
        INDEX:	P15W15
      OFFSETS:	69-79
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotidA'_1]
   UNSPLITVOC:	(AlAiEotidA'At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AiEotidA'+At
        GLOSS:	the+attacks/assaults/aggression+[fem.pl.]

 INPUT STRING:	الخارجية
     IS_TRANS:	AlxArjyp
        INDEX:	P15W16
      OFFSETS:	80-88
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArijiy_1]
   UNSPLITVOC:	(AlxArijiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xArijiy~+ap
        GLOSS:	the+external+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W17
      OFFSETS:	88-89
       TOKENS:	P15W19-P15W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P16W1
      OFFSETS:	1-5
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(waha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+ha*A
        GLOSS:	and+what

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P16W2
      OFFSETS:	6-8
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	تقره
     IS_TRANS:	tqrh
        INDEX:	P16W3
      OFFSETS:	9-13
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<aqar~_1]
   UNSPLITVOC:	(tuqir~uh)
          POS:	IV3FS+IV+IVSUFF_DO:3MS
          VOC:	tu+qir~+uh
        GLOSS:	it/they/she+acknowledge+he/it

 INPUT STRING:	الأمم
     IS_TRANS:	Al>mm
        INDEX:	P16W4
      OFFSETS:	14-19
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(Al>aumam)
          POS:	DET+NOUN
          VOC:	Al+>aumam
        GLOSS:	the+nation/people/nations/peoples/Nations

 INPUT STRING:	المتحدة
     IS_TRANS:	AlmtHdp
        INDEX:	P16W5
      OFFSETS:	20-27
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aHid_1]
   UNSPLITVOC:	(Almut~aHidap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mut~aHid+ap
        GLOSS:	the+united+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P16W6
      OFFSETS:	28-32
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	جاء
     IS_TRANS:	jA'
        INDEX:	P16W7
      OFFSETS:	33-36
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jA')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA'+(null)
        GLOSS:	cime+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P16W8
      OFFSETS:	37-39
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ميثاقها
     IS_TRANS:	myvAqhA
        INDEX:	P16W9
      OFFSETS:	40-47
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miyvAq_1]
   UNSPLITVOC:	(myvAqhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	myvAq+hA
        GLOSS:	agreement+it/them/her

 INPUT STRING:	بالمادة
     IS_TRANS:	bAlmAdp
        INDEX:	P16W10
      OFFSETS:	48-55
       TOKENS:	P16W13-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAd~ap_1]
   UNSPLITVOC:	(biAlmAd~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+mAd~+ap
        GLOSS:	with/by+the+subject/topic+[fem.sg.]

 INPUT STRING:	51
     IS_TRANS:	51
        INDEX:	P16W11
