 INPUT STRING:	ولدت
      COMMENT:	[]
        LEMMA:	[>axa*-u_1]
   UNSPLITVOC:	(>axa*otu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	>axa*+tu
        GLOSS:	take/begin+I [verb]

 INPUT STRING:	ابحث
     IS_TRANS:	AbHv
        INDEX:	P8W4
      OFFSETS:	13-17
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baHav-a_1]
   UNSPLITVOC:	(>aboHavu)
          POS:	IV1S+IV+IVSUFF_MOOD:I
          VOC:	>a+boHav+u
        GLOSS:	I+discuss/search (for)+[ind.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W5
      OFFSETS:	18-20
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	قنوات
     IS_TRANS:	qnwAt
        INDEX:	P8W6
      OFFSETS:	21-26
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	qanaw+At
        GLOSS:	canals/channels+[fem.pl.]

 INPUT STRING:	التليفزيون
     IS_TRANS:	Altlyfzywn
        INDEX:	P8W7
      OFFSETS:	27-37
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilofizyuwn_1]
   UNSPLITVOC:	(Altiliyfizyuwn)
          POS:	DET+NOUN
          VOC:	Al+tiliyfizyuwn
        GLOSS:	the+television

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P8W8
      OFFSETS:	38-44
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSoriy~_1]
   UNSPLITVOC:	(AlmiSoriy~)
          POS:	DET+ADJ
          VOC:	Al+miSoriy~
        GLOSS:	the+Egyptian

 INPUT STRING:	لاتاكد
     IS_TRANS:	lAtAkd
        INDEX:	P8W9
      OFFSETS:	45-51
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAtAkd)
          POS:	NO_FUNC
          VOC:	lAtAkd
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W10
      OFFSETS:	52-54
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P8W11
      OFFSETS:	55-60
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P8W12
      OFFSETS:	60-61
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لابد
     IS_TRANS:	lAbd
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAbd)
          POS:	NO_FUNC
          VOC:	lAbd
        GLOSS:	nogloss

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	اتاكد
     IS_TRANS:	AtAkd
        INDEX:	P9W3
      OFFSETS:	8-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito>ak~id_1]
   UNSPLITVOC:	(Aato>ak~id)
          POS:	IV1S+IV
          VOC:	Aa+to>ak~id
        GLOSS:	I+be sure/certain

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W4
      OFFSETS:	14-16
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خبر
     IS_TRANS:	xbr
        INDEX:	P9W5
      OFFSETS:	17-20
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(xabar)
          POS:	NOUN
          VOC:	xabar
        GLOSS:	news/report

 INPUT STRING:	كهذا
     IS_TRANS:	kh*A
        INDEX:	P9W6
      OFFSETS:	21-25
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(kah`*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	ka+h`*A
        GLOSS:	like/such as+this [masc.sg.]

 INPUT STRING:	خصوصا
     IS_TRANS:	xSwSA
        INDEX:	P9W7
      OFFSETS:	26-31
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(xuSuwSAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xuSuwS+AF
        GLOSS:	especially/in particular+[acc.indef.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W8
      OFFSETS:	32-33
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P9W9
      OFFSETS:	34-38
       TOKENS:	P9W10-P9W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~a_1]
   UNSPLITVOC:	(<in~anA)
          POS:	PSEUDO_VERB+PRON_1P
          VOC:	<in~a+nA
        GLOSS:	indeed+we

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P9W10
      OFFSETS:	39-44
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN_QUANT+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	نعرف
     IS_TRANS:	nErf
        INDEX:	P9W11
      OFFSETS:	45-49
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earaf-i_1]
   UNSPLITVOC:	(naEorifu)
          POS:	IV1P+IV+IVSUFF_MOOD:I
          VOC:	na+Eorif+u
        GLOSS:	we+know+[ind.]

 INPUT STRING:	بالفطرة
     IS_TRANS:	bAlfTrp
        INDEX:	P9W12
      OFFSETS:	50-57
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiTorap_1]
   UNSPLITVOC:	(biAlfiTorap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+fiTor+ap
        GLOSS:	with/by+the+innate character+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P9W13
      OFFSETS:	58-60
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الجزيرة
     IS_TRANS:	Aljzyrp
        INDEX:	P9W14
      OFFSETS:	61-68
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaziyrap_2]
   UNSPLITVOC:	(Aljaziyrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jaziyr+ap
        GLOSS:	the+Jazeera+[fem.sg.]

 INPUT STRING:	وحشة
     IS_TRANS:	wH$p
        INDEX:	P9W15
      OFFSETS:	71-75
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHo$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wiHo$+ap
        GLOSS:	bad+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W16
      OFFSETS:	76-77
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	مابتحبش
     IS_TRANS:	mAbtHb$
        INDEX:	P9W17
      OFFSETS:	78-85
       TOKENS:	P9W20-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(mA_bitiHib~$)
          POS:	NEG_PART+PROG_PART+IV3FS+IV+NEG_PART
          VOC:	mA+bi+ti+Hib~+$
        GLOSS:	not+[present-tense]+it/they/she+like/love+not

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W18
      OFFSETS:	86-89
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	فوجدت
     IS_TRANS:	fwjdt
        INDEX:	P9W19
      OFFSETS:	92-97
       TOKENS:	P9W25-P9W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad-i_1]
   UNSPLITVOC:	(fawajadotu)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	fa+wajad+tu
        GLOSS:	so/and+find+I [verb]

 INPUT STRING:	القنوات
     IS_TRANS:	AlqnwAt
        INDEX:	P9W20
      OFFSETS:	98-105
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(AlqanawAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+qanaw+At
        GLOSS:	the+canals/channels+[fem.pl.]

 INPUT STRING:	المصريه
     IS_TRANS:	AlmSryh
        INDEX:	P9W21
      OFFSETS:	106-113
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSoriy~_1]
   UNSPLITVOC:	(AlmiSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+miSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	تذيع
     IS_TRANS:	t*yE
        INDEX:	P9W22
      OFFSETS:	114-118
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>a*AE_1]
   UNSPLITVOC:	(tu*iyEu)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	tu+*iyE+u
        GLOSS:	it/they/she+broadcast/propagate+[ind.]

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P9W23
      OFFSETS:	119-124
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W24
      OFFSETS:	125-126
       TOKENS:	P9W31-P9W31
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P9W25
      OFFSETS:	127-129
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P9W26
      OFFSETS:	130-132
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P9W27
      OFFSETS:	133-140
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(Aldukotuwr)
          POS:	DET+NOUN
          VOC:	Al+dukotuwr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	ايمن
     IS_TRANS:	Aymn
        INDEX:	P9W28
      OFFSETS:	141-145
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoman_1]
   UNSPLITVOC:	(>ayoman)
          POS:	NOUN_PROP
          VOC:	>ayoman
        GLOSS:	Ayman/Aiman

 INPUT STRING:	نور
     IS_TRANS:	nwr
        INDEX:	P9W29
      OFFSETS:	146-149
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(nuwr)
          POS:	NOUN_PROP
          VOC:	nuwr
        GLOSS:	Nour/Noor

 INPUT STRING:	فاز
     IS_TRANS:	fAz
        INDEX:	P9W30
      OFFSETS:	150-153
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAz-u_1]
   UNSPLITVOC:	(fAza)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fAz+a
        GLOSS:	win/be victorious+he/it [verb]

 INPUT STRING:	بفارق
     IS_TRANS:	bfArq
        INDEX:	P9W31
      OFFSETS:	154-159
       TOKENS:	P9W38-P9W39
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAriq_1]
   UNSPLITVOC:	(bifAriq)
          POS:	PREP+NOUN
          VOC:	bi+fAriq
        GLOSS:	with/by+difference

 INPUT STRING:	ضئيل
     IS_TRANS:	D}yl
        INDEX:	P9W32
      OFFSETS:	160-164
       TOKENS:	P9W40-P9W40
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Da}iyl_1]
   UNSPLITVOC:	(Da}iyl)
          POS:	ADJ
          VOC:	Da}iyl
        GLOSS:	small/meager/sparse

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P9W33
      OFFSETS:	165-167
       TOKENS:	P9W41-P9W41
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	المرشح
     IS_TRANS:	Almr$H
        INDEX:	P9W34
      OFFSETS:	168-174
       TOKENS:	P9W42-P9W42
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aH)
          POS:	DET+ADJ
          VOC:	Al+mura$~aH
        GLOSS:	the+nominated/selected

 INPUT STRING:	حسني
     IS_TRANS:	Hsny
        INDEX:	P9W35
      OFFSETS:	175-179
       TOKENS:	P9W43-P9W43
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosny/Hosni

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P9W36
      OFFSETS:	180-185
       TOKENS:	P9W44-P9W44
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W37
      OFFSETS:	185-186
       TOKENS:	P9W45-P9W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اصابني
     IS_TRANS:	ASAbny
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSAb_1]
   UNSPLITVOC:	(>aSAbaniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	>aSAb+a+niy
        GLOSS:	strike/afflict+he/it [verb]+me

 INPUT STRING:	الذهول
     IS_TRANS:	Al*hwl
        INDEX:	P10W2
      OFFSETS:	7-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[*uhuwl_1]
   UNSPLITVOC:	(Al*uhuwl)
          POS:	DET+NOUN
          VOC:	Al+*uhuwl
        GLOSS:	the+numbness/indifference/confusion

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W3
      OFFSETS:	14-15
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	قفت
     IS_TRANS:	qft
        INDEX:	P10W4
      OFFSETS:	16-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qft)
          POS:	TYPO
          VOC:	qft
        GLOSS:	nogloss

 INPUT STRING:	عاجزا
     IS_TRANS:	EAjzA
        INDEX:	P10W5
      OFFSETS:	20-25
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjiz_1]
   UNSPLITVOC:	(EAjizAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	EAjiz+AF
        GLOSS:	incapable/incapacitated+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P10W6
      OFFSETS:	26-28
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P10W7
      OFFSETS:	29-35
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	فاتحا
     IS_TRANS:	fAtHA
        INDEX:	P10W8
      OFFSETS:	36-41
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAtiH_1]
   UNSPLITVOC:	(fAtiHAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	fAtiH+AF
        GLOSS:	opener/opening+[acc.indef.]

 INPUT STRING:	فمي
     IS_TRANS:	fmy
        INDEX:	P10W9
      OFFSETS:	42-45
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fam_1]
   UNSPLITVOC:	(famiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	fam+iy
        GLOSS:	mouth+my

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	تابعت
     IS_TRANS:	tAbEt
        INDEX:	P11W2
      OFFSETS:	3-8
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAbaE_1]
   UNSPLITVOC:	(tAbaEotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	tAbaE+tu
        GLOSS:	continue/follow/monitor+I [verb]

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P11W3
      OFFSETS:	9-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	pictures/photographs/illustrations/photos

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W4
      OFFSETS:	13-15
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاخبار
     IS_TRANS:	AlAxbAr
        INDEX:	P11W5
      OFFSETS:	16-23
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Al>axobAr)
          POS:	DET+NOUN
          VOC:	Al+>axobAr
        GLOSS:	the+news/reports

 INPUT STRING:	تظهر
     IS_TRANS:	tZhr
        INDEX:	P11W6
      OFFSETS:	24-28
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aZohar_1]
   UNSPLITVOC:	(tuZohiru)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	tu+Zohir+u
        GLOSS:	it/they/she+show/manifest/demonstrate+[ind.]

 INPUT STRING:	ايمن
     IS_TRANS:	Aymn
        INDEX:	P11W7
      OFFSETS:	29-33
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoman_1]
   UNSPLITVOC:	(>ayoman)
          POS:	NOUN_PROP
          VOC:	>ayoman
        GLOSS:	Ayman/Aiman

 INPUT STRING:	نور
     IS_TRANS:	nwr
        INDEX:	P11W8
      OFFSETS:	34-37
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(nuwr)
          POS:	NOUN_PROP
          VOC:	nuwr
        GLOSS:	Nour/Noor

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P11W9
      OFFSETS:	38-40
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	انصاره
     IS_TRANS:	AnSArh
        INDEX:	P11W10
      OFFSETS:	41-47
