 INPUT STRING:	إقتباس
   UNSPLITVOC:	(biAirotidA')
          POS:	PREP+NOUN
          VOC:	bi+{irotidA'
        GLOSS:	with/by+wearing/putting on

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P19W10
      OFFSETS:	60-62
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziy~_1]
   UNSPLITVOC:	(ziy~)
          POS:	NOUN
          VOC:	ziy~
        GLOSS:	uniform/clothing/fashion

 INPUT STRING:	فاضح
     IS_TRANS:	fADH
        INDEX:	P19W11
      OFFSETS:	63-67
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADiH_1]
   UNSPLITVOC:	(fADiH)
          POS:	ADJ
          VOC:	fADiH
        GLOSS:	scandalous

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W12
      OFFSETS:	68-70
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P19W13
      OFFSETS:	71-76
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	حجاب
     IS_TRANS:	HjAb
        INDEX:	P19W14
      OFFSETS:	77-81
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HijAb_1]
   UNSPLITVOC:	(HijAb)
          POS:	NOUN
          VOC:	HijAb
        GLOSS:	veil/veils

 INPUT STRING:	وإما
     IS_TRANS:	w<mA
        INDEX:	P20W1
      OFFSETS:	1-5
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(wi<im~A)
          POS:	CONJ+CONJ
          VOC:	wi+<im~A
        GLOSS:	and+Either, whether, if

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P20W2
      OFFSETS:	6-10
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P20W3
      OFFSETS:	11-14
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	لزومها
     IS_TRANS:	lzwmhA
        INDEX:	P20W4
      OFFSETS:	15-21
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luzuwm_1]
   UNSPLITVOC:	(luzuwmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	luzuwm+hA
        GLOSS:	requirement/necessity/exigency+its/their/her

 INPUT STRING:	القاونين
     IS_TRANS:	AlqAwnyn
        INDEX:	P20W5
      OFFSETS:	22-30
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqAwoniyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+qAwon+iyn
        GLOSS:	the+rules/regulations+two

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P20W6
      OFFSETS:	31-34
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	if

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P20W7
      OFFSETS:	35-37
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تطبق
     IS_TRANS:	tTbq
        INDEX:	P20W8
      OFFSETS:	38-42
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(tiTab~aq)
          POS:	IV3FS+IV
          VOC:	ti+Tab~aq
        GLOSS:	she/it+be applied/be implemented

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P20W9
      OFFSETS:	43-46
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الجميع
     IS_TRANS:	AljmyE
        INDEX:	P20W10
      OFFSETS:	47-53
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(AljamiyE)
          POS:	DET+NOUN
          VOC:	Al+jamiyE
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P21W1
      OFFSETS:	1-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P21W2
      OFFSETS:	4-8
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P21W3
      OFFSETS:	9-12
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	محترم
     IS_TRANS:	mHtrm
        INDEX:	P21W4
      OFFSETS:	13-18
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaram)
          POS:	ADJ
          VOC:	muHotaram
        GLOSS:	esteemed/respected

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P22W1
      OFFSETS:	1-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ياسلام
     IS_TRANS:	yAslAm
        INDEX:	P22W2
      OFFSETS:	4-10
       TOKENS:	P22W2-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(yAsalAm)
          POS:	VOC_PART+NOUN
          VOC:	yaA+salAm
        GLOSS:	oh+Salam

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P22W3
      OFFSETS:	11-13
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P22W4
      OFFSETS:	14-16
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P22W5
      OFFSETS:	17-20
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	اتطبق
     IS_TRANS:	AtTbq
        INDEX:	P22W6
      OFFSETS:	21-26
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(AitoTab~aq)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	AitoTab~aq+(null)
        GLOSS:	apply/implement/be applied/be implemented+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P22W7
      OFFSETS:	27-30
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P22W8
      OFFSETS:	31-33
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مواطنه
     IS_TRANS:	mwATnh
        INDEX:	P22W9
      OFFSETS:	34-40
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwATin_1]
   UNSPLITVOC:	(muwATinap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muwATin+ap
        GLOSS:	citizen+[fem.sg.]

 INPUT STRING:	عربيه
     IS_TRANS:	Erbyh
        INDEX:	P22W10
      OFFSETS:	41-46
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(Earabiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Earabiy~+ap
        GLOSS:	Arab/Arabic+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P22W11
      OFFSETS:	47-49
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P22W12
      OFFSETS:	50-54
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P23W1
      OFFSETS:	1-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W2
      OFFSETS:	4-6
       TOKENS:	P23W2-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P23W3
      OFFSETS:	7-11
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P23W4
      OFFSETS:	12-15
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P23W5
      OFFSETS:	16-19
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	بيعاقبوها
     IS_TRANS:	byEAqbwhA
        INDEX:	P23W6
      OFFSETS:	20-29
       TOKENS:	P23W7-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAqib_1]
   UNSPLITVOC:	(biyEAqbuwhA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	bi+y+EAqb+uwA+hA
        GLOSS:	[present-tense]+they+punish+we+it/them/her

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P23W7
      OFFSETS:	30-34
       TOKENS:	P23W10-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	لبست
     IS_TRANS:	lbst
        INDEX:	P23W8
      OFFSETS:	35-39
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libis_1]
   UNSPLITVOC:	(libosit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	libos+it
        GLOSS:	wear/put on+it/they/she

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P23W9
      OFFSETS:	40-43
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this way

 INPUT STRING:	بالجلد
     IS_TRANS:	bAljld
        INDEX:	P23W10
      OFFSETS:	44-50
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jalod_1]
   UNSPLITVOC:	(biAljalod)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+jalod
        GLOSS:	with/by+the+whipping/flogging

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P23W11
      OFFSETS:	51-53
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	so

 INPUT STRING:	مايتشطرو
     IS_TRANS:	mAyt$Trw
        INDEX:	P23W12
      OFFSETS:	54-62
       TOKENS:	P23W17-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ai$at~ar_1]
   UNSPLITVOC:	(mA_yit$TruwA)
          POS:	NEG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	mA+yi+t$Tr+uwA
        GLOSS:	not+they+be smart+we

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P23W13
      OFFSETS:	63-66
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so

 INPUT STRING:	ويكملو
     IS_TRANS:	wykmlw
        INDEX:	P23W14
      OFFSETS:	67-73
       TOKENS:	P23W20-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(wiyikam~iluwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+kam~il+uwA
        GLOSS:	and+they+resume/continue+we

 INPUT STRING:	جميلهم
     IS_TRANS:	jmylhm
        INDEX:	P23W15
      OFFSETS:	74-80
       TOKENS:	P23W22-P23W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jimiyl_1]
   UNSPLITVOC:	(jmylhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	jimiyl+hum
        GLOSS:	favor/beauty+their

 INPUT STRING:	ويعاقبو
     IS_TRANS:	wyEAqbw
        INDEX:	P23W16
      OFFSETS:	81-88
       TOKENS:	P23W24-P23W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAqib_1]
   UNSPLITVOC:	(wiyEAqbuwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+y+EAqb+uwA
        GLOSS:	and+they+punish+we

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P23W17
      OFFSETS:	89-93
       TOKENS:	P23W26-P23W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	بيسرق
     IS_TRANS:	bysrq
        INDEX:	P23W18
      OFFSETS:	94-99
       TOKENS:	P23W27-P23W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(biyisoraq)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+soraq
        GLOSS:	[present-tense]+he/it+accuse of theft

 INPUT STRING:	وبيزنى
     IS_TRANS:	wbyznY
        INDEX:	P23W19
      OFFSETS:	100-106
       TOKENS:	P23W29-P23W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zanay_1]
   UNSPLITVOC:	(wibiyizoniy)
          POS:	CONJ+PROG_PART+IV3MS+IV
          VOC:	wi+bi+yi+zoniy
        GLOSS:	and+[present-tense]+he/it+fornicate

 INPUT STRING:	وبيقتل
     IS_TRANS:	wbyqtl
        INDEX:	P23W20
      OFFSETS:	107-113
       TOKENS:	P23W32-P23W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(wibiyiqtl)
          POS:	CONJ+PROG_PART+IV3MS+IV
          VOC:	wi+bi+yi+qitl
        GLOSS:	and+[present-tense]+he/it+kill/murder

 INPUT STRING:	باللى
     IS_TRANS:	bAllY
        INDEX:	P23W21
      OFFSETS:	114-119
       TOKENS:	P23W35-P23W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(biAlliy)
          POS:	PREP+REL_PRON
          VOC:	bi+Alliy
        GLOSS:	with+what/that

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P23W22
      OFFSETS:	120-124
       TOKENS:	P23W37-P23W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P23W23
      OFFSETS:	125-128
       TOKENS:	P23W39-P23W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P23W24
      OFFSETS:	129-133
       TOKENS:	P23W40-P23W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he/it

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P24W1
      OFFSETS:	1-6
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+God

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P24W2
      OFFSETS:	7-10
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	اتصلح
     IS_TRANS:	AtSlH
        INDEX:	P24W3
      OFFSETS:	11-16
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoSalaH_1]
   UNSPLITVOC:	(AitoSalaH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AitoSalaH+(null)
        GLOSS:	be better+he/it

 INPUT STRING:	حالنا
     IS_TRANS:	HAlnA
        INDEX:	P24W4
      OFFSETS:	17-22
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HAl+nA
        GLOSS:	situation/condition/case/situations/conditions/cases+our

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P24W5
      OFFSETS:	23-25
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P25W1
      OFFSETS:	1-5
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	يادكتور
     IS_TRANS:	yAdktwr
        INDEX:	P25W2
      OFFSETS:	6-13
       TOKENS:	P25W2-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(yAdukotawr)
          POS:	VOC_PART+NOUN
          VOC:	yaA+dukotawr
        GLOSS:	oh+doctor

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P25W3
      OFFSETS:	14-17
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P25W4
      OFFSETS:	18-25
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

