 INPUT STRING:	ماتأخذونيش
   UNSPLITVOC:	(Als~uk~ar)
          POS:	DET+NOUN
          VOC:	Al+suk~ar
        GLOSS:	the+sugar

 INPUT STRING:	اسمة
     IS_TRANS:	Asmp
        INDEX:	P25W14
      OFFSETS:	70-74
       TOKENS:	P25W17-P25W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(Aisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Aisom+uh
        GLOSS:	name+his/its

 INPUT STRING:	رانديفو
     IS_TRANS:	rAndyfw
        INDEX:	P25W15
      OFFSETS:	75-82
       TOKENS:	P25W19-P25W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rAndyfw)
          POS:	FOREIGN
          VOC:	rAndyfw
        GLOSS:	nogloss

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P25W16
      OFFSETS:	83-89
       TOKENS:	P25W20-P25W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	بتسأل
     IS_TRANS:	bts>l
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(bitiso>al)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+so>al
        GLOSS:	[present-tense]+it/they/she+ask/inquire/request/be asked

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P26W2
      OFFSETS:	6-8
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القارىء
     IS_TRANS:	AlqArY'
        INDEX:	P26W3
      OFFSETS:	9-16
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAri}_1]
   UNSPLITVOC:	(AlqAri})
          POS:	DET+NOUN
          VOC:	Al+qAri}
        GLOSS:	the+reader

 INPUT STRING:	وتقولة
     IS_TRANS:	wtqwlp
        INDEX:	P26W4
      OFFSETS:	17-23
       TOKENS:	P26W5-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(witiquwluh)
          POS:	CONJ+IV3FS+IV+IVSUFF_DO:3MS
          VOC:	wi+ti+quwl+uh
        GLOSS:	and+it/she/they+said/say/be said/say/(for example)+it/him

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W5
      OFFSETS:	23-24
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W6
      OFFSETS:	24-25
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W7
      OFFSETS:	25-26
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بذمتك
     IS_TRANS:	b*mtk
        INDEX:	P26W8
      OFFSETS:	27-32
       TOKENS:	P26W11-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*im~ap_1]
   UNSPLITVOC:	(bi*im~itak)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	bi+*im~+ap+ak
        GLOSS:	with/by+protection/security+[fem.sg.]+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P26W9
      OFFSETS:	33-35
       TOKENS:	P26W14-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P26W10
      OFFSETS:	36-39
       TOKENS:	P26W15-P26W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	sheikh

 INPUT STRING:	عمرك
     IS_TRANS:	Emrk
        INDEX:	P26W11
      OFFSETS:	40-44
       TOKENS:	P26W16-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumorak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eumor+ak
        GLOSS:	age/life/ages/age groups+your

 INPUT STRING:	سمعت
     IS_TRANS:	smEt
        INDEX:	P26W12
      OFFSETS:	45-49
       TOKENS:	P26W18-P26W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[samaE_1]
   UNSPLITVOC:	(simiEt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	simiE+t
        GLOSS:	hear+you

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P26W13
      OFFSETS:	50-52
       TOKENS:	P26W19-P26W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P26W14
      OFFSETS:	53-57
       TOKENS:	P26W20-P26W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P26W15
      OFFSETS:	58-61
       TOKENS:	P26W21-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yatim~)
          POS:	IV3MS+IV
          VOC:	ya+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	الترتيب
     IS_TRANS:	Altrtyb
        INDEX:	P26W16
      OFFSETS:	62-69
       TOKENS:	P26W22-P26W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarotiyb_1]
   UNSPLITVOC:	(Alt~arotiyb)
          POS:	DET+NOUN
          VOC:	Al+tarotiyb
        GLOSS:	the+arrangement/organization/preparation/arrangements/preparations/organization

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P26W17
      OFFSETS:	70-73
       TOKENS:	P26W23-P26W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	وكأنها
     IS_TRANS:	wk>nhA
        INDEX:	P26W18
      OFFSETS:	74-80
       TOKENS:	P26W25-P26W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka>an~a_1]
   UNSPLITVOC:	(waka>an~ahA)
          POS:	CONJ+PSEUDO_VERB+PRON_3FS
          VOC:	wa+ka>an~a+hA
        GLOSS:	and+as if, as though, like+it/they/she

 INPUT STRING:	ميعاد
     IS_TRANS:	myEAd
        INDEX:	P26W19
      OFFSETS:	81-86
       TOKENS:	P26W28-P26W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyEAd_1]
   UNSPLITVOC:	(miyEAd)
          POS:	NOUN
          VOC:	miyEAd
        GLOSS:	appointment/appointed time

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P26W20
      OFFSETS:	87-89
       TOKENS:	P26W29-P26W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جروبى
     IS_TRANS:	jrwbY
        INDEX:	P26W21
      OFFSETS:	90-95
       TOKENS:	P26W30-P26W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juruwb~iy_1]
   UNSPLITVOC:	(juruwb~iy)
          POS:	NOUN_PROP
          VOC:	juruwb~iy
        GLOSS:	Groppi

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P26W22
      OFFSETS:	96-98
       TOKENS:	P26W31-P26W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	سيلنترو
     IS_TRANS:	sylntrw
        INDEX:	P26W23
      OFFSETS:	99-106
       TOKENS:	P26W32-P26W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sylantruw_1]
   UNSPLITVOC:	(sylantruw)
          POS:	NOUN_PROP
          VOC:	sylantruw
        GLOSS:	cilantro

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P26W24
      OFFSETS:	106-107
       TOKENS:	P26W33-P26W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W25
      OFFSETS:	107-108
       TOKENS:	P26W34-P26W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W26
      OFFSETS:	108-109
       TOKENS:	P26W35-P26W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	هجاوب
     IS_TRANS:	hjAwb
        INDEX:	P27W2
      OFFSETS:	4-9
       TOKENS:	P27W2-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAwib_1]
   UNSPLITVOC:	(HaAajAwb)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+jAwab
        GLOSS:	will+I+answer/reply

 INPUT STRING:	ببساطة
     IS_TRANS:	bbsATp
        INDEX:	P27W3
      OFFSETS:	10-16
       TOKENS:	P27W4-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basATap_1]
   UNSPLITVOC:	(bibasATap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+basAT+ap
        GLOSS:	with/by+frankness/sincerity/simplicity/plainness+[fem.sg.]

 INPUT STRING:	شديدة
     IS_TRANS:	$dydp
        INDEX:	P27W4
      OFFSETS:	17-22
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$idiyd_1]
   UNSPLITVOC:	($idiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$idiyd+ap
        GLOSS:	intense/strong/severe+[fem.sg.]

 INPUT STRING:	وأقولها
     IS_TRANS:	w>qwlhA
        INDEX:	P27W5
      OFFSETS:	23-30
       TOKENS:	P27W7-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wa>aquwlhA)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:3FS
          VOC:	wa+>a+quwl+hA
        GLOSS:	and+I+said/say/be said/say/(for example)+it/them/her

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P27W6
      OFFSETS:	31-33
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	عمري
     IS_TRANS:	Emry
        INDEX:	P27W7
      OFFSETS:	34-38
       TOKENS:	P27W11-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age/life/ages/age groups+my

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P27W8
      OFFSETS:	39-41
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	سمعت
     IS_TRANS:	smEt
        INDEX:	P27W9
      OFFSETS:	42-46
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(simiEt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	simiE+t
        GLOSS:	hear+I

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P27W10
      OFFSETS:	47-49
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P27W11
      OFFSETS:	50-54
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P27W12
      OFFSETS:	55-57
       TOKENS:	P27W17-P27W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P27W13
      OFFSETS:	58-60
       TOKENS:	P27W18-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P27W14
      OFFSETS:	61-64
       TOKENS:	P27W19-P27W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	هفكر
     IS_TRANS:	hfkr
        INDEX:	P27W15
      OFFSETS:	65-69
       TOKENS:	P27W21-P27W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(HaAafak~ar)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+fak~ar
        GLOSS:	will+I+think/consider/ponder

 INPUT STRING:	أشارك
     IS_TRANS:	>$Ark
        INDEX:	P27W16
      OFFSETS:	70-75
       TOKENS:	P27W23-P27W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Arik_1]
   UNSPLITVOC:	(Aa$Arik)
          POS:	IV1S+IV
          VOC:	Aa+$Arik
        GLOSS:	I+participate with/share with

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P27W17
      OFFSETS:	76-78
       TOKENS:	P27W24-P27W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تمثيلية
     IS_TRANS:	tmvylyp
        INDEX:	P27W18
      OFFSETS:	79-86
       TOKENS:	P27W25-P27W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamoviyliy~ap_1]
   UNSPLITVOC:	(tamoviyliy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tamoviyliy~+ap
        GLOSS:	serial/feature film+[fem.sg.]

 INPUT STRING:	بايخة
     IS_TRANS:	bAyxp
        INDEX:	P27W19
      OFFSETS:	87-92
       TOKENS:	P27W26-P27W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAyix_1]
   UNSPLITVOC:	(bAyoxap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	bAyox+ap
        GLOSS:	vapid+[fem.sg.]

 INPUT STRING:	بالشكل
     IS_TRANS:	bAl$kl
        INDEX:	P27W20
      OFFSETS:	93-99
       TOKENS:	P27W27-P27W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(biAl$~akol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+$akol
        GLOSS:	with/by+the+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P27W21
      OFFSETS:	100-102
       TOKENS:	P27W29-P27W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P28W2
      OFFSETS:	6-8
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	no/not

 INPUT STRING:	هيجيلي
     IS_TRANS:	hyjyly
        INDEX:	P28W3
      OFFSETS:	9-15
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hyjyly)
          POS:	NO_FUNC
          VOC:	hyjyly
        GLOSS:	nogloss

 INPUT STRING:	نوم
     IS_TRANS:	nwm
        INDEX:	P28W4
      OFFSETS:	16-19
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawm_1]
   UNSPLITVOC:	(nawm)
          POS:	NOUN
          VOC:	nawm
        GLOSS:	sleep

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P28W5
      OFFSETS:	20-23
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	without

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P28W6
      OFFSETS:	24-27
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	أعرف
     IS_TRANS:	>Erf
        INDEX:	P28W7
      OFFSETS:	28-32
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know/be known

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P28W8
      OFFSETS:	33-36
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P28W9
      OFFSETS:	37-40
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it

 INPUT STRING:	وبيحصل
     IS_TRANS:	wbyHSl
        INDEX:	P28W10
      OFFSETS:	41-47
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wbyHSl)
          POS:	NO_FUNC
          VOC:	wbyHSl
        GLOSS:	nogloss

 INPUT STRING:	هشوف
     IS_TRANS:	h$wf
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(HaAa$uwf)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+$uwf
        GLOSS:	will+I+look/see

 INPUT STRING:	السيناريو
     IS_TRANS:	AlsynAryw
        INDEX:	P29W2
      OFFSETS:	5-14
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynAriyuw_1]
   UNSPLITVOC:	(Als~iynAriyuw)
          POS:	DET+NOUN
          VOC:	Al+siynAriyuw
        GLOSS:	the+scenario

 INPUT STRING:	مشي
     IS_TRANS:	m$y
        INDEX:	P29W3
      OFFSETS:	15-18
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(mi$iy)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	mi$iy+(null)
        GLOSS:	adapt/adjust+[masc.sg.]

 INPUT STRING:	ازاي
     IS_TRANS:	AzAy
        INDEX:	P29W4
      OFFSETS:	19-23
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	REL_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	وأضحك
     IS_TRANS:	w>DHk
        INDEX:	P29W5
      OFFSETS:	24-29
       TOKENS:	P29W6-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
