 INPUT STRING:	هى
        GLOSS:	with/by+Islamic/Islamist/Muslim+[pl.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W5
      OFFSETS:	25-28
       TOKENS:	P15W6-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	ليبرالين
     IS_TRANS:	lybrAlyn
        INDEX:	P15W6
      OFFSETS:	29-37
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liybrAliy_1]
   UNSPLITVOC:	(liybrAliy~iyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	liybrAliy~+iyn
        GLOSS:	liberal+[pl.]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P15W7
      OFFSETS:	38-40
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P15W8
      OFFSETS:	41-43
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P15W9
      OFFSETS:	44-48
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	عماله
     IS_TRANS:	EmAlh
        INDEX:	P15W10
      OFFSETS:	49-54
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Alap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eam~Al+ap
        GLOSS:	continuing+[fem.sg.]

 INPUT STRING:	تفرقه
     IS_TRANS:	tfrqh
        INDEX:	P15W11
      OFFSETS:	55-60
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[far~aq_1]
   UNSPLITVOC:	(tifar~aqiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+far~aq+iy
        GLOSS:	you [fem.sg.]+separate/differentiate+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P15W12
      OFFSETS:	61-64
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P15W13
      OFFSETS:	65-69
       TOKENS:	P15W15-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all, entire, every, whole+our

 INPUT STRING:	مسلمين
     IS_TRANS:	mslmyn
        INDEX:	P15W14
      OFFSETS:	70-76
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolimiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	musolim+iyn
        GLOSS:	Muslim+[pl.]

 INPUT STRING:	موحدين
     IS_TRANS:	mwHdyn
        INDEX:	P15W15
      OFFSETS:	77-83
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaH~id_1]
   UNSPLITVOC:	(muwaH~idiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	muwaH~id+iyn
        GLOSS:	united/unified/standardized+[pl.]

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P15W16
      OFFSETS:	84-89
       TOKENS:	P15W19-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P16W1
      OFFSETS:	0-7
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P16W2
      OFFSETS:	8-10
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يكتبة
     IS_TRANS:	yktbp
        INDEX:	P16W3
      OFFSETS:	11-16
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(yikotibuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+kotib+uh
        GLOSS:	he/it+write/be written/be fated/be destined+it/him

 INPUT STRING:	برلمان
     IS_TRANS:	brlmAn
        INDEX:	P16W4
      OFFSETS:	17-23
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAn_1]
   UNSPLITVOC:	(barolamAn)
          POS:	NOUN
          VOC:	barolamAn
        GLOSS:	parliament

 INPUT STRING:	اختى
     IS_TRANS:	AxtY
        INDEX:	P16W5
      OFFSETS:	24-28
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>uxot+iy
        GLOSS:	sister/counterpart/sisters+my

 INPUT STRING:	الفاضله
     IS_TRANS:	AlfADlh
        INDEX:	P16W6
      OFFSETS:	29-36
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(AlfADilap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+fADil+ap
        GLOSS:	the+honorable/eminent+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W7
      OFFSETS:	36-37
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P17W1
      OFFSETS:	0-7
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P17W2
      OFFSETS:	8-10
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	مصدر
     IS_TRANS:	mSdr
        INDEX:	P17W3
      OFFSETS:	11-15
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSodar_1]
   UNSPLITVOC:	(maSodar)
          POS:	NOUN
          VOC:	maSodar
        GLOSS:	source

 INPUT STRING:	السلطات
     IS_TRANS:	AlslTAt
        INDEX:	P17W4
      OFFSETS:	16-23
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(AlsulTAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+sulT+At
        GLOSS:	the+authorities+[fem.pl.]

 INPUT STRING:	الثلاثة
     IS_TRANS:	AlvlAvp
        INDEX:	P17W5
      OFFSETS:	24-31
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[valAvap_1]
   UNSPLITVOC:	(Alv~alAvap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+valAv+ap
        GLOSS:	the+three+[fem.sg.]

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P18W1
      OFFSETS:	0-7
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P18W2
      OFFSETS:	8-10
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P18W3
      OFFSETS:	11-15
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	بيعطى
     IS_TRANS:	byETY
        INDEX:	P18W4
      OFFSETS:	16-21
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aETaY_1]
   UNSPLITVOC:	(biyiETiy)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+ETiy
        GLOSS:	[present-tense]+he/it+give/provide

 INPUT STRING:	البرلمان
     IS_TRANS:	AlbrlmAn
        INDEX:	P18W5
      OFFSETS:	22-30
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAn_1]
   UNSPLITVOC:	(AlbarolamAn)
          POS:	DET+NOUN
          VOC:	Al+barolamAn
        GLOSS:	the+parliament

 INPUT STRING:	الشريعية
     IS_TRANS:	Al$ryEyp
        INDEX:	P18W6
      OFFSETS:	31-39
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$arEiy~ap_1]
   UNSPLITVOC:	(Al$arEiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$arEiy~+ap
        GLOSS:	the+legitimacy/legality+[fem.sg.]

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P18W7
      OFFSETS:	40-44
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosa)
          POS:	CONJ+NEG_PART
          VOC:	wa+layosa
        GLOSS:	and+not

 INPUT STRING:	العكس
     IS_TRANS:	AlEks
        INDEX:	P18W8
      OFFSETS:	45-50
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(AlEakos)
          POS:	DET+NOUN
          VOC:	Al+Eakos
        GLOSS:	the+opposite/contrary

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W9
      OFFSETS:	51-52
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W10
      OFFSETS:	52-53
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P19W1
      OFFSETS:	0-5
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/which

 INPUT STRING:	عاوزين
     IS_TRANS:	EAwzyn
        INDEX:	P19W2
      OFFSETS:	6-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwoziyn)
          POS:	NOUN.VN+NSUFF_MASC_PL
          VOC:	EAwoz+iyn
        GLOSS:	person wanting/needing+[pl.]

 INPUT STRING:	يقدموا
     IS_TRANS:	yqdmwA
        INDEX:	P19W3
      OFFSETS:	13-19
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(yiqad~imuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+qad~im+uwA
        GLOSS:	they+offer/present/introduce+we

 INPUT STRING:	استقاله
     IS_TRANS:	AstqAlh
        INDEX:	P19W4
      OFFSETS:	20-27
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AisotiqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotiqAl+ap
        GLOSS:	resignation/retirement+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W5
      OFFSETS:	28-30
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P19W6
      OFFSETS:	31-35
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	زعلانين
     IS_TRANS:	zElAnyn
        INDEX:	P19W7
      OFFSETS:	36-43
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAniyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	zaEolAn+iyn
        GLOSS:	angry/annoyed+[pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W8
      OFFSETS:	44-46
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	نسبة
     IS_TRANS:	nsbp
        INDEX:	P19W9
      OFFSETS:	47-51
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(nisobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nisob+ap
        GLOSS:	ratio/rate/percentage figure+[fem.sg.]

 INPUT STRING:	الاسلاميين
     IS_TRANS:	AlAslAmyyn
        INDEX:	P19W10
      OFFSETS:	52-62
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AislAmiy_1]
   UNSPLITVOC:	(AlAislAmiy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+AislAmiy~+iyn
        GLOSS:	the+Islamic/Islamist/Muslim+[pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W11
      OFFSETS:	63-66
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P19W12
      OFFSETS:	67-69
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits

 INPUT STRING:	قولك
     IS_TRANS:	qwlk
        INDEX:	P19W13
      OFFSETS:	70-74
       TOKENS:	P19W15-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qawol_1]
   UNSPLITVOC:	(qawlak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	qawl+ak
        GLOSS:	statement/remark+your [masc.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P19W14
      OFFSETS:	75-77
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	زعلانين
     IS_TRANS:	zElAnyn
        INDEX:	P19W15
      OFFSETS:	78-85
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAniyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	zaEolAn+iyn
        GLOSS:	angry/annoyed+[pl.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P19W16
      OFFSETS:	86-90
       TOKENS:	P19W19-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	عاوزين
     IS_TRANS:	EAwzyn
        INDEX:	P19W17
      OFFSETS:	91-97
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAwoz+iyn
        GLOSS:	wanting/needing+[pl.]

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P19W18
      OFFSETS:	98-105
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	يكتب
     IS_TRANS:	yktb
        INDEX:	P19W19
      OFFSETS:	106-110
       TOKENS:	P19W23-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(yuktab)
          POS:	IV3MS+IV_PASS
          VOC:	yu+ktab
        GLOSS:	he/it+be written/be fated/be destined

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W20
      OFFSETS:	111-113
       TOKENS:	P19W24-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خارج
     IS_TRANS:	xArj
        INDEX:	P19W21
      OFFSETS:	114-118
       TOKENS:	P19W25-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(xArij)
          POS:	NOUN
          VOC:	xArij
        GLOSS:	outside/outer part/overseas/exterior

 INPUT STRING:	البرلمان
     IS_TRANS:	AlbrlmAn
        INDEX:	P19W22
      OFFSETS:	119-127
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAn_1]
   UNSPLITVOC:	(AlbarolamAn)
          POS:	DET+NOUN
          VOC:	Al+barolamAn
        GLOSS:	the+parliament

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P19W23
      OFFSETS:	128-131
       TOKENS:	P19W27-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	طوائف
     IS_TRANS:	TwA}f
        INDEX:	P19W24
      OFFSETS:	132-137
       TOKENS:	P19W29-P19W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TA}ifap_1]
   UNSPLITVOC:	(TawA}if)
          POS:	NOUN
          VOC:	TawA}if
        GLOSS:	sects/parties/factions

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P19W25
      OFFSETS:	138-143
       TOKENS:	P19W30-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	تمثله
     IS_TRANS:	tmvlh
        INDEX:	P19W26
      OFFSETS:	144-149
       TOKENS:	P19W31-P19W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mav~il_1]
   UNSPLITVOC:	(timav~iluh)
          POS:	IV3FS+IV+IVSUFF_DO:3MS
          VOC:	ti+mav~il+uh
        GLOSS:	it/they/she+represent/constitute/act+it/him

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	so/and+it/he

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P20W2
      OFFSETS:	4-7
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	دستور
     IS_TRANS:	dstwr
        INDEX:	P20W3
      OFFSETS:	8-13
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(dusotuwr)
          POS:	NOUN
          VOC:	dusotuwr
        GLOSS:	constitution/statute/constitutions/statutes

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P20W4
      OFFSETS:	14-17
