 INPUT STRING:	الحكومة
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P6W3
      OFFSETS:	8-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P6W4
      OFFSETS:	14-18
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self+its/his

 INPUT STRING:	بأعترض
     IS_TRANS:	b>EtrD
        INDEX:	P6W5
      OFFSETS:	19-25
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iEtaraD_1]
   UNSPLITVOC:	(b>aEotariD)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+>aEotariD
        GLOSS:	[present-tense]+I+oppose

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W6
      OFFSETS:	26-29
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اتخاذ
     IS_TRANS:	AtxA*
        INDEX:	P6W7
      OFFSETS:	30-35
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{it~ixA*_1]
   UNSPLITVOC:	(Ait~ixA*)
          POS:	NOUN.VN
          VOC:	{it~ixA*
        GLOSS:	taking/adoption

 INPUT STRING:	المرصد
     IS_TRANS:	AlmrSd
        INDEX:	P6W8
      OFFSETS:	36-42
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroSad_1]
   UNSPLITVOC:	(AlmaroSad)
          POS:	DET+NOUN
          VOC:	Al+maroSad
        GLOSS:	the+observatory/observation post

 INPUT STRING:	الإسلامى
     IS_TRANS:	Al<slAmY
        INDEX:	P6W9
      OFFSETS:	43-51
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(Al<isolAmiy)
          POS:	DET+ADJ
          VOC:	Al+<isolAmiy
        GLOSS:	the+Islamic/Islamist/Muslim

 INPUT STRING:	كمصر
     IS_TRANS:	kmSr
        INDEX:	P6W10
      OFFSETS:	52-56
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(kamiSor)
          POS:	PREP+NOUN_PROP
          VOC:	ka+miSor
        GLOSS:	like/such as+Egypt

 INPUT STRING:	للأخبار
     IS_TRANS:	ll>xbAr
        INDEX:	P6W11
      OFFSETS:	57-64
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(lilAxobAr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+AxobAr
        GLOSS:	for/to+the+news/report

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W12
      OFFSETS:	65-66
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W13
      OFFSETS:	66-67
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W14
      OFFSETS:	67-68
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W15
      OFFSETS:	68-69
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W16
      OFFSETS:	69-70
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فعندما
     IS_TRANS:	fEndmA
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EinodamA_1]
   UNSPLITVOC:	(faEindamA)
          POS:	CONJ+NOUN+CASE_DEF_ACC+SUB_CONJ
          VOC:	fa+Einod+a+mA
        GLOSS:	so/and+the time when+[def.acc.]+that

 INPUT STRING:	تأتى
     IS_TRANS:	t>tY
        INDEX:	P7W2
      OFFSETS:	7-11
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ataY-i_1]
   UNSPLITVOC:	(ta>otiy)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	ta+>otiy+(null)
        GLOSS:	it/they/she+arrive/come/reach+[ind.]

 INPUT STRING:	الأخبار
     IS_TRANS:	Al>xbAr
        INDEX:	P7W3
      OFFSETS:	12-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AlAxobAr)
          POS:	DET+NOUN
          VOC:	Al+AxobAr
        GLOSS:	the+news/report

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W4
      OFFSETS:	20-22
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ياسر
     IS_TRANS:	yAsr
        INDEX:	P7W5
      OFFSETS:	23-27
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAsir_1]
   UNSPLITVOC:	(yAsir)
          POS:	NOUN_PROP
          VOC:	yAsir
        GLOSS:	Yasser/Yasir

 INPUT STRING:	سرى
     IS_TRANS:	srY
        INDEX:	P7W6
      OFFSETS:	28-31
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sariy_1]
   UNSPLITVOC:	(sariy)
          POS:	NOUN_PROP
          VOC:	sariy
        GLOSS:	Sari

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W7
      OFFSETS:	32-33
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W8
      OFFSETS:	33-34
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W9
      OFFSETS:	34-35
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W10
      OFFSETS:	35-36
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W11
      OFFSETS:	36-37
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W12
      OFFSETS:	37-38
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وكلنا
     IS_TRANS:	wklnA
        INDEX:	P7W13
      OFFSETS:	39-44
       TOKENS:	P7W15-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wakul~nA)
          POS:	PART+NOUN_QUANT+POSS_PRON_1P
          VOC:	wa+kul~+nA
        GLOSS:	[part.]+all, entire, every, whole+our

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P7W14
      OFFSETS:	45-51
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P7W15
      OFFSETS:	52-55
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P7W16
      OFFSETS:	56-58
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	ياسر
     IS_TRANS:	yAsr
        INDEX:	P7W17
      OFFSETS:	59-63
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAsir_1]
   UNSPLITVOC:	(yAsir)
          POS:	NOUN_PROP
          VOC:	yAsir
        GLOSS:	Yasser/Yasir

 INPUT STRING:	سرى
     IS_TRANS:	srY
        INDEX:	P7W18
      OFFSETS:	64-67
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sariy_1]
   UNSPLITVOC:	(sariy)
          POS:	NOUN_PROP
          VOC:	sariy
        GLOSS:	Sari

 INPUT STRING:	ويبقى
     IS_TRANS:	wybqY
        INDEX:	P7W19
      OFFSETS:	68-73
       TOKENS:	P7W23-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(wiyiboqaY)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+boqaY
        GLOSS:	and+he/it+is/become

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P7W20
      OFFSETS:	74-77
       TOKENS:	P7W25-P7W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyoh_1]
   UNSPLITVOC:	(Aiyoh)
          POS:	INTERROG_PRON
          VOC:	Aiyoh
        GLOSS:	what

 INPUT STRING:	للجماعات
     IS_TRANS:	lljmAEAt
        INDEX:	P7W21
      OFFSETS:	78-86
       TOKENS:	P7W26-P7W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(liljamAEAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+jamAE+At
        GLOSS:	to/for+the+groups/parties/squads+[fem.pl.]

 INPUT STRING:	الإرهابية
     IS_TRANS:	Al<rhAbyp
        INDEX:	P7W22
      OFFSETS:	87-96
       TOKENS:	P7W28-P7W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irohAbiy_1]
   UNSPLITVOC:	(Al<irohAbiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<irohAbiy~+ap
        GLOSS:	the+terrorist+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W23
      OFFSETS:	97-99
       TOKENS:	P7W29-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P7W24
      OFFSETS:	100-103
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W25
      OFFSETS:	104-105
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W26
      OFFSETS:	105-106
       TOKENS:	P7W32-P7W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W27
      OFFSETS:	106-107
       TOKENS:	P7W33-P7W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فبتبقى
     IS_TRANS:	fbtbqY
        INDEX:	P7W28
      OFFSETS:	108-114
       TOKENS:	P7W34-P7W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(fabitiboqaY)
          POS:	CONJ+PROG_PART+IV2MS+IV
          VOC:	fa+bi+ti+boqaY
        GLOSS:	so/and+[present-tense]+you+be/become

 INPUT STRING:	الأخبار
     IS_TRANS:	Al>xbAr
        INDEX:	P7W29
      OFFSETS:	115-122
       TOKENS:	P7W37-P7W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AlAxobAr)
          POS:	DET+NOUN
          VOC:	Al+AxobAr
        GLOSS:	the+news/report

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P7W30
      OFFSETS:	123-125
       TOKENS:	P7W38-P7W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	مملؤة
     IS_TRANS:	mml&p
        INDEX:	P7W31
      OFFSETS:	126-131
       TOKENS:	P7W39-P7W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamolu&_1]
   UNSPLITVOC:	(mamolu&ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mamolu&+ap
        GLOSS:	filled+[fem.sg.]

 INPUT STRING:	بشحنات
     IS_TRANS:	b$HnAt
        INDEX:	P7W32
      OFFSETS:	132-138
       TOKENS:	P7W40-P7W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aHonap_1]
   UNSPLITVOC:	(bi$aHanAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+$aHan+At
        GLOSS:	with/by+freight/cargos/charges+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W33
      OFFSETS:	139-141
       TOKENS:	P7W42-P7W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الكراهية
     IS_TRANS:	AlkrAhyp
        INDEX:	P7W34
      OFFSETS:	142-150
       TOKENS:	P7W43-P7W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAhiy~ap_1]
   UNSPLITVOC:	(AlkarAhiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+karAhiy~+ap
        GLOSS:	the+antipathy/dislike+[fem.sg.]

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P7W35
      OFFSETS:	151-155
       TOKENS:	P7W44-P7W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(limiSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+miSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W36
      OFFSETS:	156-157
       TOKENS:	P7W46-P7W46
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ودمتم
     IS_TRANS:	wdmtm
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAm_1]
   UNSPLITVOC:	(wadumotum)
          POS:	CONJ+PV+PVSUFF_SUBJ:2P
          VOC:	wa+dum+tum
        GLOSS:	and+last/persevere/continue+you [masc.pl.] [verb]

 INPUT STRING:	تعليقا
     IS_TRANS:	tElyqA
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEoliyq_1]
   UNSPLITVOC:	(taEoliyq)
          POS:	NOUN.VN
          VOC:	taEoliyq
        GLOSS:	comment/remark/commentary

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W2
      OFFSETS:	7-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	يوسف
     IS_TRANS:	ywsf
        INDEX:	P9W3
      OFFSETS:	11-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwsif_1]
   UNSPLITVOC:	(yuwsif)
          POS:	NOUN_PROP
          VOC:	yuwsif
        GLOSS:	Yousif/Yusif/Joseph

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P9W4
      OFFSETS:	16-22
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+NOUN_PROP
          VOC:	Al+maSoriy
        GLOSS:	the+Masry

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P10W1
      OFFSETS:	0-7
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P10W2
      OFFSETS:	8-10
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P10W3
      OFFSETS:	11-16
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W4
      OFFSETS:	17-19
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحصل
     IS_TRANS:	AlHSl
        INDEX:	P10W5
      OFFSETS:	20-25
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlHSl)
          POS:	TYPO
          VOC:	AlHSl
        GLOSS:	nogloss

 INPUT STRING:	بسبب
     IS_TRANS:	bsbb
        INDEX:	P10W6
      OFFSETS:	26-30
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisabab)
          POS:	PREP+NOUN
          VOC:	bi+sabab
        GLOSS:	with/by+reason/cause/because of/due to

 INPUT STRING:	سياستها
     IS_TRANS:	syAsthA
        INDEX:	P10W7
      OFFSETS:	31-38
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siyAsat_1]
   UNSPLITVOC:	(siyAsithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	siyAs+at+hA
        GLOSS:	politics+[fem.sg.]+its/their/her

 INPUT STRING:	الخاطئة
     IS_TRANS:	AlxAT}p
        INDEX:	P10W8
      OFFSETS:	39-46
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xATi}_1]
   UNSPLITVOC:	(AlxATi}ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xATi}+ap
        GLOSS:	the+mistaken/at fault+[fem.sg.]

 INPUT STRING:	جهاز
     IS_TRANS:	jhAz
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihAz_1]
   UNSPLITVOC:	(jihAz)
          POS:	NOUN
          VOC:	jihAz
        GLOSS:	machine/apparatus/device/appliance/system/equipment/machines/equipment/devices/appliances

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P11W2
      OFFSETS:	5-11
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	يسري
