 INPUT STRING:	اغلب
      OFFSETS:	5-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	الاثار
     IS_TRANS:	AlAvAr
        INDEX:	P10W3
      OFFSETS:	9-15
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(Al|vAr)
          POS:	DET+NOUN
          VOC:	Al+|vAr
        GLOSS:	the+antiquities

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المتاحف
     IS_TRANS:	AlmtAHf
        INDEX:	P11W2
      OFFSETS:	3-10
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[matoHaf_1]
   UNSPLITVOC:	(AlmatAHif)
          POS:	DET+NOUN
          VOC:	Al+matAHif
        GLOSS:	the+museums

 INPUT STRING:	الاجنبيه
     IS_TRANS:	AlAjnbyh
        INDEX:	P11W3
      OFFSETS:	11-19
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajonabiy_1]
   UNSPLITVOC:	(Al>ajonabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>ajonabiy~+ap
        GLOSS:	the+foreign+[fem.sg.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	بيسرقوا
     IS_TRANS:	bysrqwA
        INDEX:	P12W3
      OFFSETS:	10-17
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(biyisoraquwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+soraq+uwA
        GLOSS:	[present-tense]+they+steal+we

 INPUT STRING:	حضارتنا
     IS_TRANS:	HDArtnA
        INDEX:	P12W4
      OFFSETS:	18-25
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaDArap_1]
   UNSPLITVOC:	(HaDAratnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	HaDAr+at+nA
        GLOSS:	civilization/culture+[fem.sg.]+our

 INPUT STRING:	وتراثنا
     IS_TRANS:	wtrAvnA
        INDEX:	P12W5
      OFFSETS:	26-33
       TOKENS:	P12W7-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[turAv_1]
   UNSPLITVOC:	(witurAvnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wa+turAv+nA
        GLOSS:	and+heritage/inheritance+our

 INPUT STRING:	وتاريخنا
     IS_TRANS:	wtAryxnA
        INDEX:	P12W6
      OFFSETS:	34-42
       TOKENS:	P12W10-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(witAriyxnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+tAriyx+nA
        GLOSS:	and+date/history+our

 INPUT STRING:	تحياتي
     IS_TRANS:	tHyAty
        INDEX:	P13W1
      OFFSETS:	0-6
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P13W2
      OFFSETS:	7-10
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lakum)
          POS:	PREP+PRON_2P
          VOC:	la+kum
        GLOSS:	to/for+you [masc.pl.]

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	نصار
     IS_TRANS:	nSAr
        INDEX:	P14W2
      OFFSETS:	5-9
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~Ar_1]
   UNSPLITVOC:	(naS~Ar)
          POS:	NOUN_PROP
          VOC:	naS~Ar
        GLOSS:	Nassar

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	معك
     IS_TRANS:	mEk
        INDEX:	P15W2
      OFFSETS:	6-9
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	maEa+ak
        GLOSS:	with+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P15W3
      OFFSETS:	10-12
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W4
      OFFSETS:	12-13
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W5
      OFFSETS:	13-14
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	PART+PRON_1S
          VOC:	wi+AnA
        GLOSS:	[part.]+I

 INPUT STRING:	شفت
     IS_TRANS:	$ft
        INDEX:	P16W2
      OFFSETS:	5-8
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uft)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	$uf+t
        GLOSS:	look+I

 INPUT STRING:	اشيا
     IS_TRANS:	A$yA
        INDEX:	P16W3
      OFFSETS:	9-13
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ay'_1]
   UNSPLITVOC:	(>a$oyA)
          POS:	NOUN
          VOC:	>a$oyA
        GLOSS:	something/thing/things

 INPUT STRING:	بالهبل
     IS_TRANS:	bAlhbl
        INDEX:	P16W4
      OFFSETS:	14-20
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahobal_1]
   UNSPLITVOC:	(biAlhibol)
          POS:	PREP+DET+ADJ
          VOC:	bi+Al+hibol
        GLOSS:	with/by+the+dim-witted/imbecile/dim-witted/imbeciles

 INPUT STRING:	بمتحف
     IS_TRANS:	bmtHf
        INDEX:	P16W5
      OFFSETS:	21-26
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[matoHaf_1]
   UNSPLITVOC:	(bimatoHaf)
          POS:	PREP+NOUN
          VOC:	bi+matoHaf
        GLOSS:	with/by+museum

 INPUT STRING:	بالمانيا
     IS_TRANS:	bAlmAnyA
        INDEX:	P16W6
      OFFSETS:	27-35
       TOKENS:	P16W9-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AalomAnoyA_1]
   UNSPLITVOC:	(biAlomAnoyA)
          POS:	PREP+NOUN_PROP
          VOC:	bi+AlomAnoyA
        GLOSS:	with/by+Germany

 INPUT STRING:	ومتحف
     IS_TRANS:	wmtHf
        INDEX:	P16W7
      OFFSETS:	36-41
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[matoHaf_1]
   UNSPLITVOC:	(wimatoHaf)
          POS:	CONJ+NOUN
          VOC:	wi+matoHaf
        GLOSS:	and+museum

 INPUT STRING:	بالدانمارك
     IS_TRANS:	bAldAnmArk
        INDEX:	P16W8
      OFFSETS:	42-52
       TOKENS:	P16W13-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAnimArok_1]
   UNSPLITVOC:	(biAld~AnimArok)
          POS:	PREP+DET+NOUN_PROP
          VOC:	bi+Al+dAnimArok
        GLOSS:	with/by+the+Denmark

 INPUT STRING:	وبولونيا
     IS_TRANS:	wbwlwnyA
        INDEX:	P16W9
      OFFSETS:	53-61
       TOKENS:	P16W15-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwluwniyA_1]
   UNSPLITVOC:	(wibuwluwniyA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+buwluwniyA
        GLOSS:	and+Bologna

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W10
      OFFSETS:	61-62
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W11
      OFFSETS:	62-63
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وفيها
     IS_TRANS:	wfyhA
        INDEX:	P16W12
      OFFSETS:	64-69
       TOKENS:	P16W19-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiyhA)
          POS:	CONJ+PREP+PRON_3FS
          VOC:	wa+fiy+hA
        GLOSS:	and+in+it/she/they

 INPUT STRING:	اثار
     IS_TRANS:	AvAr
        INDEX:	P16W13
      OFFSETS:	70-74
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(|vAr)
          POS:	NOUN
          VOC:	|vAr
        GLOSS:	antiquities

 INPUT STRING:	مصرية
     IS_TRANS:	mSryp
        INDEX:	P16W14
      OFFSETS:	75-80
       TOKENS:	P16W23-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maSoriy~+ap
        GLOSS:	Egyptian+[fem.sg.]

 INPUT STRING:	كتيررررر
     IS_TRANS:	ktyrrrrr
        INDEX:	P16W15
      OFFSETS:	81-89
       TOKENS:	P16W24-P16W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kitiyrrrrr)
          POS:	ADJ
          VOC:	kitiyrrrrr
        GLOSS:	many/much

 INPUT STRING:	واعدادها
     IS_TRANS:	wAEdAdhA
        INDEX:	P16W16
      OFFSETS:	90-98
       TOKENS:	P16W25-P16W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(wiAEodAdhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+AEodAd+hA
        GLOSS:	and+number/numbers+its/their/her

 INPUT STRING:	رهيبة
     IS_TRANS:	rhybp
        INDEX:	P16W17
      OFFSETS:	99-104
       TOKENS:	P16W28-P16W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rahiyb_1]
   UNSPLITVOC:	(rahiybap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rahiyb+ap
        GLOSS:	dreadful/fearful/serious+[fem.sg.]

 INPUT STRING:	وتفوق
     IS_TRANS:	wtfwq
        INDEX:	P16W18
      OFFSETS:	105-110
       TOKENS:	P16W29-P16W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAq_1]
   UNSPLITVOC:	(witifuwq)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+fuwq
        GLOSS:	and+you+surpass/excel

 INPUT STRING:	الخيال
     IS_TRANS:	AlxyAl
        INDEX:	P16W19
      OFFSETS:	111-117
       TOKENS:	P16W31-P16W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayAl_1]
   UNSPLITVOC:	(AlxayAl)
          POS:	DET+NOUN
          VOC:	Al+xayAl
        GLOSS:	the+imagination/fantasy

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W20
      OFFSETS:	117-118
       TOKENS:	P16W32-P16W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P16W21
      OFFSETS:	118-119
       TOKENS:	P16W33-P16W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وفيه
     IS_TRANS:	wfyh
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiyh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+fiy+uh
        GLOSS:	and+in+it/he

 INPUT STRING:	اثار
     IS_TRANS:	AvAr
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avar_1]
   UNSPLITVOC:	(|vAr)
          POS:	NOUN
          VOC:	|vAr
        GLOSS:	antiquities

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W3
      OFFSETS:	10-12
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P17W4
      OFFSETS:	13-16
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(duwal)
          POS:	NOUN
          VOC:	duwal
        GLOSS:	state/country/states/countries

 INPUT STRING:	اخرى
     IS_TRANS:	AxrY
        INDEX:	P17W5
      OFFSETS:	17-21
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P17W6
      OFFSETS:	22-26
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W7
      OFFSETS:	26-27
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W8
      OFFSETS:	27-28
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	1
     IS_TRANS:	1
        INDEX:	P18W1
      OFFSETS:	0-1
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1)
          POS:	NOUN_NUM
          VOC:	1
        GLOSS:	1

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W2
      OFFSETS:	1-2
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P18W3
      OFFSETS:	3-5
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P18W4
      OFFSETS:	6-10
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(AaEolam)
          POS:	IV1S+IV
          VOC:	Aa+Eolam
        GLOSS:	I+know/find out

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P18W5
      OFFSETS:	11-13
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P18W6
      OFFSETS:	14-16
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	باعوا
     IS_TRANS:	bAEwA
        INDEX:	P18W7
      OFFSETS:	17-22
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAE_1]
   UNSPLITVOC:	(bAEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	bAE+uwA
        GLOSS:	sell+they

 INPUT STRING:	هالاثار
     IS_TRANS:	hAlAvAr
        INDEX:	P18W8
      OFFSETS:	23-30
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hAlAvAr)
          POS:	NO_FUNC
          VOC:	hAlAvAr
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W9
      OFFSETS:	30-31
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W10
      OFFSETS:	31-32
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W11
      OFFSETS:	32-33
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P19W1
      OFFSETS:	0-1
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W2
      OFFSETS:	1-2
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P19W3
      OFFSETS:	3-5
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	الثار
     IS_TRANS:	AlvAr
        INDEX:	P19W4
      OFFSETS:	6-11
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlvAr)
          POS:	TYPO
          VOC:	AlvAr
        GLOSS:	nogloss

 INPUT STRING:	سرقت
     IS_TRANS:	srqt
        INDEX:	P19W5
      OFFSETS:	12-16
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(suriqat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	suriq+it
        GLOSS:	stolen+it/they/she

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W6
      OFFSETS:	17-19
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P19W7
      OFFSETS:	20-23
       TOKENS:	P19W7-P19W7
