 INPUT STRING:	اعتقد
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(dirAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dirAs+ap
        GLOSS:	study/studies/research+[fem.sg.]

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P18W3
      OFFSETS:	11-16
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	new/modern+[fem.sg.]

 INPUT STRING:	للدكتور
     IS_TRANS:	lldktwr
        INDEX:	P18W4
      OFFSETS:	17-24
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(lild~ukotawr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+dukotawr
        GLOSS:	for/to+the+doctor

 INPUT STRING:	عزة
     IS_TRANS:	Ezp
        INDEX:	P18W5
      OFFSETS:	25-28
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaz~ap_1]
   UNSPLITVOC:	(Eaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Eaz~+ap
        GLOSS:	Azza+[fem.sg.]

 INPUT STRING:	كريم
     IS_TRANS:	krym
        INDEX:	P18W6
      OFFSETS:	29-33
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kariym_1]
   UNSPLITVOC:	(kariym)
          POS:	NOUN_PROP
          VOC:	kariym
        GLOSS:	Karim

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P18W7
      OFFSETS:	33-34
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	أستاذ
     IS_TRANS:	>stA*
        INDEX:	P18W8
      OFFSETS:	35-40
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(>usotA*)
          POS:	NOUN
          VOC:	>usotA*
        GLOSS:	professor

 INPUT STRING:	علم
     IS_TRANS:	Elm
        INDEX:	P18W9
      OFFSETS:	41-44
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(Eilom)
          POS:	NOUN
          VOC:	Eilom
        GLOSS:	knowledge

 INPUT STRING:	الاجتماع
     IS_TRANS:	AlAjtmAE
        INDEX:	P18W10
      OFFSETS:	45-53
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAE_1]
   UNSPLITVOC:	(AlAijotimAE)
          POS:	DET+NOUN
          VOC:	Al+AijotimAE
        GLOSS:	the+meeting/gathering/society

 INPUT STRING:	بالمركز
     IS_TRANS:	bAlmrkz
        INDEX:	P18W11
      OFFSETS:	54-61
       TOKENS:	P18W12-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaz_1]
   UNSPLITVOC:	(biAlmarokaz)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+marokaz
        GLOSS:	with/by+the+center/station

 INPUT STRING:	القومي
     IS_TRANS:	Alqwmy
        INDEX:	P18W12
      OFFSETS:	62-68
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy_1]
   UNSPLITVOC:	(Alqawmiy)
          POS:	DET+ADJ
          VOC:	Al+qawmiy
        GLOSS:	the+national

 INPUT STRING:	للبحوث
     IS_TRANS:	llbHwv
        INDEX:	P18W13
      OFFSETS:	69-75
       TOKENS:	P18W15-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHov_1]
   UNSPLITVOC:	(lilbuHuwv)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+buHuwv
        GLOSS:	for/to+the+search/examination/research

 INPUT STRING:	الاجتماعية
     IS_TRANS:	AlAjtmAEyp
        INDEX:	P18W14
      OFFSETS:	76-86
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAEiy_1]
   UNSPLITVOC:	(AlAijotimAEiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AijotimAEiy~+ap
        GLOSS:	the+social+[fem.sg.]

 INPUT STRING:	والجنائية
     IS_TRANS:	wAljnA}yp
        INDEX:	P18W15
      OFFSETS:	87-96
       TOKENS:	P18W18-P18W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinA}iy_1]
   UNSPLITVOC:	(wiAljinA}iy~ap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wi+Al+jinA}iy~+ap
        GLOSS:	and+the+criminal+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P18W16
      OFFSETS:	96-97
       TOKENS:	P18W20-P18W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P18W17
      OFFSETS:	98-100
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	ارتفاع
     IS_TRANS:	ArtfAE
        INDEX:	P18W18
      OFFSETS:	101-107
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AirotifAE_1]
   UNSPLITVOC:	(AirotifAE)
          POS:	NOUN
          VOC:	AirotifAE
        GLOSS:	encrease

 INPUT STRING:	نسبة
     IS_TRANS:	nsbp
        INDEX:	P18W19
      OFFSETS:	108-112
       TOKENS:	P18W23-P18W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(nisobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nisob+ap
        GLOSS:	ratio/rate/percentage figure+[fem.sg.]

 INPUT STRING:	الطلاق
     IS_TRANS:	AlTlAq
        INDEX:	P18W20
      OFFSETS:	113-119
       TOKENS:	P18W24-P18W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TalAq_1]
   UNSPLITVOC:	(AlT~alAq)
          POS:	DET+NOUN
          VOC:	Al+TalAq
        GLOSS:	the+divorce

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W21
      OFFSETS:	120-122
       TOKENS:	P18W25-P18W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P18W22
      OFFSETS:	123-126
       TOKENS:	P18W26-P18W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P18W23
      OFFSETS:	127-130
       TOKENS:	P18W27-P18W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	45
     IS_TRANS:	45
        INDEX:	P18W24
      OFFSETS:	131-133
       TOKENS:	P18W28-P18W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(45)
          POS:	NOUN_NUM
          VOC:	45
        GLOSS:	45

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P18W25
      OFFSETS:	133-134
       TOKENS:	P18W29-P18W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W26
      OFFSETS:	135-137
       TOKENS:	P18W30-P18W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P18W27
      OFFSETS:	138-141
       TOKENS:	P18W31-P18W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
          VOC:	EAm
        GLOSS:	year/years

 INPUT STRING:	2008
     IS_TRANS:	2008
        INDEX:	P18W28
      OFFSETS:	142-146
       TOKENS:	P18W32-P18W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2008)
          POS:	NOUN_NUM
          VOC:	2008
        GLOSS:	2008

 INPUT STRING:	بزيادة
     IS_TRANS:	bzyAdp
        INDEX:	P18W29
      OFFSETS:	147-153
       TOKENS:	P18W33-P18W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyAdap_1]
   UNSPLITVOC:	(biziyAdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+ziyAd+ap
        GLOSS:	with/by+increase/addition+[fem.sg.]

 INPUT STRING:	قدرها
     IS_TRANS:	qdrhA
        INDEX:	P18W30
      OFFSETS:	154-159
       TOKENS:	P18W35-P18W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qador_1]
   UNSPLITVOC:	(qadorhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	qador+hA
        GLOSS:	volume+its/their/her

 INPUT STRING:	20
     IS_TRANS:	20
        INDEX:	P18W31
      OFFSETS:	160-162
       TOKENS:	P18W37-P18W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(20)
          POS:	NOUN_NUM
          VOC:	20
        GLOSS:	20

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P18W32
      OFFSETS:	162-163
       TOKENS:	P18W38-P18W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P18W33
      OFFSETS:	164-166
       TOKENS:	P18W39-P18W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P18W34
      OFFSETS:	167-170
       TOKENS:	P18W40-P18W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
          VOC:	EAm
        GLOSS:	year/years

 INPUT STRING:	1980
     IS_TRANS:	1980
        INDEX:	P18W35
      OFFSETS:	171-175
       TOKENS:	P18W41-P18W41
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1980)
          POS:	NOUN_NUM
          VOC:	1980
        GLOSS:	1980

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W36
      OFFSETS:	175-176
       TOKENS:	P18W42-P18W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P19W1
      OFFSETS:	0-1
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P19W2
      OFFSETS:	1-2
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لذلك
     IS_TRANS:	l*lk
        INDEX:	P19W3
      OFFSETS:	3-7
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(li*`lika)
          POS:	PREP+DEM_PRON_MS
          VOC:	li+*`lika
        GLOSS:	for/to+that

 INPUT STRING:	اتمني
     IS_TRANS:	Atmny
        INDEX:	P19W4
      OFFSETS:	8-13
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoman~aY_1]
   UNSPLITVOC:	(Aatoman~aY)
          POS:	IV1S+IV
          VOC:	Aa+toman~aY
        GLOSS:	I+wish

 INPUT STRING:	منكم
     IS_TRANS:	mnkm
        INDEX:	P19W5
      OFFSETS:	14-18
       TOKENS:	P19W6-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minkum)
          POS:	PREP+PRON_2P
          VOC:	min+kum
        GLOSS:	from+you

 INPUT STRING:	المشاركه
     IS_TRANS:	Alm$Arkh
        INDEX:	P19W6
      OFFSETS:	19-27
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+Gloss:TBA+[fem.sg.]

 INPUT STRING:	والحوار
     IS_TRANS:	wAlHwAr
        INDEX:	P19W7
      OFFSETS:	28-35
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(wiAlHiwAr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+HiwAr
        GLOSS:	and+the+conversation/dialogue/discussion/dialogue/discussions/talks

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W8
      OFFSETS:	36-38
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P19W9
      OFFSETS:	39-42
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(tiloka)
          POS:	DEM_PRON_F
          VOC:	tiloka
        GLOSS:	that/those

 INPUT STRING:	الظاهره
     IS_TRANS:	AlZAhrh
        INDEX:	P19W10
      OFFSETS:	43-50
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAhirap_1]
   UNSPLITVOC:	(AlZ~Ahirap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ZAhir+ap
        GLOSS:	the+phenomenon/phenomena+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W11
      OFFSETS:	51-53
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مجتمعنا
     IS_TRANS:	mjtmEnA
        INDEX:	P19W12
      OFFSETS:	54-61
       TOKENS:	P19W15-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mujtamaE_1]
   UNSPLITVOC:	(mujtamaEnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	mujtamaE+nA
        GLOSS:	community+our

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[halo_1]
   UNSPLITVOC:	(wahalo)
          POS:	CONJ+INTERROG_PART
          VOC:	wa+halo
        GLOSS:	and+do?/is?

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P20W2
      OFFSETS:	4-11
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+community

 INPUT STRING:	لديه
     IS_TRANS:	ldyh
        INDEX:	P20W3
      OFFSETS:	12-16
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladayhi)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ladaY+hi
        GLOSS:	with/by+it/him

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P20W4
      OFFSETS:	17-21
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+right, prerogative, truth

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P20W5
      OFFSETS:	22-24
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ادانه
     IS_TRANS:	AdAnh
        INDEX:	P20W6
      OFFSETS:	25-30
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idAnap_1]
   UNSPLITVOC:	(<idAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<idAn+ap
        GLOSS:	condemnation/censure+[fem.sg.]

 INPUT STRING:	المراه
     IS_TRANS:	AlmrAh
        INDEX:	P20W7
      OFFSETS:	31-37
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	المطلقه
     IS_TRANS:	AlmTlqh
        INDEX:	P20W8
      OFFSETS:	38-45
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmuTal~aq_1]
   UNSPLITVOC:	(AlmuTal~aqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muTal~aq+ap
        GLOSS:	the+divorced+[fem.sg.]

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[halo_1]
   UNSPLITVOC:	(wahalo)
          POS:	CONJ+INTERROG_PART
          VOC:	wa+halo
        GLOSS:	and+do?/is?

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P21W2
      OFFSETS:	4-8
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P21W3
      OFFSETS:	9-15
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	المطلقة
     IS_TRANS:	AlmTlqp
        INDEX:	P21W4
      OFFSETS:	16-23
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmuTal~aq_1]
   UNSPLITVOC:	(AlmuTal~aqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muTal~aq+ap
        GLOSS:	the+divorced+[fem.sg.]

 INPUT STRING:	تؤثر
     IS_TRANS:	t&vr
        INDEX:	P21W5
      OFFSETS:	24-28
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>av~ar_1]
   UNSPLITVOC:	(ti&av~ir)
          POS:	IV3FS+IV
          VOC:	ti+&av~ir
        GLOSS:	it/they/she+affect

 INPUT STRING:	سلبا
     IS_TRANS:	slbA
        INDEX:	P21W6
      OFFSETS:	29-33
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salob_1]
   UNSPLITVOC:	(salobAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	salob+AF
        GLOSS:	negatively+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P21W7
      OFFSETS:	34-37
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	سمعة
     IS_TRANS:	smEp
        INDEX:	P21W8
      OFFSETS:	38-42
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sumoEap_1]
   UNSPLITVOC:	(sumoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sumoE+ap
        GLOSS:	reputation/renown/fame+[fem.sg.]

 INPUT STRING:	اهلها
     IS_TRANS:	AhlhA
        INDEX:	P21W9
      OFFSETS:	43-48
       TOKENS:	P21W10-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>ahol+hA
        GLOSS:	family/people/people/families/folk/families/indigenous people+its/their/her

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P21W10
      OFFSETS:	49-52
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(wamano)
          POS:	CONJ+REL_PRON
          VOC:	wa+mano
        GLOSS:	and+who/whom

 INPUT STRING:	حولها
     IS_TRANS:	HwlhA
        INDEX:	P21W11
      OFFSETS:	53-58
       TOKENS:	P21W14-P21W15
