 INPUT STRING:	تفجير
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(AlvAlivap)
          POS:	DET+ADJ_NUM+NSUFF_FEM_SG
          VOC:	Al+vAliv+ap
        GLOSS:	the+third+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W23
      OFFSETS:	114-116
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ضمن
     IS_TRANS:	Dmn
        INDEX:	P2W24
      OFFSETS:	117-120
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dimon_1]
   UNSPLITVOC:	(Dimon)
          POS:	NOUN
          VOC:	Dimon
        GLOSS:	among

 INPUT STRING:	12
     IS_TRANS:	12
        INDEX:	P2W25
      OFFSETS:	121-123
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(12)
          POS:	NOUN_NUM
          VOC:	12
        GLOSS:	12

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P2W26
      OFFSETS:	124-127
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P2W27
      OFFSETS:	128-130
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	تفجير
     IS_TRANS:	tfjyr
        INDEX:	P2W28
      OFFSETS:	131-136
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafojiyr_1]
   UNSPLITVOC:	(tafojiyr)
          POS:	NOUN
          VOC:	tafojiyr
        GLOSS:	blowing up/exploding/detonating/explosion

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P2W29
      OFFSETS:	137-141
       TOKENS:	P2W35-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+they

 INPUT STRING:	خط
     IS_TRANS:	xT
        INDEX:	P2W30
      OFFSETS:	142-144
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaT~_1]
   UNSPLITVOC:	(xaT~)
          POS:	NOUN
          VOC:	xaT~
        GLOSS:	line

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P2W31
      OFFSETS:	145-150
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	العربي
     IS_TRANS:	AlErby
        INDEX:	P2W32
      OFFSETS:	151-157
       TOKENS:	P2W39-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+ADJ
          VOC:	Al+Earabiy
        GLOSS:	the+Arab/Arabic

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P2W33
      OFFSETS:	157-158
       TOKENS:	P2W40-P2W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W34
      OFFSETS:	159-160
       TOKENS:	P2W41-P2W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	نقلا
     IS_TRANS:	nqlA
        INDEX:	P2W35
      OFFSETS:	161-165
       TOKENS:	P2W42-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naql_1]
   UNSPLITVOC:	(naqlAF)
          POS:	NOUN.VN+CASE_INDEF_ACC
          VOC:	naql+AF
        GLOSS:	copying+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W36
      OFFSETS:	166-168
       TOKENS:	P2W43-P2W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	المراسلين
     IS_TRANS:	AlmrAslyn
        INDEX:	P2W37
      OFFSETS:	169-178
       TOKENS:	P2W44-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murAsil_1]
   UNSPLITVOC:	(AlmurAsiliyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+murAsil+iyn
        GLOSS:	the+correspondent+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W38
      OFFSETS:	179-181
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سكان
     IS_TRANS:	skAn
        INDEX:	P2W39
      OFFSETS:	182-186
       TOKENS:	P2W46-P2W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(suk~An)
          POS:	NOUN
          VOC:	suk~An
        GLOSS:	residents/inhabitants

 INPUT STRING:	المنطقة
     IS_TRANS:	AlmnTqp
        INDEX:	P2W40
      OFFSETS:	187-194
       TOKENS:	P2W47-P2W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqap_1]
   UNSPLITVOC:	(AlmanoTiqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+manoTiq+ap
        GLOSS:	the+area/zone/territory+[fem.sg.]

 INPUT STRING:	بان
     IS_TRANS:	bAn
        INDEX:	P2W41
      OFFSETS:	195-198
       TOKENS:	P2W48-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(bi<in~)
          POS:	PREP+SUB_CONJ
          VOC:	bi+<in~
        GLOSS:	with+that

 INPUT STRING:	السنة
     IS_TRANS:	Alsnp
        INDEX:	P2W42
      OFFSETS:	199-204
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lisAn_1]
   UNSPLITVOC:	(>alosinap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>alosin+ap
        GLOSS:	tongues+[fem.sg.]

 INPUT STRING:	اللهب
     IS_TRANS:	Allhb
        INDEX:	P2W43
      OFFSETS:	205-210
       TOKENS:	P2W51-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lahab_1]
   UNSPLITVOC:	(All~ahab)
          POS:	DET+NOUN
          VOC:	Al+lahab
        GLOSS:	the+flame

 INPUT STRING:	ترتفع
     IS_TRANS:	trtfE
        INDEX:	P2W44
      OFFSETS:	211-216
       TOKENS:	P2W52-P2W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AirotafaE_1]
   UNSPLITVOC:	(tirotafiE)
          POS:	IV3FS+IV
          VOC:	ti+rotafiE
        GLOSS:	it/they/she+rise

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P2W45
      OFFSETS:	217-222
       TOKENS:	P2W53-P2W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy~_1]
   UNSPLITVOC:	(HAliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy~+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	130
     IS_TRANS:	130
        INDEX:	P2W46
      OFFSETS:	223-226
       TOKENS:	P2W54-P2W54
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(130)
          POS:	NOUN_NUM
          VOC:	130
        GLOSS:	130

 INPUT STRING:	مترا
     IS_TRANS:	mtrA
        INDEX:	P2W47
      OFFSETS:	227-231
       TOKENS:	P2W55-P2W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitor_1]
   UNSPLITVOC:	(mitorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	mitor+AF
        GLOSS:	meter+[acc.indef.]

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P2W48
      OFFSETS:	232-235
       TOKENS:	P2W56-P2W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawoq_1]
   UNSPLITVOC:	(fawoq)
          POS:	NOUN
          VOC:	fawoq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	سطح
     IS_TRANS:	sTH
        INDEX:	P2W49
      OFFSETS:	236-239
       TOKENS:	P2W57-P2W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saToH_1]
   UNSPLITVOC:	(saToH)
          POS:	NOUN
          VOC:	saToH
        GLOSS:	surface

 INPUT STRING:	الارض
     IS_TRANS:	AlArD
        INDEX:	P2W50
      OFFSETS:	240-245
       TOKENS:	P2W58-P2W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P2W51
      OFFSETS:	246-249
       TOKENS:	P2W59-P2W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	المتوقع
     IS_TRANS:	AlmtwqE
        INDEX:	P2W52
      OFFSETS:	250-257
       TOKENS:	P2W61-P2W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawaq~aE_1]
   UNSPLITVOC:	(Almutawaq~aE)
          POS:	DET+ADJ
          VOC:	Al+mutawaq~aE
        GLOSS:	the+expected/anticipated

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P2W53
      OFFSETS:	258-260
       TOKENS:	P2W62-P2W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	تنتقل
     IS_TRANS:	tntql
        INDEX:	P2W54
      OFFSETS:	261-266
       TOKENS:	P2W63-P2W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotoqal_1]
   UNSPLITVOC:	(tinotiqil)
          POS:	IV3FS+IV
          VOC:	ti+notiqil
        GLOSS:	it/they/she+move

 INPUT STRING:	عربيان
     IS_TRANS:	ErbyAn
        INDEX:	P2W55
      OFFSETS:	267-273
       TOKENS:	P2W64-P2W64
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ErbyAn)
          POS:	TYPO
          VOC:	ErbyAn
        GLOSS:	nogloss

 INPUT STRING:	الاطفاء
     IS_TRANS:	AlATfA'
        INDEX:	P2W56
      OFFSETS:	274-281
       TOKENS:	P2W65-P2W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iTofA'_1]
   UNSPLITVOC:	(Al<iTofA')
          POS:	DET+NOUN
          VOC:	Al+<iTofA'
        GLOSS:	the+extinguishing/fire fighting

 INPUT STRING:	المدني
     IS_TRANS:	Almdny
        INDEX:	P2W57
      OFFSETS:	282-288
       TOKENS:	P2W66-P2W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midan~iy_1]
   UNSPLITVOC:	(Almidan~iy)
          POS:	DET+ADJ
          VOC:	Al+midan~iy
        GLOSS:	the+civilian

 INPUT STRING:	والداخلية
     IS_TRANS:	wAldAxlyp
        INDEX:	P2W58
      OFFSETS:	289-298
       TOKENS:	P2W67-P2W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAxiliy~_1]
   UNSPLITVOC:	(waAldAxiliy~ap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wa+Al+dAxiliy~+ap
        GLOSS:	and+the+internal/domestic+[fem.sg.]

 INPUT STRING:	للسيطرة
     IS_TRANS:	llsyTrp
        INDEX:	P2W59
      OFFSETS:	299-306
       TOKENS:	P2W69-P2W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sayTarap_1]
   UNSPLITVOC:	(lils~ayTarap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+sayTar+ap
        GLOSS:	for/to+the+control/dominion+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W60
      OFFSETS:	307-310
       TOKENS:	P2W71-P2W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الموقف
     IS_TRANS:	Almwqf
        INDEX:	P2W61
      OFFSETS:	311-317
       TOKENS:	P2W72-P2W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+position

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W62
      OFFSETS:	317-318
       TOKENS:	P2W73-P2W73
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يذكر
     IS_TRANS:	y*kr
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*akar_1]
   UNSPLITVOC:	(yu*kar)
          POS:	IV3MS+IV_PASS
          VOC:	yu+*kar
        GLOSS:	he/it+be mentioned

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W2
      OFFSETS:	5-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P3W3
      OFFSETS:	8-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	اعلنت
     IS_TRANS:	AElnt
        INDEX:	P3W4
      OFFSETS:	14-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AaElan_1]
   UNSPLITVOC:	(AaElanit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	AaElan+it
        GLOSS:	announce+it/they/she

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P3W5
      OFFSETS:	20-28
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAxiliy~_1]
   UNSPLITVOC:	(AldAxiliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+dAxiliy~+ap
        GLOSS:	the+internal/domestic+[fem.sg.]

 INPUT STRING:	وفاة
     IS_TRANS:	wfAp
        INDEX:	P3W6
      OFFSETS:	29-33
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wafAp_1]
   UNSPLITVOC:	(wafAp)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wafA+ap
        GLOSS:	death+[fem.sg.]

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P3W7
      OFFSETS:	34-37
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	متهمي
     IS_TRANS:	mthmy
        INDEX:	P3W8
      OFFSETS:	38-43
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(mut~ahamiy)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	mut~aham+iy
        GLOSS:	accused+two [acc.]

 INPUT STRING:	تفجيرات
     IS_TRANS:	tfjyrAt
        INDEX:	P3W9
      OFFSETS:	44-51
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafojiyr_1]
   UNSPLITVOC:	(tafojiyrAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tafojiyr+At
        GLOSS:	explosion/detonation/splitting apart+[fem.pl.]

 INPUT STRING:	انابيب
     IS_TRANS:	AnAbyb
        INDEX:	P3W10
      OFFSETS:	52-58
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>unobuwb_1]
   UNSPLITVOC:	(>anAbiyb)
          POS:	NOUN
          VOC:	>anAbiyb
        GLOSS:	pipes/tubes

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P3W11
      OFFSETS:	59-64
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W12
      OFFSETS:	65-67
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	محبسة
     IS_TRANS:	mHbsp
        INDEX:	P3W13
      OFFSETS:	68-73
       TOKENS:	P3W13-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maHbas_1]
   UNSPLITVOC:	(maHbasuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maHbas+uh
        GLOSS:	cell+his/its

 INPUT STRING:	اثر
     IS_TRANS:	Avr
        INDEX:	P3W14
      OFFSETS:	74-77
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ivor_1]
   UNSPLITVOC:	(<ivor)
          POS:	NOUN
          VOC:	<ivor
        GLOSS:	right after

 INPUT STRING:	هبوط
     IS_TRANS:	hbwT
        INDEX:	P3W15
      OFFSETS:	78-82
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hubuwT_1]
   UNSPLITVOC:	(hubuwT)
          POS:	NOUN
          VOC:	hubuwT
        GLOSS:	landing/descent/drop/fall/downfall/decline

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W16
      OFFSETS:	83-85
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدورة
     IS_TRANS:	Aldwrp
        INDEX:	P3W17
      OFFSETS:	86-92
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawrap_1]
   UNSPLITVOC:	(Ald~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawr+ap
        GLOSS:	the+cycle/turn/rotation/revolution/circulation+[fem.sg.]

 INPUT STRING:	الدموية
     IS_TRANS:	Aldmwyp
        INDEX:	P3W18
      OFFSETS:	93-100
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damawiy_1]
   UNSPLITVOC:	(Ald~amawiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+damawiy~+ap
        GLOSS:	the+bloody/blood+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W19
      OFFSETS:	101-102
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W20
      OFFSETS:	102-103
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P3W21
      OFFSETS:	103-104
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	good

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P4W3
      OFFSETS:	9-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	كملنا
     IS_TRANS:	kmlnA
        INDEX:	P4W4
      OFFSETS:	14-19
       TOKENS:	P4W4-P4W4
