 INPUT STRING:	هل
 INPUT STRING:	ظلنا
     IS_TRANS:	ZlnA
        INDEX:	P8W6
      OFFSETS:	22-26
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aZal~_1]
   UNSPLITVOC:	(Zil~anA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	Zil~+(null)+nA
        GLOSS:	remain/continue+you [masc.sg.] [verb]+us

 INPUT STRING:	بظلك
     IS_TRANS:	bZlk
        INDEX:	P8W7
      OFFSETS:	27-31
       TOKENS:	P8W11-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(biZil~ak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	bi+Zil~+ak
        GLOSS:	with/by+patronage/shelter/shade+your [masc.sg.]

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P8W8
      OFFSETS:	32-35
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yawom_1]
   UNSPLITVOC:	(yawom)
          POS:	NOUN
          VOC:	yawom
        GLOSS:	day

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W9
      OFFSETS:	36-38
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P8W10
      OFFSETS:	39-41
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~)
          POS:	NOUN
          VOC:	Zil~
        GLOSS:	patronage/shelter/shade

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P8W11
      OFFSETS:	42-45
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	ظلك
     IS_TRANS:	Zlk
        INDEX:	P8W12
      OFFSETS:	46-49
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~ak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Zil~+ak
        GLOSS:	patronage/shelter/shade+your [masc.sg.]

 INPUT STRING:	ياساتر
     IS_TRANS:	yAsAtr
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAtir_1]
   UNSPLITVOC:	(yAsAtir)
          POS:	VOC_PART+ADJ
          VOC:	yaA+sAtir
        GLOSS:	oh+protecting/preventing

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P9W2
      OFFSETS:	7-11
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P9W3
      OFFSETS:	12-15
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	دخلت
     IS_TRANS:	dxlt
        INDEX:	P9W4
      OFFSETS:	16-20
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	daxal+t
        GLOSS:	enter/be entered+I [verb]

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P9W5
      OFFSETS:	21-24
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	جسمى
     IS_TRANS:	jsmY
        INDEX:	P10W2
      OFFSETS:	3-7
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jisom_1]
   UNSPLITVOC:	(jisomiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	jisom+iy
        GLOSS:	body/form+my

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P10W3
      OFFSETS:	8-11
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/every/entire/whole+his/its

 INPUT STRING:	بقشعر
     IS_TRANS:	bq$Er
        INDEX:	P10W4
      OFFSETS:	12-17
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qa$Ear_1]
   UNSPLITVOC:	(bA>a$Ear)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+qa$Ear
        GLOSS:	[present-tense]+I+tremble/shudder/get goose bumps

 INPUT STRING:	يااااااه
     IS_TRANS:	yAAAAAAh
        INDEX:	P11W1
      OFFSETS:	0-8
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yAh_1]
   UNSPLITVOC:	(yAh)
          POS:	INTERJ
          VOC:	yAh
        GLOSS:	Oh

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P11W2
      OFFSETS:	9-11
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	جات
     IS_TRANS:	jAt
        INDEX:	P11W3
      OFFSETS:	12-15
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA'_1]
   UNSPLITVOC:	(jAt)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	jA+it
        GLOSS:	come/arrive/occur+she/it/they [verb]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W4
      OFFSETS:	16-19
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الإيميل
     IS_TRANS:	Al<ymyl
        INDEX:	P11W5
      OFFSETS:	20-27
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Al<ymyl)
          POS:	FOREIGN
          VOC:	Al<ymyl
        GLOSS:	nogloss

 INPUT STRING:	بتاعى
     IS_TRANS:	btAEY
        INDEX:	P11W6
      OFFSETS:	28-33
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	bitAE+iy
        GLOSS:	something/belonging to/owned by+my

 INPUT STRING:	وكنت
     IS_TRANS:	wknt
        INDEX:	P11W7
      OFFSETS:	34-38
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikunt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+kun+t
        GLOSS:	and+be+I [verb]

 INPUT STRING:	بتألم
     IS_TRANS:	bt>lm
        INDEX:	P11W8
      OFFSETS:	39-44
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta>al~am_1]
   UNSPLITVOC:	(bato>al~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+to>al~im
        GLOSS:	[present-tense]+I+be distressed/suffer

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P11W9
      OFFSETS:	45-49
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	many/much/numerous

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W10
      OFFSETS:	50-52
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خيال
     IS_TRANS:	xyAl
        INDEX:	P11W11
      OFFSETS:	53-57
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayAl_1]
   UNSPLITVOC:	(xayAl)
          POS:	NOUN
          VOC:	xayAl
        GLOSS:	imagination/fantasy

 INPUT STRING:	الصورة
     IS_TRANS:	AlSwrp
        INDEX:	P11W12
      OFFSETS:	58-64
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlS~uwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يحفظنا
     IS_TRANS:	yHfZnA
        INDEX:	P12W2
      OFFSETS:	5-11
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[HafiZ_1]
   UNSPLITVOC:	(yiHofaZnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+HofaZ+nA
        GLOSS:	he/it+preserve/protect/maintain+us

 INPUT STRING:	ويحفظ
     IS_TRANS:	wyHfZ
        INDEX:	P12W3
      OFFSETS:	12-17
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(wiyiHofaZ)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+HofaZ
        GLOSS:	and+he/it+preserve/protect/maintain

 INPUT STRING:	أولادنا
     IS_TRANS:	>wlAdnA
        INDEX:	P12W4
      OFFSETS:	18-25
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(>awolAdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>awolAd+nA
        GLOSS:	children+our

 INPUT STRING:	وأهلينا
     IS_TRANS:	w>hlynA
        INDEX:	P12W5
      OFFSETS:	26-33
       TOKENS:	P12W9-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ahal_1]
   UNSPLITVOC:	(wi>ahAliynA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+>ahAliy+nA
        GLOSS:	and+families/indigenous people+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W6
      OFFSETS:	34-36
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الخيانة
     IS_TRANS:	AlxyAnp
        INDEX:	P12W7
      OFFSETS:	37-44
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyAnap_1]
   UNSPLITVOC:	(AlxiyAnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xiyAn+ap
        GLOSS:	the+treason/betrayal+[fem.sg.]

 INPUT STRING:	المشاركة
     IS_TRANS:	Alm$Arkp
        INDEX:	P13W1
      OFFSETS:	0-8
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+participation/association+[fem.sg.]

 INPUT STRING:	الأصلية
     IS_TRANS:	Al>Slyp
        INDEX:	P13W2
      OFFSETS:	9-16
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaSoliy_1]
   UNSPLITVOC:	(AlASoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ASoliy~+ap
        GLOSS:	the+original/authentic+[fem.sg.]

 INPUT STRING:	كتبت
     IS_TRANS:	ktbt
        INDEX:	P13W3
      OFFSETS:	17-21
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(kutibat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	kutib+at
        GLOSS:	be written/be fated/be destined+it/they/she [verb]

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P13W4
      OFFSETS:	22-28
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+means/device+[fem.sg.]

 INPUT STRING:	المحبه
     IS_TRANS:	AlmHbh
        INDEX:	P13W5
      OFFSETS:	29-35
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmuHib~_1]
   UNSPLITVOC:	(AlmuHib~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muHib~+ap
        GLOSS:	the+loving/desiring+[fem.sg.]

 INPUT STRING:	لرسول
     IS_TRANS:	lrswl
        INDEX:	P13W6
      OFFSETS:	36-41
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(lirasuwl)
          POS:	PREP+NOUN
          VOC:	li+rasuwl
        GLOSS:	for/to+messenger (Muhammad)

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P13W7
      OFFSETS:	42-46
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الكريم
     IS_TRANS:	Alkrym
        INDEX:	P13W8
      OFFSETS:	47-53
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kariym_1]
   UNSPLITVOC:	(Alkariym)
          POS:	DET+ADJ
          VOC:	Al+kariym
        GLOSS:	the+distinguished/generous/noble/precious

 INPUT STRING:	سبحان
     IS_TRANS:	sbHAn
        INDEX:	P13W9
      OFFSETS:	54-59
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suboHAn_1]
   UNSPLITVOC:	(suboHAn)
          POS:	NOUN
          VOC:	suboHAn
        GLOSS:	praise

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P13W10
      OFFSETS:	60-64
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	عنهم
     IS_TRANS:	Enhm
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Enhm)
          POS:	TYPO
          VOC:	Enhm
        GLOSS:	nogloss

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P14W2
      OFFSETS:	5-10
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	اغلى
     IS_TRANS:	AglY
        INDEX:	P14W3
      OFFSETS:	11-15
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agolaY_1]
   UNSPLITVOC:	(>agolaY)
          POS:	ADJ_COMP
          VOC:	>agolaY
        GLOSS:	most/more expensive

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W4
      OFFSETS:	16-18
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الضنا
     IS_TRANS:	AlDnA
        INDEX:	P14W5
      OFFSETS:	19-24
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DanA_1]
   UNSPLITVOC:	(AD~anA)
          POS:	DET+NOUN
          VOC:	Al+DanA
        GLOSS:	the+son

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+<iHonA
        GLOSS:	and+we

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P15W2
      OFFSETS:	6-11
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(EanodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eanod+nA
        GLOSS:	with / at+our

 INPUT STRING:	الام
     IS_TRANS:	AlAm
        INDEX:	P15W3
      OFFSETS:	12-16
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(Al>um~)
          POS:	DET+NOUN
          VOC:	Al+>um~
        GLOSS:	the+mother/maternal

 INPUT STRING:	تبيع
     IS_TRANS:	tbyE
        INDEX:	P15W4
      OFFSETS:	17-21
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAE_1]
   UNSPLITVOC:	(tibiyE)
          POS:	IV3FS+IV
          VOC:	ti+biyE
        GLOSS:	she/it/they+sell

 INPUT STRING:	ضناها
     IS_TRANS:	DnAhA
        INDEX:	P15W5
      OFFSETS:	22-27
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DanA_1]
   UNSPLITVOC:	(DanAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	DanA+hA
        GLOSS:	son+her/its/their

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P15W6
      OFFSETS:	28-32
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+that

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P15W7
      OFFSETS:	33-39
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+fils (small coins)/money

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P16W3
      OFFSETS:	9-12
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(>Al)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	say+he/it [verb]

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P16W4
      OFFSETS:	13-16
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	like that

 INPUT STRING:	وفىامهات
     IS_TRANS:	wfYAmhAt
        INDEX:	P16W5
      OFFSETS:	17-25
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wfYAmhAt)
          POS:	NO_FUNC
          VOC:	wfYAmhAt
        GLOSS:	nogloss

 INPUT STRING:	كتييير
     IS_TRANS:	ktyyyr
        INDEX:	P16W6
      OFFSETS:	26-32
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kiviyr_2]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	many/much/numerous

 INPUT STRING:	واى
     IS_TRANS:	wAY
        INDEX:	P16W7
      OFFSETS:	33-36
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~_1]
   UNSPLITVOC:	(wi>ay~)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+>ay~
        GLOSS:	and+which

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
