 INPUT STRING:	المزرعه
        GLOSS:	better/best

 INPUT STRING:	ماجاء
     IS_TRANS:	mAjA'
        INDEX:	P7W2
      OFFSETS:	5-10
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAjA')
          POS:	NO_FUNC
          VOC:	mAjA'
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W3
      OFFSETS:	11-13
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفيديو
     IS_TRANS:	Alfydyw
        INDEX:	P7W4
      OFFSETS:	14-21
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(Alfiydyuw)
          POS:	DET+NOUN
          VOC:	Al+fiydyuw
        GLOSS:	the+video/videos

 INPUT STRING:	شهادة
     IS_TRANS:	$hAdp
        INDEX:	P7W5
      OFFSETS:	22-27
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAdap_1]
   UNSPLITVOC:	($ahAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$ahAd+ap
        GLOSS:	certificate/witness/testimony/martyrdom+[fem.sg.]

 INPUT STRING:	الجندى
     IS_TRANS:	AljndY
        INDEX:	P7W6
      OFFSETS:	28-34
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jundiy_1]
   UNSPLITVOC:	(Aljundiy)
          POS:	DET+NOUN
          VOC:	Al+jundiy
        GLOSS:	the+soldiers/soldier

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P7W7
      OFFSETS:	35-38
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+it/he

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P7W8
      OFFSETS:	39-43
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/(for example)

 INPUT STRING:	ظلت
     IS_TRANS:	Zlt
        INDEX:	P7W9
      OFFSETS:	44-47
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zal~-a_1]
   UNSPLITVOC:	(Zal~at)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Zal~+at
        GLOSS:	remain/continue+it/they/she [verb]

 INPUT STRING:	ترن
     IS_TRANS:	trn
        INDEX:	P7W10
      OFFSETS:	48-51
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ran~_1]
   UNSPLITVOC:	(tirin~)
          POS:	IV3FS+IV
          VOC:	ti+rin~
        GLOSS:	it/they/she+ring/resound

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W11
      OFFSETS:	52-54
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مسامعى
     IS_TRANS:	msAmEY
        INDEX:	P7W12
      OFFSETS:	55-61
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misomaE_1]
   UNSPLITVOC:	(masAmiEiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	masAmiE+iy
        GLOSS:	ears/stethoscopes/receivers (telephone)+my

 INPUT STRING:	كلمه
     IS_TRANS:	klmh
        INDEX:	P7W13
      OFFSETS:	62-66
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	talk/remark/speech/saying+[fem.sg.]

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P7W14
      OFFSETS:	67-75
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian/Egyptians+masc.plur.

 INPUT STRING:	اقتلوا
     IS_TRANS:	AqtlwA
        INDEX:	P7W15
      OFFSETS:	76-82
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(AqotiluwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aqotil+uwA
        GLOSS:	kill+you [masc.pl] [verb]

 INPUT STRING:	اليهود
     IS_TRANS:	Alyhwd
        INDEX:	P7W16
      OFFSETS:	83-89
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yahuwdiy~_1]
   UNSPLITVOC:	(Alyahuwd)
          POS:	DET+NOUN
          VOC:	Al+yahuwd
        GLOSS:	the+Jew/Jews

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P7W17
      OFFSETS:	90-93
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	ADV
          VOC:	Hat~aY
        GLOSS:	even/including/and/and even/so that/lest/until/up to

 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P7W18
      OFFSETS:	94-98
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail|an_1]
   UNSPLITVOC:	(Ail|an)
          POS:	ADV
          VOC:	Ail|an
        GLOSS:	now

 INPUT STRING:	وحندى
     IS_TRANS:	wHndY
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wHndY)
          POS:	TYPO
          VOC:	wHndY
        GLOSS:	nogloss

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P8W2
      OFFSETS:	6-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axar_1]
   UNSPLITVOC:	(>axar)
          POS:	ADJ
          VOC:	>axar
        GLOSS:	end/other/another

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P8W3
      OFFSETS:	10-12
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zal~_1]
   UNSPLITVOC:	(Zal~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Zal~+(null)
        GLOSS:	remain/continue+he/it

 INPUT STRING:	يتفزع
     IS_TRANS:	ytfzE
        INDEX:	P8W4
      OFFSETS:	13-18
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tofaz~aE_1]
   UNSPLITVOC:	(yitofaz~aE)
          POS:	IV3MS+IV
          VOC:	yi+tofaz~aE
        GLOSS:	he/it+be startled/be frightened

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W5
      OFFSETS:	19-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	نومه
     IS_TRANS:	nwmh
        INDEX:	P8W6
      OFFSETS:	22-26
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuwm_1]
   UNSPLITVOC:	(nuwmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nuwm+uh
        GLOSS:	sleep/nap+his

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W7
      OFFSETS:	27-29
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ليله
     IS_TRANS:	lylh
        INDEX:	P8W8
      OFFSETS:	30-34
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laylap_1]
   UNSPLITVOC:	(laylap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	layl+ap
        GLOSS:	night/evening/soire/nights/evenings/soires+[fem.sg.]

 INPUT STRING:	لمده
     IS_TRANS:	lmdh
        INDEX:	P8W9
      OFFSETS:	35-39
       TOKENS:	P8W10-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mud~ap_1]
   UNSPLITVOC:	(limud~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+mud~+ap
        GLOSS:	for/to+period of time/interval+[fem.sg.]

 INPUT STRING:	عامين
     IS_TRANS:	EAmyn
        INDEX:	P8W10
      OFFSETS:	40-45
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAmayon)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	EAm+ayon
        GLOSS:	year/years+two

 INPUT STRING:	بصراحه
     IS_TRANS:	bSrAHh
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	فيديو
     IS_TRANS:	fydyw
        INDEX:	P9W2
      OFFSETS:	7-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(fiydyuw)
          POS:	NOUN
          VOC:	fiydyuw
        GLOSS:	video/videos

 INPUT STRING:	خطير
     IS_TRANS:	xTyr
        INDEX:	P9W3
      OFFSETS:	13-17
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTiyr_1]
   UNSPLITVOC:	(xaTiyr)
          POS:	ADJ
          VOC:	xaTiyr
        GLOSS:	serious/grave/dangerous/significant

 INPUT STRING:	وخسران
     IS_TRANS:	wxsrAn
        INDEX:	P9W4
      OFFSETS:	18-24
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xasorAn_1]
   UNSPLITVOC:	(wixasorAn)
          POS:	CONJ+ADJ
          VOC:	wi+xasorAn
        GLOSS:	and+loser

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P9W5
      OFFSETS:	25-27
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al)
          POS:	TYPO
          VOC:	Al
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W6
      OFFSETS:	28-30
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هايشوفه
     IS_TRANS:	hAy$wfh
        INDEX:	P9W7
      OFFSETS:	31-38
       TOKENS:	P9W9-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Hayi$uwfuh)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	Ha+yi+$uwf+uh
        GLOSS:	will+he/it+look+it/him

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P9W8
      OFFSETS:	39-42
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+earnestness/seriousness

 INPUT STRING:	ملحوظه
     IS_TRANS:	mlHwZh
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maloHuwZap_1]
   UNSPLITVOC:	(maloHuwZap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maloHuwZ+ap
        GLOSS:	observation/note/remark+[fem.sg.]

 INPUT STRING:	كتيبه
     IS_TRANS:	ktybh
        INDEX:	P10W2
      OFFSETS:	7-12
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katiybap_1]
   UNSPLITVOC:	(katiybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	katiyb+ap
        GLOSS:	brigade/squadron/corps/brigades/squadrons+[fem.sg.]

 INPUT STRING:	المشاه
     IS_TRANS:	Alm$Ah
        INDEX:	P10W3
      OFFSETS:	13-19
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Ah_1]
   UNSPLITVOC:	(Almu$Ah)
          POS:	DET+NOUN
          VOC:	Al+mu$Ah
        GLOSS:	the+infantry/pedestrians/going/walking/on fot/walker

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P10W4
      OFFSETS:	20-24
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	بقياده
     IS_TRANS:	bqyAdh
        INDEX:	P10W5
      OFFSETS:	25-31
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_1]
   UNSPLITVOC:	(biqiyAdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+qiyAd+ap
        GLOSS:	with/by+leadership/command/leaders/commanders+[fem.sg.]

 INPUT STRING:	حينا
     IS_TRANS:	HynA
        INDEX:	P10W6
      OFFSETS:	32-36
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HynA)
          POS:	TYPO
          VOC:	HynA
        GLOSS:	nogloss

 INPUT STRING:	ذاك
     IS_TRANS:	*Ak
        INDEX:	P10W7
      OFFSETS:	37-40
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*Aka_1]
   UNSPLITVOC:	(*Aka)
          POS:	DEM_PRON_MS
          VOC:	*Aka
        GLOSS:	that

 INPUT STRING:	اللواء
     IS_TRANS:	AllwA'
        INDEX:	P10W8
      OFFSETS:	41-47
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liwA'_1]
   UNSPLITVOC:	(AlliwA')
          POS:	DET+NOUN
          VOC:	Al+liwA'
        GLOSS:	the+banner/flag/major general/brigade/district/province/districts/provinces

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P10W9
      OFFSETS:	48-52
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mahammad/Mahamad/Mohammad/Mohamed/Mahmmad/Muhammad

 INPUT STRING:	حسين
     IS_TRANS:	Hsyn
        INDEX:	P10W10
      OFFSETS:	53-57
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hisayn_1]
   UNSPLITVOC:	(Hisayn)
          POS:	NOUN_PROP
          VOC:	Hisayn
        GLOSS:	Hussein/Hussien/housin

 INPUT STRING:	طنطاوى
     IS_TRANS:	TnTAwY
        INDEX:	P10W11
      OFFSETS:	58-64
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TanTAwiy_1]
   UNSPLITVOC:	(TanTAwiy)
          POS:	NOUN_PROP
          VOC:	TanTAwiy
        GLOSS:	Tantaoui/Tantawi

 INPUT STRING:	وفريق
     IS_TRANS:	wfryq
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fariyq_1]
   UNSPLITVOC:	(wifariyq)
          POS:	CONJ+NOUN
          VOC:	wi+fariyq
        GLOSS:	and+team/band/group/faction/party/factions/parties/groups

 INPUT STRING:	المظلات
     IS_TRANS:	AlmZlAt
        INDEX:	P11W2
      OFFSETS:	6-13
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maZal~ap_1]
   UNSPLITVOC:	(AlmaZal~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+maZal~+At
        GLOSS:	the+parachute+[fem.pl.]

 INPUT STRING:	بقياده
     IS_TRANS:	bqyAdh
        INDEX:	P11W3
      OFFSETS:	14-20
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_1]
   UNSPLITVOC:	(biqiyAdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+qiyAd+ap
        GLOSS:	with/by+leadership/command/leaders/commanders+[fem.sg.]

 INPUT STRING:	شارون
     IS_TRANS:	$Arwn
        INDEX:	P11W4
      OFFSETS:	21-26
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Aruwn_1]
   UNSPLITVOC:	($Aruwn)
          POS:	NOUN_PROP
          VOC:	$Aruwn
        GLOSS:	Sharon

 INPUT STRING:	وايهود
     IS_TRANS:	wAyhwd
        INDEX:	P11W5
      OFFSETS:	27-33
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyhuwd_1]
   UNSPLITVOC:	(wa<iyhuwd)
          POS:	CONJ+NOUN_PROP
          VOC:	wa+<iyhuwd
        GLOSS:	and+Ehud

 INPUT STRING:	باراك
     IS_TRANS:	bArAk
        INDEX:	P11W6
      OFFSETS:	34-39
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bArAk_1]
   UNSPLITVOC:	(bArAk)
          POS:	NOUN_PROP
          VOC:	bArAk
        GLOSS:	Barak

 INPUT STRING:	ملحوظه
     IS_TRANS:	mlHwZh
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maloHuwZap_1]
   UNSPLITVOC:	(maloHuwZap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maloHuwZ+ap
        GLOSS:	observation/note/remark+[fem.sg.]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P12W2
      OFFSETS:	7-10
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	فرق
     IS_TRANS:	frq
        INDEX:	P12W3
      OFFSETS:	11-14
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroq_1]
   UNSPLITVOC:	(faroq)
          POS:	NOUN
          VOC:	faroq
        GLOSS:	difference/discrepancy/differences/discrepancies

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P12W4
      OFFSETS:	15-18
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/betwen/among

 INPUT STRING:	المظلات
     IS_TRANS:	AlmZlAt
        INDEX:	P12W5
      OFFSETS:	19-26
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maZal~ap_1]
   UNSPLITVOC:	(AlmaZal~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+maZal~+At
        GLOSS:	the+parachute+[fem.pl.]

 INPUT STRING:	والمشاه
     IS_TRANS:	wAlm$Ah
        INDEX:	P12W6
      OFFSETS:	27-34
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$Ah_1]
   UNSPLITVOC:	(waAlmu$Ah)
          POS:	PREP+DET+NOUN
          VOC:	wa+Al+mu$Ah
        GLOSS:	and+the+infantry/pedestrians/going/walking/on fot/walker

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P12W7
      OFFSETS:	35-38
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	فرق
     IS_TRANS:	frq
        INDEX:	P12W8
      OFFSETS:	39-42
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroq_1]
   UNSPLITVOC:	(faroq)
          POS:	NOUN
          VOC:	faroq
        GLOSS:	difference/discrepancy/differences/discrepancies

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P12W9
      OFFSETS:	43-47
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	large/big/old

 INPUT STRING:	المظلات
     IS_TRANS:	AlmZlAt
        INDEX:	P13W1
      OFFSETS:	0-7
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miZal~ap_2]
   UNSPLITVOC:	(AlmiZal~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+miZal~+At
        GLOSS:	the+parachute+[fem.pl.]

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P13W2
      OFFSETS:	8-15
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
