 INPUT STRING:	حمله
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eamal+hum
        GLOSS:	work+their

 INPUT STRING:	سعاتها
     IS_TRANS:	sEAthA
        INDEX:	P8W5
      OFFSETS:	20-26
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(saEathA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	saE+at+hA
        GLOSS:	hour+[fem.sg.]+her/its

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W6
      OFFSETS:	26-27
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W7
      OFFSETS:	27-28
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P9W2
      OFFSETS:	4-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W3
      OFFSETS:	9-11
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هياثر
     IS_TRANS:	hyAvr
        INDEX:	P9W4
      OFFSETS:	12-17
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>av~ar_1]
   UNSPLITVOC:	(Hayi>av~ar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+>av~ar
        GLOSS:	will+he/it+affect/influence/be affected/be influenced

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P9W5
      OFFSETS:	18-21
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شركه
     IS_TRANS:	$rkh
        INDEX:	P9W6
      OFFSETS:	22-26
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	($arikap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$arik+ap
        GLOSS:	company/corporation/companies/corporations+[fem.sg.]

 INPUT STRING:	راس
     IS_TRANS:	rAs
        INDEX:	P9W7
      OFFSETS:	27-30
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>os_1]
   UNSPLITVOC:	(ra>os)
          POS:	NOUN
          VOC:	ra>os
        GLOSS:	head/top/heads/tops

 INPUT STRING:	مالها
     IS_TRANS:	mAlhA
        INDEX:	P9W8
      OFFSETS:	31-36
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(mAlhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mAl+hA
        GLOSS:	money/capital/funds/assets/capital/funds+its/their/her

 INPUT STRING:	ملايين
     IS_TRANS:	mlAyyn
        INDEX:	P9W9
      OFFSETS:	37-43
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyuwn_1]
   UNSPLITVOC:	(malAyiyn)
          POS:	NOUN_NUM
          VOC:	malAyiyn
        GLOSS:	millions

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(wamano)
          POS:	CONJ+REL_PRON
          VOC:	wa+mano
        GLOSS:	and+who/whom

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P10W2
      OFFSETS:	4-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV2MS+IV
          VOC:	ti+quwl
        GLOSS:	you+said/say/be said/say/(for example)

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P10W3
      OFFSETS:	9-13
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	منعرفش
     IS_TRANS:	mnErf$
        INDEX:	P10W4
      OFFSETS:	14-20
       TOKENS:	P10W5-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(mA_niEoraf$)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	mA+ni+Eoraf+$
        GLOSS:	not+we+know/be known+not

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P10W5
      OFFSETS:	21-25
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P10W6
      OFFSETS:	26-30
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P10W7
      OFFSETS:	31-34
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W8
      OFFSETS:	35-37
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	البيت
     IS_TRANS:	Albyt
        INDEX:	P10W9
      OFFSETS:	38-43
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(Albayt)
          POS:	DET+NOUN
          VOC:	Al+bayt
        GLOSS:	the+house/houses

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	oh

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P11W3
      OFFSETS:	8-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W4
      OFFSETS:	13-15
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	البيت
     IS_TRANS:	Albyt
        INDEX:	P11W5
      OFFSETS:	16-21
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(Albayt)
          POS:	DET+NOUN
          VOC:	Al+bayt
        GLOSS:	the+house/houses

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P11W6
      OFFSETS:	22-26
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W7
      OFFSETS:	27-29
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P11W8
      OFFSETS:	30-34
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	منعملش
     IS_TRANS:	mnEml$
        INDEX:	P11W9
      OFFSETS:	35-41
       TOKENS:	P11W10-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(mA_niEomil$)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	mA+ni+Eomil+$
        GLOSS:	not+we+do+not

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P11W10
      OFFSETS:	42-46
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P11W11
      OFFSETS:	47-51
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear

 INPUT STRING:	نفسنا
     IS_TRANS:	nfsnA
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	nifos+nA
        GLOSS:	soul+our

 INPUT STRING:	روحهم
     IS_TRANS:	rwHhm
        INDEX:	P12W2
      OFFSETS:	6-11
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(ruwHhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	ruwH+hum
        GLOSS:	soul or spirit+their

 INPUT STRING:	تبقي
     IS_TRANS:	tbqy
        INDEX:	P12W3
      OFFSETS:	12-16
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+remain

 INPUT STRING:	ايدينا
     IS_TRANS:	AydynA
        INDEX:	P12W4
      OFFSETS:	17-23
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(AiydaynA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Aiyday+nA
        GLOSS:	hands+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W5
      OFFSETS:	24-26
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	العكس
     IS_TRANS:	AlEks
        INDEX:	P12W6
      OFFSETS:	27-32
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(AlEakos)
          POS:	DET+NOUN
          VOC:	Al+Eakos
        GLOSS:	the+opposite/contrary

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W2
      OFFSETS:	5-7
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قليلين
     IS_TRANS:	qlylyn
        INDEX:	P13W3
      OFFSETS:	8-14
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qulay~il_1]
   UNSPLITVOC:	(qulay~iliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	qulay~il+iyn
        GLOSS:	powerless+two

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P13W4
      OFFSETS:	15-17
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P13W5
      OFFSETS:	18-23
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	رايك
     IS_TRANS:	rAyk
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	ra>oy+ik
        GLOSS:	opinion/view/idea+your

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P14W2
      OFFSETS:	5-10
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you

 INPUT STRING:	حرة
     IS_TRANS:	Hrp
        INDEX:	P14W3
      OFFSETS:	11-14
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Hur~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hur~+ap
        GLOSS:	free/independent+[fem.sg.]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P14W4
      OFFSETS:	15-18
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	احترمك
     IS_TRANS:	AHtrmk
        INDEX:	P15W1
      OFFSETS:	0-6
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotaram_1]
   UNSPLITVOC:	(AaHotiromik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+Hotirom+ik
        GLOSS:	I+respect+you

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P15W2
      OFFSETS:	7-10
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P15W3
      OFFSETS:	11-13
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W4
      OFFSETS:	14-17
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W5
      OFFSETS:	18-20
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هقفله
     IS_TRANS:	hqflh
        INDEX:	P15W6
      OFFSETS:	21-26
       TOKENS:	P15W7-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qafall_1]
   UNSPLITVOC:	(HaAaqofiluh)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	Ha+Aa+qofil+uh
        GLOSS:	will+I+lock+him/it

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W7
      OFFSETS:	27-30
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	جوزي
     IS_TRANS:	jwzy
        INDEX:	P15W8
      OFFSETS:	31-35
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jawz_1]
   UNSPLITVOC:	(juwziy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	juwz+iy
        GLOSS:	husband+my

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W9
      OFFSETS:	36-39
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P15W10
      OFFSETS:	40-42
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P15W11
      OFFSETS:	43-45
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W12
      OFFSETS:	46-48
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قرايبي
     IS_TRANS:	qrAyby
        INDEX:	P15W13
      OFFSETS:	49-55
       TOKENS:	P15W17-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qariyb_1]
   UNSPLITVOC:	(qarAyobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qarAyob+iy
        GLOSS:	relative+my

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W14
      OFFSETS:	56-59
       TOKENS:	P15W19-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P15W15
      OFFSETS:	60-64
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know/be known

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P15W16
      OFFSETS:	65-67
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P15W17
      OFFSETS:	68-70
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	هيقفله
     IS_TRANS:	hyqflh
        INDEX:	P15W18
      OFFSETS:	71-77
       TOKENS:	P15W23-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(Hayiqofiluh)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	Ha+yi+qofil+uh
        GLOSS:	will+he/it+lock+him/it

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
