 INPUT STRING:	احالة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(biAlquw~At)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+quw~+At
        GLOSS:	with/by+the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	المسلحة
     IS_TRANS:	AlmslHp
        INDEX:	P4W4
      OFFSETS:	19-26
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_2]
   UNSPLITVOC:	(Almusal~aHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musal~aH+ap
        GLOSS:	the+armed+[fem.sg.]

 INPUT STRING:	متواجدون
     IS_TRANS:	mtwAjdwn
        INDEX:	P4W5
      OFFSETS:	27-35
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mtwAjdwn)
          POS:	NO_FUNC
          VOC:	mtwAjdwn
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W6
      OFFSETS:	36-38
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P4W7
      OFFSETS:	39-46
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN
          VOC:	Al+miydAn
        GLOSS:	the+square

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W8
      OFFSETS:	46-47
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لبي
     IS_TRANS:	lby
        INDEX:	P4W9
      OFFSETS:	48-51
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lby)
          POS:	FOREIGN
          VOC:	lby
        GLOSS:	nogloss

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P4W10
      OFFSETS:	52-54
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P4W11
      OFFSETS:	55-57
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P4W12
      OFFSETS:	57-58
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P4W13
      OFFSETS:	59-61
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P4W14
      OFFSETS:	62-72
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(AlmutaZAhiriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mutaZAhir+iyn
        GLOSS:	the+demonstrator+[masc.pl.]

 INPUT STRING:	سمح
     IS_TRANS:	smH
        INDEX:	P4W15
      OFFSETS:	73-76
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(sumiH)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	sumiH+(null)
        GLOSS:	allow/permit/authorize/be allowed/be permitted/be authorized+he/it

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P4W16
      OFFSETS:	77-80
       TOKENS:	P4W18-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to+they

 INPUT STRING:	البقاء
     IS_TRANS:	AlbqA'
        INDEX:	P4W17
      OFFSETS:	81-87
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqA'_1]
   UNSPLITVOC:	(AlbaqA')
          POS:	DET+NOUN
          VOC:	Al+baqA'
        GLOSS:	the+survival/remaining

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W18
      OFFSETS:	88-90
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P4W19
      OFFSETS:	91-98
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN
          VOC:	Al+miydAn
        GLOSS:	the+square

 INPUT STRING:	بشرط
     IS_TRANS:	b$rT
        INDEX:	P4W20
      OFFSETS:	99-103
       TOKENS:	P4W23-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroT_1]
   UNSPLITVOC:	(bi$aroT)
          POS:	PREP+NOUN
          VOC:	bi+$aroT
        GLOSS:	with/by+precondition/stipulation/preconditions/stipulations/on the condition/provided

 INPUT STRING:	عدم
     IS_TRANS:	Edm
        INDEX:	P4W21
      OFFSETS:	104-107
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(Eadam)
          POS:	NOUN
          VOC:	Eadam
        GLOSS:	absence of/lack of/not/non-

 INPUT STRING:	النزول
     IS_TRANS:	Alnzwl
        INDEX:	P4W22
      OFFSETS:	108-114
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuzuwl_1]
   UNSPLITVOC:	(Aln~uzuwl)
          POS:	DET+NOUN
          VOC:	Al+nuzuwl
        GLOSS:	the+descent/resignation

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P4W23
      OFFSETS:	115-118
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	الشوارع
     IS_TRANS:	Al$wArE
        INDEX:	P4W24
      OFFSETS:	119-126
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~awAriE)
          POS:	DET+NOUN
          VOC:	Al+$awAriE
        GLOSS:	the+street/streets

 INPUT STRING:	تجنبا
     IS_TRANS:	tjnbA
        INDEX:	P4W25
      OFFSETS:	127-132
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajan~ub_1]
   UNSPLITVOC:	(tajan~ubAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	tajan~ub+AF
        GLOSS:	avoidance/avoiding+[acc.indef.]

 INPUT STRING:	لتعطيل
     IS_TRANS:	ltETyl
        INDEX:	P4W26
      OFFSETS:	133-139
       TOKENS:	P4W30-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoTiyl_1]
   UNSPLITVOC:	(litaEoTiyl)
          POS:	PREP+NOUN
          VOC:	li+taEoTiyl
        GLOSS:	for/to+hindering/interruption/obstruction

 INPUT STRING:	المرور
     IS_TRANS:	Almrwr
        INDEX:	P4W27
      OFFSETS:	140-146
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(Almuruwr)
          POS:	DET+NOUN
          VOC:	Al+muruwr
        GLOSS:	the+passing/crossing/traffic

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W28
      OFFSETS:	146-147
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P5W1
      OFFSETS:	1-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(waqado)
          POS:	CONJ+VERB_PART
          VOC:	wa+qado
        GLOSS:	and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	لاحظ
     IS_TRANS:	lAHZ
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAHaZ_1]
   UNSPLITVOC:	(lAHoZ)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	lAHaZ+(null)
        GLOSS:	observe+he/it

 INPUT STRING:	مراسل
     IS_TRANS:	mrAsl
        INDEX:	P5W3
      OFFSETS:	10-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murAsil_1]
   UNSPLITVOC:	(murAsil)
          POS:	NOUN
          VOC:	murAsil
        GLOSS:	correspondent

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P5W4
      OFFSETS:	16-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P5W5
      OFFSETS:	19-21
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P5W6
      OFFSETS:	22-24
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P5W7
      OFFSETS:	25-28
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W8
      OFFSETS:	28-29
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	اذ
     IS_TRANS:	A*
        INDEX:	P5W9
      OFFSETS:	30-32
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<i*o_2]
   UNSPLITVOC:	(<i*o)
          POS:	PART
          VOC:	<i*o
        GLOSS:	suddenly

 INPUT STRING:	تركزت
     IS_TRANS:	trkzt
        INDEX:	P5W10
      OFFSETS:	33-38
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarak~az_1]
   UNSPLITVOC:	(tarak~azit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	tarak~az+it
        GLOSS:	concentrate/focus+she/it

 INPUT STRING:	التجمعات
     IS_TRANS:	AltjmEAt
        INDEX:	P5W11
      OFFSETS:	39-47
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajam~uE_1]
   UNSPLITVOC:	(Alt~ajam~uEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+tajam~uE+At
        GLOSS:	the+gathering/assembly+[fem.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W12
      OFFSETS:	48-51
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جوانب
     IS_TRANS:	jwAnb
        INDEX:	P5W13
      OFFSETS:	52-57
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(jawAnib)
          POS:	NOUN
          VOC:	jawAnib
        GLOSS:	sides/aspects

 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P5W14
      OFFSETS:	58-65
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN
          VOC:	Al+miydAn
        GLOSS:	the+square

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P5W15
      OFFSETS:	66-70
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P5W16
      OFFSETS:	71-73
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(qado)
          POS:	VERB_PART
          VOC:	qado
        GLOSS:	may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P5W17
      OFFSETS:	74-76
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تستوعب
     IS_TRANS:	tstwEb
        INDEX:	P5W18
      OFFSETS:	77-83
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistawEib_1]
   UNSPLITVOC:	(tistwEb)
          POS:	IV3FS+IV
          VOC:	ti+stwEb
        GLOSS:	it/they/she+assimilate

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P5W19
      OFFSETS:	84-94
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmtZAhryn)
          POS:	NO_FUNC
          VOC:	AlmtZAhryn
        GLOSS:	nogloss

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P5W20
      OFFSETS:	95-98
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	if

 INPUT STRING:	استمرت
     IS_TRANS:	Astmrt
        INDEX:	P5W21
      OFFSETS:	99-105
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotamar~_1]
   UNSPLITVOC:	(Aisotamar~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aisotamar~+it
        GLOSS:	continue/last+she/it

 INPUT STRING:	الاعداد
     IS_TRANS:	AlAEdAd
        INDEX:	P5W22
      OFFSETS:	106-113
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AaEodAd_1]
   UNSPLITVOC:	(AlAiEodAd)
          POS:	DET+NOUN
          VOC:	Al+AaEodAd
        GLOSS:	the+numbers

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W23
      OFFSETS:	114-116
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التزايد
     IS_TRANS:	AltzAyd
        INDEX:	P5W24
      OFFSETS:	117-124
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tazAyud_1]
   UNSPLITVOC:	(Alt~azAyud)
          POS:	DET+NOUN
          VOC:	Al+tazAyud
        GLOSS:	the+increment/gradual increase

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W25
      OFFSETS:	124-125
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W1
      OFFSETS:	1-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الجانب
     IS_TRANS:	AljAnb
        INDEX:	P6W2
      OFFSETS:	5-11
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(AljAnib)
          POS:	DET+NOUN
          VOC:	Al+jAnib
        GLOSS:	the+side/aspect/next /beside/sides/aspects

 INPUT STRING:	الاخر
     IS_TRANS:	AlAxr
        INDEX:	P6W3
      OFFSETS:	12-17
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(Al|axar)
          POS:	DET+ADJ
          VOC:	Al+|axar
        GLOSS:	the+other

 INPUT STRING:	وامام
     IS_TRANS:	wAmAm
        INDEX:	P6W4
      OFFSETS:	18-23
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(wi>amAm)
          POS:	CONJ+NOUN
          VOC:	wi+>amAm
        GLOSS:	and+front/forward

 INPUT STRING:	مبنى
     IS_TRANS:	mbnY
        INDEX:	P6W5
      OFFSETS:	24-28
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabonaY_1]
   UNSPLITVOC:	(mabonaY)
          POS:	NOUN
          VOC:	mabonaY
        GLOSS:	building/structure

 INPUT STRING:	التلفزيون
     IS_TRANS:	Altlfzywn
        INDEX:	P6W6
      OFFSETS:	29-38
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tilifizoyawn_1]
   UNSPLITVOC:	(Alt~ilifizoyawn)
          POS:	DET+NOUN
          VOC:	Al+tilifizoyawn
        GLOSS:	the+television

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P6W7
      OFFSETS:	39-45
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+egyptian

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P6W8
      OFFSETS:	46-48
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	زال
     IS_TRANS:	zAl
        INDEX:	P6W9
      OFFSETS:	49-52
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAl_1]
   UNSPLITVOC:	(zAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	zAl+(null)
        GLOSS:	end+he/it

 INPUT STRING:	مئات
     IS_TRANS:	m}At
        INDEX:	P6W10
      OFFSETS:	53-57
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(mi}At)
          POS:	NOUN_NUM+NSUFF_FEM_PL
          VOC:	mi}+At
        GLOSS:	hundred+[fem.pl.]

 INPUT STRING:	الاقباط
     IS_TRANS:	AlAqbAT
        INDEX:	P6W11
      OFFSETS:	58-65
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(Al>aqobAT)
          POS:	DET+NOUN
          VOC:	Al+>aqobAT
        GLOSS:	the+Copts

 INPUT STRING:	معتصمين
     IS_TRANS:	mEtSmyn
        INDEX:	P6W12
      OFFSETS:	66-73
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEotaSim_1]
   UNSPLITVOC:	(muEotaSmiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	muEotaSm+iyn
        GLOSS:	seeking refuge/resorting to+[masc.pl]

 INPUT STRING:	مطالبين
     IS_TRANS:	mTAlbyn
        INDEX:	P6W13
      OFFSETS:	74-81
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miTAlib_1]
   UNSPLITVOC:	(mTAlbiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mTAlb+iyn
        GLOSS:	demanding+two

 INPUT STRING:	باعادة
     IS_TRANS:	bAEAdp
        INDEX:	P6W14
      OFFSETS:	82-88
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEAdap_1]
   UNSPLITVOC:	(biAiEAdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+AiEAd+ap
        GLOSS:	with/by+return/repetition+[fem.sg.]

 INPUT STRING:	بناء
     IS_TRANS:	bnA'
        INDEX:	P6W15
      OFFSETS:	89-93
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binA'_1]
   UNSPLITVOC:	(binA')
