 INPUT STRING:	زملائى
     IS_TRANS:	jmAhyrY
        INDEX:	P7W6
      OFFSETS:	22-29
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAhiyriy_1]
   UNSPLITVOC:	(jamAhiyriy)
          POS:	ADJ
          VOC:	jamAhiyriy
        GLOSS:	public

 INPUT STRING:	عقده
     IS_TRANS:	Eqdh
        INDEX:	P7W7
      OFFSETS:	30-34
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqad_1]
   UNSPLITVOC:	(Eaqaduh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	Eaqad+(null)+uh
        GLOSS:	hold/convene/conclude+he/it [verb]+it/him

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P7W8
      OFFSETS:	35-38
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	19
     IS_TRANS:	19
        INDEX:	P7W9
      OFFSETS:	39-41
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[19_1]
   UNSPLITVOC:	(19)
          POS:	NOUN_NUM
          VOC:	19
        GLOSS:	19

 INPUT STRING:	فبراير
     IS_TRANS:	fbrAyr
        INDEX:	P7W10
      OFFSETS:	42-48
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiborAyir_1]
   UNSPLITVOC:	(fiborAyir)
          POS:	NOUN
          VOC:	fiborAyir
        GLOSS:	February

 INPUT STRING:	بنادى
     IS_TRANS:	bnAdY
        INDEX:	P7W11
      OFFSETS:	49-54
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(binAdiy)
          POS:	PREP+NOUN
          VOC:	bi+nAdiy
        GLOSS:	in+club

 INPUT STRING:	الألعاب
     IS_TRANS:	Al>lEAb
        INDEX:	P7W12
      OFFSETS:	55-62
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laEob_1]
   UNSPLITVOC:	(Al>aloEAb)
          POS:	DET+NOUN
          VOC:	Al+>aloEAb
        GLOSS:	the+games/sports/playing

 INPUT STRING:	الرياضية
     IS_TRANS:	AlryADyp
        INDEX:	P7W13
      OFFSETS:	63-71
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyADiy_1]
   UNSPLITVOC:	(Alr~iyADiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+riyADiy~+ap
        GLOSS:	the+sports/sportive+[fem.sg.]

 INPUT STRING:	بمدينة
     IS_TRANS:	bmdynp
        INDEX:	P7W14
      OFFSETS:	72-78
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(bimadiynap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+madiyn+ap
        GLOSS:	with/by+city+[fem.sg.]

 INPUT STRING:	دمنهور
     IS_TRANS:	dmnhwr
        INDEX:	P7W15
      OFFSETS:	79-85
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damanohuwr_1]
   UNSPLITVOC:	(damanohuwr)
          POS:	NOUN_PROP
          VOC:	damanohuwr
        GLOSS:	Damanhour

 INPUT STRING:	محافظة
     IS_TRANS:	mHAfZp
        INDEX:	P7W16
      OFFSETS:	86-92
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAfaZap_1]
   UNSPLITVOC:	(muHAfaZat)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHAfaZ+ap
        GLOSS:	governorate+[fem.sg.]

 INPUT STRING:	البحيرة
     IS_TRANS:	AlbHyrp
        INDEX:	P7W17
      OFFSETS:	93-100
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biHayrap_1]
   UNSPLITVOC:	(AlbiHayrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+biHayr+ap
        GLOSS:	the+Bihira+[fem.sg.]

 INPUT STRING:	أثناء
     IS_TRANS:	>vnA'
        INDEX:	P7W18
      OFFSETS:	101-106
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AvonA'_1]
   UNSPLITVOC:	(AvonA')
          POS:	NOUN
          VOC:	AvonA'
        GLOSS:	while

 INPUT STRING:	زيارته
     IS_TRANS:	zyArth
        INDEX:	P7W19
      OFFSETS:	107-113
       TOKENS:	P7W23-P7W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyArap_1]
   UNSPLITVOC:	(ziyArtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	ziyAr+ap+uh
        GLOSS:	visit/visits+[fem.sg.]+his/its

 INPUT STRING:	للمحافظة
     IS_TRANS:	llmHAfZp
        INDEX:	P7W20
      OFFSETS:	114-122
       TOKENS:	P7W25-P7W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfoZap_1]
   UNSPLITVOC:	(lilmuHAfoZap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+muHAfoZ+ap
        GLOSS:	for/to+the+governorate+[fem.sg.]

 INPUT STRING:	ضمن
     IS_TRANS:	Dmn
        INDEX:	P7W21
      OFFSETS:	123-126
       TOKENS:	P7W27-P7W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dimon_1]
   UNSPLITVOC:	(Dimon)
          POS:	NOUN
          VOC:	Dimon
        GLOSS:	within/inside/among

 INPUT STRING:	جولاته
     IS_TRANS:	jwlAth
        INDEX:	P7W22
      OFFSETS:	127-133
       TOKENS:	P7W28-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jawlap_1]
   UNSPLITVOC:	(jawlAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	jawl+At+uh
        GLOSS:	tour/patrol/round+[fem.pl.]+its/his

 INPUT STRING:	الانتخابية
     IS_TRANS:	AlAntxAbyp
        INDEX:	P7W23
      OFFSETS:	134-144
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAbiy_1]
   UNSPLITVOC:	(Al<inotixAbiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<inotixAbiy~+ap
        GLOSS:	the+electoral/election/selection+[fem.sg.]

 INPUT STRING:	أكد
     IS_TRANS:	>kd
        INDEX:	P7W24
      OFFSETS:	145-148
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~ad_1]
   UNSPLITVOC:	(>ak~id)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ak~ad+(null)
        GLOSS:	affirm/assure/confirm/guarantee+he/it

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P7W25
      OFFSETS:	149-153
       TOKENS:	P7W32-P7W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	موسى
     IS_TRANS:	mwsY
        INDEX:	P7W26
      OFFSETS:	154-158
       TOKENS:	P7W33-P7W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwsaY_1]
   UNSPLITVOC:	(muwsaY)
          POS:	NOUN_PROP
          VOC:	muwsaY
        GLOSS:	Mousa

 INPUT STRING:	المرشح
     IS_TRANS:	Almr$H
        INDEX:	P7W27
      OFFSETS:	159-165
       TOKENS:	P7W34-P7W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aH)
          POS:	DET+NOUN
          VOC:	Al+mura$~aH
        GLOSS:	the+candidate/nominee

 INPUT STRING:	المحتمل
     IS_TRANS:	AlmHtml
        INDEX:	P7W28
      OFFSETS:	166-173
       TOKENS:	P7W35-P7W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotamal_1]
   UNSPLITVOC:	(AlmuHotamal)
          POS:	DET+ADJ
          VOC:	Al+muHotamal
        GLOSS:	the+likely/expected/probable/suspected

 INPUT STRING:	لرئاسة
     IS_TRANS:	lr}Asp
        INDEX:	P7W29
      OFFSETS:	174-180
       TOKENS:	P7W36-P7W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(liri}Asap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+ri}As+ap
        GLOSS:	for/to+presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	الجمهورية
     IS_TRANS:	Aljmhwryp
        INDEX:	P7W30
      OFFSETS:	181-190
       TOKENS:	P7W38-P7W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwriy~ap_1]
   UNSPLITVOC:	(Aljumohuwriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumohuwriy~+ap
        GLOSS:	the+republic+[fem.sg.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P7W31
      OFFSETS:	191-193
       TOKENS:	P7W39-P7W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P7W32
      OFFSETS:	194-199
       TOKENS:	P7W40-P7W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P7W33
      OFFSETS:	200-202
       TOKENS:	P7W41-P7W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P7W34
      OFFSETS:	203-207
       TOKENS:	P7W42-P7W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	اقناعه
     IS_TRANS:	AqnAEh
        INDEX:	P7W35
      OFFSETS:	208-214
       TOKENS:	P7W43-P7W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iqonAE_1]
   UNSPLITVOC:	(<iqonAEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	<iqonAE+uh
        GLOSS:	persuasion/convincing+its/his

 INPUT STRING:	بفكرة
     IS_TRANS:	bfkrp
        INDEX:	P7W36
      OFFSETS:	215-220
       TOKENS:	P7W45-P7W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(bifikorap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+fikor+ap
        GLOSS:	with/by+idea/notion/concept+[fem.sg.]

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P7W37
      OFFSETS:	221-227
       TOKENS:	P7W47-P7W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	التوافقى
     IS_TRANS:	AltwAfqY
        INDEX:	P7W38
      OFFSETS:	228-236
       TOKENS:	P7W48-P7W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawAfuqiy_1]
   UNSPLITVOC:	(Alt~awAfuqiy)
          POS:	DET+ADJ
          VOC:	Al+tawAfuqiy
        GLOSS:	the+compatible/congruent

 INPUT STRING:	لأنهم
     IS_TRANS:	l>nhm
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(li>an~hum)
          POS:	PREP+SUB_CONJ+PRON_3P
          VOC:	li+>an~+hum
        GLOSS:	for+that+they [masc.pl.]

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P8W2
      OFFSETS:	6-8
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P8W3
      OFFSETS:	9-12
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	الفكرة
     IS_TRANS:	Alfkrp
        INDEX:	P8W4
      OFFSETS:	13-19
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(Alfikorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fikor+ap
        GLOSS:	the+idea/notion/concept+[fem.sg.]

 INPUT STRING:	لتراجعها
     IS_TRANS:	ltrAjEhA
        INDEX:	P8W5
      OFFSETS:	20-28
       TOKENS:	P8W7-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tarAjuE_1]
   UNSPLITVOC:	(litarAjuEhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	li+tarAjuE+hA
        GLOSS:	for/to+retreat/backing down/retraction+its/their/her

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W6
      OFFSETS:	29-31
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الديمقراطية
     IS_TRANS:	AldymqrATyp
        INDEX:	P8W7
      OFFSETS:	32-43
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diymuqrATiy~ap_1]
   UNSPLITVOC:	(AldiymuqrATiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+diymuqrATiy~+ap
        GLOSS:	the+democracy+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W8
      OFFSETS:	43-44
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P8W9
      OFFSETS:	45-49
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(wa*`lika)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+*`lika
        GLOSS:	and+that

 INPUT STRING:	رغبة
     IS_TRANS:	rgbp
        INDEX:	P8W10
      OFFSETS:	50-54
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragobap_1]
   UNSPLITVOC:	(ragobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ragob+ap
        GLOSS:	desire/wish/will+[fem.sg.]

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P8W11
      OFFSETS:	55-59
       TOKENS:	P8W16-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them [masc.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W12
      OFFSETS:	60-62
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P8W13
      OFFSETS:	63-65
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	That

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P8W14
      OFFSETS:	66-70
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P8W15
      OFFSETS:	71-75
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P8W16
      OFFSETS:	76-80
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	منتخب
     IS_TRANS:	mntxb
        INDEX:	P8W17
      OFFSETS:	81-86
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaxab_1]
   UNSPLITVOC:	(munotaxab)
          POS:	ADJ
          VOC:	munotaxab
        GLOSS:	elected/elect/voted

 INPUT STRING:	بطريقة
     IS_TRANS:	bTryqp
        INDEX:	P8W18
      OFFSETS:	87-93
       TOKENS:	P8W24-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(biTariyqap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Tariyq+ap
        GLOSS:	with/by+method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	ديمقراطية
     IS_TRANS:	dymqrATyp
        INDEX:	P8W19
      OFFSETS:	94-103
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diymuqorATiy_1]
   UNSPLITVOC:	(diymuqorATiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	diymuqorATiy~+ap
        GLOSS:	democratic+[fem.sg.]

 INPUT STRING:	واضحة
     IS_TRANS:	wADHp
        INDEX:	P8W20
      OFFSETS:	104-109
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wADoH+ap
        GLOSS:	clear/obvious/visible+[fem.sg.]

 INPUT STRING:	وشفافة
     IS_TRANS:	w$fAfp
        INDEX:	P8W21
      OFFSETS:	110-116
       TOKENS:	P8W28-P8W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$af~Af_1]
   UNSPLITVOC:	(wi$af~Afap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+$af~Af+ap
        GLOSS:	and+translucent/transparent+[fem.sg.]

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P8W22
      OFFSETS:	117-120
       TOKENS:	P8W30-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	رقابة
     IS_TRANS:	rqAbp
        INDEX:	P8W23
      OFFSETS:	121-126
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riqAbap_1]
   UNSPLITVOC:	(riqAbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	riqAb+ap
        GLOSS:	censorship/surveillance+[fem.sg.]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	بغض
     IS_TRANS:	bgD
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W2-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gaD~_1]
   UNSPLITVOC:	(bigaD~)
          POS:	PREP+NOUN
          VOC:	bi+gaD~
        GLOSS:	with/by+turning aside

 INPUT STRING:	النظر
     IS_TRANS:	AlnZr
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(Aln~aZar)
          POS:	DET+NOUN
          VOC:	Al+naZar
        GLOSS:	the+view/look/seeing/eye-sight

 INPUT STRING:	عمن
     IS_TRANS:	Emn
        INDEX:	P9W4
      OFFSETS:	16-19
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eam~an_1]
   UNSPLITVOC:	(Eam~an)
          POS:	PREP+REL_PRON
          VOC:	Ean+man
        GLOSS:	(away) from, off, about, on, over+who/whom

 INPUT STRING:	سيكون
     IS_TRANS:	sykwn
        INDEX:	P9W5
      OFFSETS:	20-25
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(sayakuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W6
      OFFSETS:	25-26
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P10W1
      OFFSETS:	0-3
