 INPUT STRING:	الموقف
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P17W9
      OFFSETS:	48-51
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فشوش
     IS_TRANS:	f$w$
        INDEX:	P17W10
      OFFSETS:	52-56
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa$uw$_1]
   UNSPLITVOC:	(fa$uw$)
          POS:	NOUN
          VOC:	fa$uw$
        GLOSS:	without inerest

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	رحت
     IS_TRANS:	rHt
        INDEX:	P18W2
      OFFSETS:	6-9
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruHt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	ruH+t
        GLOSS:	go+I

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P18W3
      OFFSETS:	10-13
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	وزميلتى
     IS_TRANS:	wzmyltY
        INDEX:	P18W4
      OFFSETS:	14-21
       TOKENS:	P18W4-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zamiyl_1]
   UNSPLITVOC:	(wazamiyltiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wa+zamiyl+tiy
        GLOSS:	and+colleague/associate/companion+my

 INPUT STRING:	وقلنا
     IS_TRANS:	wqlnA
        INDEX:	P18W5
      OFFSETS:	22-27
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqulnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+qul+nA
        GLOSS:	and+said/say/be said/say/(for example)+we

 INPUT STRING:	نصور
     IS_TRANS:	nSwr
        INDEX:	P18W6
      OFFSETS:	28-32
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(niSaw~ar)
          POS:	IV1P+IV
          VOC:	ni+Saw~ar
        GLOSS:	we+film/photograph/be filmed/be photographed

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W7
      OFFSETS:	33-35
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P18W8
      OFFSETS:	36-40
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	again

 INPUT STRING:	وإذ
     IS_TRANS:	w<*
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<i*o_2]
   UNSPLITVOC:	(wi<i*o)
          POS:	CONJ+PART
          VOC:	wi+<i*o
        GLOSS:	and+suddenly

 INPUT STRING:	فجأة
     IS_TRANS:	fj>p
        INDEX:	P19W2
      OFFSETS:	4-8
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajo>ap_1]
   UNSPLITVOC:	(fajo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fajo>+ap
        GLOSS:	suddenly+[fem.sg.]

 INPUT STRING:	لاقينا
     IS_TRANS:	lAqynA
        INDEX:	P19W3
      OFFSETS:	9-15
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(lAqiynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	lAqiy+nA
        GLOSS:	meet/encounter/be met/be encountered+we

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P19W4
      OFFSETS:	16-17
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[3_1]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P19W5
      OFFSETS:	18-22
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Ab_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	young man/young men

 INPUT STRING:	شكلهم
     IS_TRANS:	$klhm
        INDEX:	P19W6
      OFFSETS:	23-28
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akoluhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	$akol+hum
        GLOSS:	manner/form/configuration/manners / types/forms/configurations+their

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P19W7
      OFFSETS:	29-32
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like/such

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W8
      OFFSETS:	33-35
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P19W9
      OFFSETS:	36-40
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيشموا
     IS_TRANS:	by$mwA
        INDEX:	P19W10
      OFFSETS:	41-47
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$am~_1]
   UNSPLITVOC:	(biy$am~uwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+y+$am~+uwA
        GLOSS:	[present-tense]+they+smell/sniff+they

 INPUT STRING:	واقفين
     IS_TRANS:	wAqfyn
        INDEX:	P19W11
      OFFSETS:	48-54
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	wAqof+iyn
        GLOSS:	standing+[masc.pl.]

 INPUT STRING:	بيصورونا
     IS_TRANS:	bySwrwnA
        INDEX:	P19W12
      OFFSETS:	55-63
       TOKENS:	P19W15-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(biyiSaw~aruwnA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	bi+yi+Saw~ar+uwA+nA
        GLOSS:	[present-tense]+they+film/photograph/be filmed/be photographed+they+us

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN
          VOC:	TabEAF
        GLOSS:	of course/naturally

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P20W2
      OFFSETS:	5-8
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it

 INPUT STRING:	شجار
     IS_TRANS:	$jAr
        INDEX:	P20W3
      OFFSETS:	9-13
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ijAr_1]
   UNSPLITVOC:	($ijAr)
          POS:	NOUN
          VOC:	$ijAr
        GLOSS:	quarrel/dispute

 INPUT STRING:	بينا
     IS_TRANS:	bynA
        INDEX:	P20W4
      OFFSETS:	14-18
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayna_1]
   UNSPLITVOC:	(binanA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bina+nA
        GLOSS:	between/among+us

 INPUT STRING:	وبينهم
     IS_TRANS:	wbynhm
        INDEX:	P20W5
      OFFSETS:	19-25
       TOKENS:	P20W6-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(wibiyonhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+biyon+hum
        GLOSS:	and+between+them

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[fa_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/non-/not

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P21W2
      OFFSETS:	4-6
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P21W3
      OFFSETS:	7-11
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W4
      OFFSETS:	12-14
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P21W5
      OFFSETS:	15-19
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	رايح
     IS_TRANS:	rAyH
        INDEX:	P21W6
      OFFSETS:	20-24
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyiH)
          POS:	ADJ
          VOC:	rAyiH
        GLOSS:	going

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P21W7
      OFFSETS:	25-30
       TOKENS:	P21W8-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~iy_1]
   UNSPLITVOC:	(wiAll~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+All~iy
        GLOSS:	and+which/who/whom

 INPUT STRING:	جاي
     IS_TRANS:	jAy
        INDEX:	P21W8
      OFFSETS:	31-34
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy_1]
   UNSPLITVOC:	(jAy)
          POS:	ADJ
          VOC:	jAy
        GLOSS:	coming

 INPUT STRING:	حاول
     IS_TRANS:	HAwl
        INDEX:	P21W9
      OFFSETS:	35-39
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwil)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HAwil+(null)
        GLOSS:	attempt/try+he/it

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P21W10
      OFFSETS:	40-43
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	يتدخل
     IS_TRANS:	ytdxl
        INDEX:	P21W11
      OFFSETS:	44-49
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tadax~al_1]
   UNSPLITVOC:	(yatadax~al)
          POS:	IV3MS+IV
          VOC:	ya+tadax~al
        GLOSS:	he/it+intervene/interfere/meddle

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P22W2
      OFFSETS:	3-7
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W3
      OFFSETS:	8-10
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	شايفين
     IS_TRANS:	$Ayfyn
        INDEX:	P22W4
      OFFSETS:	11-17
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	$Ayof+iyn
        GLOSS:	seeing+[masc.pl.]

 INPUT STRING:	بنتين
     IS_TRANS:	bntyn
        INDEX:	P22W5
      OFFSETS:	18-23
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	binot+ayn
        GLOSS:	daughter/girl/daughters/girls+two

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P23W2
      OFFSETS:	6-9
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	شديت
     IS_TRANS:	$dyt
        INDEX:	P23W3
      OFFSETS:	10-14
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ad~_1]
   UNSPLITVOC:	($ad~ayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	$ad~+ayt
        GLOSS:	strain+I

 INPUT STRING:	زميلتى
     IS_TRANS:	zmyltY
        INDEX:	P23W4
      OFFSETS:	15-21
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zamiyl_1]
   UNSPLITVOC:	(zamiylotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	zamiylot+iy
        GLOSS:	collegue+my

 INPUT STRING:	ومشينا
     IS_TRANS:	wm$ynA
        INDEX:	P23W5
      OFFSETS:	22-28
       TOKENS:	P23W6-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(wimi$iynA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+mi$iy+nA
        GLOSS:	and+walk+we

 INPUT STRING:	والتريقة
     IS_TRANS:	wAltryqp
        INDEX:	P24W1
      OFFSETS:	0-8
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taroyaqap_1]
   UNSPLITVOC:	(wiAltaroyaqap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+taroyaq+ap
        GLOSS:	and+the+moking+[fem.sg.]

 INPUT STRING:	اكتملت
     IS_TRANS:	Aktmlt
        INDEX:	P24W2
      OFFSETS:	9-15
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ikotamal_1]
   UNSPLITVOC:	(Aikotamalat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aikotamal+at
        GLOSS:	be completed/be perfect/be integral+it/they/she [verb]

 INPUT STRING:	ولاقينا
     IS_TRANS:	wlAqynA
        INDEX:	P24W3
      OFFSETS:	16-23
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(wilAqiynA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+lAqiy+nA
        GLOSS:	and+meet/encounter/be met/be encountered+we

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P24W4
      OFFSETS:	24-28
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	شاب
     IS_TRANS:	$Ab
        INDEX:	P24W5
      OFFSETS:	29-32
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($Ab~)
          POS:	NOUN
          VOC:	$Ab~
        GLOSS:	young man/young men

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P24W6
      OFFSETS:	33-37
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ.VN
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	ورانا
     IS_TRANS:	wrAnA
        INDEX:	P24W7
      OFFSETS:	38-43
       TOKENS:	P24W9-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	warA+nA
        GLOSS:	behind+us

 INPUT STRING:	وعايز
     IS_TRANS:	wEAyz
        INDEX:	P24W8
      OFFSETS:	44-49
       TOKENS:	P24W11-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(wiEAyiz)
          POS:	CONJ+ADJ.VN
          VOC:	wi+EAyiz
        GLOSS:	and+wanting

 INPUT STRING:	يكلمنا
     IS_TRANS:	yklmnA
        INDEX:	P24W9
      OFFSETS:	50-56
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(yikal~imnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+kal~im+nA
        GLOSS:	he/it+speak to/talk to+us

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	بنات
     IS_TRANS:	bnAt
        INDEX:	P25W2
      OFFSETS:	6-10
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(banAt)
          POS:	NOUN
          VOC:	banAt
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P25W3
      OFFSETS:	11-13
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P25W4
      OFFSETS:	14-20
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P25W5
      OFFSETS:	21-25
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+work/function/act

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P25W6
      OFFSETS:	26-29
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what/whose/which

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P25W7
      OFFSETS:	29-30
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	المهم
