 INPUT STRING:	الحمد
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P5W7
      OFFSETS:	31-34
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	يصح
     IS_TRANS:	ySH
        INDEX:	P5W8
      OFFSETS:	35-38
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(yiSaH~)
          POS:	IV3MS+IV
          VOC:	yi+SaH~
        GLOSS:	he/it+be correct/be true

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W9
      OFFSETS:	39-41
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	نولى
     IS_TRANS:	nwlY
        INDEX:	P5W10
      OFFSETS:	42-46
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~ay_1]
   UNSPLITVOC:	(niwal~iy)
          POS:	IV1P+IV
          VOC:	ni+wal~iy
        GLOSS:	we+put in charge/entrust/commission

 INPUT STRING:	شئوننا
     IS_TRANS:	$}wnnA
        INDEX:	P5W11
      OFFSETS:	47-53
       TOKENS:	P5W13-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	($u}uwn~A)
          POS:	NOUN+POSS_PRON_1P
          VOC:	$u}uwn+nA
        GLOSS:	affairs/matters+our

 INPUT STRING:	امراه
     IS_TRANS:	AmrAh
        INDEX:	P5W12
      OFFSETS:	54-59
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AmrAh)
          POS:	TYPO
          VOC:	AmrAh
        GLOSS:	nogloss

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P5W13
      OFFSETS:	60-66
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	الحزب
     IS_TRANS:	AlHzb
        INDEX:	P5W14
      OFFSETS:	67-72
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(AlHizob)
          POS:	DET+NOUN
          VOC:	Al+Hizob
        GLOSS:	the+party/band

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P5W15
      OFFSETS:	73-78
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P5W16
      OFFSETS:	79-82
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	نساء
     IS_TRANS:	nsA'
        INDEX:	P5W17
      OFFSETS:	83-87
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(nisA')
          POS:	NOUN
          VOC:	nisA'
        GLOSS:	women

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W18
      OFFSETS:	88-90
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القائمه
     IS_TRANS:	AlqA}mh
        INDEX:	P5W19
      OFFSETS:	91-98
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qA}imap_1]
   UNSPLITVOC:	(AlqA}imap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qA}im+ap
        GLOSS:	the+list/index+[fem.sg.]

 INPUT STRING:	الحزبيه
     IS_TRANS:	AlHzbyh
        INDEX:	P5W20
      OFFSETS:	99-106
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizobiy_1]
   UNSPLITVOC:	(AlHizobiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hizobiy~+ap
        GLOSS:	the+party/partisan/factional+[fem.sg.]

 INPUT STRING:	لحزب
     IS_TRANS:	lHzb
        INDEX:	P5W21
      OFFSETS:	107-111
       TOKENS:	P5W25-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(liHizob)
          POS:	PREP+NOUN
          VOC:	li+Hizob
        GLOSS:	for/to+party/band

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P5W22
      OFFSETS:	112-117
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	اصلها
     IS_TRANS:	ASlhA
        INDEX:	P5W23
      OFFSETS:	118-123
       TOKENS:	P5W28-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>aSol+hA
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital+its/their/her

 INPUT STRING:	سياسه
     IS_TRANS:	syAsh
        INDEX:	P5W24
      OFFSETS:	124-129
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	مصالح
     IS_TRANS:	mSAlH
        INDEX:	P5W25
      OFFSETS:	130-135
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSAliH)
          POS:	NOUN
          VOC:	maSAliH
        GLOSS:	interest/advantage/favor

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W26
      OFFSETS:	136-138
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لعبه
     IS_TRANS:	lEbh
        INDEX:	P5W27
      OFFSETS:	139-143
       TOKENS:	P5W33-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEobap_1]
   UNSPLITVOC:	(liEobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	liEob+ap
        GLOSS:	game/match/event+[fem.sg.]

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P5W28
      OFFSETS:	144-147
       TOKENS:	P5W34-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diyn)
          POS:	NOUN
          VOC:	diyn
        GLOSS:	religion

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P5W29
      OFFSETS:	148-150
       TOKENS:	P5W35-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	something like

 INPUT STRING:	ماهما
     IS_TRANS:	mAhmA
        INDEX:	P5W30
      OFFSETS:	151-156
       TOKENS:	P5W36-P5W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(mA_hum~A)
          POS:	SUB_CONJ+PRON_3P
          VOC:	mA+hum~A
        GLOSS:	what+they

 INPUT STRING:	بيقنعوا
     IS_TRANS:	byqnEwA
        INDEX:	P5W31
      OFFSETS:	157-164
       TOKENS:	P5W38-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqonaE_1]
   UNSPLITVOC:	(biyiqoniEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+qoniE+uwA
        GLOSS:	[present-tense]+they+convince+[pl.]

 INPUT STRING:	العامه
     IS_TRANS:	AlEAmh
        INDEX:	P5W32
      OFFSETS:	165-171
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm~ap_1]
   UNSPLITVOC:	(AlEAm~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EAm~+ap
        GLOSS:	the+general public/populace+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	صراحه
     IS_TRANS:	SrAHh
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(SarAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SarAH+ap
        GLOSS:	sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	متأكد
     IS_TRANS:	mt>kd
        INDEX:	P6W3
      OFFSETS:	10-15
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muta>ak~id_1]
   UNSPLITVOC:	(muta>ak~id)
          POS:	ADJ.VN
          VOC:	muta>ak~id
        GLOSS:	certain/sure

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W4
      OFFSETS:	16-18
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	موضوعى
     IS_TRANS:	mwDwEY
        INDEX:	P6W5
      OFFSETS:	19-25
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwEiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	mawDuwE+iy
        GLOSS:	subject/theme/issue+my

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W6
      OFFSETS:	26-28
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حيعجب
     IS_TRANS:	HyEjb
        INDEX:	P6W7
      OFFSETS:	29-34
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(HayiEojib)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Eojib
        GLOSS:	will+he/it+please/delight

 INPUT STRING:	الكتير
     IS_TRANS:	Alktyr
        INDEX:	P6W8
      OFFSETS:	35-41
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(Alkitiyr)
          POS:	DET+NOUN
          VOC:	Al+kitiyr
        GLOSS:	the+many/much/numerous

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W9
      OFFSETS:	42-44
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مشكله
     IS_TRANS:	m$klh
        INDEX:	P6W10
      OFFSETS:	45-50
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue+[fem.sg.]

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P6W11
      OFFSETS:	51-56
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+ADJ
          VOC:	Al+muhim~
        GLOSS:	the+important/serious

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P6W12
      OFFSETS:	57-60
       TOKENS:	P6W14-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	باقول
     IS_TRANS:	bAqwl
        INDEX:	P6W13
      OFFSETS:	61-66
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/say/(for example)

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P6W14
      OFFSETS:	67-71
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	يمليه
     IS_TRANS:	ymlyh
        INDEX:	P6W15
      OFFSETS:	72-77
       TOKENS:	P6W19-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amolaY_1]
   UNSPLITVOC:	(yimoliyh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+moliy+uh
        GLOSS:	he/it+impose/dictate+him/it

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P6W16
      OFFSETS:	78-82
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealay~A)
          POS:	PREP+PRON_1S
          VOC:	EalaY+iy
        GLOSS:	on/above+me

 INPUT STRING:	ضميرى
     IS_TRANS:	DmyrY
        INDEX:	P6W17
      OFFSETS:	83-88
       TOKENS:	P6W23-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Damiyr_1]
   UNSPLITVOC:	(Damiyriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Damiyr+iy
        GLOSS:	conscience/pronoun/consciences/pronouns+my

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P6W18
      OFFSETS:	89-92
       TOKENS:	P6W25-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P6W19
      OFFSETS:	93-96
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hawol_1]
   UNSPLITVOC:	(Hawol)
          POS:	NOUN
          VOC:	Hawol
        GLOSS:	power

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P6W20
      OFFSETS:	97-100
       TOKENS:	P6W28-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	قوه
     IS_TRANS:	qwh
        INDEX:	P6W21
      OFFSETS:	101-104
       TOKENS:	P6W30-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W22
      OFFSETS:	105-108
       TOKENS:	P6W31-P6W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P6W23
      OFFSETS:	109-114
       TOKENS:	P6W32-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	طالب
     IS_TRANS:	TAlb
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(TAlib)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	TAlib+(null)
        GLOSS:	demand/require+he/it [verb]

 INPUT STRING:	د
     IS_TRANS:	d
        INDEX:	P7W2
      OFFSETS:	5-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[d_1]
   UNSPLITVOC:	(d)
          POS:	ABBREV
          VOC:	d
        GLOSS:	D./4th/Dr./(minute)/(dinar)/(dirham)

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W3
      OFFSETS:	6-7
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ياسر
     IS_TRANS:	yAsr
        INDEX:	P7W4
      OFFSETS:	8-12
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAsir_1]
   UNSPLITVOC:	(yAsir)
          POS:	NOUN_PROP
          VOC:	yAsir
        GLOSS:	Yasser/Yasir

 INPUT STRING:	برهامى
     IS_TRANS:	brhAmY
        INDEX:	P7W5
      OFFSETS:	13-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[burhAmiy_1]
   UNSPLITVOC:	(burhAmiy)
          POS:	NOUN_PROP
          VOC:	burhAmiy
        GLOSS:	brhamy

 INPUT STRING:	القيادى
     IS_TRANS:	AlqyAdY
        INDEX:	P7W6
      OFFSETS:	20-27
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qiyAdiy_2]
   UNSPLITVOC:	(AlqiyAdiy)
          POS:	DET+NOUN
          VOC:	Al+qiyAdiy
        GLOSS:	the+leader/commander

 INPUT STRING:	بحزب
     IS_TRANS:	bHzb
        INDEX:	P7W7
      OFFSETS:	28-32
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(biHizob)
          POS:	PREP+NOUN
          VOC:	bi+Hizob
        GLOSS:	with/by+party/band/parties/bands

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P7W8
      OFFSETS:	33-38
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	السلفى
     IS_TRANS:	AlslfY
        INDEX:	P7W9
      OFFSETS:	39-45
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(Als~alafiy)
          POS:	DET+ADJ
          VOC:	Al+salafiy
        GLOSS:	the+Salafi/Salafist

 INPUT STRING:	ونائب
     IS_TRANS:	wnA}b
        INDEX:	P7W10
      OFFSETS:	46-51
       TOKENS:	P7W11-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(winA}ib)
          POS:	CONJ+NOUN
          VOC:	wi+nA}ib
        GLOSS:	and+deputy/delegate

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P7W11
      OFFSETS:	52-56
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	الدعوة
     IS_TRANS:	AldEwp
        INDEX:	P7W12
      OFFSETS:	57-63
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(Ald~aEowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+daEow+ap
        GLOSS:	the+call/invitation/supplication/calls/invitations/supplications+[fem.sg.]

 INPUT STRING:	السلفية
     IS_TRANS:	Alslfyp
        INDEX:	P7W13
      OFFSETS:	64-71
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alsalafiy_1]
   UNSPLITVOC:	(Alsalafiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+salafiy~+ap
        GLOSS:	the+Salafi/Salafist+[fem.sg.]

 INPUT STRING:	بتعديل
     IS_TRANS:	btEdyl
        INDEX:	P7W14
      OFFSETS:	72-78
       TOKENS:	P7W16-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(bitaEodiyl)
          POS:	PREP+NOUN
          VOC:	bi+taEodiyl
        GLOSS:	with/by+adjustment/change/modification/amendment

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P7W15
      OFFSETS:	79-82
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
