 INPUT STRING:	وتتوالى
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quw~+ap
        GLOSS:	the+power/strength/force/violence+[fem.sg.]

 INPUT STRING:	والتأثير
     IS_TRANS:	wAlt>vyr
        INDEX:	P13W7
      OFFSETS:	40-48
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta>oviyr_1]
   UNSPLITVOC:	(waAlta>oviyr)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+ta>oviyr
        GLOSS:	and+the+effect/influence/impact

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P13W8
      OFFSETS:	49-52
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	القرار
     IS_TRANS:	AlqrAr
        INDEX:	P13W9
      OFFSETS:	53-59
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(AlqarAr)
          POS:	DET+NOUN
          VOC:	Al+qarAr
        GLOSS:	the+decision/resolution

 INPUT STRING:	حرية
     IS_TRANS:	Hryp
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(Hur~iy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hur~iy~+ap
        GLOSS:	freedom+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W2
      OFFSETS:	5-6
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W3
      OFFSETS:	6-7
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W4
      OFFSETS:	7-8
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W5
      OFFSETS:	8-9
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W6
      OFFSETS:	9-10
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W7
      OFFSETS:	10-11
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	طائفة
     IS_TRANS:	TA}fp
        INDEX:	P15W1
      OFFSETS:	1-6
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TA}ifap_1]
   UNSPLITVOC:	(TA}ifap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	TA}if+ap
        GLOSS:	sect/party/faction+[fem.sg.]

 INPUT STRING:	تدعو
     IS_TRANS:	tdEw
        INDEX:	P15W2
      OFFSETS:	7-11
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEay_1]
   UNSPLITVOC:	(tidoEuw)
          POS:	IV3FS+IV
          VOC:	ti+doEuw
        GLOSS:	it/they/she+call/invite

 INPUT STRING:	لمليونية
     IS_TRANS:	lmlywnyp
        INDEX:	P15W3
      OFFSETS:	12-20
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[milyuwniy~ap_1]
   UNSPLITVOC:	(limilyuwniy~ap)
          POS:	PREP+NOUN_NUM+NSUFF_FEM_SG
          VOC:	li+milyuwniy~+ap
        GLOSS:	for/to+demonstration of million+[fem.sg.]

 INPUT STRING:	لتطالب
     IS_TRANS:	ltTAlb
        INDEX:	P15W4
      OFFSETS:	21-27
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ltTAlb)
          POS:	NO_FUNC
          VOC:	ltTAlb
        GLOSS:	nogloss

 INPUT STRING:	باسقاط
     IS_TRANS:	bAsqAT
        INDEX:	P15W5
      OFFSETS:	28-34
       TOKENS:	P15W6-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoqAT_1]
   UNSPLITVOC:	(bi<isoqAT)
          POS:	PREP+NOUN
          VOC:	bi+<isoqAT
        GLOSS:	with/by+overthrow/shooting down

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P15W6
      OFFSETS:	35-41
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	والتنازل
     IS_TRANS:	wAltnAzl
        INDEX:	P15W7
      OFFSETS:	42-50
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanAzul_1]
   UNSPLITVOC:	(wiAltanAzul)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tanAzul
        GLOSS:	and+the+concession/waiver/yielding/concessions

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P15W8
      OFFSETS:	51-53
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P15W9
      OFFSETS:	54-59
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P15W10
      OFFSETS:	60-63
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them (they have)

 INPUT STRING:	أمناء
     IS_TRANS:	>mnA'
        INDEX:	P16W1
      OFFSETS:	1-6
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amiyn_3]
   UNSPLITVOC:	(>umanA')
          POS:	NOUN
          VOC:	>umanA'
        GLOSS:	trustees/secretaries

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P16W2
      OFFSETS:	7-13
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	تركونا
     IS_TRANS:	trkwnA
        INDEX:	P16W3
      OFFSETS:	14-20
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarak_1]
   UNSPLITVOC:	(tarakuwnA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1P
          VOC:	tarak+uwA+nA
        GLOSS:	leave/quit+they [verb]+us

 INPUT STRING:	للبلطجية
     IS_TRANS:	llblTjyp
        INDEX:	P16W4
      OFFSETS:	21-29
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(lilbaloTajiy~ap)
          POS:	PREP+DET+ADJ+NSUFF_FEM_SG
          VOC:	li+Al+baloTajiy~+ap
        GLOSS:	to/for+the+gangster/ruffian+[fem.sg.]

 INPUT STRING:	وذهبوا
     IS_TRANS:	w*hbwA
        INDEX:	P16W5
      OFFSETS:	30-36
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*ahab-a_1]
   UNSPLITVOC:	(wa*ahabuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MP
          VOC:	wa+*ahab+uwA
        GLOSS:	and+go/depart+they [verb]

 INPUT STRING:	ليعتصمون
     IS_TRANS:	lyEtSmwn
        INDEX:	P16W6
      OFFSETS:	37-45
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lyEtSmwn)
          POS:	NO_FUNC
          VOC:	lyEtSmwn
        GLOSS:	nogloss

 INPUT STRING:	مجموعة
     IS_TRANS:	mjmwEp
        INDEX:	P17W1
      OFFSETS:	1-7
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majomuwEap_1]
   UNSPLITVOC:	(majomuwEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majomuwE+ap
        GLOSS:	collection/group/bloc+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W2
      OFFSETS:	8-10
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مجهولين
     IS_TRANS:	mjhwlyn
        INDEX:	P17W3
      OFFSETS:	11-18
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majohuwl_1]
   UNSPLITVOC:	(majohuwliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	majohuwl+iyn
        GLOSS:	unknown/unidentified+[masc.pl.]

 INPUT STRING:	الهوية
     IS_TRANS:	Alhwyp
        INDEX:	P17W4
      OFFSETS:	19-25
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawiy~ap_1]
   UNSPLITVOC:	(Alhawiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+hawiy~+ap
        GLOSS:	the+identity+[fem.sg.]

 INPUT STRING:	تتحكم
     IS_TRANS:	ttHkm
        INDEX:	P17W5
      OFFSETS:	26-31
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHakam_1]
   UNSPLITVOC:	(titoHikim)
          POS:	IV3FS+IV
          VOC:	ti+toHikim
        GLOSS:	it/they/she+control/judge

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P17W6
      OFFSETS:	32-34
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مسار
     IS_TRANS:	msAr
        INDEX:	P17W7
      OFFSETS:	35-39
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masAr_1]
   UNSPLITVOC:	(masAr)
          POS:	NOUN
          VOC:	masAr
        GLOSS:	path/route

 INPUT STRING:	وطن
     IS_TRANS:	wTn
        INDEX:	P17W8
      OFFSETS:	40-43
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(waTan)
          POS:	NOUN
          VOC:	waTan
        GLOSS:	nation/homeland

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P17W9
      OFFSETS:	44-46
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	طريق
     IS_TRANS:	Tryq
        INDEX:	P17W10
      OFFSETS:	47-51
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/means/method

 INPUT STRING:	الفيسبوك
     IS_TRANS:	Alfysbwk
        INDEX:	P17W11
      OFFSETS:	52-60
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alfysbwk)
          POS:	FOREIGN
          VOC:	Alfysbwk
        GLOSS:	nogloss

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	عليكى
     IS_TRANS:	ElykY
        INDEX:	P18W2
      OFFSETS:	6-11
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you [fem.sg.]

 INPUT STRING:	أيتها
     IS_TRANS:	>ythA
        INDEX:	P18W3
      OFFSETS:	12-17
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~atuhA_1]
   UNSPLITVOC:	(>ay~tuhA)
          POS:	VOC_PART
          VOC:	>ay~tuhA
        GLOSS:	O, oh

 INPUT STRING:	الحرية
     IS_TRANS:	AlHryp
        INDEX:	P18W4
      OFFSETS:	18-24
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(AlHur~iy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hur~iy~+ap
        GLOSS:	the+freedom+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	INTERROG_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	الأيدى
     IS_TRANS:	Al>ydY
        INDEX:	P19W2
      OFFSETS:	3-9
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(Al>ayodiy)
          POS:	DET+NOUN
          VOC:	Al+>ayodiy
        GLOSS:	the+hands

 INPUT STRING:	الخفية
     IS_TRANS:	Alxfyp
        INDEX:	P19W3
      OFFSETS:	10-16
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alxafiy_1]
   UNSPLITVOC:	(Alxafiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xafiy~+ap
        GLOSS:	the+hidden/secret/invisible+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P19W4
      OFFSETS:	17-21
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	تسعى
     IS_TRANS:	tsEY
        INDEX:	P19W5
      OFFSETS:	22-26
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEaY_1]
   UNSPLITVOC:	(tisoEaY)
          POS:	IV3FS+IV
          VOC:	ti+soEaY
        GLOSS:	it/they/she+strive/pursue

 INPUT STRING:	لتشتيت
     IS_TRANS:	lt$tyt
        INDEX:	P19W6
      OFFSETS:	27-33
       TOKENS:	P19W6-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$otiyt_1]
   UNSPLITVOC:	(lita$otiyt)
          POS:	PREP+NOUN
          VOC:	li+ta$otiyt
        GLOSS:	for/to+dispersion/scattering/disruption

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P19W7
      OFFSETS:	34-38
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kul~
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P19W8
      OFFSETS:	39-41
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P19W9
      OFFSETS:	42-46
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kul~
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P19W10
      OFFSETS:	47-48
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ودائما
     IS_TRANS:	wdA}mA
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(wadA}imAF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wa+dA}im+AF
        GLOSS:	and+always+[acc.indef.]

 INPUT STRING:	تذهب
     IS_TRANS:	t*hb
        INDEX:	P20W2
      OFFSETS:	7-11
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ahab_1]
   UNSPLITVOC:	(ti*ohab)
          POS:	IV3FS+IV
          VOC:	ti+*ohab
        GLOSS:	she/it/they+go/depart

 INPUT STRING:	بنا
     IS_TRANS:	bnA
        INDEX:	P20W3
      OFFSETS:	12-15
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(binA)
          POS:	PREP+PRON_1P
          VOC:	bi+nA
        GLOSS:	with/by+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W4
      OFFSETS:	16-18
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السىء
     IS_TRANS:	AlsY'
        INDEX:	P20W5
      OFFSETS:	19-24
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~i'_1]
   UNSPLITVOC:	(Als~ay~i')
          POS:	DET+ADJ
          VOC:	Al+say~i'
        GLOSS:	the+bad

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P20W6
      OFFSETS:	25-28
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	الأسوأ
     IS_TRANS:	Al>sw>
        INDEX:	P20W7
      OFFSETS:	29-35
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asowa>_1]
   UNSPLITVOC:	(Al>asowa>)
          POS:	DET+ADJ_COMP
          VOC:	Al+>asowa>
        GLOSS:	the+worse/worst

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P21W1
      OFFSETS:	0-2
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P21W2
      OFFSETS:	3-6
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P21W3
      OFFSETS:	7-9
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiya_1]
   UNSPLITVOC:	(hiya)
          POS:	PRON_3FS
          VOC:	hiya
        GLOSS:	it/they/she

 INPUT STRING:	حياتنا
     IS_TRANS:	HyAtnA
        INDEX:	P21W4
      OFFSETS:	10-16
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(HayAtnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	HayA+ap+nA
        GLOSS:	life/lives+[fem.sg.]+our

 INPUT STRING:	القادمة
     IS_TRANS:	AlqAdmp
        INDEX:	P21W5
      OFFSETS:	17-24
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlqAdim_1]
   UNSPLITVOC:	(AlqAdimap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qAdim+ap
        GLOSS:	the+next/following/future+[fem.sg.]

 INPUT STRING:	لنؤهل
     IS_TRANS:	ln&hl
        INDEX:	P21W6
      OFFSETS:	25-30
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ln&hl)
          POS:	NO_FUNC
          VOC:	ln&hl
        GLOSS:	nogloss

 INPUT STRING:	أنفسنا
