 INPUT STRING:	الحياة
      OFFSETS:	100-106
       TOKENS:	P13W26-P13W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(musotaqobal)
          POS:	NOUN
          VOC:	musotaqobal
        GLOSS:	future

 INPUT STRING:	اليابان
     IS_TRANS:	AlyAbAn
        INDEX:	P13W22
      OFFSETS:	107-114
       TOKENS:	P13W27-P13W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAbAn_1]
   UNSPLITVOC:	(AlyAbAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+yAbAn
        GLOSS:	the+Japan

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W23
      OFFSETS:	114-115
       TOKENS:	P13W28-P13W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W24
      OFFSETS:	115-116
       TOKENS:	P13W29-P13W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W1
      OFFSETS:	1-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	برنامجه
     IS_TRANS:	brnAmjh
        INDEX:	P14W2
      OFFSETS:	4-11
       TOKENS:	P14W2-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[birnAmij_1]
   UNSPLITVOC:	(birnAmjuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+rnAmj+uh
        GLOSS:	with/by+program+his/its

 INPUT STRING:	الرائع
     IS_TRANS:	AlrA}E
        INDEX:	P14W3
      OFFSETS:	12-18
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iE_1]
   UNSPLITVOC:	(Alr~A}iE)
          POS:	DET+ADJ
          VOC:	Al+rA}iE
        GLOSS:	the+splendid/marvelous/magnificent

 INPUT STRING:	«
     IS_TRANS:	&#xab;
        INDEX:	P14W4
      OFFSETS:	19-20
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xab;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	خواطر
     IS_TRANS:	xwATr
        INDEX:	P14W5
      OFFSETS:	20-25
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xATir_1]
   UNSPLITVOC:	(xawATir)
          POS:	NOUN
          VOC:	xawATir
        GLOSS:	ideas/thoughts

 INPUT STRING:	»
     IS_TRANS:	&#xbb;
        INDEX:	P14W6
      OFFSETS:	25-26
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xbb;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W7
      OFFSETS:	27-30
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P14W8
      OFFSETS:	31-35
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	channel/channels

 INPUT STRING:	الـ
     IS_TRANS:	Al_
        INDEX:	P14W9
      OFFSETS:	36-39
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Al_)
          POS:	NO_FUNC
          VOC:	Al_
        GLOSS:	nogloss

 INPUT STRING:	«
     IS_TRANS:	&#xab;
        INDEX:	P14W10
      OFFSETS:	39-40
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xab;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	إم
     IS_TRANS:	<m
        INDEX:	P14W11
      OFFSETS:	40-42
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(<m)
          POS:	NO_FUNC
          VOC:	<m
        GLOSS:	nogloss

 INPUT STRING:	بى
     IS_TRANS:	bY
        INDEX:	P14W12
      OFFSETS:	43-45
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bY)
          POS:	NO_FUNC
          VOC:	bY
        GLOSS:	nogloss

 INPUT STRING:	سى
     IS_TRANS:	sY
        INDEX:	P14W13
      OFFSETS:	46-48
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(sY)
          POS:	NO_FUNC
          VOC:	sY
        GLOSS:	nogloss

 INPUT STRING:	»
     IS_TRANS:	&#xbb;
        INDEX:	P14W14
      OFFSETS:	48-49
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xbb;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عرض
     IS_TRANS:	ErD
        INDEX:	P14W15
      OFFSETS:	50-53
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaraD_1]
   UNSPLITVOC:	(EaraD)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	EaraD+(null)
        GLOSS:	exhibit/present+he/it

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P14W16
      OFFSETS:	54-59
       TOKENS:	P14W18-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	المتميز
     IS_TRANS:	Almtmyz
        INDEX:	P14W17
      OFFSETS:	60-67
       TOKENS:	P14W20-P14W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitomay~iz_1]
   UNSPLITVOC:	(Almitomay~iz)
          POS:	DET+ADJ
          VOC:	Al+mitomay~iz
        GLOSS:	the+distinguished/outstanding

 INPUT STRING:	أحمد
     IS_TRANS:	>Hmd
        INDEX:	P14W18
      OFFSETS:	68-72
       TOKENS:	P14W21-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmed

 INPUT STRING:	الشقيرى
     IS_TRANS:	Al$qyrY
        INDEX:	P14W19
      OFFSETS:	73-80
       TOKENS:	P14W22-P14W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iqiyriy_1]
   UNSPLITVOC:	(Al$iqiyriy_1)
          POS:	DET+NOUN_PROP
          VOC:	Al+$iqiyriy
        GLOSS:	the+Chikiri

 INPUT STRING:	طوال
     IS_TRANS:	TwAl
        INDEX:	P14W20
      OFFSETS:	81-85
       TOKENS:	P14W23-P14W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiwAl_1]
   UNSPLITVOC:	(TiwAl)
          POS:	NOUN
          VOC:	TiwAl
        GLOSS:	during

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P14W21
      OFFSETS:	86-89
       TOKENS:	P14W24-P14W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	رمضان
     IS_TRANS:	rmDAn
        INDEX:	P14W22
      OFFSETS:	90-95
       TOKENS:	P14W25-P14W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaDAn_1]
   UNSPLITVOC:	(ramaDAn)
          POS:	NOUN
          VOC:	ramaDAn
        GLOSS:	Ramadan

 INPUT STRING:	مقارنات
     IS_TRANS:	mqArnAt
        INDEX:	P14W23
      OFFSETS:	96-103
       TOKENS:	P14W26-P14W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAranap_1]
   UNSPLITVOC:	(muqAranAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muqAran+At
        GLOSS:	comparison+[fem.pl.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P14W24
      OFFSETS:	104-107
       TOKENS:	P14W27-P14W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P14W25
      OFFSETS:	108-114
       TOKENS:	P14W28-P14W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN
          VOC:	Al+HayAp
        GLOSS:	the+life/lives

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W26
      OFFSETS:	115-118
       TOKENS:	P14W29-P14W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كوكبنا
     IS_TRANS:	kwkbnA
        INDEX:	P14W27
      OFFSETS:	119-125
       TOKENS:	P14W30-P14W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawkib_1]
   UNSPLITVOC:	(kawkibnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	kawkib+nA
        GLOSS:	planet/star+our

 INPUT STRING:	والحياة
     IS_TRANS:	wAlHyAp
        INDEX:	P14W28
      OFFSETS:	126-133
       TOKENS:	P14W32-P14W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(wiAlHayAp)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+HayAp
        GLOSS:	and+the+life/lives

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W29
      OFFSETS:	134-137
       TOKENS:	P14W34-P14W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كوكب
     IS_TRANS:	kwkb
        INDEX:	P14W30
      OFFSETS:	138-142
       TOKENS:	P14W35-P14W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawkab_1]
   UNSPLITVOC:	(kawkab)
          POS:	NOUN
          VOC:	kawkab
        GLOSS:	planet/star/planets/stars

 INPUT STRING:	اليابان
     IS_TRANS:	AlyAbAn
        INDEX:	P14W31
      OFFSETS:	143-150
       TOKENS:	P14W36-P14W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAbAn_1]
   UNSPLITVOC:	(AlyAbAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+yAbAn
        GLOSS:	the+Japan

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W32
      OFFSETS:	150-151
       TOKENS:	P14W37-P14W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W33
      OFFSETS:	151-152
       TOKENS:	P14W38-P14W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W1
      OFFSETS:	1-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	إحدى
     IS_TRANS:	<HdY
        INDEX:	P15W2
      OFFSETS:	4-8
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(<iHodaY)
          POS:	NOUN_NUM
          VOC:	<iHodaY
        GLOSS:	one

 INPUT STRING:	الحلقات
     IS_TRANS:	AlHlqAt
        INDEX:	P15W3
      OFFSETS:	9-16
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Halaqap_1]
   UNSPLITVOC:	(AlHalaqAt)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Halaq+At
        GLOSS:	the+episode+[fem.pl.]

 INPUT STRING:	بعنوان
     IS_TRANS:	bEnwAn
        INDEX:	P15W4
      OFFSETS:	17-23
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinowAn_1]
   UNSPLITVOC:	(biEinowAn)
          POS:	PREP+NOUN
          VOC:	bi+EinowAn
        GLOSS:	with/by+title/headline

 INPUT STRING:	«
     IS_TRANS:	&#xab;
        INDEX:	P15W5
      OFFSETS:	24-25
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xab;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P15W6
      OFFSETS:	25-28
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W7
      OFFSETS:	29-31
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حياة
     IS_TRANS:	HyAp
        INDEX:	P15W8
      OFFSETS:	32-36
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(HayAp)
          POS:	NOUN
          VOC:	HayAp
        GLOSS:	life/lives

 INPUT STRING:	زبالة
     IS_TRANS:	zbAlp
        INDEX:	P15W9
      OFFSETS:	37-42
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zibAlap_1]
   UNSPLITVOC:	(zibAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	zibAl+ap
        GLOSS:	rubbish/garbage+[fem.sg.]

 INPUT STRING:	»
     IS_TRANS:	&#xbb;
        INDEX:	P15W10
      OFFSETS:	42-43
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xbb;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عرض
     IS_TRANS:	ErD
        INDEX:	P15W11
      OFFSETS:	44-47
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaraD_1]
   UNSPLITVOC:	(EaraD)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	EaraD+(null)
        GLOSS:	exhibit/present+he/it

 INPUT STRING:	البرنامج
     IS_TRANS:	AlbrnAmj
        INDEX:	P15W12
      OFFSETS:	48-56
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baronAmij_1]
   UNSPLITVOC:	(AlbaronAmij)
          POS:	DET+NOUN
          VOC:	Al+baronAmij
        GLOSS:	the+program

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P15W13
      OFFSETS:	57-60
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	الأطفال
     IS_TRANS:	Al>TfAl
        INDEX:	P15W14
      OFFSETS:	61-68
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(AlATofAl)
          POS:	DET+NOUN
          VOC:	Al+ATofAl
        GLOSS:	the+child/boy/child/girl/children/infants

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W15
      OFFSETS:	69-71
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المدارس
     IS_TRANS:	AlmdArs
        INDEX:	P15W16
      OFFSETS:	72-79
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(AlmadAris)
          POS:	DET+NOUN
          VOC:	Al+madAris
        GLOSS:	the+school

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P15W17
      OFFSETS:	80-83
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hum_1]
   UNSPLITVOC:	(wihum)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum
        GLOSS:	and+they

 INPUT STRING:	يتعلمون
     IS_TRANS:	ytElmwn
        INDEX:	P15W18
      OFFSETS:	84-91
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEal~am_1]
   UNSPLITVOC:	(yataEal~amuwna)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	ya+taEal~am+uwna
        GLOSS:	they (people)+study/learn+[masc.pl.]

 INPUT STRING:	تنظيف
     IS_TRANS:	tnZyf
        INDEX:	P15W19
      OFFSETS:	92-97
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoZiyf_1]
   UNSPLITVOC:	(tanoZiyf)
          POS:	NOUN
          VOC:	tanoZiyf
        GLOSS:	cleaning

 INPUT STRING:	فصولهم
     IS_TRANS:	fSwlhm
        INDEX:	P15W20
      OFFSETS:	98-104
       TOKENS:	P15W22-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[faSl_1]
   UNSPLITVOC:	(fuSuwlhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	fuSuwl+hum
        GLOSS:	classrooms/classes+their

 INPUT STRING:	بأنفسهم
     IS_TRANS:	b>nfshm
        INDEX:	P15W21
      OFFSETS:	105-112
       TOKENS:	P15W24-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafs_1]
   UNSPLITVOC:	(bi>nfshum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+>anfus+hum
        GLOSS:	with/by+selves+their

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P15W22
      OFFSETS:	114-117
       TOKENS:	P15W27-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hunA_1]
   UNSPLITVOC:	(hunA)
          POS:	ADV
          VOC:	hunA
        GLOSS:	here

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P15W23
      OFFSETS:	118-122
       TOKENS:	P15W28-P15W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+remain/stay

 INPUT STRING:	قلة
     IS_TRANS:	qlp
        INDEX:	P15W24
      OFFSETS:	123-126
       TOKENS:	P15W29-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(qil~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qil~+ap
        GLOSS:	scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	قيمة
     IS_TRANS:	qymp
        INDEX:	P15W25
      OFFSETS:	127-131
       TOKENS:	P15W30-P15W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiymap_1]
   UNSPLITVOC:	(qiymap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiym+ap
        GLOSS:	value/worth/values/morals/ethics+[fem.sg.]

 INPUT STRING:	وأحيانا
     IS_TRANS:	w>HyAnA
        INDEX:	P15W26
      OFFSETS:	132-139
       TOKENS:	P15W31-P15W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaHoyAn_1]
   UNSPLITVOC:	(wiAHoyAnAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+AHoyAn+AF
        GLOSS:	and+sometimes+[acc.indef.]

 INPUT STRING:	قلة
     IS_TRANS:	qlp
        INDEX:	P15W27
      OFFSETS:	140-143
       TOKENS:	P15W33-P15W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(qil~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qil~+ap
        GLOSS:	scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	أدب
     IS_TRANS:	>db
        INDEX:	P15W28
      OFFSETS:	144-147
       TOKENS:	P15W34-P15W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adab_1]
   UNSPLITVOC:	(>adab)
          POS:	NOUN
          VOC:	>adab
        GLOSS:	good manners/etiquette

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P15W29
      OFFSETS:	148-152
       TOKENS:	P15W35-P15W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W30
      OFFSETS:	153-154
       TOKENS:	P15W36-P15W36
