 INPUT STRING:	تم
          VOC:	wa+lA+yu+Eraf
        GLOSS:	and+not+he/it+be known

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P2W12
      OFFSETS:	55-58
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P2W13
      OFFSETS:	59-61
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P2W14
      OFFSETS:	62-69
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P2W15
      OFFSETS:	70-72
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	تعليقهم
     IS_TRANS:	tElyqhm
        INDEX:	P2W16
      OFFSETS:	73-80
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEliyq_1]
   UNSPLITVOC:	(taEliyqhum)
          POS:	NOUN.VN+POSS_PRON_3P
          VOC:	taEliyq+hum
        GLOSS:	comment+their

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W17
      OFFSETS:	81-84
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اعتقال
     IS_TRANS:	AEtqAl
        INDEX:	P2W18
      OFFSETS:	85-91
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiqAl_1]
   UNSPLITVOC:	(AiEotiqAl)
          POS:	NOUN
          VOC:	AiEotiqAl
        GLOSS:	arrest/detention

 INPUT STRING:	ايلان
     IS_TRANS:	AylAn
        INDEX:	P2W19
      OFFSETS:	92-97
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AylAn_1]
   UNSPLITVOC:	(AylAn)
          POS:	NOUN_PROP
          VOC:	AylAn
        GLOSS:	Aylan

 INPUT STRING:	تشايم
     IS_TRANS:	t$Aym
        INDEX:	P2W20
      OFFSETS:	98-103
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[t$Aym_1]
   UNSPLITVOC:	(t$Aym)
          POS:	NOUN_PROP
          VOC:	t$Aym
        GLOSS:	Chaym

 INPUT STRING:	الجاسوس
     IS_TRANS:	AljAsws
        INDEX:	P2W21
      OFFSETS:	104-111
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(AljAsuws)
          POS:	DET+NOUN
          VOC:	Al+jAsuws
        GLOSS:	the+spy/spies

 INPUT STRING:	الاسرائيلي
     IS_TRANS:	AlAsrA}yly
        INDEX:	P2W22
      OFFSETS:	112-122
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy~_1]
   UNSPLITVOC:	(Al<isorA}iyliy~)
          POS:	DET+ADJ
          VOC:	Al+<isorA}iyliy~
        GLOSS:	the+Israeli

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W23
      OFFSETS:	123-125
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W24
      OFFSETS:	126-129
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P3W2
      OFFSETS:	3-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P3W3
      OFFSETS:	11-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	correct

 INPUT STRING:	وبالفعل
     IS_TRANS:	wbAlfEl
        INDEX:	P3W4
      OFFSETS:	14-21
       TOKENS:	P3W4-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(wibiAlfiEol)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+bi+Al+fiEol
        GLOSS:	and+with/by+the+doing/act/action/actually/in effect/acts/actions/deeds/exploits

 INPUT STRING:	النيابة
     IS_TRANS:	AlnyAbp
        INDEX:	P3W5
      OFFSETS:	22-29
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyAbap_1]
   UNSPLITVOC:	(Aln~iyAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+niyAb+ap
        GLOSS:	the+proxy/deputyship+[fem.sg.]

 INPUT STRING:	بتحقق
     IS_TRANS:	btHqq
        INDEX:	P3W6
      OFFSETS:	30-35
       TOKENS:	P3W8-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~aq_1]
   UNSPLITVOC:	(bitHaq~aq)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+Haq~aq
        GLOSS:	[present-tense]+it/they/she+investigate

 INPUT STRING:	معاه
     IS_TRANS:	mEAh
        INDEX:	P3W7
      OFFSETS:	36-40
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	with+his/its

 INPUT STRING:	وخاد
     IS_TRANS:	wxAd
        INDEX:	P3W8
      OFFSETS:	41-45
       TOKENS:	P3W12-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa*_1]
   UNSPLITVOC:	(wixA*())
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+xA*+(null)
        GLOSS:	and+took+he/it

 INPUT STRING:	15
     IS_TRANS:	15
        INDEX:	P3W9
      OFFSETS:	46-48
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(15)
          POS:	NOUN_NUM
          VOC:	15
        GLOSS:	15

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P3W10
      OFFSETS:	49-52
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W11
      OFFSETS:	53-56
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	زمة
     IS_TRANS:	zmp
        INDEX:	P3W12
      OFFSETS:	57-60
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*im~ap_1]
   UNSPLITVOC:	(*im~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	*im~+ap
        GLOSS:	sake+[fem.sg.]

 INPUT STRING:	التحقيق
     IS_TRANS:	AltHqyq
        INDEX:	P3W13
      OFFSETS:	61-68
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(Alt~aHoqiyq)
          POS:	DET+NOUN
          VOC:	Al+taHoqiyq
        GLOSS:	the+investigation/verification/interrogation

 INPUT STRING:	واكدو
     IS_TRANS:	wAkdw
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(wi>ak~iduw)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+>ak~id+uw
        GLOSS:	and+stress+they

 INPUT STRING:	تواجده
     IS_TRANS:	twAjdh
        INDEX:	P4W2
      OFFSETS:	6-12
       TOKENS:	P4W3-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawAjud_1]
   UNSPLITVOC:	(tawAjduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	tawAjd+uh
        GLOSS:	presence+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P4W3
      OFFSETS:	13-15
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P4W4
      OFFSETS:	16-23
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الصور
     IS_TRANS:	AlSwr
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlS~uwar)
          POS:	DET+NOUN
          VOC:	Al+Suwar
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	بتاع
     IS_TRANS:	btAE
        INDEX:	P5W3
      OFFSETS:	9-13
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	of

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P5W4
      OFFSETS:	14-19
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	السابع
     IS_TRANS:	AlsAbE
        INDEX:	P5W5
      OFFSETS:	20-26
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiE_1]
   UNSPLITVOC:	(Als~AbiE)
          POS:	DET+ADJ
          VOC:	Al+sAbiE
        GLOSS:	the+seventh/in seventh place

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P5W6
      OFFSETS:	27-29
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	متصدقوش
     IS_TRANS:	mtSdqw$
        INDEX:	P5W7
      OFFSETS:	30-37
       TOKENS:	P5W7-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(mAtiSad~aquw$)
          POS:	NEG_PART+IV2P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	mA+ti+Sad~aq+uw+$
        GLOSS:	not+you+believe+you+not

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P5W8
      OFFSETS:	38-40
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	فيهاا
     IS_TRANS:	fyhAA
        INDEX:	P5W9
      OFFSETS:	41-46
       TOKENS:	P5W11-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P5W10
      OFFSETS:	47-50
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy~_1]
   UNSPLITVOC:	(qawiy~)
          POS:	ADJ
          VOC:	qawiy~
        GLOSS:	strong

 INPUT STRING:	عندى
     IS_TRANS:	EndY
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	with+my

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P6W2
      OFFSETS:	5-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P6W3
      OFFSETS:	10-12
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P6W4
      OFFSETS:	13-16
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W5
      OFFSETS:	17-19
       TOKENS:	P6W6-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	جاسوس
     IS_TRANS:	jAsws
        INDEX:	P6W6
      OFFSETS:	20-25
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(jAsuws)
          POS:	NOUN
          VOC:	jAsuws
        GLOSS:	spy/spies

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W7
      OFFSETS:	26-28
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P6W8
      OFFSETS:	29-36
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W9
      OFFSETS:	37-38
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P6W10
      OFFSETS:	39-41
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	اجنبى
     IS_TRANS:	AjnbY
        INDEX:	P6W11
      OFFSETS:	42-47
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_2]
   UNSPLITVOC:	(>ajonabiy~)
          POS:	NOUN
          VOC:	>ajonabiy~
        GLOSS:	foreigner

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P6W12
      OFFSETS:	48-51
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P6W13
      OFFSETS:	52-55
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	moments/times

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P6W14
      OFFSETS:	56-62
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	كدبنا
     IS_TRANS:	kdbnA
        INDEX:	P6W15
      OFFSETS:	63-68
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka*~ib_1]
   UNSPLITVOC:	(ka*~ibnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	ka*~ib+nA
        GLOSS:	tell that something is a lie+we

 INPUT STRING:	التلفزيون
     IS_TRANS:	Altlfzywn
        INDEX:	P6W16
      OFFSETS:	69-78
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tilifizoyawn_1]
   UNSPLITVOC:	(Alt~ilifizoyawn)
          POS:	DET+NOUN
          VOC:	Al+tilifizoyawn
        GLOSS:	the+television

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P6W17
      OFFSETS:	79-82
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	قالوا
     IS_TRANS:	qAlwA
        INDEX:	P6W18
      OFFSETS:	83-88
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said/say/be said/say/(for example)+they

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W19
      OFFSETS:	89-91
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	اجانب
     IS_TRANS:	AjAnb
        INDEX:	P6W20
      OFFSETS:	92-97
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_2]
   UNSPLITVOC:	(>ajAnib)
          POS:	NOUN
          VOC:	>ajAnib
        GLOSS:	foreigners

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W21
      OFFSETS:	98-99
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	جواسيس
     IS_TRANS:	jwAsys
        INDEX:	P6W22
      OFFSETS:	100-106
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(jawAsiys)
          POS:	NOUN
          VOC:	jawAsiys
        GLOSS:	spies

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W23
      OFFSETS:	107-108
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	خونة
     IS_TRANS:	xwnp
        INDEX:	P6W24
      OFFSETS:	109-113
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(xawonap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xawon+ap
        GLOSS:	traitors/disloyal+[fem.sg.]

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	الأجانب
     IS_TRANS:	Al>jAnb
        INDEX:	P8W1
      OFFSETS:	0-7
       TOKENS:	P8W1-P8W1
