 INPUT STRING:	طيب
        GLOSS:	the+deposed/toppled/removed (from office)/unrestrained/irresponsible

 INPUT STRING:	ومحسوب
     IS_TRANS:	wmHswb
        INDEX:	P6W7
      OFFSETS:	33-39
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHosuwb_1]
   UNSPLITVOC:	(wimaHosuwb)
          POS:	CONJ+ADJ.VN
          VOC:	wi+maHosuwb
        GLOSS:	and+calculated/measured

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W8
      OFFSETS:	40-43
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P6W9
      OFFSETS:	44-50
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+methodology/system/order/methodologies/systems

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P6W10
      OFFSETS:	51-57
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	لانهم
     IS_TRANS:	lAnhm
        INDEX:	P6W11
      OFFSETS:	58-63
       TOKENS:	P6W12-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uhum)
          POS:	PREP+SUB_CONJ+PRON_3P
          VOC:	li+<in~+hum
        GLOSS:	for+that+they

 INPUT STRING:	ماكنوش
     IS_TRANS:	mAknw$
        INDEX:	P6W12
      OFFSETS:	64-70
       TOKENS:	P6W15-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_konuw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	mA+kan+uwA+$
        GLOSS:	not+be+they+not

 INPUT STRING:	بيخلوا
     IS_TRANS:	byxlwA
        INDEX:	P6W13
      OFFSETS:	71-77
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(biyixal~uwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+xal~+uwA
        GLOSS:	[present-tense]+they+let+they

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P6W14
      OFFSETS:	78-80
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W15
      OFFSETS:	81-83
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مكانه
     IS_TRANS:	mkAnh
        INDEX:	P6W16
      OFFSETS:	84-89
       TOKENS:	P6W22-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAnuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	makAn+uh
        GLOSS:	place/location/position+his/its

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W17
      OFFSETS:	90-93
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P6W18
      OFFSETS:	94-96
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P6W19
      OFFSETS:	97-100
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	متعاون
     IS_TRANS:	mtEAwn
        INDEX:	P6W20
      OFFSETS:	101-107
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoEAwin_1]
   UNSPLITVOC:	(mitoEAwin)
          POS:	ADJ.VN
          VOC:	mitoEAwin
        GLOSS:	be helful

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P6W21
      OFFSETS:	108-113
       TOKENS:	P6W28-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W2
      OFFSETS:	3-5
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P7W3
      OFFSETS:	6-9
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	بلاغات
     IS_TRANS:	blAgAt
        INDEX:	P7W4
      OFFSETS:	10-16
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balAg_1]
   UNSPLITVOC:	(balAgAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	balAg+At
        GLOSS:	reports+[fem.pl.]

 INPUT STRING:	كثيره
     IS_TRANS:	kvyrh
        INDEX:	P7W5
      OFFSETS:	17-22
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kiviyr+ap
        GLOSS:	much+[fem.sg.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P7W6
      OFFSETS:	23-26
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P7W7
      OFFSETS:	27-33
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolt or insurrection+[fem.sg.]

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P7W8
      OFFSETS:	34-38
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P7W9
      OFFSETS:	39-45
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	اتقدمت
     IS_TRANS:	Atqdmt
        INDEX:	P7W10
      OFFSETS:	46-52
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoqad~im_1]
   UNSPLITVOC:	(Aitoqad~imit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitoqad~im+it
        GLOSS:	be introduced/be given+it/they/she

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P7W11
      OFFSETS:	53-55
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for+he/it

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P7W12
      OFFSETS:	56-58
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يحصل
     IS_TRANS:	yHSl
        INDEX:	P7W13
      OFFSETS:	59-63
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(yiHoSal)
          POS:	IV3MS+IV
          VOC:	yi+HoSal
        GLOSS:	he/it+occur/happen/take place

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P7W14
      OFFSETS:	64-68
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P7W15
      OFFSETS:	69-71
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	تحقيق
     IS_TRANS:	tHqyq
        INDEX:	P7W16
      OFFSETS:	72-77
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(taHoqiyq)
          POS:	NOUN
          VOC:	taHoqiyq
        GLOSS:	investigation/verification/interrogation

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W2
      OFFSETS:	3-5
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P8W3
      OFFSETS:	6-12
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W4
      OFFSETS:	13-17
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P8W5
      OFFSETS:	18-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W6
      OFFSETS:	22-24
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P8W7
      OFFSETS:	25-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P8W8
      OFFSETS:	31-33
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ونسمع
     IS_TRANS:	wnsmE
        INDEX:	P8W9
      OFFSETS:	34-39
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(winisomaE)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+somaE
        GLOSS:	and+we+hear

 INPUT STRING:	ونكتشف
     IS_TRANS:	wnkt$f
        INDEX:	P8W10
      OFFSETS:	40-46
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aikta$af_1]
   UNSPLITVOC:	(winikti$if)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+kti$if
        GLOSS:	and+we+discover

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P8W11
      OFFSETS:	47-49
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P8W12
      OFFSETS:	50-53
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	بلاغات
     IS_TRANS:	blAgAt
        INDEX:	P8W13
      OFFSETS:	54-60
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balAg_1]
   UNSPLITVOC:	(balAgAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	balAg+At
        GLOSS:	reports+[fem.pl.]

 INPUT STRING:	اتقدمت
     IS_TRANS:	Atqdmt
        INDEX:	P8W14
      OFFSETS:	61-67
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoqad~im_1]
   UNSPLITVOC:	(Aitoqad~imit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitoqad~im+it
        GLOSS:	be introduced/be given+it/they/she

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P8W15
      OFFSETS:	68-70
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for+he/it

 INPUT STRING:	واترمت
     IS_TRANS:	wAtrmt
        INDEX:	P8W16
      OFFSETS:	71-77
       TOKENS:	P8W20-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaY_1]
   UNSPLITVOC:	(wiAitoramit)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	wi+Aitoram+it
        GLOSS:	and+throw/fling/shoot/be thrown/be flung/be shot+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W17
      OFFSETS:	78-80
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الادراج
     IS_TRANS:	AlAdrAj
        INDEX:	P8W18
      OFFSETS:	81-88
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AidorAj_1]
   UNSPLITVOC:	(AlAidorAj)
          POS:	DET+NOUN
          VOC:	Al+AidorAj
        GLOSS:	the+drawers

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بصرف
     IS_TRANS:	bSrf
        INDEX:	P9W2
      OFFSETS:	3-7
       TOKENS:	P9W2-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sarof_1]
   UNSPLITVOC:	(biSarof)
          POS:	PREP+NOUN
          VOC:	bi+Sarof
        GLOSS:	with/by+diverting/spending

 INPUT STRING:	النظر
     IS_TRANS:	AlnZr
        INDEX:	P9W3
      OFFSETS:	8-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(Aln~aZar)
          POS:	DET+NOUN
          VOC:	Al+naZar
        GLOSS:	the+view/look/seeing/eye-sight/glances/looking

 INPUT STRING:	دفع
     IS_TRANS:	dfE
        INDEX:	P9W4
      OFFSETS:	14-17
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafoE_1]
   UNSPLITVOC:	(dafoE)
          POS:	NOUN
          VOC:	dafoE
        GLOSS:	pushing/propelling/payment

 INPUT STRING:	مصاريف
     IS_TRANS:	mSAryf
        INDEX:	P9W5
      OFFSETS:	18-24
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoruwf_1]
   UNSPLITVOC:	(maSAriyf)
          POS:	NOUN
          VOC:	maSAriyf
        GLOSS:	expenditure/expense/allowance

 INPUT STRING:	العلاج
     IS_TRANS:	AlElAj
        INDEX:	P9W6
      OFFSETS:	25-31
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAj_1]
   UNSPLITVOC:	(AlEilAj)
          POS:	DET+NOUN
          VOC:	Al+EilAj
        GLOSS:	the+treatment/therapy/processing

 INPUT STRING:	للمخلوع
     IS_TRANS:	llmxlwE
        INDEX:	P9W7
      OFFSETS:	32-39
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoluwE_1]
   UNSPLITVOC:	(lilmaxoluwE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+maxoluwE
        GLOSS:	for/to+the+toppled

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P9W8
      OFFSETS:	40-42
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P9W9
      OFFSETS:	43-45
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W2
      OFFSETS:	3-5
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	التقارير
     IS_TRANS:	AltqAryr
        INDEX:	P10W3
      OFFSETS:	6-14
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyr_1]
   UNSPLITVOC:	(Alt~aqAriyr)
          POS:	DET+NOUN
          VOC:	Al+taqAriyr
        GLOSS:	the+report/account

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P10W4
      OFFSETS:	15-20
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W5
      OFFSETS:	21-23
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P10W6
      OFFSETS:	24-26
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P10W7
      OFFSETS:	27-30
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	فى
