 INPUT STRING:	ياريت
 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W4
      OFFSETS:	14-16
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القوات
     IS_TRANS:	AlqwAt
        INDEX:	P11W5
      OFFSETS:	17-23
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+quw~+At
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	المسلحة
     IS_TRANS:	AlmslHp
        INDEX:	P11W6
      OFFSETS:	24-31
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_1]
   UNSPLITVOC:	(Almusal~aHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musal~aH+ap
        GLOSS:	the+armored/reinforced+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P11W7
      OFFSETS:	32-37
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	and+Allah/God

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W8
      OFFSETS:	38-41
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W9
      OFFSETS:	42-44
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P11W10
      OFFSETS:	45-49
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	شهيد
     IS_TRANS:	$hyd
        INDEX:	P11W11
      OFFSETS:	50-54
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	($ahiyd)
          POS:	NOUN
          VOC:	$ahiyd
        GLOSS:	witness

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W2
      OFFSETS:	7-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	جرايمه
     IS_TRANS:	jrAymh
        INDEX:	P12W3
      OFFSETS:	10-16
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariymap_1]
   UNSPLITVOC:	(jarAyimuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	jarAyim+uh
        GLOSS:	crimes+his/its

 INPUT STRING:	زادت
     IS_TRANS:	zAdt
        INDEX:	P12W4
      OFFSETS:	17-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAd_1]
   UNSPLITVOC:	(zAdit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	zAd+it
        GLOSS:	augment+it/they/she

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P12W5
      OFFSETS:	22-25
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong

 INPUT STRING:	قتل
     IS_TRANS:	qtl
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(qatol)
          POS:	NOUN
          VOC:	qatol
        GLOSS:	murder/killing

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P13W2
      OFFSETS:	4-7
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh

 INPUT STRING:	ازهري
     IS_TRANS:	Azhry
        INDEX:	P13W3
      OFFSETS:	8-13
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Azohariy_1]
   UNSPLITVOC:	(Azohariy)
          POS:	ADJ
          VOC:	Azohariy
        GLOSS:	of/from al-Azhar/Azharite

 INPUT STRING:	وهتك
     IS_TRANS:	whtk
        INDEX:	P13W4
      OFFSETS:	14-18
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hatok_1]
   UNSPLITVOC:	(wihatok)
          POS:	CONJ+NOUN
          VOC:	wi+hatok
        GLOSS:	and+tearing apart/disclosure/degradation

 INPUT STRING:	عرض
     IS_TRANS:	ErD
        INDEX:	P13W5
      OFFSETS:	19-22
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(EaroD)
          POS:	NOUN
          VOC:	EaroD
        GLOSS:	honor

 INPUT STRING:	بنات
     IS_TRANS:	bnAt
        INDEX:	P13W6
      OFFSETS:	23-27
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(banAt)
          POS:	NOUN
          VOC:	banAt
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	وسحلهم
     IS_TRANS:	wsHlhm
        INDEX:	P13W7
      OFFSETS:	28-34
       TOKENS:	P13W8-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saHl_1]
   UNSPLITVOC:	(wisaHluhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+saHl+hum
        GLOSS:	and+scraping+their

 INPUT STRING:	عالارض
     IS_TRANS:	EAlArD
        INDEX:	P13W8
      OFFSETS:	35-41
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(EaAl>aroD)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+>aroD
        GLOSS:	like/such+the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	ورمى
     IS_TRANS:	wrmY
        INDEX:	P13W9
      OFFSETS:	42-46
       TOKENS:	P13W13-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramoy_1]
   UNSPLITVOC:	(wiramoy)
          POS:	CONJ+NOUN
          VOC:	wi+ramoy
        GLOSS:	and+throwing/shooting

 INPUT STRING:	جثث
     IS_TRANS:	jvv
        INDEX:	P13W10
      OFFSETS:	47-50
       TOKENS:	P13W15-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juv~ap_1]
   UNSPLITVOC:	(juvav)
          POS:	NOUN
          VOC:	juvav
        GLOSS:	corpse

 INPUT STRING:	فالزبالة
     IS_TRANS:	fAlzbAlp
        INDEX:	P13W11
      OFFSETS:	51-59
       TOKENS:	P13W16-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zibAlap_1]
   UNSPLITVOC:	(fiAlzibAlap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	fi+Al+zibAl+ap
        GLOSS:	in+the+rubbish/garbage+[fem.sg.]

 INPUT STRING:	وقبل
     IS_TRANS:	wqbl
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(wiqabol)
          POS:	CONJ+NOUN
          VOC:	wi+qabol
        GLOSS:	and+before/previously/formerly

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P14W2
      OFFSETS:	5-7
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P14W3
      OFFSETS:	8-11
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every+his/its

 INPUT STRING:	خلص
     IS_TRANS:	xlS
        INDEX:	P14W4
      OFFSETS:	12-15
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(xal~aS)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xal~aS+(null)
        GLOSS:	purify/refine/clarify+he/it

 INPUT STRING:	عالجيش
     IS_TRANS:	EAljy$
        INDEX:	P14W5
      OFFSETS:	16-22
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(EaAljay$)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+jay$
        GLOSS:	like/such+the+army/troops

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P15W2
      OFFSETS:	6-8
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مطهرش
     IS_TRANS:	mThr$
        INDEX:	P15W3
      OFFSETS:	9-14
       TOKENS:	P15W3-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tah~ar_1]
   UNSPLITVOC:	(mA_Tah~ar$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+Tah~ar+(null)+$
        GLOSS:	not+purify/disinfect+he/it+not

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P15W4
      OFFSETS:	15-19
       TOKENS:	P15W6-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves+his/its

 INPUT STRING:	بنفسه
     IS_TRANS:	bnfsh
        INDEX:	P15W5
      OFFSETS:	20-25
       TOKENS:	P15W8-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafosuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+nafos+uh
        GLOSS:	with/by+same/self/selves+his/its

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P15W6
      OFFSETS:	26-29
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	RC_PART+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	so/and+he/it

 INPUT STRING:	مشارك
     IS_TRANS:	m$Ark
        INDEX:	P15W7
      OFFSETS:	30-35
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$Arik_1]
   UNSPLITVOC:	(mi$Arik)
          POS:	ADJ.VN
          VOC:	mi$Arik
        GLOSS:	participating

 INPUT STRING:	للمجلس
     IS_TRANS:	llmjls
        INDEX:	P15W8
      OFFSETS:	36-42
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(lilmajolis)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+majolis
        GLOSS:	for/to+the+council/board/Majlis

 INPUT STRING:	فالجريمة
     IS_TRANS:	fAljrymp
        INDEX:	P15W9
      OFFSETS:	43-51
       TOKENS:	P15W16-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariymap_1]
   UNSPLITVOC:	(fiAljariymap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	fi+Al+jariym+ap
        GLOSS:	in+the+crime+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	اسفة
     IS_TRANS:	Asfp
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Asif_1]
   UNSPLITVOC:	(Asfap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Asf+ap
        GLOSS:	sorry/regretful+[fem.sg.]

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P16W3
      OFFSETS:	9-14
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	مدان
     IS_TRANS:	mdAn
        INDEX:	P16W4
      OFFSETS:	15-19
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudAn_1]
   UNSPLITVOC:	(mudAn)
          POS:	ADJ
          VOC:	mudAn
        GLOSS:	convicted/guilty/condemned

 INPUT STRING:	فنظري
     IS_TRANS:	fnZry
        INDEX:	P16W5
      OFFSETS:	20-25
       TOKENS:	P16W5-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(fiynaZariy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	fiy+naZar+iy
        GLOSS:	in+view+my

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P16W6
      OFFSETS:	26-29
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P16W7
      OFFSETS:	30-32
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يثبت
     IS_TRANS:	yvbt
        INDEX:	P16W8
      OFFSETS:	33-37
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vabat_1]
   UNSPLITVOC:	(yivobit)
          POS:	IV3MS+IV
          VOC:	yi+vobit
        GLOSS:	he/it+confirm/reinforce/be confirmed/be reinforced

 INPUT STRING:	العكس
     IS_TRANS:	AlEks
        INDEX:	P16W9
      OFFSETS:	38-43
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(AlEakos)
          POS:	DET+NOUN
          VOC:	Al+Eakos
        GLOSS:	the+opposite/contrary

