 INPUT STRING:	لا
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P5W8
      OFFSETS:	36-40
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief

 INPUT STRING:	مركز
     IS_TRANS:	mrkz
        INDEX:	P5W9
      OFFSETS:	41-45
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaz_1]
   UNSPLITVOC:	(marokaz)
          POS:	NOUN
          VOC:	marokaz
        GLOSS:	center/station

 INPUT STRING:	الدراسات
     IS_TRANS:	AldrAsAt
        INDEX:	P5W10
      OFFSETS:	46-54
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dirAsap_1]
   UNSPLITVOC:	(AldirAsAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+dirAs+At
        GLOSS:	the+studies/research+[fem.pl.]

 INPUT STRING:	الاقتصادية
     IS_TRANS:	AlAqtSAdyp
        INDEX:	P5W11
      OFFSETS:	55-65
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iqotiSAdiy~_2]
   UNSPLITVOC:	(AlAiqotiSAdiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+{iqotiSAdiy~+ap
        GLOSS:	the+economic/economical+[fem.sg.]

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P5W12
      OFFSETS:	66-72
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSoriy~_1]
   UNSPLITVOC:	(AlmiSoriy~)
          POS:	DET+ADJ
          VOC:	Al+miSoriy~
        GLOSS:	the+Egyptian

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W13
      OFFSETS:	73-75
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P5W14
      OFFSETS:	76-79
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	pictures/photographs/illustrations/photos

 INPUT STRING:	اهدار
     IS_TRANS:	AhdAr
        INDEX:	P5W15
      OFFSETS:	80-85
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ihodAr_1]
   UNSPLITVOC:	(<ihodAr)
          POS:	NOUN
          VOC:	<ihodAr
        GLOSS:	abandoning/relinquishing/surrendering

 INPUT STRING:	الاموال
     IS_TRANS:	AlAmwAl
        INDEX:	P5W16
      OFFSETS:	86-93
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(Al>amowAl)
          POS:	DET+NOUN
          VOC:	Al+>amowAl
        GLOSS:	the+assets/capital/funds

 INPUT STRING:	تضمنت
     IS_TRANS:	tDmnt
        INDEX:	P5W17
      OFFSETS:	94-99
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taDam~an_1]
   UNSPLITVOC:	(taDam~anat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	taDam~an+at
        GLOSS:	guarantee/comprise/include+it/they/she [verb]

 INPUT STRING:	تعيين
     IS_TRANS:	tEyyn
        INDEX:	P5W18
      OFFSETS:	100-105
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoyiyn_1]
   UNSPLITVOC:	(taEoyiyn)
          POS:	NOUN
          VOC:	taEoyiyn
        GLOSS:	appointing/assignment

 INPUT STRING:	مستشارين
     IS_TRANS:	mst$Aryn
        INDEX:	P5W19
      OFFSETS:	106-114
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(musota$Ariyna)
          POS:	ADJ+NSUFF_MASC_PL_ACC
          VOC:	musota$Ar+iyna
        GLOSS:	counselor/adviser+[masc.pl.acc.]

 INPUT STRING:	مصريين
     IS_TRANS:	mSryyn
        INDEX:	P5W20
      OFFSETS:	115-121
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSoriy~_1]
   UNSPLITVOC:	(miSoriy~iyna)
          POS:	ADJ+NSUFF_MASC_PL_ACC
          VOC:	miSoriy~+iyna
        GLOSS:	Egyptian+[masc.pl.acc.]

 INPUT STRING:	واجانب
     IS_TRANS:	wAjAnb
        INDEX:	P5W21
      OFFSETS:	122-128
       TOKENS:	P5W21-P5W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_2]
   UNSPLITVOC:	(wa>ajAnib)
          POS:	CONJ+NOUN
          VOC:	wa+>ajAnib
        GLOSS:	and+foreigners

 INPUT STRING:	باجور
     IS_TRANS:	bAjwr
        INDEX:	P5W22
      OFFSETS:	129-134
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajor_2]
   UNSPLITVOC:	(bi>ujuwr)
          POS:	PREP+NOUN
          VOC:	bi+>ujuwr
        GLOSS:	with/by+wages/fees

 INPUT STRING:	عالية
     IS_TRANS:	EAlyp
        INDEX:	P5W23
      OFFSETS:	135-140
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAliy_1]
   UNSPLITVOC:	(EAliyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAliy+ap
        GLOSS:	high/elevated+[fem.sg.]

 INPUT STRING:	والمفاجاة
     IS_TRANS:	wAlmfAjAp
        INDEX:	P6W1
      OFFSETS:	0-9
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mufAja>ap_1]
   UNSPLITVOC:	(waAlmufAja>ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wa+Al+mufAja>+ap
        GLOSS:	and+the+surprise+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W2
      OFFSETS:	10-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	المستشارين
     IS_TRANS:	Almst$Aryn
        INDEX:	P6W3
      OFFSETS:	13-23
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(Almusota$Ariyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_ACC
          VOC:	Al+musota$Ar+iyna
        GLOSS:	the+counselor/adviser+[masc.pl.acc.]

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P6W4
      OFFSETS:	24-32
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSoriy~_1]
   UNSPLITVOC:	(AlmiSoriy~iyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_ACC
          VOC:	Al+miSoriy~+iyna
        GLOSS:	the+Egyptian+[masc.pl.acc.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P6W5
      OFFSETS:	33-35
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يقومون
     IS_TRANS:	yqwmwn
        INDEX:	P6W6
      OFFSETS:	36-42
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm-u_1]
   UNSPLITVOC:	(yaquwmuwna)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	ya+quwm+uwna
        GLOSS:	they (people)+undertake/carry out+[masc.pl.]

 INPUT STRING:	بعمل
     IS_TRANS:	bEml
        INDEX:	P6W7
      OFFSETS:	43-47
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biEamal)
          POS:	PREP+NOUN
          VOC:	bi+Eamal
        GLOSS:	with/by+work/action

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W8
      OFFSETS:	48-51
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	سحب
     IS_TRANS:	sHb
        INDEX:	P6W9
      OFFSETS:	52-55
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saHob_1]
   UNSPLITVOC:	(saHob)
          POS:	NOUN
          VOC:	saHob
        GLOSS:	withdrawal/pulling out/remove

 INPUT STRING:	الاموال
     IS_TRANS:	AlAmwAl
        INDEX:	P6W10
      OFFSETS:	56-63
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(Al>amowAl)
          POS:	DET+NOUN
          VOC:	Al+>amowAl
        GLOSS:	the+assets/capital/funds

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(wah`*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+h`*A
        GLOSS:	and+this [masc.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W2
      OFFSETS:	5-7
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	دفع
     IS_TRANS:	dfE
        INDEX:	P7W3
      OFFSETS:	8-11
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dafaE-a_1]
   UNSPLITVOC:	(dafaEa)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	dafaE+a
        GLOSS:	push/motivate/pay+he/it [verb]

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P7W4
      OFFSETS:	12-15
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P7W5
      OFFSETS:	16-21
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(Alduwal)
          POS:	DET+NOUN
          VOC:	Al+duwal
        GLOSS:	the+states/countries

 INPUT STRING:	سحب
     IS_TRANS:	sHb
        INDEX:	P7W6
      OFFSETS:	22-25
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saHob_1]
   UNSPLITVOC:	(saHob)
          POS:	NOUN
          VOC:	saHob
        GLOSS:	withdrawal/pulling out/remove

 INPUT STRING:	معونتها
     IS_TRANS:	mEwnthA
        INDEX:	P7W7
      OFFSETS:	26-33
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(maEuwnatihA)
          POS:	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN+POSS_PRON_3FS
          VOC:	maEuwn+at+i+hA
        GLOSS:	aid/assistance/support+[fem.sg.]+[def.gen.]+its/their/her

 INPUT STRING:	بسبب
     IS_TRANS:	bsbb
        INDEX:	P7W8
      OFFSETS:	34-38
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisabab)
          POS:	PART+NOUN
          VOC:	bi+sabab
        GLOSS:	[part.]+because of/due to

 INPUT STRING:	الاهمال
     IS_TRANS:	AlAhmAl
        INDEX:	P7W9
      OFFSETS:	39-46
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ihomAl_1]
   UNSPLITVOC:	(Al<ihomAl)
          POS:	DET+NOUN
          VOC:	Al+<ihomAl
        GLOSS:	the+neglect/oversight/carelessness

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P7W10
      OFFSETS:	47-49
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تنفيذ
     IS_TRANS:	tnfy*
        INDEX:	P7W11
      OFFSETS:	50-55
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanofiy*_1]
   UNSPLITVOC:	(tanofiy*)
          POS:	NOUN
          VOC:	tanofiy*
        GLOSS:	implementation/execution/carrying out

 INPUT STRING:	المشروعات
     IS_TRANS:	Alm$rwEAt
        INDEX:	P7W12
      OFFSETS:	56-65
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwE_1]
   UNSPLITVOC:	(Alma$oruwEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+ma$oruwE+At
        GLOSS:	the+projects/enterprises+[fem.pl.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P7W13
      OFFSETS:	66-70
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	خصصت
     IS_TRANS:	xSSt
        INDEX:	P7W14
      OFFSETS:	71-75
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaS~aS_1]
   UNSPLITVOC:	(xuS~iSat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	xuS~iS+at
        GLOSS:	be specified/be designated/be allocated+it/they/she [verb]

 INPUT STRING:	الاموال
     IS_TRANS:	AlAmwAl
        INDEX:	P7W15
      OFFSETS:	76-83
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(Al>amowAl)
          POS:	DET+NOUN
          VOC:	Al+>amowAl
        GLOSS:	the+assets/capital/funds

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W16
      OFFSETS:	84-86
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اجلها
     IS_TRANS:	AjlhA
        INDEX:	P7W17
      OFFSETS:	87-92
       TOKENS:	P7W20-P7W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajol_1]
   UNSPLITVOC:	(>ajolihA)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3FS
          VOC:	>ajol+i+hA
        GLOSS:	for sake of/because of+[def.gen.]+its/their/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W18
      OFFSETS:	92-93
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(walamo)
          POS:	CONJ+NEG_PART
          VOC:	wa+lamo
        GLOSS:	and+did not

 INPUT STRING:	ينتهى
     IS_TRANS:	ynthY
        INDEX:	P8W2
      OFFSETS:	4-9
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotahaY_1]
   UNSPLITVOC:	(yanotahiy)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+notahiy+(null)
        GLOSS:	he/it+be concluded/be completed+[ind.]

 INPUT STRING:	صور
     IS_TRANS:	Swr
        INDEX:	P8W3
      OFFSETS:	10-13
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwar)
          POS:	NOUN
          VOC:	Suwar
        GLOSS:	pictures/photographs/illustrations/photos

 INPUT STRING:	الانفاق
     IS_TRANS:	AlAnfAq
        INDEX:	P8W4
      OFFSETS:	14-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inofAq_1]
   UNSPLITVOC:	(Al<inofAq)
          POS:	DET+NOUN
          VOC:	Al+<inofAq
        GLOSS:	the+expenditure/disbursement/expenses

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P8W5
      OFFSETS:	22-25
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with/at

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P8W6
      OFFSETS:	26-29
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*A)
          POS:	DEM_PRON_MS
          VOC:	h`*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الحد
     IS_TRANS:	AlHd
        INDEX:	P8W7
      OFFSETS:	30-34
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Had~_2]
   UNSPLITVOC:	(AlHad~)
          POS:	DET+NOUN
          VOC:	Al+Had~
        GLOSS:	the+extent/limit/level

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P8W8
      OFFSETS:	35-37
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balo_1]
   UNSPLITVOC:	(balo)
          POS:	CONJ
          VOC:	balo
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	اتسعت
     IS_TRANS:	AtsEt
        INDEX:	P8W9
      OFFSETS:	38-43
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{it~asaE_1]
   UNSPLITVOC:	(Ait~asaEat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	{it~asaE+at
        GLOSS:	expand/be widened+it/they/she [verb]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P8W10
      OFFSETS:	44-47
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	الإنفاق
     IS_TRANS:	Al<nfAq
        INDEX:	P8W11
      OFFSETS:	48-55
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inofAq_1]
   UNSPLITVOC:	(Al<inofAq)
          POS:	DET+NOUN
          VOC:	Al+<inofAq
        GLOSS:	the+expenditure/disbursement/expenses

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W12
      OFFSETS:	56-59
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تجهيزات
     IS_TRANS:	tjhyzAt
        INDEX:	P8W13
      OFFSETS:	60-67
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajohiyz_1]
   UNSPLITVOC:	(tajohiyzAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tajohiyz+At
        GLOSS:	equipment/gear+[fem.pl.]

 INPUT STRING:	مكاتب
     IS_TRANS:	mkAtb
        INDEX:	P8W14
      OFFSETS:	68-73
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(makAtib)
          POS:	NOUN
          VOC:	makAtib
        GLOSS:	bureaus/offices

 INPUT STRING:	الوزراء
     IS_TRANS:	AlwzrA'
        INDEX:	P8W15
      OFFSETS:	74-81
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(AlwuzarA')
          POS:	DET+NOUN
          VOC:	Al+wuzarA'
        GLOSS:	the+ministers

 INPUT STRING:	واستيراد
     IS_TRANS:	wAstyrAd
        INDEX:	P8W16
      OFFSETS:	82-90
       TOKENS:	P8W17-P8W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotiyrAd_1]
   UNSPLITVOC:	(waAisotiyrAd)
          POS:	CONJ+NOUN
          VOC:	wa+{isotiyrAd
        GLOSS:	and+importation/importing

 INPUT STRING:	معدات
     IS_TRANS:	mEdAt
        INDEX:	P8W17
      OFFSETS:	91-96
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEad~_1]
   UNSPLITVOC:	(muEad~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muEad~+At
        GLOSS:	equipment/material+[fem.pl.]

 INPUT STRING:	تبين
     IS_TRANS:	tbyn
        INDEX:	P8W18
      OFFSETS:	97-101
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tabay~an_1]
   UNSPLITVOC:	(tabay~ana)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tabay~an+a
        GLOSS:	become clear+he/it [verb]

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P8W19
      OFFSETS:	102-106
       TOKENS:	P8W21-P8W22
