 INPUT STRING:	نظرية
        LEMMA:	[juwn_1]
   UNSPLITVOC:	(wiAjwAn)
          POS:	CONJ+NOUN
          VOC:	wi+AijwAn
        GLOSS:	and+goals

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P8W6
      OFFSETS:	28-31
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W7
      OFFSETS:	32-36
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	بتتكلم
     IS_TRANS:	bttklm
        INDEX:	P8W8
      OFFSETS:	37-43
       TOKENS:	P8W12-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bititokal~im)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+tokal~im
        GLOSS:	[present-tense]+you+speak

 INPUT STRING:	عنهم
     IS_TRANS:	Enhm
        INDEX:	P8W9
      OFFSETS:	44-48
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uhum)
          POS:	PREP+PRON_3P
          VOC:	Ean~+hum
        GLOSS:	(away) from, off, about, on, over+they

 INPUT STRING:	قالى
     IS_TRANS:	qAlY
        INDEX:	P9W1
      OFFSETS:	1-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qAlY)
          POS:	TYPO
          VOC:	qAlY
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W3
      OFFSETS:	10-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قصدك
     IS_TRANS:	qSdk
        INDEX:	P9W4
      OFFSETS:	13-17
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSod_1]
   UNSPLITVOC:	(qaSodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	qaSod+ak
        GLOSS:	intent/purpose/goal/intentionally+your

 INPUT STRING:	ابوتريكة
     IS_TRANS:	Abwtrykp
        INDEX:	P9W5
      OFFSETS:	18-26
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Abwtrykp)
          POS:	NO_FUNC
          VOC:	Abwtrykp
        GLOSS:	nogloss

 INPUT STRING:	بصتله
     IS_TRANS:	bStlh
        INDEX:	P10W1
      OFFSETS:	1-6
       TOKENS:	P10W1-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(baS~it_luh)
          POS:	PV+PVSUFF_SUBJ:3FS+PREP+PRON_3MS
          VOC:	baS~+it+li+uh
        GLOSS:	glow/sparkle+it/they/she+to/for+him

 INPUT STRING:	بغيظ
     IS_TRANS:	bgyZ
        INDEX:	P10W2
      OFFSETS:	7-11
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayZ_1]
   UNSPLITVOC:	(bigayZ)
          POS:	PREP+NOUN
          VOC:	bi+gayZ
        GLOSS:	with/by+anger/wrath

 INPUT STRING:	وقولتله
     IS_TRANS:	wqwltlh
        INDEX:	P10W3
      OFFSETS:	12-19
       TOKENS:	P10W6-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiquwlt_luh)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S+PREP+PRON_3MS
          VOC:	wi+quwl+t+li+uh
        GLOSS:	and+say+I+to/for+him

 INPUT STRING:	بقولك
     IS_TRANS:	bqwlk
        INDEX:	P10W4
      OFFSETS:	20-25
       TOKENS:	P10W10-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwlak)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	bi+Aa+quwl+ak
        GLOSS:	[present-tense]+I+said/say/be said/say/(for example)+you

 INPUT STRING:	الريس
     IS_TRANS:	Alrys
        INDEX:	P10W5
      OFFSETS:	26-31
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(Alr~ay~is)
          POS:	DET+NOUN
          VOC:	Al+ray~is
        GLOSS:	the+captain/chief/boss

 INPUT STRING:	يابيهم
     IS_TRANS:	yAbyhm
        INDEX:	P10W6
      OFFSETS:	32-38
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yAbyhm)
          POS:	TYPO
          VOC:	yAbyhm
        GLOSS:	nogloss

 INPUT STRING:	تقولى
     IS_TRANS:	tqwlY
        INDEX:	P10W7
      OFFSETS:	39-44
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tqwlY)
          POS:	TYPO
          VOC:	tqwlY
        GLOSS:	nogloss

 INPUT STRING:	ابوتريكة
     IS_TRANS:	Abwtrykp
        INDEX:	P10W8
      OFFSETS:	45-53
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Abwtrykp)
          POS:	NO_FUNC
          VOC:	Abwtrykp
        GLOSS:	nogloss

 INPUT STRING:	وغصب
     IS_TRANS:	wgSb
        INDEX:	P11W1
      OFFSETS:	1-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaSob_1]
   UNSPLITVOC:	(wigaSob)
          POS:	CONJ+NOUN
          VOC:	wi+gaSob
        GLOSS:	and+extortion/coercion/usurpation/forcibly/by force

 INPUT STRING:	عنى
     IS_TRANS:	EnY
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~iy)
          POS:	PREP+PRON_1S
          VOC:	Ean~+iy
        GLOSS:	(away) from, off, about, on, over+me

 INPUT STRING:	صوتى
     IS_TRANS:	SwtY
        INDEX:	P11W3
      OFFSETS:	10-14
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(Sawtiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Sawt+iy
        GLOSS:	voice/sound/voices/sounds+my

 INPUT STRING:	عيلى
     IS_TRANS:	EylY
        INDEX:	P11W4
      OFFSETS:	15-19
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eiliy_1]
   UNSPLITVOC:	(EylY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eiyliy+(null)
        GLOSS:	be loud+he/it

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P11W5
      OFFSETS:	20-24
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P12W1
      OFFSETS:	1-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	القهوة
     IS_TRANS:	Alqhwp
        INDEX:	P12W2
      OFFSETS:	6-12
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qahowap_1]
   UNSPLITVOC:	(Alqahowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qahow+ap
        GLOSS:	the+coffee/coffees+[fem.sg.]

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P12W3
      OFFSETS:	13-17
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/entire+its/their/her

 INPUT STRING:	اتلمت
     IS_TRANS:	Atlmt
        INDEX:	P12W4
      OFFSETS:	18-23
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitolam~_1]
   UNSPLITVOC:	(Aitolam~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aitolam~+it
        GLOSS:	gather+it/they/she

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P12W5
      OFFSETS:	24-29
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P12W6
      OFFSETS:	30-33
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P12W7
      OFFSETS:	34-38
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	alone/ individual/ single

 INPUT STRING:	طلعله
     IS_TRANS:	TlElh
        INDEX:	P12W8
      OFFSETS:	39-44
       TOKENS:	P12W11-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiliE_luh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	TiliE+(null)+li+uh
        GLOSS:	go out+he/it+to/for+him

 INPUT STRING:	بكلمة
     IS_TRANS:	bklmp
        INDEX:	P12W9
      OFFSETS:	45-50
       TOKENS:	P12W14-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(bikilomap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+kilom+ap
        GLOSS:	with/by+word+[fem.sg.]

 INPUT STRING:	مالو
     IS_TRANS:	mAlw
        INDEX:	P13W1
      OFFSETS:	1-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAlw)
          POS:	NO_FUNC
          VOC:	mAlw
        GLOSS:	nogloss

 INPUT STRING:	ابوتريكة
     IS_TRANS:	Abwtrykp
        INDEX:	P13W2
      OFFSETS:	6-14
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Abwtrykp)
          POS:	NO_FUNC
          VOC:	Abwtrykp
        GLOSS:	nogloss

 INPUT STRING:	ياعم
     IS_TRANS:	yAEm
        INDEX:	P13W3
      OFFSETS:	15-19
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(yAEam~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+Eam~
        GLOSS:	oh+paternal uncle/paternal uncles

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P14W1
      OFFSETS:	1-6
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(wiAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Alliy
        GLOSS:	and+that

 INPUT STRING:	يقولى
     IS_TRANS:	yqwlY
        INDEX:	P14W2
      OFFSETS:	7-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yqwlY)
          POS:	TYPO
          VOC:	yqwlY
        GLOSS:	nogloss

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P14W3
      OFFSETS:	13-15
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P14W4
      OFFSETS:	16-20
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better

 INPUT STRING:	لاعب
     IS_TRANS:	lAEb
        INDEX:	P14W5
      OFFSETS:	21-25
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAEib_1]
   UNSPLITVOC:	(lAEib)
          POS:	NOUN
          VOC:	lAEib
        GLOSS:	player/athlete

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W6
      OFFSETS:	26-28
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بلدك
     IS_TRANS:	bldk
        INDEX:	P14W7
      OFFSETS:	29-33
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	balad+ik
        GLOSS:	country/country/countries+your

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P15W1
      OFFSETS:	1-6
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(wiAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Alliy
        GLOSS:	and+that

 INPUT STRING:	يقولى
     IS_TRANS:	yqwlY
        INDEX:	P15W2
      OFFSETS:	7-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yqwlY)
          POS:	TYPO
          VOC:	yqwlY
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P15W3
      OFFSETS:	13-16
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	شكلك
     IS_TRANS:	$klk
        INDEX:	P15W4
      OFFSETS:	17-21
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	$akol+ak
        GLOSS:	manner/form/configuration/manners / types/forms/configurations+your

 INPUT STRING:	زملكاوى
     IS_TRANS:	zmlkAwY
        INDEX:	P15W5
      OFFSETS:	22-29
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamalokAwiy_1]
   UNSPLITVOC:	(zamalokAwiy)
          POS:	ADJ
          VOC:	zamalokAwiy
        GLOSS:	Zamalik supporter

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P16W1
      OFFSETS:	1-5
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I

 INPUT STRING:	هنفجر
     IS_TRANS:	hnfjr
        INDEX:	P16W2
      OFFSETS:	6-11
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainfajar_1]
   UNSPLITVOC:	(HaAanfjr)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+nfijir
        GLOSS:	will+I+explode

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W3
      OFFSETS:	12-14
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الغيظ
     IS_TRANS:	AlgyZ
        INDEX:	P16W4
      OFFSETS:	15-20
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayZ_1]
   UNSPLITVOC:	(AlgayZ)
          POS:	DET+NOUN
          VOC:	Al+gayZ
        GLOSS:	the+anger/wrath

 INPUT STRING:	واحلفلهم
     IS_TRANS:	wAHlflhm
        INDEX:	P16W5
      OFFSETS:	21-29
       TOKENS:	P16W7-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilif_1]
   UNSPLITVOC:	(wiAaHolif_luhum)
          POS:	CONJ+IV1S+IV+PREP+PRON_3P
          VOC:	wi+Aa+Holif+li+hum
        GLOSS:	and+I+swear+to/for+they

 INPUT STRING:	متين
     IS_TRANS:	mtyn
        INDEX:	P16W6
      OFFSETS:	30-34
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(mitayon)
          POS:	NOUN_NUM+NSUFF_FEM_DU
          VOC:	mi+tayon
        GLOSS:	hundred+two

 INPUT STRING:	امين
     IS_TRANS:	Amyn
        INDEX:	P16W7
      OFFSETS:	35-39
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Amyn)
          POS:	TYPO
          VOC:	Amyn
        GLOSS:	nogloss

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P16W8
      OFFSETS:	40-43
       TOKENS:	P16W13-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(>in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>in~+iy
        GLOSS:	that+I

 INPUT STRING:	معرفش
     IS_TRANS:	mErf$
        INDEX:	P16W9
      OFFSETS:	44-49
       TOKENS:	P16W15-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(mA_AaEoraf$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+Aa+Eoraf+$
        GLOSS:	not+I+know/be known+not

 INPUT STRING:	مرفت
     IS_TRANS:	mrft
        INDEX:	P16W10
      OFFSETS:	50-54
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mirfat_1]
   UNSPLITVOC:	(mrft)
          POS:	NOUN_PROP
          VOC:	mirfat
        GLOSS:	Mirvat

 INPUT STRING:	يامين
     IS_TRANS:	yAmyn
        INDEX:	P16W11
      OFFSETS:	55-60
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yAmyn)
          POS:	TYPO
          VOC:	yAmyn
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P16W12
      OFFSETS:	61-64
       TOKENS:	P16W20-P16W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P16W13
      OFFSETS:	65-68
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P16W14
      OFFSETS:	69-72
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P17W1
      OFFSETS:	1-6
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+ADJ
          VOC:	Al+muhim~
        GLOSS:	the+important/serious

 INPUT STRING:	خلص
     IS_TRANS:	xlS
        INDEX:	P17W2
      OFFSETS:	7-10
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(xiliS)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xiliS+(null)
        GLOSS:	finish+he/it

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P17W3
      OFFSETS:	11-18
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W4
      OFFSETS:	19-22
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
