 INPUT STRING:	السياسة
     IS_TRANS:	Athz>t
        INDEX:	P12W6
      OFFSETS:	25-31
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitohaz~a>_1]
   UNSPLITVOC:	(Aitohaz~a>it)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitohaz~a>+it
        GLOSS:	be scoffed/be mocked+it/they/she [verb]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P12W7
      OFFSETS:	32-34
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	something like

 INPUT STRING:	ماحصل
     IS_TRANS:	mAHSl
        INDEX:	P12W8
      OFFSETS:	35-40
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(mA_HaSal)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	mA+HaSal+(null)
        GLOSS:	that+occur/happen/take place+he/it [verb]

 INPUT STRING:	لايطاليا
     IS_TRANS:	lAyTAlyA
        INDEX:	P12W9
      OFFSETS:	41-49
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyTAloyA_1]
   UNSPLITVOC:	(li<iyTAloyA)
          POS:	PREP+NOUN_PROP
          VOC:	li+<iyTAloyA
        GLOSS:	for/to+Italy

 INPUT STRING:	والبرازيل
     IS_TRANS:	wAlbrAzyl
        INDEX:	P12W10
      OFFSETS:	50-59
       TOKENS:	P12W13-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAziyl_1]
   UNSPLITVOC:	(wiAlbarAziyl)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+barAziyl
        GLOSS:	and+the+Brazil

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W11
      OFFSETS:	60-62
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P12W12
      OFFSETS:	63-66
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	هيعمل
     IS_TRANS:	hyEml
        INDEX:	P12W13
      OFFSETS:	67-72
       TOKENS:	P12W17-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HayiEomil)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Eomil
        GLOSS:	will+he/it+do/make

 INPUT STRING:	أزمة
     IS_TRANS:	>zmp
        INDEX:	P12W14
      OFFSETS:	73-77
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azomap_1]
   UNSPLITVOC:	(>azomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>azom+ap
        GLOSS:	crisis+[fem.sg.]

 INPUT STRING:	دبلوماسية
     IS_TRANS:	dblwmAsyp
        INDEX:	P12W15
      OFFSETS:	78-87
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dibluwmAsiy_1]
   UNSPLITVOC:	(dibluwmAsiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dibluwmAsiy~+ap
        GLOSS:	diplomatic+[fem.sg.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P12W16
      OFFSETS:	88-91
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/among

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P12W17
      OFFSETS:	92-95
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وامريكا
     IS_TRANS:	wAmrykA
        INDEX:	P12W18
      OFFSETS:	96-103
       TOKENS:	P12W23-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(wi>amoriykA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+>amoriykA
        GLOSS:	and+America

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P13W2
      OFFSETS:	3-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P13W3
      OFFSETS:	7-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	حبوا
     IS_TRANS:	HbwA
        INDEX:	P13W4
      OFFSETS:	12-16
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(Hab~uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Hab~+uwA
        GLOSS:	love/like+they [verb]

 INPUT STRING:	يدمروا
     IS_TRANS:	ydmrwA
        INDEX:	P13W5
      OFFSETS:	17-23
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~ar_1]
   UNSPLITVOC:	(yidam~aruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+dam~ar+uwA
        GLOSS:	they+destroy/wreck+[pl.]

 INPUT STRING:	وحدتنا
     IS_TRANS:	wHdtnA
        INDEX:	P13W6
      OFFSETS:	24-30
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wiHodap_1]
   UNSPLITVOC:	(wiHoditnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	wiHod+ap+nA
        GLOSS:	unity+[fem.sg.]+our

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P13W7
      OFFSETS:	31-38
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	الحاجة
     IS_TRANS:	AlHAjp
        INDEX:	P13W8
      OFFSETS:	39-45
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HAj+ap
        GLOSS:	the+thing+[fem.sg.]

 INPUT STRING:	الوحيدة
     IS_TRANS:	AlwHydp
        INDEX:	P13W9
      OFFSETS:	46-53
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+waHiyd+ap
        GLOSS:	the+only/sole/alone/exclusive+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P13W10
      OFFSETS:	54-58
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	اتوحدنا
     IS_TRANS:	AtwHdnA
        INDEX:	P13W11
      OFFSETS:	59-66
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[towaH~id_1]
   UNSPLITVOC:	(AitowaH~idnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	AitowaH~id+nA
        GLOSS:	be united/coalesce+we [pl.]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P13W12
      OFFSETS:	67-71
       TOKENS:	P13W14-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it/them

 INPUT STRING:	بردوا
     IS_TRANS:	brdwA
        INDEX:	P13W13
      OFFSETS:	72-77
       TOKENS:	P13W16-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	ضربوها
     IS_TRANS:	DrbwhA
        INDEX:	P13W14
      OFFSETS:	78-84
       TOKENS:	P13W17-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(DarabuwhA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3FS
          VOC:	Darab+uwA+hA
        GLOSS:	strike/hit+they [verb]+it/them/her

 INPUT STRING:	فبجد
     IS_TRANS:	fbjd
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(fabijad~)
          POS:	CONJ+PREP+NOUN
          VOC:	fa+bi+jad~
        GLOSS:	so/and+with/by+seriousness/earnestness

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P14W2
      OFFSETS:	5-8
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P14W3
      OFFSETS:	9-13
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she [verb]

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P14W4
      OFFSETS:	14-18
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تتغلب
     IS_TRANS:	ttglb
        INDEX:	P14W5
      OFFSETS:	19-24
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitogalab_1]
   UNSPLITVOC:	(titogilib)
          POS:	IV3FS+IV_PASS
          VOC:	ti+togilib
        GLOSS:	she/it/they+be defeated/be overcome

 INPUT STRING:	ماكانش
     IS_TRANS:	mAkAn$
        INDEX:	P14W6
      OFFSETS:	25-31
       TOKENS:	P14W8-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kAn$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+kAn+(null)+$
        GLOSS:	not+be+he/it [verb]+not

 INPUT STRING:	ينفع
     IS_TRANS:	ynfE
        INDEX:	P14W7
      OFFSETS:	32-36
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(yinofaE)
          POS:	IV3MS+IV
          VOC:	yi+nofaE
        GLOSS:	he/it+be possible/be useful

 INPUT STRING:	تكسب
     IS_TRANS:	tksb
        INDEX:	P14W8
      OFFSETS:	37-41
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(tikosab)
          POS:	IV3FS+IV
          VOC:	ti+kosab
        GLOSS:	she/it/they+gain/acquire/obtain

 INPUT STRING:	ايطاليا
     IS_TRANS:	AyTAlyA
        INDEX:	P15W1
      OFFSETS:	0-7
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyTAloyA_1]
   UNSPLITVOC:	(<iyTAloyA)
          POS:	NOUN_PROP
          VOC:	<iyTAloyA
        GLOSS:	Italy

 INPUT STRING:	بطلة
     IS_TRANS:	bTlp
        INDEX:	P15W2
      OFFSETS:	8-12
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baTal_1]
   UNSPLITVOC:	(baTalap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	baTal+ap
        GLOSS:	hero/champion/star+[fem.sg]

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P15W3
      OFFSETS:	13-19
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world

 INPUT STRING:	اتهزأت
     IS_TRANS:	Athz>t
        INDEX:	P15W4
      OFFSETS:	20-26
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitohaz~a>_1]
   UNSPLITVOC:	(Aitohaz~a>it)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aitohaz~a>+it
        GLOSS:	be scoffed/be mocked+it/they/she [verb]

 INPUT STRING:	مابالك
     IS_TRANS:	mAbAlk
        INDEX:	P15W5
      OFFSETS:	27-33
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAbAlk)
          POS:	NO_FUNC
          VOC:	mAbAlk
        GLOSS:	nogloss

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P15W6
      OFFSETS:	34-40
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	أخيرة
     IS_TRANS:	>xyrp
        INDEX:	P15W7
      OFFSETS:	41-46
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axiyr_1]
   UNSPLITVOC:	(>axiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>axiyr+ap
        GLOSS:	last/latest/recent/latter+[fem.sg.]

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P15W8
      OFFSETS:	47-53
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W9
      OFFSETS:	54-56
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكورة
     IS_TRANS:	Alkwrp
        INDEX:	P15W10
      OFFSETS:	57-63
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawrap_1]
   UNSPLITVOC:	(Alkawrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kawr+ap
        GLOSS:	the+ball/football+[fem.sg.]

 INPUT STRING:	لكنها
     IS_TRANS:	lknhA
        INDEX:	P15W11
      OFFSETS:	64-69
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin~ahA)
          POS:	CONJ+PRON_3FS
          VOC:	lakin+hA
        GLOSS:	But+it/they/she

 INPUT STRING:	ككينونة
     IS_TRANS:	kkynwnp
        INDEX:	P15W12
      OFFSETS:	70-77
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaynuwnap_1]
   UNSPLITVOC:	(kakaynuwnap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	ka+kaynuwn+ap
        GLOSS:	like/such+Entity+[fem.sg.]

 INPUT STRING:	سياسية
     IS_TRANS:	syAsyp
        INDEX:	P15W13
      OFFSETS:	78-84
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	siyAsiy~+ap
        GLOSS:	political+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P15W14
      OFFSETS:	85-87
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it/they

 INPUT STRING:	الأقوى
     IS_TRANS:	Al>qwY
        INDEX:	P15W15
      OFFSETS:	88-94
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqowaY_1]
   UNSPLITVOC:	(Al>aqowaY)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aqowaY
        GLOSS:	the+more stronger

 INPUT STRING:	فما
     IS_TRANS:	fmA
        INDEX:	P15W16
      OFFSETS:	95-98
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(famA)
          POS:	RC_PART+NEG_PART
          VOC:	fa+mA
        GLOSS:	so/then+not

 INPUT STRING:	كانش
     IS_TRANS:	kAn$
        INDEX:	P15W17
      OFFSETS:	99-103
       TOKENS:	P15W20-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	kAn+(null)+$
        GLOSS:	be+he/it [verb]+not

 INPUT STRING:	ينفع
     IS_TRANS:	ynfE
        INDEX:	P15W18
      OFFSETS:	104-108
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(yinofaE)
          POS:	IV3MS+IV
          VOC:	yi+nofaE
        GLOSS:	he/it+be possible/be useful

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P15W19
      OFFSETS:	109-112
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P15W20
      OFFSETS:	113-120
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	المسلمة
     IS_TRANS:	Almslmp
        INDEX:	P15W21
      OFFSETS:	121-128
       TOKENS:	P15W25-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Almusolim_1]
   UNSPLITVOC:	(Almusolimap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musolim+ap
        GLOSS:	the+Muslim+[fem.sg.]

 INPUT STRING:	تكسب
     IS_TRANS:	tksb
        INDEX:	P15W22
      OFFSETS:	129-133
       TOKENS:	P15W26-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(tikosab)
          POS:	IV3FS+IV
          VOC:	ti+kosab
        GLOSS:	she/it/they+gain/acquire/obtain

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/every/entire/whole+our

 INPUT STRING:	زعلنا
     IS_TRANS:	zElnA
        INDEX:	P16W2
      OFFSETS:	5-10
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(ziEilnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	ziEil+nA
        GLOSS:	be annoyed/be angry+we [verb]

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P16W3
      OFFSETS:	11-14
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P16W4
      OFFSETS:	15-17
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	فيكم
     IS_TRANS:	fykm
        INDEX:	P16W5
      OFFSETS:	18-22
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiykum)
          POS:	PREP+PRON_2P
          VOC:	fiy+kum
        GLOSS:	in+you [pl.]

 INPUT STRING:	سأل
     IS_TRANS:	s>l
        INDEX:	P16W6
      OFFSETS:	23-26
       TOKENS:	P16W8-P16W8
