 INPUT STRING:	يقول
     IS_TRANS:	AfkArh
        INDEX:	P6W9
      OFFSETS:	42-48
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(AfokAruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AfokAr+uh
        GLOSS:	idea/notion/concept+his/its

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W10
      OFFSETS:	49-52
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	except

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P6W11
      OFFSETS:	53-56
       TOKENS:	P6W14-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	عارض
     IS_TRANS:	EArD
        INDEX:	P6W12
      OFFSETS:	57-61
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAriD_1]
   UNSPLITVOC:	(EAriD)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	EAriD+(null)
        GLOSS:	oppose/resist+he/it

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P6W13
      OFFSETS:	62-64
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|al_1]
   UNSPLITVOC:	(|al)
          POS:	NOUN
          VOC:	|al
        GLOSS:	family/clan/lineage/jacks/five stones

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P6W14
      OFFSETS:	65-70
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	بعنف
     IS_TRANS:	bEnf
        INDEX:	P6W15
      OFFSETS:	71-75
       TOKENS:	P6W19-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunof_1]
   UNSPLITVOC:	(biEunof)
          POS:	PREP+NOUN
          VOC:	bi+Eunof
        GLOSS:	with/by+violence/force

 INPUT STRING:	وشده
     IS_TRANS:	w$dh
        INDEX:	P6W16
      OFFSETS:	76-80
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$id~ap_1]
   UNSPLITVOC:	(wi$id~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+$id~+ap
        GLOSS:	and+intensity/forcefulness+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W17
      OFFSETS:	81-83
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P6W18
      OFFSETS:	84-87
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P6W19
      OFFSETS:	88-91
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P6W20
      OFFSETS:	92-95
       TOKENS:	P6W26-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P6W21
      OFFSETS:	96-101
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P6W22
      OFFSETS:	102-108
       TOKENS:	P6W29-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+NOUN_PROP
          VOC:	Al+maSoriy
        GLOSS:	the+Masry

 INPUT STRING:	وغيره
     IS_TRANS:	wgyrh
        INDEX:	P6W23
      OFFSETS:	109-114
       TOKENS:	P6W30-P6W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(wigiyruh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+giyr+uh
        GLOSS:	and+not/other+his/its

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W24
      OFFSETS:	115-117
       TOKENS:	P6W33-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مشايخ
     IS_TRANS:	m$Ayx
        INDEX:	P6W25
      OFFSETS:	118-123
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayox_1]
   UNSPLITVOC:	(ma$Ayix)
          POS:	NOUN
          VOC:	ma$Ayix
        GLOSS:	Sheikhs/chieftains

 INPUT STRING:	السلفيه
     IS_TRANS:	Alslfyh
        INDEX:	P6W26
      OFFSETS:	124-131
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy~ap_1]
   UNSPLITVOC:	(Als~alafiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+salafiy~+ap
        GLOSS:	the+Salafist/Salafi+[fem.sg.]

 INPUT STRING:	يعلنون
     IS_TRANS:	yElnwn
        INDEX:	P6W27
      OFFSETS:	132-138
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(yuEolinuwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+Eolin+uwn
        GLOSS:	they (people)+announce/declare+[pl.]

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P6W28
      OFFSETS:	139-143
       TOKENS:	P6W37-P6W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P6W29
      OFFSETS:	144-146
       TOKENS:	P6W39-P6W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	الخروج
     IS_TRANS:	Alxrwj
        INDEX:	P6W30
      OFFSETS:	147-153
       TOKENS:	P6W40-P6W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuruwj_1]
   UNSPLITVOC:	(Alxuruwj)
          POS:	DET+NOUN
          VOC:	Al+xuruwj
        GLOSS:	the+exit/getting out/departure/deviation/trimming/piping

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W31
      OFFSETS:	154-157
       TOKENS:	P6W41-P6W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الحاكم
     IS_TRANS:	AlHAkm
        INDEX:	P6W32
      OFFSETS:	158-164
       TOKENS:	P6W42-P6W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(AlHAkim)
          POS:	DET+NOUN
          VOC:	Al+HAkim
        GLOSS:	the+ruler/governor/rulers/governors

 INPUT STRING:	وضد
     IS_TRANS:	wDd
        INDEX:	P6W33
      OFFSETS:	165-168
       TOKENS:	P6W43-P6W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(wiDid~)
          POS:	CONJ+NOUN
          VOC:	wi+Did~
        GLOSS:	and+contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	العمل
     IS_TRANS:	AlEml
        INDEX:	P6W34
      OFFSETS:	169-174
       TOKENS:	P6W45-P6W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AlEamal)
          POS:	DET+NOUN
          VOC:	Al+Eamal
        GLOSS:	the+work/action/actions/activities

 INPUT STRING:	بالسياسه
     IS_TRANS:	bAlsyAsh
        INDEX:	P6W35
      OFFSETS:	175-183
       TOKENS:	P6W46-P6W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(biAls~iyAsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+siyAs+ap
        GLOSS:	with/by+the+politics/policy/policies+[fem.sg.]

 INPUT STRING:	وانهم
     IS_TRANS:	wAnhm
        INDEX:	P6W36
      OFFSETS:	184-189
       TOKENS:	P6W48-P6W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wa<in~uhum)
          POS:	CONJ+SUB_CONJ+PRON_3P
          VOC:	wa+<in~+hum
        GLOSS:	and+that+they

 INPUT STRING:	دعويين
     IS_TRANS:	dEwyyn
        INDEX:	P6W37
      OFFSETS:	190-196
       TOKENS:	P6W51-P6W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEowiy~_1]
   UNSPLITVOC:	(daEawiy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	daEawiy~+iyn
        GLOSS:	(Islamic) mission/Da'wah-related/propagandistic+[masc.pl.]

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P6W38
      OFFSETS:	197-200
       TOKENS:	P6W52-P6W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	وشرائط
     IS_TRANS:	w$rA}T
        INDEX:	P6W39
      OFFSETS:	202-208
       TOKENS:	P6W53-P6W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iryiT_1]
   UNSPLITVOC:	(wa$arA}iT)
          POS:	CONJ+NOUN
          VOC:	wa+$arA}iT
        GLOSS:	and+tapes/strips/ribbons

 INPUT STRING:	التلفزيون
     IS_TRANS:	Altlfzywn
        INDEX:	P6W40
      OFFSETS:	209-218
       TOKENS:	P6W55-P6W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tilifizoyawn_1]
   UNSPLITVOC:	(Alt~ilifizoyawn)
          POS:	DET+NOUN
          VOC:	Al+tilifizoyawn
        GLOSS:	the+TV/television

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P6W41
      OFFSETS:	219-225
       TOKENS:	P6W56-P6W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	لاتكذب
     IS_TRANS:	lAtk*b
        INDEX:	P6W42
      OFFSETS:	226-232
       TOKENS:	P6W57-P6W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka*ab_1]
   UNSPLITVOC:	(lAtako*ib)
          POS:	NEG_PART+IV3FS+IV
          VOC:	lA+ta+ko*ib
        GLOSS:	not+it/they/she+lie/deceive

 INPUT STRING:	ولاتتجمل
     IS_TRANS:	wlAttjml
        INDEX:	P6W43
      OFFSETS:	233-241
       TOKENS:	P6W59-P6W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tajam~al_1]
   UNSPLITVOC:	(walAtitojam~il)
          POS:	CONJ+NEG_PART+IV3FS+IV
          VOC:	wa+lA+ti+tojam~il
        GLOSS:	and+not+she/it/they+Beautifying

 INPUT STRING:	ارحمونا
     IS_TRANS:	ArHmwnA
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(AiroHamuwnA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1P
          VOC:	AiroHam+uwA+nA
        GLOSS:	have mercy/protect/be compassionate/have mercy on/bless/have pity on/be merciful+you+us

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P7W2
      OFFSETS:	8-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	وخليكوا
     IS_TRANS:	wxlykwA
        INDEX:	P7W3
      OFFSETS:	12-19
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(waxal~iykuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wa+xal~iy+kuwA
        GLOSS:	and+let/keep+you

 INPUT STRING:	موضوعيين
     IS_TRANS:	mwDwEyyn
        INDEX:	P7W4
      OFFSETS:	20-28
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawoDuwEiy~_1]
   UNSPLITVOC:	(mawoDuwEiy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mawoDuwEiy~+iyn
        GLOSS:	objective+[masc.pl.]

 INPUT STRING:	اجعلوا
     IS_TRANS:	AjElwA
        INDEX:	P8W1
      OFFSETS:	0-6
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AijoEal_1]
   UNSPLITVOC:	(AijoEaluwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	AijoEal+uwA
        GLOSS:	make+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W2
      OFFSETS:	7-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عقولكم
     IS_TRANS:	Eqwlkm
        INDEX:	P8W3
      OFFSETS:	10-16
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(Euquwlkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Euquwl+kum
        GLOSS:	mind/intellect/brain/senses/intellects/brains/intellectually/mentally+your

 INPUT STRING:	طاقه
     IS_TRANS:	TAqh
        INDEX:	P8W4
      OFFSETS:	17-21
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAqap_1]
   UNSPLITVOC:	(TAqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	TAq+ap
        GLOSS:	energy/power/potential+[fem.sg.]

 INPUT STRING:	نور
     IS_TRANS:	nwr
        INDEX:	P8W5
      OFFSETS:	22-25
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(nuwr)
          POS:	NOUN
          VOC:	nuwr
        GLOSS:	light/lights

 INPUT STRING:	تنهل
     IS_TRANS:	tnhl
        INDEX:	P8W6
      OFFSETS:	26-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inohAl_1]
   UNSPLITVOC:	(tanohal)
          POS:	IV3FS+IV
          VOC:	ta+nohal
        GLOSS:	she/it/they+draws on/Raindrops/shower/rain down/precipitate

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W7
      OFFSETS:	31-33
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W8
      OFFSETS:	34-36
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	المعارف
     IS_TRANS:	AlmEArf
        INDEX:	P8W9
      OFFSETS:	37-44
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEorifap_1]
   UNSPLITVOC:	(AlmaEArif)
          POS:	DET+NOUN
          VOC:	Al+maEArif
        GLOSS:	the+(to) know/knowing/knowledge/information/acquaintance/culture/education

 INPUT STRING:	المكتب
     IS_TRANS:	Almktb
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(Almakotab)
          POS:	DET+NOUN
          VOC:	Al+makotab
        GLOSS:	the+bureau/office/department/bureaus/offices

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W2
      OFFSETS:	7-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	سيئ
     IS_TRANS:	sy}
        INDEX:	P9W4
      OFFSETS:	14-17
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~i}_1]
   UNSPLITVOC:	(say~i})
          POS:	ADJ
          VOC:	say~i}
        GLOSS:	bad

 INPUT STRING:	للغاية
     IS_TRANS:	llgAyp
        INDEX:	P9W5
      OFFSETS:	18-24
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(lilgAyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+gAy+ap
        GLOSS:	for/to+the+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	وأداؤه
     IS_TRANS:	w>dA&h
        INDEX:	P9W6
      OFFSETS:	25-31
       TOKENS:	P9W7-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adA'_1]
   UNSPLITVOC:	(wa>adA&uh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wa+>adA&+uh
        GLOSS:	and+performance/fulfillment+its/his

 INPUT STRING:	متحيز
     IS_TRANS:	mtHyz
        INDEX:	P9W7
      OFFSETS:	32-37
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutaHay~iz_1]
   UNSPLITVOC:	(mutaHay~iz)
          POS:	ADJ
          VOC:	mutaHay~iz
        GLOSS:	biased/prejudiced

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W8
      OFFSETS:	37-38
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W9
      OFFSETS:	38-39
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	والقناة
     IS_TRANS:	wAlqnAp
        INDEX:	P9W10
      OFFSETS:	40-47
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(waAlqanAap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wa+Al+qanA+ap
        GLOSS:	and+the+canal/channel+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P9W11
      OFFSETS:	48-50
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	تسعى
     IS_TRANS:	tsEY
        INDEX:	P9W12
      OFFSETS:	51-55
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEaY_1]
   UNSPLITVOC:	(tisoEaY)
          POS:	IV3FS+IV
          VOC:	ti+soEaY
        GLOSS:	it/they/she+strive/pursue

 INPUT STRING:	لتطبيق
     IS_TRANS:	ltTbyq
        INDEX:	P9W13
      OFFSETS:	56-62
       TOKENS:	P9W17-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(litaTobiyq)
          POS:	PREP+NOUN
          VOC:	li+taTobiyq
        GLOSS:	for/to+application

 INPUT STRING:	الشريعة
     IS_TRANS:	Al$ryEp
        INDEX:	P9W14
      OFFSETS:	63-70
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyEap_1]
   UNSPLITVOC:	(Al$~ariyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ariyE+ap
        GLOSS:	the+Sharia (Islamic law)/(religious) law/prescriptions of religious law+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P9W15
      OFFSETS:	71-74
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
