 INPUT STRING:	بالصدفة
      OFFSETS:	64-70
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mA$yyn)
          POS:	NO_FUNC
          VOC:	mA$yyn
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W14
      OFFSETS:	71-72
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P8W15
      OFFSETS:	73-77
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نسقط
     IS_TRANS:	nsqT
        INDEX:	P8W16
      OFFSETS:	78-82
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saq~aT_1]
   UNSPLITVOC:	(nisaq~aT)
          POS:	IV1P+IV
          VOC:	ni+saq~aT
        GLOSS:	we+cause to fall

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P8W17
      OFFSETS:	83-89
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P8W18
      OFFSETS:	90-96
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	يهدوكم
     IS_TRANS:	yhdwkm
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hadA_1]
   UNSPLITVOC:	(yihoduwkum)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:2P
          VOC:	yi+hod+uw+kum
        GLOSS:	they+convey/present/lead+[pl.]+you [pl.]

 INPUT STRING:	يرضوكم
     IS_TRANS:	yrDwkm
        INDEX:	P9W2
      OFFSETS:	7-13
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aroDaY_1]
   UNSPLITVOC:	(yiroDuwkum)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	yi+roD+uw+kum
        GLOSS:	they+satisfy/please+[pl.]+you [pl.]

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P9W3
      OFFSETS:	14-18
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~hA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all, entire, every, whole+its/their/her

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P9W4
      OFFSETS:	19-22
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	NOUN_QUANT
          VOC:	kAm
        GLOSS:	some

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P9W5
      OFFSETS:	23-26
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W6
      OFFSETS:	27-28
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الجدول
     IS_TRANS:	Aljdwl
        INDEX:	P9W7
      OFFSETS:	29-35
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadowal_1]
   UNSPLITVOC:	(Aljadowal)
          POS:	DET+NOUN
          VOC:	Al+jadowal
        GLOSS:	the+schedule/chart/schedules/charts

 INPUT STRING:	الزمني
     IS_TRANS:	Alzmny
        INDEX:	P9W8
      OFFSETS:	36-42
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zamaniy_1]
   UNSPLITVOC:	(Alzamaniy)
          POS:	DET+ADJ
          VOC:	Al+zamaniy
        GLOSS:	the+temporal/time

 INPUT STRING:	بيتنفذ
     IS_TRANS:	bytnf*
        INDEX:	P9W9
      OFFSETS:	43-49
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitonaf~i*_1]
   UNSPLITVOC:	(biyitonaf~i*)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+tonaf~i*
        GLOSS:	[present-tense]+he/it+be applied

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W10
      OFFSETS:	50-51
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P9W11
      OFFSETS:	52-56
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W12
      OFFSETS:	57-58
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P9W13
      OFFSETS:	59-62
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	ابداااااااا
     IS_TRANS:	AbdAAAAAAAA
        INDEX:	P9W14
      OFFSETS:	63-74
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>abad_1]
   UNSPLITVOC:	(>abadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>abad+AF
        GLOSS:	eternity/forever+[acc.indef.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W1
      OFFSETS:	0-1
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W2
      OFFSETS:	2-4
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P10W3
      OFFSETS:	5-7
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	لوحدهم
     IS_TRANS:	lwHdhm
        INDEX:	P10W4
      OFFSETS:	8-14
       TOKENS:	P10W4-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liwaHodhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+waHod+hum
        GLOSS:	for/to+alone+their

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P10W5
      OFFSETS:	15-17
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P10W6
      OFFSETS:	18-20
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P10W7
      OFFSETS:	21-23
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P10W8
      OFFSETS:	24-26
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	الاقي
     IS_TRANS:	AlAqy
        INDEX:	P10W9
      OFFSETS:	27-32
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(AalAqiy)
          POS:	IV1S+IV
          VOC:	Aa+lAqiy
        GLOSS:	I+meet/encounter/be met/be encountered

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P10W10
      OFFSETS:	33-35
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits/person

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P10W11
      OFFSETS:	36-40
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W12
      OFFSETS:	41-44
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P10W13
      OFFSETS:	45-49
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	channel/channels

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P10W14
      OFFSETS:	50-53
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves

 INPUT STRING:	التصميم
     IS_TRANS:	AltSmym
        INDEX:	P10W15
      OFFSETS:	54-61
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSomiym_1]
   UNSPLITVOC:	(Alt~aSomiym)
          POS:	DET+NOUN
          VOC:	Al+taSomiym
        GLOSS:	the+determination/perseverance

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W16
      OFFSETS:	62-65
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اسقاط
     IS_TRANS:	AsqAT
        INDEX:	P10W17
      OFFSETS:	66-71
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoqAT_1]
   UNSPLITVOC:	(<isoqAT)
          POS:	NOUN
          VOC:	<isoqAT
        GLOSS:	overthrow/shooting down

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P10W18
      OFFSETS:	72-78
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you [masc.pl.]

 INPUT STRING:	جايين
     IS_TRANS:	jAyyn
        INDEX:	P11W3
      OFFSETS:	8-13
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(jAyyn)
          POS:	NO_FUNC
          VOC:	jAyyn
        GLOSS:	nogloss

 INPUT STRING:	منين
     IS_TRANS:	mnyn
        INDEX:	P11W4
      OFFSETS:	14-18
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minayon_1]
   UNSPLITVOC:	(minayon)
          POS:	INTERROG_ADV
          VOC:	minayon
        GLOSS:	from where

 INPUT STRING:	بالضبط
     IS_TRANS:	bAlDbT
        INDEX:	P11W5
      OFFSETS:	19-25
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaboT_1]
   UNSPLITVOC:	(biAlD~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+DaboT
        GLOSS:	with/by+the+adjusting/regulating/precision

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W6
      OFFSETS:	26-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W7
      OFFSETS:	27-28
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W8
      OFFSETS:	29-31
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تل
     IS_TRANS:	tl
        INDEX:	P11W9
      OFFSETS:	32-34
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tal~_1]
   UNSPLITVOC:	(tal~)
          POS:	NOUN_PROP
          VOC:	tal~
        GLOSS:	Tel

 INPUT STRING:	ابيب
     IS_TRANS:	Abyb
        INDEX:	P11W10
      OFFSETS:	35-39
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>abiyb_1]
   UNSPLITVOC:	(>abiyb)
          POS:	NOUN_PROP
          VOC:	>abiyb
        GLOSS:	Aviv

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W11
      OFFSETS:	40-41
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W12
      OFFSETS:	41-42
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	indeed

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P12W2
      OFFSETS:	3-5
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P12W3
      OFFSETS:	6-11
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAfy$)
          POS:	NO_FUNC
          VOC:	mAfy$
        GLOSS:	nogloss

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P12W4
      OFFSETS:	12-14
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits/person

 INPUT STRING:	بيكره
     IS_TRANS:	bykrh
        INDEX:	P12W5
      OFFSETS:	15-20
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kirih_1]
   UNSPLITVOC:	(biyikorah)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+korah
        GLOSS:	[present-tense]+he/it+hate

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P12W6
      OFFSETS:	21-26
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P12W7
      OFFSETS:	27-33
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	بالمنظر
     IS_TRANS:	bAlmnZr
        INDEX:	P12W8
      OFFSETS:	34-41
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(biAlmanoZar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+manoZar
        GLOSS:	with/by+the+view/scenery/appearance

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W9
      OFFSETS:	42-44
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P12W10
      OFFSETS:	45-48
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P12W11
      OFFSETS:	49-56
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	الجبروت
     IS_TRANS:	Aljbrwt
        INDEX:	P13W2
      OFFSETS:	4-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jabaruwt_1]
   UNSPLITVOC:	(Aljabaruwt)
          POS:	DET+NOUN
          VOC:	Al+jabaruwt
        GLOSS:	the+omnipotence/might

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P13W3
      OFFSETS:	12-13
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	قلة
     IS_TRANS:	qlp
        INDEX:	P13W4
      OFFSETS:	14-17
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(qil~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qil~+ap
        GLOSS:	scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	الادب
     IS_TRANS:	AlAdb
        INDEX:	P13W5
      OFFSETS:	18-23
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adab_1]
   UNSPLITVOC:	(Al>adab)
          POS:	DET+NOUN
          VOC:	Al+>adab
        GLOSS:	the+good manners/etiquette

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P13W6
      OFFSETS:	24-28
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
