 INPUT STRING:	دا
        INDEX:	P21W3
      OFFSETS:	9-16
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munAfiq_1]
   UNSPLITVOC:	(munAfiqiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	munAfiq+iyn
        GLOSS:	hypocrite+[pl.]

 INPUT STRING:	افاقين
     IS_TRANS:	AfAqyn
        INDEX:	P21W4
      OFFSETS:	17-23
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaf~Aq_1]
   UNSPLITVOC:	(Af~Aqiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	Af~Aq+iyn
        GLOSS:	vagabond+[pl.]

 INPUT STRING:	بيلعبوه
     IS_TRANS:	bylEbwh
        INDEX:	P21W5
      OFFSETS:	24-31
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(biyiloEabuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+loEab+uwA
        GLOSS:	[present]+they (people)+play+[pl.]

 INPUT STRING:	بالدين
     IS_TRANS:	bAldyn
        INDEX:	P21W6
      OFFSETS:	32-38
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(biAld~iyn)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+diyn
        GLOSS:	with/by+the+religion

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P21W7
      OFFSETS:	39-44
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	خاطر
     IS_TRANS:	xATr
        INDEX:	P21W8
      OFFSETS:	45-49
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xATir_1]
   UNSPLITVOC:	(xATir)
          POS:	NOUN
          VOC:	xATir
        GLOSS:	mind/feeling/wish

 INPUT STRING:	الكراسي
     IS_TRANS:	AlkrAsy
        INDEX:	P21W9
      OFFSETS:	50-57
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurosiy_1]
   UNSPLITVOC:	(AlkarAsiy)
          POS:	DET+NOUN
          VOC:	Al+karAsiy
        GLOSS:	the+chairs/seats

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P21W10
      OFFSETS:	58-62
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Allh)
          POS:	TYPO
          VOC:	Allh
        GLOSS:	nogloss

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P21W11
      OFFSETS:	63-65
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(hm)
          POS:	TYPO
          VOC:	hm
        GLOSS:	nogloss

 INPUT STRING:	احشروه
     IS_TRANS:	AH$rwh
        INDEX:	P21W12
      OFFSETS:	66-72
       TOKENS:	P21W15-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ha$ar_1]
   UNSPLITVOC:	(AuH$uruh)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3MS
          VOC:	AuH$ur+(null)+uh
        GLOSS:	assemble/crowd/stuff+you [masc.sg.] [verb]+it/him

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P21W13
      OFFSETS:	73-75
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	فرعون
     IS_TRANS:	frEwn
        INDEX:	P21W14
      OFFSETS:	76-81
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[firoEawn_1]
   UNSPLITVOC:	(firoEawn)
          POS:	NOUN_PROP
          VOC:	firoEawn
        GLOSS:	Pharaoh/Pharaohs

 INPUT STRING:	وهمان
     IS_TRANS:	whmAn
        INDEX:	P21W15
      OFFSETS:	82-87
       TOKENS:	P21W19-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~An_1]
   UNSPLITVOC:	(wiham~An)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+ham~An
        GLOSS:	and+Hamman

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W16
      OFFSETS:	88-89
       TOKENS:	P21W21-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P21W17
      OFFSETS:	90-95
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W18
      OFFSETS:	96-97
       TOKENS:	P21W23-P21W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	القظافي
     IS_TRANS:	AlqZAfy
        INDEX:	P21W19
      OFFSETS:	98-105
       TOKENS:	P21W24-P21W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qa*Afiy_1]
   UNSPLITVOC:	(Alqa*Afiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+qa*Afiy
        GLOSS:	the+Kadafi

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P21W20
      OFFSETS:	106-107
       TOKENS:	P21W25-P21W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	بشار
     IS_TRANS:	b$Ar
        INDEX:	P21W21
      OFFSETS:	108-112
       TOKENS:	P21W26-P21W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba$~Ar_1]
   UNSPLITVOC:	(ba$~Ar)
          POS:	NOUN_PROP
          VOC:	ba$~Ar
        GLOSS:	Bachar

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	sure/certain

 INPUT STRING:	ميقصدش
     IS_TRANS:	myqSd$
        INDEX:	P22W2
      OFFSETS:	5-11
       TOKENS:	P22W2-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSad_1]
   UNSPLITVOC:	(mA_yuqoSud$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yu+qoSud+$
        GLOSS:	not+he/it+intend/mean/pursue/be intended/be meant/be pursued+not

 INPUT STRING:	الاجماع
     IS_TRANS:	AlAjmAE
        INDEX:	P22W3
      OFFSETS:	12-19
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijomAE_1]
   UNSPLITVOC:	(AlAijomAE)
          POS:	DET+NOUN
          VOC:	Al+AijomAE
        GLOSS:	the+consensus/unanimous agreement

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P22W4
      OFFSETS:	20-23
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P22W5
      OFFSETS:	24-26
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P22W6
      OFFSETS:	27-31
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P22W7
      OFFSETS:	32-34
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P22W8
      OFFSETS:	35-42
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P23W2
      OFFSETS:	6-10
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P23W3
      OFFSETS:	11-13
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	صحة
     IS_TRANS:	SHp
        INDEX:	P23W4
      OFFSETS:	14-17
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(SiH~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SiH~+ap
        GLOSS:	health/authenticity/truth/correctness+[fem.sg.]

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P23W5
      OFFSETS:	18-23
       TOKENS:	P23W6-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	المشكلة
     IS_TRANS:	Alm$klp
        INDEX:	P24W1
      OFFSETS:	0-7
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P24W2
      OFFSETS:	8-10
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الحقائق
     IS_TRANS:	AlHqA}q
        INDEX:	P24W3
      OFFSETS:	11-18
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqA}iq)
          POS:	DET+NOUN
          VOC:	Al+HaqA}iq
        GLOSS:	the+truth

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W4
      OFFSETS:	19-21
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ظاهرة
     IS_TRANS:	ZAhrp
        INDEX:	P24W5
      OFFSETS:	22-27
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ZAhir_1]
   UNSPLITVOC:	(ZAhrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ZAhr+ap
        GLOSS:	evident/apparent/visible+

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P24W6
      OFFSETS:	28-31
       TOKENS:	P24W6-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every+his/its

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P24W7
      OFFSETS:	32-36
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	ADJ.VN
          VOC:	dAxil
        GLOSS:	entering

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P24W8
      OFFSETS:	37-39
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P24W9
      OFFSETS:	40-43
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/every/entire+his/its

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+rab~+nA
        GLOSS:	and+lord/master+our

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P25W2
      OFFSETS:	6-10
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSolaH_1]
   UNSPLITVOC:	(yiSoliH)
          POS:	IV3MS+IV
          VOC:	yi+SoliH
        GLOSS:	he/it+put in order/repair/be put in order/be repaired

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P25W3
      OFFSETS:	11-14
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P25W4
      OFFSETS:	15-18
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	العضو
     IS_TRANS:	AlEDw
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(AlEuDow)
          POS:	DET+NOUN
          VOC:	Al+EuDow
        GLOSS:	the+member/members

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P26W2
      OFFSETS:	6-8
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	عندوا
     IS_TRANS:	EndwA
        INDEX:	P26W3
      OFFSETS:	9-14
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eind_1]
   UNSPLITVOC:	(Einduw)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eind+uw
        GLOSS:	something with+its/his

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P26W4
      OFFSETS:	15-17
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P26W5
      OFFSETS:	18-20
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	indeed

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P26W6
      OFFSETS:	21-25
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P26W7
      OFFSETS:	26-29
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	ادوا
     IS_TRANS:	AdwA
        INDEX:	P26W8
      OFFSETS:	30-34
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ad~aY_1]
   UNSPLITVOC:	(>ad~uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>ad~+uwA
        GLOSS:	perform /carry out+they

 INPUT STRING:	دورهم
     IS_TRANS:	dwrhm
        INDEX:	P26W9
      OFFSETS:	35-40
       TOKENS:	P26W10-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(duwrhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	duwr+hum
        GLOSS:	role/part/roles/parts+their

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P26W10
      OFFSETS:	41-45
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	مكانهم
     IS_TRANS:	mkAnhm
        INDEX:	P26W11
      OFFSETS:	46-52
       TOKENS:	P26W13-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAnhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	makAn+hum
        GLOSS:	place/location/position+their

 INPUT STRING:	السجون
     IS_TRANS:	Alsjwn
        INDEX:	P26W12
      OFFSETS:	53-59
       TOKENS:	P26W15-P26W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[sijn_1]
   UNSPLITVOC:	(Alsujuwn)
          POS:	DET+NOUN
          VOC:	Al+sujuwn
        GLOSS:	the+prisons

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P26W13
      OFFSETS:	61-65
       TOKENS:	P26W16-P26W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	يتقلبوا
     IS_TRANS:	ytqlbwA
        INDEX:	P26W14
      OFFSETS:	66-73
       TOKENS:	P26W17-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoqilob_1]
   UNSPLITVOC:	(yitoqilobuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+toqilob+uwA
        GLOSS:	they+turn around/be reversed/be inverted+[pl.]

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P26W15
      OFFSETS:	74-79
       TOKENS:	P26W18-P26W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P26W16
      OFFSETS:	80-82
       TOKENS:	P26W20-P26W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المستقبل
     IS_TRANS:	Almstqbl
        INDEX:	P26W17
      OFFSETS:	83-91
       TOKENS:	P26W21-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(Almusotaqobal)
          POS:	DET+NOUN
          VOC:	Al+musotaqobal
        GLOSS:	the+future

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P26W18
      OFFSETS:	92-97
       TOKENS:	P26W22-P26W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P26W19
      OFFSETS:	98-100
       TOKENS:	P26W24-P26W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	indeed

 INPUT STRING:	صدقنا
     IS_TRANS:	SdqnA
        INDEX:	P26W20
      OFFSETS:	101-106
       TOKENS:	P26W25-P26W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(Sad~aqnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Sad~aq+nA
