 INPUT STRING:	موقع

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+REL_PRON
          VOC:	fiy+mA
        GLOSS:	in, by+what/which

 INPUT STRING:	أصدرت
     IS_TRANS:	>Sdrt
        INDEX:	P9W2
      OFFSETS:	5-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSodar_1]
   UNSPLITVOC:	(>aSodorit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>aSodor+it
        GLOSS:	issue/publish+it/she

 INPUT STRING:	حركة
     IS_TRANS:	Hrkp
        INDEX:	P9W3
      OFFSETS:	11-15
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P9W4
      OFFSETS:	16-17
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	ابريل
     IS_TRANS:	Abryl
        INDEX:	P9W5
      OFFSETS:	18-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboriyl_1]
   UNSPLITVOC:	(<iboriyl)
          POS:	NOUN_PROP
          VOC:	<iboriyl
        GLOSS:	April

 INPUT STRING:	بأسوان
     IS_TRANS:	b>swAn
        INDEX:	P9W6
      OFFSETS:	24-30
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asowAn_1]
   UNSPLITVOC:	(bi>asowAn)
          POS:	PREP+NOUN_PROP
          VOC:	bi+>asowAn
        GLOSS:	with/by+Aswan

 INPUT STRING:	بيانًا
     IS_TRANS:	byAnFA
        INDEX:	P9W7
      OFFSETS:	31-37
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayAn_1]
   UNSPLITVOC:	(bayAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	bayAn+AF
        GLOSS:	communiqu/statement+[acc.indef.]

 INPUT STRING:	يهدف
     IS_TRANS:	yhdf
        INDEX:	P9W8
      OFFSETS:	38-42
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(yihodif)
          POS:	IV3MS+IV
          VOC:	yi+hodif
        GLOSS:	he/it+aim/intend

 INPUT STRING:	لدعم
     IS_TRANS:	ldEm
        INDEX:	P9W9
      OFFSETS:	43-47
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEom_1]
   UNSPLITVOC:	(lidaEom)
          POS:	PREP+NOUN
          VOC:	li+daEom
        GLOSS:	for/to+support/assistance/endorsement

 INPUT STRING:	مبادره
     IS_TRANS:	mbAdrh
        INDEX:	P9W10
      OFFSETS:	48-54
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mubAdarap_1]
   UNSPLITVOC:	(mubAdarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAdar+ap
        GLOSS:	initiative/proposal+[fem.sg.]

 INPUT STRING:	تنشيط
     IS_TRANS:	tn$yT
        INDEX:	P9W11
      OFFSETS:	55-60
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tano$iyT_1]
   UNSPLITVOC:	(tano$iyT)
          POS:	NOUN
          VOC:	tano$iyT
        GLOSS:	stimulation/encouragement

 INPUT STRING:	السياحه
     IS_TRANS:	AlsyAHh
        INDEX:	P9W12
      OFFSETS:	61-68
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAHap_1]
   UNSPLITVOC:	(Als~iyAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAH+ap
        GLOSS:	the+tourism+[fem.sg.]

 INPUT STRING:	مؤكدة
     IS_TRANS:	m&kdp
        INDEX:	P9W13
      OFFSETS:	69-74
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ak~ad_1]
   UNSPLITVOC:	(mu&ak~adap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mu&ak~ad+ap
        GLOSS:	assuring/confirming+[fem.sg.]

 INPUT STRING:	سلميه
     IS_TRANS:	slmyh
        INDEX:	P9W14
      OFFSETS:	75-80
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[silomiy~_1]
   UNSPLITVOC:	(silomiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	silomiy~+ap
        GLOSS:	peaceful/pacifist+[fem.sg.]

 INPUT STRING:	موقفها
     IS_TRANS:	mwqfhA
        INDEX:	P9W15
      OFFSETS:	81-87
       TOKENS:	P9W18-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqifhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mawqif+hA
        GLOSS:	position+its/their/her

 INPUT STRING:	الرافض
     IS_TRANS:	AlrAfD
        INDEX:	P9W16
      OFFSETS:	88-94
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAfiD_1]
   UNSPLITVOC:	(Alr~AfiD)
          POS:	DET+ADJ
          VOC:	Al+rAfiD
        GLOSS:	the+rejecting/refusing

 INPUT STRING:	لزيارة
     IS_TRANS:	lzyArp
        INDEX:	P9W17
      OFFSETS:	95-101
       TOKENS:	P9W21-P9W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyArap_1]
   UNSPLITVOC:	(liziyArap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+ziyAr+ap
        GLOSS:	for/to+visiting+[fem.sg.]

 INPUT STRING:	صاحب
     IS_TRANS:	SAHb
        INDEX:	P9W18
      OFFSETS:	102-106
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHib)
          POS:	NOUN
          VOC:	SAHib
        GLOSS:	owner/originator

 INPUT STRING:	قناة
     IS_TRANS:	qnAp
        INDEX:	P9W19
      OFFSETS:	107-111
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAt)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qanA+ap
        GLOSS:	canal/channel+[fem.sg.]

 INPUT STRING:	الفراعين
     IS_TRANS:	AlfrAEyn
        INDEX:	P9W20
      OFFSETS:	112-120
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[farAEiyn_1]
   UNSPLITVOC:	(AlfarAEiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+farAEiyn
        GLOSS:	the+FARAIYN

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W21
      OFFSETS:	120-121
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	وشوفوا
     IS_TRANS:	w$wfwA
        INDEX:	P10W2
      OFFSETS:	3-9
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wi$uwfuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+$uwf+uwA
        GLOSS:	and+look+you

 INPUT STRING:	كميه
     IS_TRANS:	kmyh
        INDEX:	P10W3
      OFFSETS:	10-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kim~iy~ap_1]
   UNSPLITVOC:	(kim~iy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kim~iy~+ap
        GLOSS:	quantity/amount+[fem.sg.]

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P10W4
      OFFSETS:	15-20
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P10W5
      OFFSETS:	21-25
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بتأمن
     IS_TRANS:	bt>mn
        INDEX:	P10W6
      OFFSETS:	26-31
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~in_1]
   UNSPLITVOC:	(biti>am~in)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+>am~in
        GLOSS:	[present-tense]+it/they/she+be safe

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P10W7
      OFFSETS:	32-37
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	TAWFIYQ

 INPUT STRING:	عكاشه
     IS_TRANS:	EkA$h
        INDEX:	P10W8
      OFFSETS:	38-43
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ah_1]
   UNSPLITVOC:	(EukA$ah)
          POS:	NOUN_PROP
          VOC:	EukA$ah
        GLOSS:	AUKASHA

 INPUT STRING:	زعيم
     IS_TRANS:	zEym
        INDEX:	P10W9
      OFFSETS:	44-48
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEiym_1]
   UNSPLITVOC:	(zaEiym)
          POS:	NOUN
          VOC:	zaEiym
        GLOSS:	leader/head of state

 INPUT STRING:	الامه
     IS_TRANS:	AlAmh
        INDEX:	P10W10
      OFFSETS:	49-54
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(Al>um~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>um~+ap
        GLOSS:	the+nation/people/nations/peoples/Nations+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/god+our

 INPUT STRING:	يقوييييييييييييييييييييه
     IS_TRANS:	yqwyyyyyyyyyyyyyyyyyyyyh
        INDEX:	P11W2
      OFFSETS:	5-29
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaw~aY_1]
   UNSPLITVOC:	(yiqaw~iyh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+qaw~iy+h
        GLOSS:	he+strengthen+him

 INPUT STRING:	ويحميييييييييه
     IS_TRANS:	wyHmyyyyyyyyyh
        INDEX:	P12W1
      OFFSETS:	0-14
       TOKENS:	P12W1-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HamaY_1]
   UNSPLITVOC:	(wiyiHmiyh)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wi+yi+Hmiy+h
        GLOSS:	and+he+protect+him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W2
      OFFSETS:	15-17
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	البلطجيةةةةةةةةةةة
     IS_TRANS:	AlblTjyppppppppppp
        INDEX:	P12W3
      OFFSETS:	18-36
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balTajiy~_1]
   UNSPLITVOC:	(AlbalTajiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+balTajiy~+ap
        GLOSS:	the+criminals+[fem.sg.]

 INPUT STRING:	ودعاة
     IS_TRANS:	wdEAp
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAEiy_2]
   UNSPLITVOC:	(waduEAt)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wa+duEA+ap
        GLOSS:	and+callers/propagandists+[fem.sg.]

 INPUT STRING:	الفقر
     IS_TRANS:	Alfqr
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqor_1]
   UNSPLITVOC:	(Alfaqor)
          POS:	DET+NOUN
          VOC:	Al+faqor
        GLOSS:	the+poverty

 INPUT STRING:	والبطالةةةةةةةةةةة
     IS_TRANS:	wAlbTAlppppppppppp
        INDEX:	P13W3
      OFFSETS:	12-30
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baTAlap_1]
   UNSPLITVOC:	(waAlbaTAlap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wa+Al+baTAl+ap
        GLOSS:	and+the+joblessness+[fem.sg.]

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P14W2
      OFFSETS:	6-10
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	مبسوطة
     IS_TRANS:	mbswTp
        INDEX:	P14W3
      OFFSETS:	11-17
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabosuwT_1]
   UNSPLITVOC:	(mabosuwTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mabosuwT+ap
        GLOSS:	cheerful+[fem.sg.]

 INPUT STRING:	ومستفيدة
     IS_TRANS:	wmstfydp
        INDEX:	P14W4
      OFFSETS:	18-26
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotafiyd_1]
   UNSPLITVOC:	(wimusotafiydap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+musotafiyd+ap
        GLOSS:	and+beneficiary/make use+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W5
      OFFSETS:	27-29
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	وقفان
     IS_TRANS:	wqfAn
        INDEX:	P14W6
      OFFSETS:	30-35
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqafAn_1]
   UNSPLITVOC:	(waqafAn)
          POS:	NOUN
          VOC:	waqafAn
        GLOSS:	stopping

 INPUT STRING:	الحال
     IS_TRANS:	AlHAl
        INDEX:	P14W7
      OFFSETS:	36-41
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AlHAl)
          POS:	DET+NOUN
          VOC:	Al+HAl
        GLOSS:	the+situation/condition/case/situations/conditions/cases

 INPUT STRING:	وينجييييييييه
     IS_TRANS:	wynjyyyyyyyyh
        INDEX:	P15W1
      OFFSETS:	0-13
       TOKENS:	P15W1-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naj~aY_1]
   UNSPLITVOC:	(wiyinaj~iyh)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wi+yi+naj~iy+h
        GLOSS:	and+he+rescue+him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W2
      OFFSETS:	14-16
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P15W3
      OFFSETS:	17-19
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	شر
     IS_TRANS:	$r
        INDEX:	P15W4
      OFFSETS:	20-22
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ar~_1]
   UNSPLITVOC:	($ar~)
          POS:	NOUN
          VOC:	$ar~
        GLOSS:	evil/malice

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P16W2
      OFFSETS:	6-9
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~iy_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	استودعك
     IS_TRANS:	AstwdEk
        INDEX:	P16W3
      OFFSETS:	10-17
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotawodaE_1]
   UNSPLITVOC:	(>asotawodiEaka)
          POS:	IV1S+IV+IVSUFF_MOOD:S+IVSUFF_DO:2MS
          VOC:	>a+sotawodiE+a+ka
        GLOSS:	I+deposit in/entrust to+[sub.]+you [masc.sg.]

 INPUT STRING:	ايااااااااااااه
     IS_TRANS:	AyAAAAAAAAAAAAh
        INDEX:	P16W4
      OFFSETS:	18-33
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iy~A_1]
   UNSPLITVOC:	(<iy~Ahu)
          POS:	PART+PRON_3MS
          VOC:	<iy~A+hu
        GLOSS:	for/to+him

 INPUT STRING:	ياااااااااااااارب
     IS_TRANS:	yAAAAAAAAAAAAAArb
        INDEX:	P16W5
      OFFSETS:	34-51
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+lord/god

 INPUT STRING:	اشجع
     IS_TRANS:	A$jE
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aj~aE_1]
   UNSPLITVOC:	(>a$aj~aE)
          POS:	IV1S+IV
          VOC:	>a+$aj~aE
        GLOSS:	encourage/promote/support+

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P17W2
      OFFSETS:	5-8
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(rajul)
          POS:	NOUN
          VOC:	rajul
        GLOSS:	man

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W3
      OFFSETS:	9-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P17W4
      OFFSETS:	12-15
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	الانتخاباتالوحيد
     IS_TRANS:	AlAntxAbAtAlwHyd
        INDEX:	P17W5
      OFFSETS:	16-32
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlAntxAbAtAlwHyd)
          POS:	NO_FUNC
          VOC:	AlAntxAbAtAlwHyd
        GLOSS:	nogloss

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P17W6
      OFFSETS:	33-37
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P17W7
      OFFSETS:	38-40
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يطبل
     IS_TRANS:	yTbl
        INDEX:	P17W8
      OFFSETS:	41-45
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~il_1]
