 INPUT STRING:	بصراحه
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warA)
          POS:	NOUN
          VOC:	warA
        GLOSS:	behind

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P9W17
      OFFSETS:	82-84
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P10W2
      OFFSETS:	3-7
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	فينا
     IS_TRANS:	fynA
        INDEX:	P10W3
      OFFSETS:	8-12
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiynA)
          POS:	PREP+PRON_1P
          VOC:	fiy+nA
        GLOSS:	in+we

 INPUT STRING:	شايف
     IS_TRANS:	$Ayf
        INDEX:	P10W4
      OFFSETS:	13-17
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayif)
          POS:	ADJ.VN
          VOC:	$Ayif
        GLOSS:	seeing

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P10W5
      OFFSETS:	18-24
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(Ald~unoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world

 INPUT STRING:	ماشية
     IS_TRANS:	mA$yp
        INDEX:	P10W6
      OFFSETS:	25-30
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going/walking/on foot+[fem.sg.]

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P10W7
      OFFSETS:	31-35
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	بالعافية
     IS_TRANS:	bAlEAfyp
        INDEX:	P10W8
      OFFSETS:	36-44
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAfoyap_1]
   UNSPLITVOC:	(biAlEAfoyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+EAfoy+ap
        GLOSS:	with/by+the+good health+[fem.sg.]

 INPUT STRING:	واللة
     IS_TRANS:	wAllp
        INDEX:	P10W9
      OFFSETS:	45-50
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+God

 INPUT STRING:	فمش
     IS_TRANS:	fm$
        INDEX:	P10W10
      OFFSETS:	51-54
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(fami$)
          POS:	CONJ+NEG_PART
          VOC:	fa+mi$
        GLOSS:	so/and+not

 INPUT STRING:	ناقصاك
     IS_TRANS:	nAqSAk
        INDEX:	P10W11
      OFFSETS:	55-61
       TOKENS:	P10W15-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAqiS_1]
   UNSPLITVOC:	(nAqoSAk)
          POS:	ADJ+NSUFF_FEM_SG+PRON_2MS
          VOC:	nAqoS+ap+ak
        GLOSS:	incomplete/defective/lacking+[fem.sg.]+you

 INPUT STRING:	وشكلك
     IS_TRANS:	w$klk
        INDEX:	P10W12
      OFFSETS:	62-67
       TOKENS:	P10W17-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(wi$akolik)
          POS:	CONJ+NOUN+POSS_PRON_2FS
          VOC:	wi+$akol+ik
        GLOSS:	and+manner/form/configuration/manners / types/forms/configurations+your

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W13
      OFFSETS:	68-70
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مصرى
     IS_TRANS:	mSrY
        INDEX:	P10W14
      OFFSETS:	71-75
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P10W15
      OFFSETS:	76-80
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital+[acc.indef.]

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P11W1
      OFFSETS:	0-6
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+after

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P11W2
      OFFSETS:	7-10
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W3
      OFFSETS:	11-13
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتسال
     IS_TRANS:	btsAl
        INDEX:	P11W4
      OFFSETS:	14-19
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(bitiso>al)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+so>al
        GLOSS:	[present-tense]+you+ask/inquire/request/be asked

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P11W5
      OFFSETS:	20-22
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	النزول
     IS_TRANS:	Alnzwl
        INDEX:	P11W6
      OFFSETS:	23-29
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuzuwl_1]
   UNSPLITVOC:	(Aln~uzuwl)
          POS:	DET+NOUN
          VOC:	Al+nuzuwl
        GLOSS:	the+descent/resignation

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P11W7
      OFFSETS:	30-33
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P11W8
      OFFSETS:	34-36
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P11W9
      OFFSETS:	36-41
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	لءا
     IS_TRANS:	l'A
        INDEX:	P11W10
      OFFSETS:	42-45
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l'A_1]
   UNSPLITVOC:	(l'A)
          POS:	INTERJ
          VOC:	l'A
        GLOSS:	no

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P11W11
      OFFSETS:	46-49
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P11W12
      OFFSETS:	50-55
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+you+said/say/be said/say/(for example)

 INPUT STRING:	انزلوووووووووووووووووووووووووووووووو
     IS_TRANS:	Anzlwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
        INDEX:	P11W13
      OFFSETS:	56-92
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Nizil_1]
   UNSPLITVOC:	(Ainziluw)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Ainzil+uw
        GLOSS:	go down+you [pl.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P11W14
      OFFSETS:	93-95
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	طريقة
     IS_TRANS:	Tryqp
        INDEX:	P11W15
      OFFSETS:	96-101
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(Tariyqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Tariyq+ap
        GLOSS:	method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	لئيمة
     IS_TRANS:	l}ymp
        INDEX:	P11W16
      OFFSETS:	102-107
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[la}iym_1]
   UNSPLITVOC:	(la}iymap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	la}iym+ap
        GLOSS:	depraved/wicked+[fem.sg.]

 INPUT STRING:	مليانة
     IS_TRANS:	mlyAnp
        INDEX:	P11W17
      OFFSETS:	108-114
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maloyAn_1]
   UNSPLITVOC:	(maloyAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maloyAn+ap
        GLOSS:	full of+[fem.sg.]

 INPUT STRING:	مكر
     IS_TRANS:	mkr
        INDEX:	P11W18
      OFFSETS:	115-118
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makor_1]
   UNSPLITVOC:	(makor)
          POS:	NOUN
          VOC:	makor
        GLOSS:	deception/double-dealing

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ريت
     IS_TRANS:	ryt
        INDEX:	P12W2
      OFFSETS:	3-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rayot_1]
   UNSPLITVOC:	(rayot)
          POS:	PSEUDO_VERB
          VOC:	rayot
        GLOSS:	wish

 INPUT STRING:	تفكرينا
     IS_TRANS:	tfkrynA
        INDEX:	P12W3
      OFFSETS:	7-14
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tafkiry_1]
   UNSPLITVOC:	(tafkirynA)
          POS:	NOUN.VN+POSS_PRON_1P
          VOC:	tafkiry+nA
        GLOSS:	thinking+our

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P12W4
      OFFSETS:	15-18
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	this way

 INPUT STRING:	وصلتم
     IS_TRANS:	wSltm
        INDEX:	P12W5
      OFFSETS:	19-24
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wiSil_1]
   UNSPLITVOC:	(wiSiltum)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	wiSil+tum
        GLOSS:	arrive+you

 INPUT STRING:	لايه
     IS_TRANS:	lAyh
        INDEX:	P12W6
      OFFSETS:	25-29
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(li<ayoh)
          POS:	PREP+INTERROG_PRON
          VOC:	li+<ayoh
        GLOSS:	to+what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W7
      OFFSETS:	30-31
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	استبدلتم
     IS_TRANS:	Astbdltm
        INDEX:	P13W1
      OFFSETS:	0-8
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotabodal_1]
   UNSPLITVOC:	({isotabodaltum)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	{isotabodal+tum
        GLOSS:	replace/substitute+you [pl.] [verb]

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P13W2
      OFFSETS:	9-13
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	regime/government

 INPUT STRING:	بنظام
     IS_TRANS:	bnZAm
        INDEX:	P13W3
      OFFSETS:	14-19
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(biniZAm)
          POS:	PREP+NOUN
          VOC:	bi+niZAm
        GLOSS:	with/by+regime/government

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you [pl.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P14W2
      OFFSETS:	5-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P14W3
      OFFSETS:	9-13
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	شخصيا
     IS_TRANS:	$xSyA
        INDEX:	P14W4
      OFFSETS:	14-19
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$axoSiy~+AF
        GLOSS:	private/personal/in person/personally+[acc.indef.]

 INPUT STRING:	كسبنا
     IS_TRANS:	ksbnA
        INDEX:	P14W5
      OFFSETS:	20-25
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(kisibnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kisib+nA
        GLOSS:	gain/win+we

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P14W6
      OFFSETS:	26-29
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W7
      OFFSETS:	30-31
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	طبيعي
     IS_TRANS:	TbyEy
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(TabiyEiy)
          POS:	ADJ
          VOC:	TabiyEiy
        GLOSS:	natural/normal

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P15W2
      OFFSETS:	6-10
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	منوصلش
     IS_TRANS:	mnwSl$
        INDEX:	P15W3
      OFFSETS:	11-17
       TOKENS:	P15W4-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(mA_niwoSal$)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	mA+ni+woSal+$
        GLOSS:	not+we+connect+not

 INPUT STRING:	لحاجه
     IS_TRANS:	lHAjh
        INDEX:	P15W4
      OFFSETS:	18-23
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(liHAjap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+HAj+ap
        GLOSS:	for/to+thing/belongings+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P15W5
      OFFSETS:	24-26
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P15W6
      OFFSETS:	27-29
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~)
          POS:	NOUN
          VOC:	Zil~
        GLOSS:	patronage/shelter/shade/auspices/shelter

 INPUT STRING:	ترويعكلم
     IS_TRANS:	trwyEklm
        INDEX:	P15W7
      OFFSETS:	30-38
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(trwyEklm)
          POS:	TYPO
          VOC:	trwyEklm
        GLOSS:	nogloss

 INPUT STRING:	لينا
     IS_TRANS:	lynA
        INDEX:	P15W8
      OFFSETS:	39-43
       TOKENS:	P15W12-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liynA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for+we

 INPUT STRING:	بفيديوهات
     IS_TRANS:	bfydywhAt
        INDEX:	P15W9
      OFFSETS:	44-53
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydoyuw_1]
   UNSPLITVOC:	(bifiydoyuwhAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+fiydoyuwh+At
        GLOSS:	with/by+videos+[fem.pl.]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P15W10
      OFFSETS:	54-56
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P15W11
      OFFSETS:	57-61
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بتتنشر
     IS_TRANS:	bttn$r
        INDEX:	P15W12
      OFFSETS:	62-68
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitona$ar_1]
   UNSPLITVOC:	(bititoni$ir)
          POS:	PROG_PART+IV3FS+IV_PASS
          VOC:	bi+ti+toni$ir
        GLOSS:	[present-tense]+it/they/she+be spread

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P15W13
      OFFSETS:	69-74
       TOKENS:	P15W20-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(waAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Alliy
        GLOSS:	and+which

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P15W14
      OFFSETS:	75-79
       TOKENS:	P15W22-P15W22
