 INPUT STRING:	انتحابات
   UNSPLITVOC:	(giloyit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	giloy+it
        GLOSS:	increase+it/they/she

 INPUT STRING:	اليومين
     IS_TRANS:	Alywmyn
        INDEX:	P7W8
      OFFSETS:	39-46
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyuwmayn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+yuwm+ayn
        GLOSS:	the+period+two

 INPUT STRING:	دولى
     IS_TRANS:	dwlY
        INDEX:	P7W9
      OFFSETS:	47-51
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwlaY_1]
   UNSPLITVOC:	(duwlaY)
          POS:	DEM_PRON_MD
          VOC:	duwlaY
        GLOSS:	these

 INPUT STRING:	وانتم
     IS_TRANS:	wAntm
        INDEX:	P8W1
      OFFSETS:	2-7
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intum_1]
   UNSPLITVOC:	(wi<intum)
          POS:	CONJ+PRON_2P
          VOC:	wi+<intum
        GLOSS:	and+you

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P8W2
      OFFSETS:	8-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[pl.]

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P8W3
      OFFSETS:	15-19
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/she/they

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W4
      OFFSETS:	20-22
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/the entire/whole

 INPUT STRING:	مره
     IS_TRANS:	mrh
        INDEX:	P8W5
      OFFSETS:	23-26
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	بتتاخد
     IS_TRANS:	bttAxd
        INDEX:	P8W6
      OFFSETS:	27-33
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~Axid_1]
   UNSPLITVOC:	(bitit~Axid)
          POS:	PROG_PART+IV3FS+IV_PASS
          VOC:	bi+ti+t~Axid
        GLOSS:	[present-tense]+she/it+be taken

 INPUT STRING:	بالكوسه
     IS_TRANS:	bAlkwsh
        INDEX:	P8W7
      OFFSETS:	34-41
       TOKENS:	P8W10-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwsAyap_1]
   UNSPLITVOC:	(biAlkawsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+kaws+ap
        GLOSS:	with/by+the+squash/patronage/favoritism+[fem.sg.]

 INPUT STRING:	فانتم
     IS_TRANS:	fAntm
        INDEX:	P9W1
      OFFSETS:	1-6
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intum]
   UNSPLITVOC:	(fa<intum)
          POS:	CONJ+PRON_2P
          VOC:	fa+<intum
        GLOSS:	then/and+you

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P9W2
      OFFSETS:	7-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	هتسبوها
     IS_TRANS:	htsbwhA
        INDEX:	P9W3
      OFFSETS:	11-18
       TOKENS:	P9W4-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(HatisiybuwAhA)
          POS:	FUT_PART+IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	Ha+ti+siyb+uwA+hA
        GLOSS:	will+you+leave+[pl.]+it/them/her

 INPUT STRING:	تروح
     IS_TRANS:	trwH
        INDEX:	P9W4
      OFFSETS:	19-23
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(tiruwH)
          POS:	IV3FS+IV
          VOC:	ti+ruwH
        GLOSS:	it/they/she+go

 INPUT STRING:	برده
     IS_TRANS:	brdh
        INDEX:	P9W5
      OFFSETS:	24-28
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too

 INPUT STRING:	المرادى
     IS_TRANS:	AlmrAdY
        INDEX:	P9W6
      OFFSETS:	29-36
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmrAdY)
          POS:	NO_FUNC
          VOC:	AlmrAdY
        GLOSS:	nogloss

 INPUT STRING:	بالكوسه
     IS_TRANS:	bAlkwsh
        INDEX:	P9W7
      OFFSETS:	37-44
       TOKENS:	P9W10-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwsAyap_1]
   UNSPLITVOC:	(biAlkawsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+kaws+ap
        GLOSS:	with/by+the+sqaush/patronage/favoritism+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P9W8
      OFFSETS:	45-48
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هتكون
     IS_TRANS:	htkwn
        INDEX:	P9W9
      OFFSETS:	49-54
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hatikuwn)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+kuwn
        GLOSS:	will+it/they/she+be

 INPUT STRING:	ليكم
     IS_TRANS:	lykm
        INDEX:	P9W10
      OFFSETS:	55-59
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liykum)
          POS:	PREP+PRON_2P
          VOC:	li+kum
        GLOSS:	for/to+you

 INPUT STRING:	واقفه
     IS_TRANS:	wAqfh
        INDEX:	P9W11
      OFFSETS:	60-65
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waqofap_1]
   UNSPLITVOC:	(waqofap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	waqof+ap
        GLOSS:	stance/posture/pause+[fem.sg.]

 INPUT STRING:	ايجابيه
     IS_TRANS:	AyjAbyh
        INDEX:	P9W12
      OFFSETS:	66-73
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyjAbiy_1]
   UNSPLITVOC:	(<iyjAbiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<iyjAbiy~+ap
        GLOSS:	positive/affirmative+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W1
      OFFSETS:	1-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	العموم
     IS_TRANS:	AlEmwm
        INDEX:	P10W2
      OFFSETS:	5-11
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(AlEumuwm)
          POS:	DET+NOUN
          VOC:	Al+Eumuwm
        GLOSS:	the+in general/generally

 INPUT STRING:	مستنيا
     IS_TRANS:	mstnyA
        INDEX:	P10W3
      OFFSETS:	12-18
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(misotaniy~aA)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	misotaniy~+ap
        GLOSS:	waiting+[fem.sg.]

 INPUT STRING:	الرد
     IS_TRANS:	Alrd
        INDEX:	P10W4
      OFFSETS:	19-23
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(Alr~ad~)
          POS:	DET+NOUN
          VOC:	Al+rad~
        GLOSS:	the+reply/response

 INPUT STRING:	بصراحة
     IS_TRANS:	bSrAHp
        INDEX:	P11W1
      OFFSETS:	1-7
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	ياقمر
     IS_TRANS:	yAqmr
        INDEX:	P11W2
      OFFSETS:	8-13
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(yA_qamar)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+qamar
        GLOSS:	oh+Qamar

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W3
      OFFSETS:	14-16
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P11W4
      OFFSETS:	17-22
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P11W5
      OFFSETS:	23-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P12W1
      OFFSETS:	1-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whose

 INPUT STRING:	جاب
     IS_TRANS:	jAb
        INDEX:	P12W3
      OFFSETS:	10-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jAb)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jAb+(null)
        GLOSS:	bring+he/it

 INPUT STRING:	الكوسة
     IS_TRANS:	Alkwsp
        INDEX:	P12W4
      OFFSETS:	14-20
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwsAyap_1]
   UNSPLITVOC:	(Alkawsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kaws+ap
        GLOSS:	the+squash/patronage/favoritism+[fem.sg.]

 INPUT STRING:	للانتخابات
     IS_TRANS:	llAntxAbAt
        INDEX:	P12W5
      OFFSETS:	21-31
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAb_1]
   UNSPLITVOC:	(lilAinotixAbAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+AinotixAb+At
        GLOSS:	to/for+the+elections/selections+[fem.pl.]

 INPUT STRING:	السلام
     IS_TRANS:	AlslAm
        INDEX:	P13W1
      OFFSETS:	1-7
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(AlsalAmu)
          POS:	DET+NOUN+CASE_DEF_NOM
          VOC:	Al+salAm+u
        GLOSS:	the+peace+[def.nom.]

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P13W2
      OFFSETS:	8-13
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P14W1
      OFFSETS:	1-6
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(waAll~`hi)
          POS:	PREP+NOUN_PROP+CASE_DEF_GEN
          VOC:	wa+All~`h+i
        GLOSS:	by+Allah/God+[def.gen.]

 INPUT STRING:	ياوعد
     IS_TRANS:	yAwEd
        INDEX:	P14W2
      OFFSETS:	7-12
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEod_1]
   UNSPLITVOC:	(yA_waEod)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+waEod
        GLOSS:	oh+Wa'd

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P14W3
      OFFSETS:	13-18
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P14W4
      OFFSETS:	19-21
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P14W5
      OFFSETS:	22-26
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	actually/in effect+[acc.indef.]

 INPUT STRING:	كوسة
     IS_TRANS:	kwsp
        INDEX:	P14W6
      OFFSETS:	27-31
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwsAyap_1]
   UNSPLITVOC:	(kawsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kaws+ap
        GLOSS:	squash/patronage/favoritism+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W7
      OFFSETS:	32-34
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كوسة
     IS_TRANS:	kwsp
        INDEX:	P14W8
      OFFSETS:	35-39
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwsAyap_1]
   UNSPLITVOC:	(kawsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kaws+ap
        GLOSS:	squash/patronage/favoritism+[fem.sg.]

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P15W1
      OFFSETS:	1-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	هيدونا
     IS_TRANS:	hydwnA
        INDEX:	P15W2
      OFFSETS:	5-11
       TOKENS:	P15W2-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(Hayid~uwnA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	Ha+yi+d~+uwA+nA
        GLOSS:	will+they+give+we+us

 INPUT STRING:	فرصة
     IS_TRANS:	frSp
        INDEX:	P15W3
      OFFSETS:	12-16
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(furoSap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	furoS+ap
        GLOSS:	opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	اساسا
     IS_TRANS:	AsAsA
        INDEX:	P15W4
      OFFSETS:	17-22
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[asAs_1]
   UNSPLITVOC:	(asAsAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	asAs+AF
        GLOSS:	primarily/basically+[acc.indef.]

 INPUT STRING:	نختار
     IS_TRANS:	nxtAr
        INDEX:	P15W5
      OFFSETS:	23-28
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotAr_1]
   UNSPLITVOC:	(nixotAr)
          POS:	IV1P+IV
          VOC:	ni+xotAr
        GLOSS:	we+choose/select

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P15W6
      OFFSETS:	29-33
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	للبلد
     IS_TRANS:	llbld
        INDEX:	P15W7
      OFFSETS:	34-39
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(lilbalad)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+balad
        GLOSS:	for/to+the+country/country/countries

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P15W8
      OFFSETS:	40-42
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W9
      OFFSETS:	42-43
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P16W1
      OFFSETS:	1-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	those

 INPUT STRING:	ماسكين
     IS_TRANS:	mAskyn
        INDEX:	P16W2
      OFFSETS:	5-11
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAsik_1]
   UNSPLITVOC:	(mAsokiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mAsok+iyn
        GLOSS:	holding+[pl.]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P16W3
      OFFSETS:	12-16
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/her

 INPUT STRING:	بايديهم
     IS_TRANS:	bAydyhm
        INDEX:	P16W4
      OFFSETS:	17-24
       TOKENS:	P16W5-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(bi<iydiyhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+<iydiy+hum
        GLOSS:	with/by+hands+their

 INPUT STRING:	وسنانهم
     IS_TRANS:	wsnAnhm
        INDEX:	P16W5
      OFFSETS:	25-32
       TOKENS:	P16W8-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~ap_1]
   UNSPLITVOC:	(wisinAnhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+sinAn+hum
        GLOSS:	and+teeth+their

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P17W1
      OFFSETS:	1-7
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P17W2
      OFFSETS:	8-15
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	يقوموا
     IS_TRANS:	yqwmwA
        INDEX:	P17W3
      OFFSETS:	16-22
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yiquwmuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+quwm+uwA
        GLOSS:	they+do/act+they [verb]

 INPUT STRING:	بموقف
     IS_TRANS:	bmwqf
        INDEX:	P17W4
      OFFSETS:	23-28
