 INPUT STRING:	الانترنت
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(AlHiwAr)
          POS:	DET+NOUN
          VOC:	Al+HiwAr
        GLOSS:	the+conversation/dialogue/discussion/dialogue/discussions/talks

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P5W4
      OFFSETS:	18-20
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P5W5
      OFFSETS:	21-24
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P5W6
      OFFSETS:	25-28
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	استغربت
     IS_TRANS:	Astgrbt
        INDEX:	P5W7
      OFFSETS:	29-36
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotagorab_1]
   UNSPLITVOC:	(Aisotagorabt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Aisotagorab+t
        GLOSS:	wonder at/find strange+I [verb]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P5W8
      OFFSETS:	36-37
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	هيه
     IS_TRANS:	hyh
        INDEX:	P5W9
      OFFSETS:	37-40
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hy~a_1]
   UNSPLITVOC:	(hyh)
          POS:	PRON_3FS
          VOC:	hyh
        GLOSS:	she/it

 INPUT STRING:	زنقت
     IS_TRANS:	znqt
        INDEX:	P5W10
      OFFSETS:	41-45
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(znqt)
          POS:	NO_FUNC
          VOC:	znqt
        GLOSS:	nogloss

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P5W11
      OFFSETS:	46-51
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W12
      OFFSETS:	52-54
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P5W13
      OFFSETS:	55-61
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+two

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W14
      OFFSETS:	62-65
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what/which

 INPUT STRING:	السلع
     IS_TRANS:	AlslE
        INDEX:	P5W15
      OFFSETS:	66-71
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siloEap_1]
   UNSPLITVOC:	(Als~ilaE)
          POS:	DET+NOUN
          VOC:	Al+silaE
        GLOSS:	the+commodities/commercial goods

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P5W16
      OFFSETS:	72-76
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P5W17
      OFFSETS:	77-81
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	نقص
     IS_TRANS:	nqS
        INDEX:	P5W18
      OFFSETS:	82-85
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqoS_1]
   UNSPLITVOC:	(naqoS)
          POS:	NOUN
          VOC:	naqoS
        GLOSS:	decrease/loss/deficiency/lack

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W19
      OFFSETS:	85-86
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P6W1
      OFFSETS:	1-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	NOUN
          VOC:	Akiyd
        GLOSS:	certain/definite

 INPUT STRING:	طالما
     IS_TRANS:	TAlmA
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlamA_1]
   UNSPLITVOC:	(TAlamA)
          POS:	SUB_CONJ
          VOC:	TAlamA
        GLOSS:	as long as

 INPUT STRING:	بحثوا
     IS_TRANS:	bHvwA
        INDEX:	P6W3
      OFFSETS:	12-17
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHav_1]
   UNSPLITVOC:	(baHavuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	baHav+uwA
        GLOSS:	discuss/search (for)+they [verb]

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P6W4
      OFFSETS:	18-22
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(EanhA)
          POS:	PREP+PRON_3FS
          VOC:	Ean+hA
        GLOSS:	(away) from, off, about, on, over+it/them/her

 INPUT STRING:	تبقي
     IS_TRANS:	tbqy
        INDEX:	P6W5
      OFFSETS:	23-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+remain/last

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P6W6
      OFFSETS:	28-33
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	thing/belongings+[fem.pl.]

 INPUT STRING:	مهمه
     IS_TRANS:	mhmh
        INDEX:	P6W7
      OFFSETS:	34-38
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~ap_1]
   UNSPLITVOC:	(muhim~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muhim~+ap
        GLOSS:	important/serious+[fem.sg.]

 INPUT STRING:	بالنسبه
     IS_TRANS:	bAlnsbh
        INDEX:	P6W8
      OFFSETS:	39-46
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+link/relation+[fem.sg.]

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P6W9
      OFFSETS:	47-50
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W10
      OFFSETS:	50-51
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P7W1
      OFFSETS:	1-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P7W2
      OFFSETS:	4-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	جندوا
     IS_TRANS:	jndwA
        INDEX:	P7W3
      OFFSETS:	7-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jan~ad_1]
   UNSPLITVOC:	(jan~aduwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	jan~ad+uwA
        GLOSS:	recruit/enlist/mobilize+they

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P7W4
      OFFSETS:	13-19
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P7W5
      OFFSETS:	20-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P7W6
      OFFSETS:	23-26
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	همه
     IS_TRANS:	hmh
        INDEX:	P7W7
      OFFSETS:	27-30
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~ah)
          POS:	PRON_3P
          VOC:	hum~ah
        GLOSS:	they

 INPUT STRING:	معندهمش
     IS_TRANS:	mEndhm$
        INDEX:	P7W8
      OFFSETS:	31-38
       TOKENS:	P7W8-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(maEanoduhum$)
          POS:	NEG_PART+NOUN+POSS_PRON_3P+NEG_PART
          VOC:	ma+Eanod+hum+$
        GLOSS:	not+have+their+not

 INPUT STRING:	نت
     IS_TRANS:	nt
        INDEX:	P7W9
      OFFSETS:	39-41
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nit_1]
   UNSPLITVOC:	(nit)
          POS:	NOUN_PROP
          VOC:	nit
        GLOSS:	Net

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W10
      OFFSETS:	41-42
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ايامها
     IS_TRANS:	AyAmhA
        INDEX:	P8W1
      OFFSETS:	1-7
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(>ay~AmhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>ay~Am+hA
        GLOSS:	days+its/their/her

 INPUT STRING:	مكنش
     IS_TRANS:	mkn$
        INDEX:	P8W2
      OFFSETS:	8-12
       TOKENS:	P8W3-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kan~_1]
   UNSPLITVOC:	(mA_kan~i$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+kan~+(null)+$
        GLOSS:	not+was/were+he/it [verb]+not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W3
      OFFSETS:	13-15
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+it/he

 INPUT STRING:	نت
     IS_TRANS:	nt
        INDEX:	P8W4
      OFFSETS:	16-18
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nit_1]
   UNSPLITVOC:	(nit)
          POS:	NOUN_PROP
          VOC:	nit
        GLOSS:	Net

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P8W5
      OFFSETS:	19-23
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P8W6
      OFFSETS:	24-26
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	Each/all

 INPUT STRING:	دوله
     IS_TRANS:	dwlh
        INDEX:	P8W7
      OFFSETS:	27-31
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	قافله
     IS_TRANS:	qAflh
        INDEX:	P8W8
      OFFSETS:	32-37
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAfil_1]
   UNSPLITVOC:	(qAfolap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	qAfol+ap
        GLOSS:	closed+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P8W9
      OFFSETS:	38-41
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P8W10
      OFFSETS:	42-47
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	same/self/selves+its/their/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W11
      OFFSETS:	48-49
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P8W12
      OFFSETS:	49-53
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ.VN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تلاقي
     IS_TRANS:	tlAqy
        INDEX:	P8W13
      OFFSETS:	54-59
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(tilAqiy)
          POS:	IV2MS+IV
          VOC:	ti+lAqiy
        GLOSS:	you+meet/encounter/be met/be encountered

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P8W14
      OFFSETS:	60-62
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	جاسوس
     IS_TRANS:	jAsws
        INDEX:	P8W15
      OFFSETS:	63-68
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(jAsuws)
          POS:	NOUN
          VOC:	jAsuws
        GLOSS:	spy/spies

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P8W16
      OFFSETS:	69-71
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or, if not, unless, except if, except when

 INPUT STRING:	جاسوسه
     IS_TRANS:	jAswsh
        INDEX:	P8W17
      OFFSETS:	72-78
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(jAsuwsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jAsuws+ap
        GLOSS:	spy+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P8W18
      OFFSETS:	79-84
       TOKENS:	P8W23-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P8W19
      OFFSETS:	85-89
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV2MS+IV
          VOC:	ti+Eoraf
        GLOSS:	you+know/be known

 INPUT STRING:	اخبار
     IS_TRANS:	AxbAr
        INDEX:	P8W20
      OFFSETS:	90-95
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AxobAr)
          POS:	NOUN
          VOC:	AxobAr
        GLOSS:	news/report

 INPUT STRING:	عدوك
     IS_TRANS:	Edwk
        INDEX:	P8W21
      OFFSETS:	96-100
       TOKENS:	P8W27-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaduw~_1]
   UNSPLITVOC:	(Eaduw~ak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eaduw~+ak
        GLOSS:	enemy+your

 INPUT STRING:	انما
     IS_TRANS:	AnmA
        INDEX:	P9W1
      OFFSETS:	1-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	PART
          VOC:	<in~amA
        GLOSS:	but/however

 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P9W2
      OFFSETS:	6-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|an_1]
   UNSPLITVOC:	(Al|an)
          POS:	DET+NOUN
          VOC:	Al+|an
        GLOSS:	the+time/moment

 INPUT STRING:	بالانترنت
     IS_TRANS:	bAlAntrnt
        INDEX:	P9W3
      OFFSETS:	11-20
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<internit_1]
   UNSPLITVOC:	(biAl<internit)
          POS:	PREP+DET+NOUN_PROP
          VOC:	bi+Al+Anternit
        GLOSS:	with/by+the+Internet

 INPUT STRING:	الجميل
     IS_TRANS:	Aljmyl
        INDEX:	P9W4
      OFFSETS:	21-27
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jimiyl_1]
   UNSPLITVOC:	(Aljimiyl)
          POS:	DET+NOUN
          VOC:	Al+jimiyl
        GLOSS:	the+beautiful/nice/fine

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W5
      OFFSETS:	28-31
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P9W6
      OFFSETS:	32-36
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/entire/every/whole+its/their/her

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P9W7
      OFFSETS:	37-40
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الانترنت
     IS_TRANS:	AlAntrnt
        INDEX:	P9W8
      OFFSETS:	41-49
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intirnit_1]
   UNSPLITVOC:	(Al<intirnit)
          POS:	DET+NOUN_PROP
          VOC:	Al+Antirnit
        GLOSS:	the+Internet

 INPUT STRING:	.
     IS_TRANS:	.
