 INPUT STRING:	مصطفى
      COMMENT:	[]
        LEMMA:	[maqAl_1]
   UNSPLITVOC:	(maqAlAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maqAl+AF
        GLOSS:	article+[acc.indef.]

 INPUT STRING:	منشورا
     IS_TRANS:	mn$wrA
        INDEX:	P2W17
      OFFSETS:	91-97
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mano$uwr_1]
   UNSPLITVOC:	(mano$uwrAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mano$uwr+AF
        GLOSS:	published+[acc.indef.]

 INPUT STRING:	بتاريخ
     IS_TRANS:	btAryx
        INDEX:	P2W18
      OFFSETS:	98-104
       TOKENS:	P2W26-P2W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(bitAriyx)
          POS:	PREP+NOUN
          VOC:	bi+tAriyx
        GLOSS:	with/by+date/history

 INPUT STRING:	12
     IS_TRANS:	12
        INDEX:	P2W19
      OFFSETS:	105-107
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(12)
          POS:	NOUN_NUM
          VOC:	12
        GLOSS:	12

 INPUT STRING:	فبراير
     IS_TRANS:	fbrAyr
        INDEX:	P2W20
      OFFSETS:	108-114
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiborAyir_1]
   UNSPLITVOC:	(fiborAyir)
          POS:	NOUN
          VOC:	fiborAyir
        GLOSS:	February

 INPUT STRING:	2012
     IS_TRANS:	2012
        INDEX:	P2W21
      OFFSETS:	115-119
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2012)
          POS:	NOUN_NUM
          VOC:	2012
        GLOSS:	2012

 INPUT STRING:	يشكر
     IS_TRANS:	y$kr
        INDEX:	P2W22
      OFFSETS:	120-124
       TOKENS:	P2W31-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akar_1]
   UNSPLITVOC:	(yi$okur)
          POS:	IV3MS+IV
          VOC:	yi+$okur
        GLOSS:	he/it+thank/give thanks

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P2W23
      OFFSETS:	125-128
       TOKENS:	P2W32-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P2W24
      OFFSETS:	129-135
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P2W25
      OFFSETS:	136-143
       TOKENS:	P2W35-P2W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	والحكومة
     IS_TRANS:	wAlHkwmp
        INDEX:	P2W26
      OFFSETS:	144-152
       TOKENS:	P2W36-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(wiAlHukuwmap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Hukuwm+ap
        GLOSS:	and+the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P2W27
      OFFSETS:	153-157
       TOKENS:	P2W38-P2W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(wi*alik)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+*alik
        GLOSS:	and+that

 INPUT STRING:	لتصديهم
     IS_TRANS:	ltSdyhm
        INDEX:	P2W28
      OFFSETS:	158-165
       TOKENS:	P2W40-P2W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSad~iy_1]
   UNSPLITVOC:	(litaSad~iyhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+taSad~iy+hum
        GLOSS:	for/to+opposing+their

 INPUT STRING:	للتمويل
     IS_TRANS:	lltmwyl
        INDEX:	P2W29
      OFFSETS:	166-173
       TOKENS:	P2W43-P2W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(lilt~amowiyl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tamowiyl
        GLOSS:	for/to+the+financing/funding/backing

 INPUT STRING:	الأجنبى
     IS_TRANS:	Al>jnbY
        INDEX:	P2W30
      OFFSETS:	174-181
       TOKENS:	P2W45-P2W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_1]
   UNSPLITVOC:	(Al>ajonabiy~)
          POS:	DET+ADJ
          VOC:	Al+>ajonabiy~
        GLOSS:	the+foreign

 INPUT STRING:	ولمؤسسات
     IS_TRANS:	wlm&ssAt
        INDEX:	P2W31
      OFFSETS:	182-190
       TOKENS:	P2W46-P2W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu&as~asap_1]
   UNSPLITVOC:	(wiliAlmu&as~asAt)
          POS:	CONJ+PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+li+Al+mu&as~as+At
        GLOSS:	and+for/to+the+institution+[fem.pl.]

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P2W32
      OFFSETS:	191-198
       TOKENS:	P2W49-P2W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	المدنى
     IS_TRANS:	AlmdnY
        INDEX:	P2W33
      OFFSETS:	199-205
       TOKENS:	P2W50-P2W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midan~iy_1]
   UNSPLITVOC:	(Almidan~iy)
          POS:	DET+ADJ
          VOC:	Al+midan~iy
        GLOSS:	the+civilian

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P2W34
      OFFSETS:	206-210
       TOKENS:	P2W51-P2W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	تقوم
     IS_TRANS:	tqwm
        INDEX:	P2W35
      OFFSETS:	211-215
       TOKENS:	P2W52-P2W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(tiquwm)
          POS:	IV3FS+IV
          VOC:	ti+quwm
        GLOSS:	it/they/she+be based (on)

 INPUT STRING:	بتدريب
     IS_TRANS:	btdryb
        INDEX:	P2W36
      OFFSETS:	216-222
       TOKENS:	P2W53-P2W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tadoriyb_1]
   UNSPLITVOC:	(bitadoriyb)
          POS:	PREP+NOUN
          VOC:	bi+tadoriyb
        GLOSS:	with/by+training/coaching/practice

 INPUT STRING:	وتمويل
     IS_TRANS:	wtmwyl
        INDEX:	P2W37
      OFFSETS:	223-229
       TOKENS:	P2W55-P2W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(witamowiyl)
          POS:	CONJ+NOUN
          VOC:	wi+tamowiyl
        GLOSS:	and+financing/funding/backing

 INPUT STRING:	حركة
     IS_TRANS:	Hrkp
        INDEX:	P2W38
      OFFSETS:	230-234
       TOKENS:	P2W57-P2W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P2W39
      OFFSETS:	235-236
       TOKENS:	P2W58-P2W58
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	إبريل
     IS_TRANS:	<bryl
        INDEX:	P2W40
      OFFSETS:	237-242
       TOKENS:	P2W59-P2W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboriyl_1]
   UNSPLITVOC:	(>aboriyl)
          POS:	NOUN
          VOC:	>aboriyl
        GLOSS:	April

 INPUT STRING:	وبعض
     IS_TRANS:	wbED
        INDEX:	P2W41
      OFFSETS:	243-247
       TOKENS:	P2W60-P2W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(wibaEoD)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+baEoD
        GLOSS:	and+some, a few, little, part

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P2W42
      OFFSETS:	248-252
       TOKENS:	P2W62-P2W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	young man/young men

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P2W43
      OFFSETS:	253-259
       TOKENS:	P2W63-P2W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وهذه
     IS_TRANS:	wh*h
        INDEX:	P2W44
      OFFSETS:	260-264
       TOKENS:	P2W64-P2W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*ihi_1]
   UNSPLITVOC:	(wah`*ihi)
          POS:	CONJ+DEM_PRON_F
          VOC:	wa+h`*ihi
        GLOSS:	and+this/these

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P2W45
      OFFSETS:	265-269
       TOKENS:	P2W66-P2W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	manner/way/form+[fem.sg.]

 INPUT STRING:	للمقال
     IS_TRANS:	llmqAl
        INDEX:	P2W46
      OFFSETS:	270-276
       TOKENS:	P2W67-P2W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqAl_1]
   UNSPLITVOC:	(lilmaqAl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+maqAl
        GLOSS:	for/to+the+article/essay

 INPUT STRING:	وتساءلت
     IS_TRANS:	wtsA'lt
        INDEX:	P3W1
      OFFSETS:	0-7
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tasA'al_1]
   UNSPLITVOC:	(witisA'lit)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+tisA'l+it
        GLOSS:	and+it/they/she+wonder

 INPUT STRING:	حركة
     IS_TRANS:	Hrkp
        INDEX:	P3W2
      OFFSETS:	8-12
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P3W3
      OFFSETS:	13-14
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	إبريل
     IS_TRANS:	<bryl
        INDEX:	P3W4
      OFFSETS:	15-20
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboriyl_1]
   UNSPLITVOC:	(>aboriyl)
          POS:	NOUN
          VOC:	>aboriyl
        GLOSS:	April

 INPUT STRING:	تعليقا
     IS_TRANS:	tElyqA
        INDEX:	P3W5
      OFFSETS:	21-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliyq_1]
   UNSPLITVOC:	(taEoliyqAF)
          POS:	NOUN.VN+CASE_INDEF_ACC
          VOC:	taEoliyq+AF
        GLOSS:	commenting+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W6
      OFFSETS:	28-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المقال
     IS_TRANS:	AlmqAl
        INDEX:	P3W7
      OFFSETS:	32-38
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqAl_1]
   UNSPLITVOC:	(AlmaqAl)
          POS:	DET+NOUN
          VOC:	Al+maqAl
        GLOSS:	the+article/essay

 INPUT STRING:	ماذا
     IS_TRANS:	mA*A
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA*A_1]
   UNSPLITVOC:	(mA*A)
          POS:	INTERROG_PRON
          VOC:	mA*A
        GLOSS:	what

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P4W2
      OFFSETS:	5-8
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	فاعلون
     IS_TRANS:	fAElwn
        INDEX:	P4W3
      OFFSETS:	9-15
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAEil_1]
   UNSPLITVOC:	(fAEiluwn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	fAEil+uwn
        GLOSS:	doing+[masc.pl.]

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P4W4
      OFFSETS:	16-22
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P4W5
      OFFSETS:	23-25
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	أ
     IS_TRANS:	>
        INDEX:	P4W6
      OFFSETS:	26-27
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>u_1]
   UNSPLITVOC:	(>u)
          POS:	ABBREV
          VOC:	>u
        GLOSS:	Mr

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W7
      OFFSETS:	27-28
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مصطفى
     IS_TRANS:	mSTfY
        INDEX:	P4W8
      OFFSETS:	29-34
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[muSoTafaY_2]
   UNSPLITVOC:	(muSoTafaY)
          POS:	NOUN_PROP
          VOC:	muSoTafaY
        GLOSS:	Mustafa/Moustapha

 INPUT STRING:	بكري
     IS_TRANS:	bkry
        INDEX:	P4W9
      OFFSETS:	35-39
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakoriy~_1]
   UNSPLITVOC:	(bakoriy~)
          POS:	NOUN_PROP
          VOC:	bakoriy~
        GLOSS:	Bakri

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P4W10
      OFFSETS:	40-43
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	تنحي
     IS_TRANS:	tnHy
        INDEX:	P4W11
      OFFSETS:	44-48
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanaH~iy_1]
   UNSPLITVOC:	(tanaH~iy)
          POS:	NOUN
          VOC:	tanaH~iy
        GLOSS:	withdrawal/abandonment

 INPUT STRING:	قاضي
     IS_TRANS:	qADy
        INDEX:	P4W12
      OFFSETS:	49-53
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(qADiy)
          POS:	NOUN
          VOC:	qADiy
        GLOSS:	judge/magistrate/judges/magistrates

 INPUT STRING:	التحقيقات
     IS_TRANS:	AltHqyqAt
        INDEX:	P4W13
      OFFSETS:	54-63
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(Alt~aHoqiyqAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+taHoqiyq+At
        GLOSS:	the+achievements/realizations+[fem.pl.]

 INPUT STRING:	وبعدها
     IS_TRANS:	wbEdhA
        INDEX:	P4W14
      OFFSETS:	64-70
       TOKENS:	P4W14-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEodahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+baEod+hA
        GLOSS:	and+after+its/their/her

 INPUT STRING:	بساعات
     IS_TRANS:	bsAEAt
        INDEX:	P4W15
      OFFSETS:	71-77
       TOKENS:	P4W17-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(bisAEAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+sAE+At
        GLOSS:	with/by+hour/time/hours+[fem.pl.]

 INPUT STRING:	رفع
     IS_TRANS:	rfE
        INDEX:	P4W16
      OFFSETS:	78-81
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoE_1]
   UNSPLITVOC:	(rafoE)
          POS:	NOUN
          VOC:	rafoE
        GLOSS:	raising/lifting/elevating

 INPUT STRING:	الحظر
     IS_TRANS:	AlHZr
        INDEX:	P4W17
      OFFSETS:	82-87
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaZor_1]
   UNSPLITVOC:	(AlHaZor)
          POS:	DET+NOUN
          VOC:	Al+HaZor
        GLOSS:	the+prohibition/ban

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W18
      OFFSETS:	88-90
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	سفر
     IS_TRANS:	sfr
        INDEX:	P4W19
      OFFSETS:	91-94
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(safar)
          POS:	NOUN
          VOC:	safar
        GLOSS:	travel/trip/journeys

 INPUT STRING:	المتهمين
     IS_TRANS:	Almthmyn
        INDEX:	P4W20
      OFFSETS:	95-103
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(Almut~ahamiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mut~aham+iyn
        GLOSS:	the+accused+[masc.pl.]

 INPUT STRING:	وبعدها
     IS_TRANS:	wbEdhA
        INDEX:	P4W21
      OFFSETS:	104-110
       TOKENS:	P4W24-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEodahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+baEod+hA
        GLOSS:	and+after+its/their/her

 INPUT STRING:	بساعات
     IS_TRANS:	bsAEAt
        INDEX:	P4W22
      OFFSETS:	111-117
       TOKENS:	P4W27-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(bisAEAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+sAE+At
        GLOSS:	with/by+hour/time/hours+[fem.pl.]

 INPUT STRING:	تسفيرهم
     IS_TRANS:	tsfyrhm
        INDEX:	P4W23
      OFFSETS:	118-125
       TOKENS:	P4W29-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tasfiyr_1]
   UNSPLITVOC:	(tasfiyrhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	tasfiyr+hum
        GLOSS:	transporting+their

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P4W24
      OFFSETS:	126-129
       TOKENS:	P4W31-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	SUB_CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	while+they

 INPUT STRING:	معززون
     IS_TRANS:	mEzzwn
        INDEX:	P4W25
      OFFSETS:	130-136
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEaz~az_1]
   UNSPLITVOC:	(muEaz~azuwn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muEaz~az+uwn
        GLOSS:	taken care of+[masc.pl.]

 INPUT STRING:	مكرمون
     IS_TRANS:	mkrmwn
        INDEX:	P4W26
      OFFSETS:	137-143
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mukar~am_1]
   UNSPLITVOC:	(mukar~amuwn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mukar~am+uwn
        GLOSS:	with dignity+[masc.pl.]
