 INPUT STRING:	سؤال
        INDEX:	P13W15
      OFFSETS:	66-71
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumil_1]
   UNSPLITVOC:	(mumil~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mumil~+iyn
        GLOSS:	boring+[masc.pl.]

 INPUT STRING:	وانتهى
     IS_TRANS:	wAnthY
        INDEX:	P13W16
      OFFSETS:	72-78
       TOKENS:	P13W18-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotahaY_1]
   UNSPLITVOC:	(wiAinotahaY)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+AinotahaY+(null)
        GLOSS:	and+finished+he/it

 INPUT STRING:	الامر
     IS_TRANS:	AlAmr
        INDEX:	P13W17
      OFFSETS:	79-84
       TOKENS:	P13W20-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>amor)
          POS:	DET+NOUN
          VOC:	Al+>amor
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P14W1
      OFFSETS:	1-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayo_2]
   UNSPLITVOC:	(>ayo)
          POS:	PART
          VOC:	>ayo
        GLOSS:	that is to say

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P14W2
      OFFSETS:	4-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	يغيظ
     IS_TRANS:	ygyZ
        INDEX:	P14W3
      OFFSETS:	8-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAZ_1]
   UNSPLITVOC:	(yigiyZ)
          POS:	IV3MS+IV
          VOC:	yi+giyZ
        GLOSS:	he/it+enrage/irritate

 INPUT STRING:	ويستفز
     IS_TRANS:	wystfz
        INDEX:	P14W4
      OFFSETS:	13-19
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aistafaz~_1]
   UNSPLITVOC:	(wiyistfz)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+stfz
        GLOSS:	and+he/it+thrilling

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P14W5
      OFFSETS:	20-23
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P14W6
      OFFSETS:	24-26
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P14W7
      OFFSETS:	27-31
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	بيشد
     IS_TRANS:	by$d
        INDEX:	P14W8
      OFFSETS:	32-36
       TOKENS:	P14W9-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ad~_1]
   UNSPLITVOC:	(biyi$id~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+$id~
        GLOSS:	[present-tense]+he/it+attract

 INPUT STRING:	ديل
     IS_TRANS:	dyl
        INDEX:	P14W9
      OFFSETS:	37-40
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dayl_1]
   UNSPLITVOC:	(dayl)
          POS:	NOUN
          VOC:	dayl
        GLOSS:	tail

 INPUT STRING:	القط
     IS_TRANS:	AlqT
        INDEX:	P14W10
      OFFSETS:	41-45
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quT~_1]
   UNSPLITVOC:	(AlquT~)
          POS:	DET+NOUN
          VOC:	Al+quT~
        GLOSS:	the+cat

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P14W11
      OFFSETS:	46-48
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	بيضرب
     IS_TRANS:	byDrb
        INDEX:	P14W12
      OFFSETS:	49-54
       TOKENS:	P14W14-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(biyiDorab)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Dorab
        GLOSS:	[present-tense]+he/it+strike/hit/be struck/be hit

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P14W13
      OFFSETS:	55-60
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W14
      OFFSETS:	61-64
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قفاهم
     IS_TRANS:	qfAhm
        INDEX:	P14W15
      OFFSETS:	65-70
       TOKENS:	P14W18-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafA_1]
   UNSPLITVOC:	(qafAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	qafA+hum
        GLOSS:	neck/nape/back/reverse/necks/napes/backs+their

 INPUT STRING:	وهوا
     IS_TRANS:	whwA
        INDEX:	P14W16
      OFFSETS:	71-75
       TOKENS:	P14W20-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~A_1]
   UNSPLITVOC:	(wihuw~A)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~A
        GLOSS:	and+he/it

 INPUT STRING:	راكب
     IS_TRANS:	rAkb
        INDEX:	P14W17
      OFFSETS:	76-80
       TOKENS:	P14W22-P14W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAkib_1]
   UNSPLITVOC:	(rAkib)
          POS:	ADJ
          VOC:	rAkib
        GLOSS:	riding

 INPUT STRING:	عجله
     IS_TRANS:	Ejlh
        INDEX:	P14W18
      OFFSETS:	81-85
       TOKENS:	P14W23-P14W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajalap_1]
   UNSPLITVOC:	(Eajalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eajal+ap
        GLOSS:	bike+[fem.sg.]

 INPUT STRING:	نوع
     IS_TRANS:	nwE
        INDEX:	P14W19
      OFFSETS:	86-89
       TOKENS:	P14W24-P14W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(nawE)
          POS:	NOUN
          VOC:	nawE
        GLOSS:	type/kind/form

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W20
      OFFSETS:	90-92
       TOKENS:	P14W25-P14W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاستفزاز
     IS_TRANS:	AlAstfzAz
        INDEX:	P14W21
      OFFSETS:	93-102
       TOKENS:	P14W26-P14W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotifozAz_1]
   UNSPLITVOC:	(AlAisotifozAz)
          POS:	DET+NOUN
          VOC:	Al+AisotifozAz
        GLOSS:	the+provocation/harassment

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P14W22
      OFFSETS:	103-105
       TOKENS:	P14W27-P14W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P14W23
      OFFSETS:	106-110
       TOKENS:	P14W28-P14W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P14W24
      OFFSETS:	111-114
       TOKENS:	P14W29-P14W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+INTERJ
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	اقل
     IS_TRANS:	Aql
        INDEX:	P14W25
      OFFSETS:	115-118
       TOKENS:	P14W31-P14W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(>aqal~)
          POS:	ADJ_COMP
          VOC:	>aqal~
        GLOSS:	least/smallest/minimum

 INPUT STRING:	ثانيا
     IS_TRANS:	vAnyA
        INDEX:	P15W1
      OFFSETS:	1-6
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniyAF_1]
   UNSPLITVOC:	(vAniyAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	vAniy+AF
        GLOSS:	secondly+[acc.indef.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P15W2
      OFFSETS:	7-12
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	تدخل
     IS_TRANS:	tdxl
        INDEX:	P15W3
      OFFSETS:	13-17
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(tidoxul)
          POS:	IV2MS+IV
          VOC:	ti+doxul
        GLOSS:	you+enter/be entered

 INPUT STRING:	ترد
     IS_TRANS:	trd
        INDEX:	P15W4
      OFFSETS:	18-21
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(tirud~)
          POS:	IV2MS+IV
          VOC:	ti+rud~
        GLOSS:	you+answer

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P15W5
      OFFSETS:	22-27
       TOKENS:	P15W6-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+they

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P15W6
      OFFSETS:	28-32
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تشترك
     IS_TRANS:	t$trk
        INDEX:	P15W7
      OFFSETS:	33-38
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otarak_1]
   UNSPLITVOC:	(ti$otarik)
          POS:	IV2MS+IV
          VOC:	ti+$otarik
        GLOSS:	you+participate

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P15W8
      OFFSETS:	39-41
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الجروب
     IS_TRANS:	Aljrwb
        INDEX:	P15W9
      OFFSETS:	42-48
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juruwb_1]
   UNSPLITVOC:	(Aljuruwb)
          POS:	DET+NOUN
          VOC:	Al+juruwb
        GLOSS:	the+group

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P15W10
      OFFSETS:	49-51
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	تعمل
     IS_TRANS:	tEml
        INDEX:	P15W11
      OFFSETS:	52-56
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(tiEomil)
          POS:	IV2MS+IV
          VOC:	ti+Eomil
        GLOSS:	you+do

 INPUT STRING:	لايك
     IS_TRANS:	lAyk
        INDEX:	P15W12
      OFFSETS:	57-61
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lAyk)
          POS:	FOREIGN
          VOC:	lAyk
        GLOSS:	nogloss

 INPUT STRING:	معجب
     IS_TRANS:	mEjb
        INDEX:	P15W13
      OFFSETS:	64-68
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEojab_1]
   UNSPLITVOC:	(muEojab)
          POS:	ADJ
          VOC:	muEojab
        GLOSS:	admirer/proud

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P15W14
      OFFSETS:	70-73
       TOKENS:	P15W16-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+and

 INPUT STRING:	بيزود
     IS_TRANS:	byzwd
        INDEX:	P15W15
      OFFSETS:	74-79
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaw~id_1]
   UNSPLITVOC:	(biyizaw~id)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+zaw~id
        GLOSS:	[present-tense]+he/it+increase

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P15W16
      OFFSETS:	80-83
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	المشتركين
     IS_TRANS:	Alm$trkyn
        INDEX:	P15W17
      OFFSETS:	84-93
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$otarik_1]
   UNSPLITVOC:	(Almu$otarikiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mu$otarik+iyn
        GLOSS:	the+participant/subscriber+[masc.pl.]

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P15W18
      OFFSETS:	94-98
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	وتبقى
     IS_TRANS:	wtbqY
        INDEX:	P15W19
      OFFSETS:	99-104
       TOKENS:	P15W23-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(witiboqaY)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+boqaY
        GLOSS:	and+it/they/she+remain

 INPUT STRING:	فضيحتك
     IS_TRANS:	fDyHtk
        INDEX:	P15W20
      OFFSETS:	105-111
       TOKENS:	P15W25-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiDiyHap_1]
   UNSPLITVOC:	(fiDiyHtak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	fiDiyH+t+ak
        GLOSS:	scandal+[fem.sg.]+your

 INPUT STRING:	بجلاجل
     IS_TRANS:	bjlAjl
        INDEX:	P15W21
      OFFSETS:	112-118
       TOKENS:	P15W27-P15W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[julojul_1]
   UNSPLITVOC:	(bijalAjil)
          POS:	PREP+NOUN
          VOC:	bi+jalAjil
        GLOSS:	with/by+bells/jingles

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W22
      OFFSETS:	119-122
       TOKENS:	P15W29-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الوول
     IS_TRANS:	Alwwl
        INDEX:	P15W23
      OFFSETS:	123-128
       TOKENS:	P15W30-P15W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wul_1]
   UNSPLITVOC:	(Alwwl)
          POS:	DET+NOUN
          VOC:	Al+wwl
        GLOSS:	the+wall

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P15W24
      OFFSETS:	129-132
       TOKENS:	P15W31-P15W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ak)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	<in~+ak
        GLOSS:	that+you

 INPUT STRING:	بتعمل
     IS_TRANS:	btEml
        INDEX:	P15W25
      OFFSETS:	133-138
       TOKENS:	P15W33-P15W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomil)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+Eomil
        GLOSS:	[present-tense]+you+do

 INPUT STRING:	لايك
     IS_TRANS:	lAyk
        INDEX:	P15W26
      OFFSETS:	139-143
       TOKENS:	P15W35-P15W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lAyk)
          POS:	FOREIGN
          VOC:	lAyk
        GLOSS:	nogloss

 INPUT STRING:	لصفحه
     IS_TRANS:	lSfHh
        INDEX:	P15W27
      OFFSETS:	144-149
       TOKENS:	P15W36-P15W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(liSafoHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+SafoH+ap
        GLOSS:	for/to+page/leaf+[fem.sg.]

 INPUT STRING:	تسب
     IS_TRANS:	tsb
        INDEX:	P15W28
      OFFSETS:	150-153
       TOKENS:	P15W38-P15W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~_1]
   UNSPLITVOC:	(tisib~)
          POS:	IV3FS+IV
          VOC:	ti+sib~
        GLOSS:	it/they/she+swear

 INPUT STRING:	النبي
     IS_TRANS:	Alnby
        INDEX:	P15W29
      OFFSETS:	154-159
       TOKENS:	P15W39-P15W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabiy_1]
   UNSPLITVOC:	(Aln~abiy)
          POS:	DET+NOUN
          VOC:	Al+nabiy
        GLOSS:	the+prophet

 INPUT STRING:	صلى
     IS_TRANS:	SlY
        INDEX:	P15W30
      OFFSETS:	160-163
       TOKENS:	P15W40-P15W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~ay_1]
   UNSPLITVOC:	(Sal~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Sal~aY+(null)
        GLOSS:	pray/worship+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P15W31
      OFFSETS:	164-168
       TOKENS:	P15W41-P15W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P15W32
      OFFSETS:	169-173
       TOKENS:	P15W42-P15W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	وسلم
     IS_TRANS:	wslm
        INDEX:	P15W33
      OFFSETS:	174-178
       TOKENS:	P15W44-P15W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sal~am_1]
   UNSPLITVOC:	(wasal~ama)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wa+sal~am+a
        GLOSS:	and+hand over/surrender/greet+he/it [verb]

 INPUT STRING:	ثالثا
     IS_TRANS:	vAlvA
        INDEX:	P16W1
      OFFSETS:	1-6
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAlivAF_1]
   UNSPLITVOC:	(vAlivAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	vAliv+AF
        GLOSS:	third+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W2
      OFFSETS:	7-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تجارب
     IS_TRANS:	tjArb
        INDEX:	P16W3
      OFFSETS:	10-15
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[tajrubap_1]
   UNSPLITVOC:	(tajArib)
          POS:	NOUN
          VOC:	tajArib
        GLOSS:	experience

 INPUT STRING:	مريره
     IS_TRANS:	mryrh
        INDEX:	P16W4
      OFFSETS:	16-21
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mariyr_1]
   UNSPLITVOC:	(mariyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mariyr+ap
        GLOSS:	stubborn/bitter+[fem.sg.]

 INPUT STRING:	اكتر
