 INPUT STRING:	اتفرجوا
       TOKENS:	P25W11-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl~ak)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_2MS
          VOC:	qAl+(null)+li+ak
        GLOSS:	say+he/it+to/for+you

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P25W11
      OFFSETS:	47-49
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	that

 INPUT STRING:	احكام
     IS_TRANS:	AHkAm
        INDEX:	P25W12
      OFFSETS:	50-55
       TOKENS:	P25W15-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(>aHokAm)
          POS:	NOUN
          VOC:	>aHokAm
        GLOSS:	statutes/laws

 INPUT STRING:	المحكمه
     IS_TRANS:	AlmHkmh
        INDEX:	P25W13
      OFFSETS:	56-63
       TOKENS:	P25W16-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(AlmaHokamap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maHokam+ap
        GLOSS:	the+court/tribunal+[fem.sg.]

 INPUT STRING:	بتطلع
     IS_TRANS:	btTlE
        INDEX:	P25W14
      OFFSETS:	64-69
       TOKENS:	P25W17-P25W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(bitiTolaE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+TolaE
        GLOSS:	[present-tense]+it/they/she+appear

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P25W15
      OFFSETS:	70-75
       TOKENS:	P25W19-P25W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bituquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+tu+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/(for example)

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P25W16
      OFFSETS:	76-77
       TOKENS:	P25W21-P25W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حيثيتها
     IS_TRANS:	HyvythA
        INDEX:	P25W17
      OFFSETS:	78-85
       TOKENS:	P25W22-P25W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hayoviy~ap_1]
   UNSPLITVOC:	(Hayoviy~athA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	Hayoviy~+ap+hA
        GLOSS:	viewpoint/opinion+[fem.sg.]+its/their/her

 INPUT STRING:	بناءا
     IS_TRANS:	bnA'A
        INDEX:	P25W18
      OFFSETS:	86-91
       TOKENS:	P25W24-P25W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bunA'_1]
   UNSPLITVOC:	(bunA'AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	bunA'+AF
        GLOSS:	constructing/building+[acc.indef]

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P25W19
      OFFSETS:	92-93
       TOKENS:	P25W25-P25W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ثوره
     IS_TRANS:	vwrh
        INDEX:	P25W20
      OFFSETS:	94-98
       TOKENS:	P25W26-P25W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P25W21
      OFFSETS:	99-101
       TOKENS:	P25W27-P25W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[25_1]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P25W22
      OFFSETS:	102-107
       TOKENS:	P25W28-P25W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	وبتاع
     IS_TRANS:	wbtAE
        INDEX:	P25W23
      OFFSETS:	108-113
       TOKENS:	P25W29-P25W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(wibitAE)
          POS:	CONJ+NOUN
          VOC:	wi+bitAE
        GLOSS:	and+thing/owned by/something/property/commodities/that of/belonging to/goods

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P26W2
      OFFSETS:	5-7
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P26W3
      OFFSETS:	8-12
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P26W4
      OFFSETS:	13-19
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now/at present

 INPUT STRING:	بأسم
     IS_TRANS:	b>sm
        INDEX:	P26W5
      OFFSETS:	20-24
       TOKENS:	P26W5-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(biAisom)
          POS:	PREP+NOUN
          VOC:	bi+Aisom
        GLOSS:	with/by+name

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P26W6
      OFFSETS:	25-31
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aah_1]
   UNSPLITVOC:	(Aah)
          POS:	INTERJ
          VOC:	Aah
        GLOSS:	yes

 INPUT STRING:	توضيح
     IS_TRANS:	twDyH
        INDEX:	P27W2
      OFFSETS:	3-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawDiyH_1]
   UNSPLITVOC:	(tawDiyH)
          POS:	NOUN
          VOC:	tawDiyH
        GLOSS:	explanation/clarification

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P27W3
      OFFSETS:	9-12
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P27W4
      OFFSETS:	13-15
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P27W5
      OFFSETS:	16-18
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with/together

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P27W6
      OFFSETS:	19-22
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P27W7
      OFFSETS:	23-25
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بوضح
     IS_TRANS:	bwDH
        INDEX:	P28W2
      OFFSETS:	4-8
       TOKENS:	P28W2-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waD~aH_1]
   UNSPLITVOC:	(waD~aH)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+waD~aH
        GLOSS:	[present-tense]+I+clarify

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P28W3
      OFFSETS:	9-12
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P28W4
      OFFSETS:	13-16
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	خراب
     IS_TRANS:	xrAb
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarAb_1]
   UNSPLITVOC:	(xarAb)
          POS:	NOUN
          VOC:	xarAb
        GLOSS:	ruins/destroyed

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P29W2
      OFFSETS:	5-7
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	دنيا
     IS_TRANS:	dnyA
        INDEX:	P29W3
      OFFSETS:	8-12
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dinoyA_1]
   UNSPLITVOC:	(dinoyA)
          POS:	NOUN
          VOC:	dinoyA
        GLOSS:	world

 INPUT STRING:	ويكون
     IS_TRANS:	wykwn
        INDEX:	P30W1
      OFFSETS:	0-5
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wiyikuwn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+kuwn
        GLOSS:	and+he/it+be

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P30W2
      OFFSETS:	6-10
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADJ
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P30W3
      OFFSETS:	11-13
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P30W4
      OFFSETS:	14-16
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	hee

 INPUT STRING:	قادر
     IS_TRANS:	qAdr
        INDEX:	P30W5
      OFFSETS:	17-21
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdir)
          POS:	ADJ.VN
          VOC:	qAdir
        GLOSS:	capable/able

 INPUT STRING:	عـ
     IS_TRANS:	E_
        INDEX:	P30W6
      OFFSETS:	22-24
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تطبيق
     IS_TRANS:	tTbyq
        INDEX:	P30W7
      OFFSETS:	25-30
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(taTobiyq)
          POS:	NOUN
          VOC:	taTobiyq
        GLOSS:	application

 INPUT STRING:	القوانين
     IS_TRANS:	AlqwAnyn
        INDEX:	P30W8
      OFFSETS:	31-39
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqawAniyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+qawAn+iyn
        GLOSS:	the+law/statutes/regulations+two

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W9
      OFFSETS:	40-42
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	رجاله
     IS_TRANS:	rjAlh
        INDEX:	P30W10
      OFFSETS:	43-48
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rij~Alap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	rij~Al+ap
        GLOSS:	man+[fem.sg.]

 INPUT STRING:	الشرطه
     IS_TRANS:	Al$rTh
        INDEX:	P30W11
      OFFSETS:	49-55
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	اللـ
     IS_TRANS:	All_
        INDEX:	P30W12
      OFFSETS:	56-60
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	which

 INPUT STRING:	قاعدين
     IS_TRANS:	qAEdyn
        INDEX:	P30W13
      OFFSETS:	61-67
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	qAEod+iyn
        GLOSS:	sitting/seated/lazy/inactive/evaders (draft dodgers)+[masc.pl.]

 INPUT STRING:	بهوات
     IS_TRANS:	bhwAt
        INDEX:	P30W14
      OFFSETS:	68-73
       TOKENS:	P30W15-P30W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyh_1]
   UNSPLITVOC:	(bahawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	bahaw+At
        GLOSS:	beys+[fem.pl.]

 INPUT STRING:	دلوقتـِ
     IS_TRANS:	dlwqt_i
        INDEX:	P30W15
      OFFSETS:	74-81
       TOKENS:	P30W16-P30W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqot_1]
   UNSPLITVOC:	(dilowaqot)
          POS:	ADV
          VOC:	dilowaqot
        GLOSS:	now

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P31W1
      OFFSETS:	0-6
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	متلاقيش
     IS_TRANS:	mtlAqy$
        INDEX:	P31W2
      OFFSETS:	7-14
       TOKENS:	P31W2-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(mAtilAqiy$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+lAqiy+$
        GLOSS:	not+you+find+not

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P31W3
      OFFSETS:	15-18
       TOKENS:	P31W5-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/he

 INPUT STRING:	اّمين
     IS_TRANS:	A~myn
        INDEX:	P31W4
      OFFSETS:	19-24
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|miyn_1]
   UNSPLITVOC:	(|miyn)
          POS:	NOUN
          VOC:	|miyn
        GLOSS:	policeman

 INPUT STRING:	شرطه
     IS_TRANS:	$rTh
        INDEX:	P31W5
      OFFSETS:	25-29
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	($uroTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uroT+ap
        GLOSS:	police+[fem.sg.]

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P31W6
      OFFSETS:	30-34
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one/person

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P31W7
      OFFSETS:	34-35
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P31W8
      OFFSETS:	35-36
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ماشى
     IS_TRANS:	mA$Y
        INDEX:	P31W9
      OFFSETS:	37-41
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	بستر
     IS_TRANS:	bstr
        INDEX:	P31W10
      OFFSETS:	42-46
       TOKENS:	P31W13-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sator_1]
   UNSPLITVOC:	(bisator)
          POS:	PREP+NOUN
          VOC:	bi+sator
        GLOSS:	with/by+protection

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P31W11
      OFFSETS:	47-51
       TOKENS:	P31W15-P31W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/god+our

 INPUT STRING:	ولله
     IS_TRANS:	wllh
        INDEX:	P31W12
      OFFSETS:	52-56
       TOKENS:	P31W17-P31W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wilil~ah)
          POS:	CONJ+PREP+NOUN_PROP
          VOC:	wi+li+All~ah
        GLOSS:	and+to/for+Allah/God

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P31W13
      OFFSETS:	57-62
       TOKENS:	P31W20-P31W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	للاّسف
     IS_TRANS:	llA~sf
        INDEX:	P32W1
      OFFSETS:	0-6
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lilAsaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Asaf
        GLOSS:	for/to+the+regret

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P32W2
      OFFSETS:	7-10
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	كتيره
     IS_TRANS:	ktyrh
        INDEX:	P32W3
      OFFSETS:	11-16
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kitiyr+ap
        GLOSS:	alot/numerous+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P32W4
      OFFSETS:	17-19
       TOKENS:	P32W5-P32W5
