 INPUT STRING:	مين

 INPUT STRING:	التعلم
     IS_TRANS:	AltElm
        INDEX:	P15W5
      OFFSETS:	23-29
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEal~um_1]
   UNSPLITVOC:	(Alt~aEal~um)
          POS:	DET+NOUN
          VOC:	Al+taEal~um
        GLOSS:	the+learning/study

 INPUT STRING:	والتحمل
     IS_TRANS:	wAltHml
        INDEX:	P15W6
      OFFSETS:	30-37
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHam~ul_1]
   UNSPLITVOC:	(waAltaHam~ul)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+taHam~ul
        GLOSS:	and+the+bearing/endurance/fastness/stay/wear

 INPUT STRING:	وبهاا
     IS_TRANS:	wbhAA
        INDEX:	P15W7
      OFFSETS:	38-43
       TOKENS:	P15W11-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(wibihA)
          POS:	CONJ+PREP+PRON_3FS
          VOC:	wi+bi+hA
        GLOSS:	and+with/by+it/them/her

 INPUT STRING:	الصبر
     IS_TRANS:	AlSbr
        INDEX:	P15W8
      OFFSETS:	44-49
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabor_1]
   UNSPLITVOC:	(AlS~abor)
          POS:	DET+NOUN
          VOC:	Al+Sabor
        GLOSS:	the+patience

 INPUT STRING:	ودة
     IS_TRANS:	wdp
        INDEX:	P15W9
      OFFSETS:	50-53
       TOKENS:	P15W15-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(wadah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+dah
        GLOSS:	and+this

 INPUT STRING:	مهم
     IS_TRANS:	mhm
        INDEX:	P15W10
      OFFSETS:	54-57
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(muhim~)
          POS:	ADJ
          VOC:	muhim~
        GLOSS:	important/serious

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P15W11
      OFFSETS:	58-61
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong/so much

 INPUT STRING:	للتعامل
     IS_TRANS:	lltEAml
        INDEX:	P15W12
      OFFSETS:	62-69
       TOKENS:	P15W19-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAmul_1]
   UNSPLITVOC:	(lilt~aEAmul)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taEAmul
        GLOSS:	for/to+the+relations/dealings

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P15W13
      OFFSETS:	70-72
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	النااس
     IS_TRANS:	AlnAAs
        INDEX:	P15W14
      OFFSETS:	73-79
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P15W15
      OFFSETS:	80-84
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بتسووق
     IS_TRANS:	btswwq
        INDEX:	P15W16
      OFFSETS:	85-91
       TOKENS:	P15W24-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAq_1]
   UNSPLITVOC:	(bitosuwq)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+to+suwq
        GLOSS:	[present tense.]+it/they/she+drive/lead/direct

 INPUT STRING:	قدامك
     IS_TRANS:	qdAmk
        INDEX:	P15W17
      OFFSETS:	92-97
       TOKENS:	P15W26-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Amak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	qud~Am+ak
        GLOSS:	front/in front of+your

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W18
      OFFSETS:	98-101
       TOKENS:	P15W28-P15W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مزاجهاا
     IS_TRANS:	mzAjhAA
        INDEX:	P15W19
      OFFSETS:	102-109
       TOKENS:	P15W29-P15W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAjhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mazAj+hA
        GLOSS:	temperament/mood/feeling+its/their/her

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P15W20
      OFFSETS:	110-113
       TOKENS:	P15W31-P15W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without

 INPUT STRING:	احتراام
     IS_TRANS:	AHtrAAm
        INDEX:	P15W21
      OFFSETS:	114-121
       TOKENS:	P15W32-P15W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHotirAm_1]
   UNSPLITVOC:	(<iHotirAm)
          POS:	NOUN
          VOC:	<iHotirAm
        GLOSS:	respect

 INPUT STRING:	لقواعد
     IS_TRANS:	lqwAEd
        INDEX:	P15W22
      OFFSETS:	122-128
       TOKENS:	P15W33-P15W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEodap_1]
   UNSPLITVOC:	(liqawAEid)
          POS:	PREP+NOUN
          VOC:	li+qawAEid
        GLOSS:	for/to+bases

 INPUT STRING:	المرور
     IS_TRANS:	Almrwr
        INDEX:	P15W23
      OFFSETS:	129-135
       TOKENS:	P15W35-P15W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(Almuruwr)
          POS:	DET+NOUN
          VOC:	Al+muruwr
        GLOSS:	the+traffic

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P15W24
      OFFSETS:	136-138
       TOKENS:	P15W36-P15W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P15W25
      OFFSETS:	139-142
       TOKENS:	P15W37-P15W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	آدابه
     IS_TRANS:	|dAbh
        INDEX:	P15W26
      OFFSETS:	143-148
       TOKENS:	P15W38-P15W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>adab_2]
   UNSPLITVOC:	(|dAbhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	|dAb+hu
        GLOSS:	good manners/etiquette+its/his

 INPUT STRING:	ملك
     IS_TRANS:	mlk
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[malak_1]
   UNSPLITVOC:	(malak)
          POS:	NOUN_PROP
          VOC:	malak
        GLOSS:	malak

 INPUT STRING:	بيقوول
     IS_TRANS:	byqwwl
        INDEX:	P16W2
      OFFSETS:	4-10
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present tense.]+he/it+say

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P16W3
      OFFSETS:	11-13
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	المراة
     IS_TRANS:	AlmrAp
        INDEX:	P16W4
      OFFSETS:	14-20
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	ضعيفة
     IS_TRANS:	DEyfp
        INDEX:	P16W5
      OFFSETS:	21-26
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEiyf_1]
   UNSPLITVOC:	(DaEiyfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	DaEiyf+ap
        GLOSS:	weak/deficient+[fem.sg.]

 INPUT STRING:	وغير
     IS_TRANS:	wgyr
        INDEX:	P16W6
      OFFSETS:	27-31
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayr_1]
   UNSPLITVOC:	(wigayr)
          POS:	CONJ+NOUN
          VOC:	wi+gayr
        GLOSS:	and+not/other

 INPUT STRING:	قادرة
     IS_TRANS:	qAdrp
        INDEX:	P16W7
      OFFSETS:	32-37
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdorap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	qAdor+ap
        GLOSS:	capable/able+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W8
      OFFSETS:	38-41
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اتخاذ
     IS_TRANS:	AtxA*
        INDEX:	P16W9
      OFFSETS:	42-47
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<it~ixA*_1]
   UNSPLITVOC:	(<it~ixA*)
          POS:	NOUN
          VOC:	<it~ixA*
        GLOSS:	taking/adoption

 INPUT STRING:	القرارات
     IS_TRANS:	AlqrArAt
        INDEX:	P16W10
      OFFSETS:	48-56
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(AlqarArAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+qarAr+At
        GLOSS:	the+decisions/resolutions+[fem.pl.]

 INPUT STRING:	السريعة
     IS_TRANS:	AlsryEp
        INDEX:	P16W11
      OFFSETS:	57-64
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sariyE_1]
   UNSPLITVOC:	(Als~ariyEap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+sariyE+ap
        GLOSS:	the+quick/prompt/express/quickly/promptly+[fem.sg.]

 INPUT STRING:	الحازمة
     IS_TRANS:	AlHAzmp
        INDEX:	P16W12
      OFFSETS:	65-72
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(AlHAzomap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+HAzom+ap
        GLOSS:	the+resolute+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/ then

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P17W3
      OFFSETS:	8-10
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	احترامى
     IS_TRANS:	AHtrAmY
        INDEX:	P17W4
      OFFSETS:	11-18
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHotirAm_1]
   UNSPLITVOC:	(<iHotirAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	<iHotirAm+iy
        GLOSS:	respect/honoring+my

 INPUT STRING:	لرأيه
     IS_TRANS:	lr>yh
        INDEX:	P17W5
      OFFSETS:	19-24
       TOKENS:	P17W6-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(lira>oyuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+ra>oy+uh
        GLOSS:	for/to+opinion/view/idea+his/its

 INPUT STRING:	المرأه
     IS_TRANS:	Almr>h
        INDEX:	P17W6
      OFFSETS:	25-31
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W7
      OFFSETS:	32-34
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ضعيفه
     IS_TRANS:	DEyfh
        INDEX:	P17W8
      OFFSETS:	35-40
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEiyf_1]
   UNSPLITVOC:	(DaEiyfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	DaEiyf+ap
        GLOSS:	weak/deficient+[fem.sg.]

 INPUT STRING:	ابدا
     IS_TRANS:	AbdA
        INDEX:	P17W9
      OFFSETS:	41-45
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abad_1]
   UNSPLITVOC:	(>abadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>abad+AF
        GLOSS:	never ever/ utterly+[acc.indef.]

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P17W10
      OFFSETS:	46-49
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(wa>ano)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+>ano
        GLOSS:	and+That, to

 INPUT STRING:	بدت
     IS_TRANS:	bdt
        INDEX:	P17W11
      OFFSETS:	50-53
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[badA_1]
   UNSPLITVOC:	(badat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	bad+at
        GLOSS:	appear/seem+it/they/she [verb]

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P17W12
      OFFSETS:	54-57
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as/like/such as/the likes of

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P17W13
      OFFSETS:	58-61
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W14
      OFFSETS:	61-62
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P18W1
      OFFSETS:	0-7
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P18W2
      OFFSETS:	8-10
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P18W3
      OFFSETS:	11-15
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	عاوزهاا
     IS_TRANS:	EAwzhAA
        INDEX:	P18W4
      OFFSETS:	16-23
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwizhA)
          POS:	ADJ.VN+POSS_PRON_3FS
          VOC:	EAwiz+hA
        GLOSS:	wanting/needing+its/their/her

 INPUT STRING:	ضعيفه
     IS_TRANS:	DEyfh
        INDEX:	P18W5
      OFFSETS:	24-29
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEiyf_1]
   UNSPLITVOC:	(DaEiyfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	DaEiyf+ap
        GLOSS:	weak/deficient+[fem.sg.]

 INPUT STRING:	وبالذاات
     IS_TRANS:	wbAl*AAt
        INDEX:	P18W6
      OFFSETS:	30-38
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*~At_1]
   UNSPLITVOC:	(biAl*~At)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+*~At
        GLOSS:	with/by+the+exactly/precisely

 INPUT STRING:	الرجل
     IS_TRANS:	Alrjl
        INDEX:	P18W7
      OFFSETS:	39-44
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(Alr~ijol)
          POS:	DET+NOUN
          VOC:	Al+rijol
        GLOSS:	the+man

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W8
      OFFSETS:	44-45
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W9
      OFFSETS:	45-46
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	والمرأه
     IS_TRANS:	wAlmr>h
        INDEX:	P19W1
      OFFSETS:	0-7
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(wiAlmaro>ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+maro>+ap
        GLOSS:	and+the+woman+[fem.sg.]

 INPUT STRING:	اقدر
     IS_TRANS:	Aqdr
        INDEX:	P19W2
      OFFSETS:	8-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aqodar_1]
   UNSPLITVOC:	(>aqodar)
          POS:	ADJ_COMP
          VOC:	>aqodar
        GLOSS:	more/most capable

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W3
      OFFSETS:	13-15
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الرجل
     IS_TRANS:	Alrjl
        INDEX:	P19W4
      OFFSETS:	16-21
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(Alr~ijol)
          POS:	DET+NOUN
          VOC:	Al+rijol
        GLOSS:	the+man

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W5
      OFFSETS:	22-25
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اتخااذ
     IS_TRANS:	AtxAA*
        INDEX:	P19W6
      OFFSETS:	26-32
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<it~ixA*]
   UNSPLITVOC:	(<it~ixA*)
          POS:	NOUN
          VOC:	<it~ixA*
        GLOSS:	taking/adoption

 INPUT STRING:	القراار
     IS_TRANS:	AlqrAAr
        INDEX:	P19W7
      OFFSETS:	33-40
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(AlqarAr)
          POS:	DET+NOUN
          VOC:	Al+qarAr
        GLOSS:	the+decision/resolution

 INPUT STRING:	بالذاات
     IS_TRANS:	bAl*AAt
        INDEX:	P19W8
      OFFSETS:	41-48
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*At_1]
