 INPUT STRING:	بالبلدى
          VOC:	wi+qAnuwn+AF
        GLOSS:	and+law/status/regulations+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W15
      OFFSETS:	78-79
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P19W2
      OFFSETS:	4-6
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P19W3
      OFFSETS:	7-9
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	uncle

 INPUT STRING:	متزعلش
     IS_TRANS:	mtzEl$
        INDEX:	P19W4
      OFFSETS:	10-16
       TOKENS:	P19W4-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ziEil_1]
   UNSPLITVOC:	(mAtizEal$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+zEal+$
        GLOSS:	not+you [masc.sg.]+be angry+not

 INPUT STRING:	نصحح
     IS_TRANS:	nSHH
        INDEX:	P19W5
      OFFSETS:	17-21
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~aH_1]
   UNSPLITVOC:	(niSaH~aH)
          POS:	IV1P+IV
          VOC:	ni+SaH~aH
        GLOSS:	we+correct/confirm

 INPUT STRING:	السؤال
     IS_TRANS:	Als&Al
        INDEX:	P19W6
      OFFSETS:	22-28
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Als~u&Al)
          POS:	DET+NOUN
          VOC:	Al+su&Al
        GLOSS:	the+question/inquiry

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W7
      OFFSETS:	28-29
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W8
      OFFSETS:	29-30
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_PRON
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P20W2
      OFFSETS:	4-6
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P20W3
      OFFSETS:	7-11
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	بيشهروا
     IS_TRANS:	by$hrwA
        INDEX:	P20W4
      OFFSETS:	12-19
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$ohar_1]
   UNSPLITVOC:	(biyi$ohiruwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+$ohir+uwA
        GLOSS:	[present-tense]+they+make public/declare+[pl.]

 INPUT STRING:	إسلامهم
     IS_TRANS:	<slAmhm
        INDEX:	P20W5
      OFFSETS:	20-27
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<islAm_1]
   UNSPLITVOC:	(<islAmhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	<islAm+hum
        GLOSS:	Islam+their

 INPUT STRING:	بنات
     IS_TRANS:	bnAt
        INDEX:	P20W6
      OFFSETS:	28-32
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(banAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	ban+At
        GLOSS:	daughters/girls+[fem.pl.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W7
      OFFSETS:	33-34
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P20W8
      OFFSETS:	34-35
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P20W9
      OFFSETS:	35-36
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P20W10
      OFFSETS:	36-37
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too/nevertheless

 INPUT STRING:	ببساطة
     IS_TRANS:	bbsATp
        INDEX:	P21W2
      OFFSETS:	5-11
       TOKENS:	P21W2-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basATap_1]
   UNSPLITVOC:	(bibasATap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+basAT+ap
        GLOSS:	with/by+simplicity/plainness+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P21W3
      OFFSETS:	11-12
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P21W4
      OFFSETS:	12-13
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	طبعاً
     IS_TRANS:	TbEAF
        INDEX:	P21W5
      OFFSETS:	14-19
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabE_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TabE+AF
        GLOSS:	naturally/of course+[acc.indef.]

 INPUT STRING:	أنت
     IS_TRANS:	>nt
        INDEX:	P21W6
      OFFSETS:	20-23
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P21W7
      OFFSETS:	24-28
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P21W8
      OFFSETS:	29-31
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	السن
     IS_TRANS:	Alsn
        INDEX:	P21W9
      OFFSETS:	32-36
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(Als~in~)
          POS:	DET+NOUN
          VOC:	Al+sin~
        GLOSS:	the+age (of a person)

 INPUT STRING:	القانونى
     IS_TRANS:	AlqAnwnY
        INDEX:	P21W10
      OFFSETS:	37-45
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwniy_1]
   UNSPLITVOC:	(AlqAnuwniy)
          POS:	DET+ADJ
          VOC:	Al+qAnuwniy
        GLOSS:	the+legitimate/licit/allowed/legal

 INPUT STRING:	لإشهار
     IS_TRANS:	l<$hAr
        INDEX:	P21W11
      OFFSETS:	46-52
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i$ohAr_1]
   UNSPLITVOC:	(li<i$ohAr)
          POS:	PREP+NOUN
          VOC:	li+<i$ohAr
        GLOSS:	for/to+declaration/proclamation

 INPUT STRING:	الإسلام
     IS_TRANS:	Al<slAm
        INDEX:	P21W12
      OFFSETS:	53-60
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P21W13
      OFFSETS:	61-65
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P21W14
      OFFSETS:	66-70
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	18
     IS_TRANS:	18
        INDEX:	P21W15
      OFFSETS:	72-74
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(18)
          POS:	NOUN_NUM
          VOC:	18
        GLOSS:	18

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P21W16
      OFFSETS:	75-78
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P21W17
      OFFSETS:	79-82
       TOKENS:	P21W19-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الأقل
     IS_TRANS:	Al>ql
        INDEX:	P21W18
      OFFSETS:	83-88
       TOKENS:	P21W20-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(Al>aqal~)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aqal~
        GLOSS:	the+least/smallest/minimum

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W19
      OFFSETS:	89-90
       TOKENS:	P21W21-P21W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W20
      OFFSETS:	90-91
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P21W21
      OFFSETS:	91-95
       TOKENS:	P21W23-P21W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	جداً
     IS_TRANS:	jdAF
        INDEX:	P21W22
      OFFSETS:	96-100
       TOKENS:	P21W24-P21W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~_2]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	تلاحظ
     IS_TRANS:	tlAHZ
        INDEX:	P22W2
      OFFSETS:	4-9
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAHiZ_1]
   UNSPLITVOC:	(tilAHiZ)
          POS:	IV2MS+IV
          VOC:	ti+lAHiZ
        GLOSS:	you [masc.sg.]+notice/observe

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P22W3
      OFFSETS:	10-12
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P22W4
      OFFSETS:	13-15
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	سن
     IS_TRANS:	sn
        INDEX:	P22W5
      OFFSETS:	16-18
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(sin~)
          POS:	NOUN
          VOC:	sin~
        GLOSS:	age (of a person)

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P22W6
      OFFSETS:	19-25
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P22W7
      OFFSETS:	26-28
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P22W8
      OFFSETS:	29-32
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	لمعظم
     IS_TRANS:	lmEZm
        INDEX:	P22W9
      OFFSETS:	33-38
       TOKENS:	P22W10-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEoZam_1]
   UNSPLITVOC:	(limuEoZam)
          POS:	PREP+NOUN_QUANT
          VOC:	li+muEoZam
        GLOSS:	for/to+most, majority

 INPUT STRING:	البنات
     IS_TRANS:	AlbnAt
        INDEX:	P22W10
      OFFSETS:	39-45
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(AlbanAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+ban+At
        GLOSS:	the+daughters/girls+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W11
      OFFSETS:	45-46
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P23W2
      OFFSETS:	4-7
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P23W3
      OFFSETS:	8-13
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P23W4
      OFFSETS:	14-18
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	مسيحية
     IS_TRANS:	msyHyp
        INDEX:	P23W5
      OFFSETS:	19-25
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy~ap_1]
   UNSPLITVOC:	(misiyHiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	misiyHiy~+ap
        GLOSS:	Christian+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W6
      OFFSETS:	25-26
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W7
      OFFSETS:	26-27
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وتدخل
     IS_TRANS:	wtdxl
        INDEX:	P23W8
      OFFSETS:	27-32
       TOKENS:	P23W8-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(witidoxul)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+doxul
        GLOSS:	and+it/they/she+enter

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P23W9
      OFFSETS:	33-35
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الإسلام
     IS_TRANS:	Al<slAm
        INDEX:	P23W10
      OFFSETS:	36-43
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W11
      OFFSETS:	43-44
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W12
      OFFSETS:	44-45
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ينفع
     IS_TRANS:	ynfE
        INDEX:	P23W13
      OFFSETS:	46-50
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(yinofaE)
          POS:	IV3MS+IV
          VOC:	yi+nofaE
        GLOSS:	he/it+be useful to/be advantageous to

 INPUT STRING:	تتزوج
     IS_TRANS:	ttzwj
        INDEX:	P23W14
      OFFSETS:	51-56
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tzaw~ij_1]
   UNSPLITVOC:	(titzaw~ij)
          POS:	IV3FS+IV
          VOC:	ti+tzaw~ij
        GLOSS:	she/it/they+get married

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W15
      OFFSETS:	57-59
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
