 INPUT STRING:	هذه
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+air/climate/atmosphere

 INPUT STRING:	مطر
     IS_TRANS:	mTr
        INDEX:	P9W2
      OFFSETS:	5-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maT~ar_1]
   UNSPLITVOC:	(maT~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	maT~ar+(null)
        GLOSS:	rain/shower+he/it [verb]

 INPUT STRING:	مطره
     IS_TRANS:	mTrh
        INDEX:	P9W3
      OFFSETS:	9-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTarap_1]
   UNSPLITVOC:	(maTarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maTar+ap
        GLOSS:	rain shower/downpour/rain+[fem.sg.]

 INPUT STRING:	شديده
     IS_TRANS:	$dydh
        INDEX:	P9W4
      OFFSETS:	14-19
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$idiyd_1]
   UNSPLITVOC:	($idiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$idiyd+ap
        GLOSS:	intense/strong/severe+[fem.sg.]

 INPUT STRING:	ورعد
     IS_TRANS:	wrEd
        INDEX:	P9W5
      OFFSETS:	20-24
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raEod_1]
   UNSPLITVOC:	(wiraEod)
          POS:	CONJ+NOUN
          VOC:	wi+raEod
        GLOSS:	and+thunder

 INPUT STRING:	وبرق
     IS_TRANS:	wbrq
        INDEX:	P9W6
      OFFSETS:	25-29
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroq_1]
   UNSPLITVOC:	(wibaroq)
          POS:	CONJ+NOUN
          VOC:	wi+baroq
        GLOSS:	and+lightning/telegraph

 INPUT STRING:	وروح
     IS_TRANS:	wrwH
        INDEX:	P10W1
      OFFSETS:	3-7
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wiruwH)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+ruwH+(null)
        GLOSS:	and+go+you [masc.sg.] [verb]

 INPUT STRING:	وتعالى
     IS_TRANS:	wtEAlY
        INDEX:	P10W2
      OFFSETS:	8-14
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAlay_1]
   UNSPLITVOC:	(witaEAlaY)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+taEAlaY+(null)
        GLOSS:	and+come/let's+you [masc.sg.] [verb]

 INPUT STRING:	وشيل
     IS_TRANS:	w$yl
        INDEX:	P10W3
      OFFSETS:	15-19
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	(wi$iyl)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+$iyl+(null)
        GLOSS:	and+carry/lift+you [masc.sg.] [verb]

 INPUT STRING:	وحط
     IS_TRANS:	wHT
        INDEX:	P10W4
      OFFSETS:	20-23
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(wiHuT~)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+HuT~+(null)
        GLOSS:	and+put+you [masc.sg.] [verb]

 INPUT STRING:	فهرول
     IS_TRANS:	fhrwl
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[harowil_1]
   UNSPLITVOC:	(faharowil)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+harowil+(null)
        GLOSS:	so/and+walk fast/hurry+he/it [verb]

 INPUT STRING:	الملك
     IS_TRANS:	Almlk
        INDEX:	P11W2
      OFFSETS:	6-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malik_1]
   UNSPLITVOC:	(Almalik)
          POS:	DET+NOUN
          VOC:	Al+malik
        GLOSS:	the+King

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P11W3
      OFFSETS:	12-15
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(wimano)
          POS:	PREP+REL_PRON
          VOC:	wi+mano
        GLOSS:	with+who/whom

 INPUT STRING:	معه
     IS_TRANS:	mEh
        INDEX:	P11W4
      OFFSETS:	16-19
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	something with+his/its

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W5
      OFFSETS:	20-22
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/every/entire/whole

 INPUT STRING:	فرد
     IS_TRANS:	frd
        INDEX:	P11W6
      OFFSETS:	23-26
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[farod_1]
   UNSPLITVOC:	(farod)
          POS:	NOUN
          VOC:	farod
        GLOSS:	individual/unit/individually/separately/one item

 INPUT STRING:	ذهب
     IS_TRANS:	*hb
        INDEX:	P11W7
      OFFSETS:	27-30
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ahab_1]
   UNSPLITVOC:	(*ahab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	*ahab+(null)
        GLOSS:	go/depart+he/it [verb]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W8
      OFFSETS:	31-33
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P11W9
      OFFSETS:	34-38
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	الملك
     IS_TRANS:	Almlk
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malik_1]
   UNSPLITVOC:	(Almalik)
          POS:	DET+NOUN
          VOC:	Al+malik
        GLOSS:	the+King

 INPUT STRING:	وجد
     IS_TRANS:	wjd
        INDEX:	P12W2
      OFFSETS:	6-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(wajad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	wajad+(null)
        GLOSS:	find/exist+he/it [verb]

 INPUT STRING:	طالته
     IS_TRANS:	TAlth
        INDEX:	P12W3
      OFFSETS:	10-15
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(TAlth)
          POS:	TYPO
          VOC:	TAlth
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W4
      OFFSETS:	16-18
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	احد
     IS_TRANS:	AHd
        INDEX:	P12W5
      OFFSETS:	19-22
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	الاكواخ
     IS_TRANS:	AlAkwAx
        INDEX:	P12W6
      OFFSETS:	23-30
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuwx_1]
   UNSPLITVOC:	(Al>akowAx)
          POS:	DET+NOUN
          VOC:	Al+>akowAx
        GLOSS:	the+huts/shacks

 INPUT STRING:	فنظر
     IS_TRANS:	fnZr
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(fanaZar)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+naZar+(null)
        GLOSS:	and/then+look/see+he/it [verb]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P13W2
      OFFSETS:	5-8
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	فراى
     IS_TRANS:	frAY
        INDEX:	P13W3
      OFFSETS:	9-13
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>ay_1]
   UNSPLITVOC:	(fara>aY)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+ra>aY+(null)
        GLOSS:	so/and+see/think/believe+he/it [verb]

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P13W4
      OFFSETS:	14-17
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(rijol)
          POS:	NOUN
          VOC:	rijol
        GLOSS:	man

 INPUT STRING:	غلبان
     IS_TRANS:	glbAn
        INDEX:	P13W5
      OFFSETS:	18-23
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galobAn_1]
   UNSPLITVOC:	(galobAn)
          POS:	ADJ
          VOC:	galobAn
        GLOSS:	poor

 INPUT STRING:	داخله
     IS_TRANS:	dAxlh
        INDEX:	P13W6
      OFFSETS:	24-29
       TOKENS:	P13W9-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxiluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	dAxil+uh
        GLOSS:	inside of/interior/inside+his/it

 INPUT STRING:	واسعه
     IS_TRANS:	wAsEh
        INDEX:	P14W1
      OFFSETS:	3-8
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsiE_1]
   UNSPLITVOC:	(wAsoEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAsoE+ap
        GLOSS:	wide/extensive/broad+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P14W2
      OFFSETS:	9-11
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P14W3
      OFFSETS:	12-14
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	correct/right

 INPUT STRING:	فدخل
     IS_TRANS:	fdxl
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(fadaxal)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+daxal+(null)
        GLOSS:	so/and+enter+he/it [verb]

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	وساله
     IS_TRANS:	wsAlh
        INDEX:	P15W3
      OFFSETS:	10-15
       TOKENS:	P15W5-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(wisa>aluh)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	wi+sa>al+(null)+uh
        GLOSS:	and+ask/inquire/request/be asked+he/it+it/him

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P15W4
      OFFSETS:	16-21
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	تجلس
     IS_TRANS:	tjls
        INDEX:	P15W5
      OFFSETS:	22-26
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jalas_1]
   UNSPLITVOC:	(tijolis)
          POS:	IV2MS+IV
          VOC:	ti+jolis
        GLOSS:	you [masc.sg.]+sit

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P15W6
      OFFSETS:	27-30
       TOKENS:	P15W10-P15W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(walamo)
          POS:	CONJ+NEG_PART
          VOC:	wa+lamo
        GLOSS:	and+did not

 INPUT STRING:	تخرج
     IS_TRANS:	txrj
        INDEX:	P15W7
      OFFSETS:	31-35
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(tuxoruj)
          POS:	IV2MS+IV
          VOC:	tu+xoruj
        GLOSS:	you [masc.sg.]+go out/exit/leave

 INPUT STRING:	لتجلب
     IS_TRANS:	ltjlb
        INDEX:	P15W8
      OFFSETS:	36-41
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ltjlb)
          POS:	NO_FUNC
          VOC:	ltjlb
        GLOSS:	nogloss

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P15W9
      OFFSETS:	42-44
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you [masc.sg.]

 INPUT STRING:	طعام
     IS_TRANS:	TEAm
        INDEX:	P15W10
      OFFSETS:	45-49
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaEAm_1]
   UNSPLITVOC:	(TaEAm)
          POS:	NOUN
          VOC:	TaEAm
        GLOSS:	food

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rad~+(null)
        GLOSS:	reply/response+he/it [verb]

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P16W2
      OFFSETS:	3-7
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	الرجل
     IS_TRANS:	Alrjl
        INDEX:	P16W3
      OFFSETS:	8-13
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(Alrajul)
          POS:	DET+NOUN
          VOC:	Al+rajul
        GLOSS:	the+man

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P17W1
      OFFSETS:	0-2
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	سيدى
     IS_TRANS:	sydY
        INDEX:	P17W2
      OFFSETS:	3-7
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(say~idiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	say~id+iy
        GLOSS:	Sir/Mr./Mister/gentlement+my

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P17W3
      OFFSETS:	8-11
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I [verb]

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P17W4
      OFFSETS:	12-16
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(AaEolam)
          POS:	IV1S+IV
          VOC:	Aa+Eolam
        GLOSS:	I+know

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P17W5
      OFFSETS:	17-19
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الجو
     IS_TRANS:	Aljw
        INDEX:	P17W6
      OFFSETS:	20-24
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(Aljaw~)
          POS:	DET+NOUN
          VOC:	Al+jaw~
        GLOSS:	the+air/climate/atmosphere

 INPUT STRING:	سيمطر
     IS_TRANS:	symTr
        INDEX:	P17W7
      OFFSETS:	25-30
       TOKENS:	P17W8-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoTar_1]
   UNSPLITVOC:	(sayumoTir)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+yu+moTir
        GLOSS:	will+he/it+rain/shower

 INPUT STRING:	ويحدث
     IS_TRANS:	wyHdv
        INDEX:	P17W8
      OFFSETS:	31-36
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(wiyiHoduv)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Hoduv
        GLOSS:	and+he/it+happen/take place

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P17W9
      OFFSETS:	37-40
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	ساله
     IS_TRANS:	sAlh
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>aluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	sa>al+(null)+uh
        GLOSS:	ask/inquire/request+he/it [verb]+it/him

 INPUT STRING:	الملك
     IS_TRANS:	Almlk
        INDEX:	P18W2
      OFFSETS:	5-10
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malik_1]
   UNSPLITVOC:	(Almalik)
          POS:	DET+NOUN
          VOC:	Al+malik
        GLOSS:	the+King

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(kayof)
          POS:	INTERROG_ADV
          VOC:	kayof
        GLOSS:	how

 INPUT STRING:	عرفت
     IS_TRANS:	Erft
        INDEX:	P19W2
      OFFSETS:	4-8
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(Eirift)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	Eirif+t
        GLOSS:	know+you [masc.sg.] [verb]

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P19W3
      OFFSETS:	9-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	this

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	say+he/it [verb]

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P20W2
      OFFSETS:	4-6
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+him/it

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P20W3
      OFFSETS:	7-9
       TOKENS:	P20W4-P20W4
