 INPUT STRING:	صبـــاحـكم
      OFFSETS:	102-105
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	هدف
     IS_TRANS:	hdf
        INDEX:	P12W18
      OFFSETS:	106-109
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(hadaf)
          POS:	NOUN
          VOC:	hadaf
        GLOSS:	goal/objective/intention/goals/objectives/intentions

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P12W19
      OFFSETS:	110-114
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	ADJ
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P12W20
      OFFSETS:	114-115
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لقد
     IS_TRANS:	lqd
        INDEX:	P13W1
      OFFSETS:	1-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lqd)
          POS:	NO_FUNC
          VOC:	lqd
        GLOSS:	nogloss

 INPUT STRING:	كشفت
     IS_TRANS:	k$ft
        INDEX:	P13W2
      OFFSETS:	5-9
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka$af_1]
   UNSPLITVOC:	(ka$afit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ka$af+it
        GLOSS:	discover/reveal/disclose/examine/be discovered/be revealed/be disclosed/examine+it/they/she

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P13W3
      OFFSETS:	10-13
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[la_1]
   UNSPLITVOC:	(lanA)
          POS:	PREP+PRON_1P
          VOC:	la+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P13W4
      OFFSETS:	14-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tlk)
          POS:	NO_FUNC
          VOC:	tlk
        GLOSS:	nogloss

 INPUT STRING:	الأحداث
     IS_TRANS:	Al>HdAv
        INDEX:	P13W5
      OFFSETS:	18-25
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+events

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P13W6
      OFFSETS:	26-29
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	أخرى
     IS_TRANS:	>xrY
        INDEX:	P13W7
      OFFSETS:	30-34
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P13W8
      OFFSETS:	34-35
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وكالعادة
     IS_TRANS:	wkAlEAdp
        INDEX:	P13W9
      OFFSETS:	36-44
       TOKENS:	P13W10-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdap_1]
   UNSPLITVOC:	(wikaAlEAdap)
          POS:	CONJ+PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+ka+Al+EAd+ap
        GLOSS:	and+like/such+the+usually/typically/generally+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P13W10
      OFFSETS:	44-45
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P13W11
      OFFSETS:	46-48
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حقيقتنا
     IS_TRANS:	HqyqtnA
        INDEX:	P13W12
      OFFSETS:	49-56
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(HaqiyqatnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	Haqiyq+ap+nA
        GLOSS:	truth+[fem.sg.]+our

 INPUT STRING:	كمصريين
     IS_TRANS:	kmSryyn
        INDEX:	P13W13
      OFFSETS:	57-64
       TOKENS:	P13W17-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSriy~_1]
   UNSPLITVOC:	(kamaSriy~iyn)
          POS:	PREP+NOUN+NSUFF_MASC_PL
          VOC:	ka+maSriy~+iyn
        GLOSS:	like/such+Egytians+[masc.pl.]

 INPUT STRING:	نقتسم
     IS_TRANS:	nqtsm
        INDEX:	P14W1
      OFFSETS:	1-6
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiqotasam_1]
   UNSPLITVOC:	(niqotisim)
          POS:	IV1P+IV
          VOC:	ni+qotisim
        GLOSS:	we+share

 INPUT STRING:	الهم
     IS_TRANS:	Alhm
        INDEX:	P14W2
      OFFSETS:	7-11
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(Alham~)
          POS:	DET+NOUN
          VOC:	Al+ham~
        GLOSS:	the+concern/interest

 INPUT STRING:	والفرح
     IS_TRANS:	wAlfrH
        INDEX:	P14W3
      OFFSETS:	12-18
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(wiAlfaraH)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+faraH
        GLOSS:	and+the+joy/happiness/festivity/with joy/joyfully/joys/festivities

 INPUT STRING:	سويا
     IS_TRANS:	swyA
        INDEX:	P14W4
      OFFSETS:	19-23
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawiy~_1]
   UNSPLITVOC:	(sawiy~)
          POS:	ADJ
          VOC:	sawiy~
        GLOSS:	together/jointly/in common

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W5
      OFFSETS:	23-24
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وكيف
     IS_TRANS:	wkyf
        INDEX:	P15W1
      OFFSETS:	1-5
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(wakayof)
          POS:	CONJ+INTERROG_ADV
          VOC:	wa+kayof
        GLOSS:	and+how

 INPUT STRING:	تذيب
     IS_TRANS:	t*yb
        INDEX:	P15W2
      OFFSETS:	6-10
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<a*Ab_1]
   UNSPLITVOC:	(tu*iyb)
          POS:	IV3FS+IV
          VOC:	tu+*iyb
        GLOSS:	it/they/she+breaks

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P15W3
      OFFSETS:	11-13
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حوادث
     IS_TRANS:	HwAdv
        INDEX:	P15W4
      OFFSETS:	14-19
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(HawAdiv)
          POS:	NOUN
          VOC:	HawAdiv
        GLOSS:	incidents/events

 INPUT STRING:	مصرنا
     IS_TRANS:	mSrnA
        INDEX:	P15W5
      OFFSETS:	20-25
       TOKENS:	P15W6-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(maSrinA)
          POS:	NOUN_PROP+POSS_PRON_1P
          VOC:	maSri+nA
        GLOSS:	Egypt+our

 INPUT STRING:	الفارق
     IS_TRANS:	AlfArq
        INDEX:	P15W6
      OFFSETS:	26-32
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAriq_1]
   UNSPLITVOC:	(AlfAriq)
          POS:	DET+NOUN
          VOC:	Al+fAriq
        GLOSS:	the+difference/differences/distinctive features

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P15W7
      OFFSETS:	33-36
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between

 INPUT STRING:	جرجس
     IS_TRANS:	jrjs
        INDEX:	P15W8
      OFFSETS:	37-41
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jirojis_1]
   UNSPLITVOC:	(jirojis)
          POS:	NOUN_PROP
          VOC:	jirojis
        GLOSS:	Girgis

 INPUT STRING:	ومحمد
     IS_TRANS:	wmHmd
        INDEX:	P15W9
      OFFSETS:	42-47
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(wimaHam~ad)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+maHam~ad
        GLOSS:	and+Mohamed

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W10
      OFFSETS:	47-48
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P16W1
      OFFSETS:	2-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	يتذكر
     IS_TRANS:	yt*kr
        INDEX:	P16W2
      OFFSETS:	5-10
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito*ak~ar_1]
   UNSPLITVOC:	(yato*ak~ar)
          POS:	IV3MS+IV
          VOC:	ya+to*ak~ar
        GLOSS:	he/it+remember

 INPUT STRING:	أحد
     IS_TRANS:	>Hd
        INDEX:	P16W3
      OFFSETS:	11-14
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHad)
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P16W4
      OFFSETS:	15-20
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	حادثة
     IS_TRANS:	HAdvp
        INDEX:	P16W5
      OFFSETS:	21-26
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(HAdovap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAdov+ap
        GLOSS:	incident+[fem.sg.]

 INPUT STRING:	القديسين
     IS_TRANS:	Alqdysyn
        INDEX:	P16W6
      OFFSETS:	27-35
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qid~iys_1]
   UNSPLITVOC:	(Alqid~iysiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+qid~iys+iyn
        GLOSS:	the+saints+[masc.pl.]

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P16W7
      OFFSETS:	36-39
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	فداحة
     IS_TRANS:	fdAHp
        INDEX:	P16W8
      OFFSETS:	40-45
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fadAHap_1]
   UNSPLITVOC:	(fadAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fadAH+ap
        GLOSS:	oppression/burdening+[fem.sg.]

 INPUT STRING:	مصابنا
     IS_TRANS:	mSAbnA
        INDEX:	P16W9
      OFFSETS:	46-52
       TOKENS:	P16W9-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(muSAbnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	muSAb+nA
        GLOSS:	affliction+our

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P16W10
      OFFSETS:	53-57
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W11
      OFFSETS:	57-58
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P17W1
      OFFSETS:	1-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	فقد
     IS_TRANS:	fqd
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fqd)
          POS:	NO_FUNC
          VOC:	fqd
        GLOSS:	nogloss

 INPUT STRING:	ذاب
     IS_TRANS:	*Ab
        INDEX:	P17W3
      OFFSETS:	8-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Ab_1]
   UNSPLITVOC:	(*Ab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	*Ab+(null)
        GLOSS:	melts+he/it

 INPUT STRING:	وجعنا
     IS_TRANS:	wjEnA
        INDEX:	P17W4
      OFFSETS:	12-17
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(wajaEnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	wajaE+nA
        GLOSS:	hurt+our

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P17W5
      OFFSETS:	18-20
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وجع
     IS_TRANS:	wjE
        INDEX:	P17W6
      OFFSETS:	21-24
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(wajaE)
          POS:	NOUN
          VOC:	wajaE
        GLOSS:	pain/ache

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P17W7
      OFFSETS:	25-28
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P17W8
      OFFSETS:	28-29
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	خرجنا
     IS_TRANS:	xrjnA
        INDEX:	P18W1
      OFFSETS:	1-6
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(xarajnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	xaraj+nA
        GLOSS:	oust/remove+we

 INPUT STRING:	نهتف
     IS_TRANS:	nhtf
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hataf_1]
   UNSPLITVOC:	(nihtif)
          POS:	IV1P+IV
          VOC:	ni+htif
        GLOSS:	we+cry

 INPUT STRING:	للمصريين
     IS_TRANS:	llmSryyn
        INDEX:	P18W3
      OFFSETS:	12-20
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(lilmaSoriy~iyn)
          POS:	PREP+DET+NOUN+NSUFF_MASC_PL
          VOC:	li+Al+maSoriy~+iyn
        GLOSS:	for/to+the+Egyptians+[masc.pl.]

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P18W4
      OFFSETS:	21-26
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P18W5
      OFFSETS:	26-27
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	مسيحيين
     IS_TRANS:	msyHyyn
        INDEX:	P18W6
      OFFSETS:	28-35
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
   UNSPLITVOC:	(misiyHiy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	misiyHiy~+iyn
        GLOSS:	cristians+[masc.pl.]

 INPUT STRING:	ومسلمين
     IS_TRANS:	wmslmyn
        INDEX:	P18W7
      OFFSETS:	36-43
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(wimusolimiyn)
          POS:	CONJ+NOUN+NSUFF_MASC_PL
          VOC:	wi+musolim+iyn
        GLOSS:	and+Moslems+[masc.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P18W8
      OFFSETS:	43-44
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	مرددين
     IS_TRANS:	mrddyn
        INDEX:	P18W9
      OFFSETS:	45-51
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mirad~id_1]
   UNSPLITVOC:	(mirad~idiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mirad~id+iyn
        GLOSS:	saying+[masc.pl.]

 INPUT STRING:	«
     IS_TRANS:	&#xab;
        INDEX:	P18W10
      OFFSETS:	52-53
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#xab;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	تحيا
     IS_TRANS:	tHyA
        INDEX:	P18W11
      OFFSETS:	53-57
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayA_1]
   UNSPLITVOC:	(tiHoyA)
          POS:	IV3FS+IV
          VOC:	ti+HoyA
        GLOSS:	it/they/she+live/survive

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P18W12
      OFFSETS:	58-61
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W13
      OFFSETS:	61-62
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W14
      OFFSETS:	62-63
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تحيا
     IS_TRANS:	tHyA
        INDEX:	P18W15
      OFFSETS:	64-68
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
