 INPUT STRING:	النائب
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(mi}At)
          POS:	NOUN_NUM+NSUFF_FEM_PL
          VOC:	mi}+At
        GLOSS:	hundreds+[fem.pl.]

 INPUT STRING:	الشرفاء
     IS_TRANS:	Al$rfA'
        INDEX:	P7W3
      OFFSETS:	11-18
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyf_1]
   UNSPLITVOC:	(Al$~urafA')
          POS:	DET+ADJ
          VOC:	Al+$urafA'
        GLOSS:	the+noble/honorable/respectable

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W4
      OFFSETS:	19-23
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P7W5
      OFFSETS:	24-29
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	معاة
     IS_TRANS:	mEAp
        INDEX:	P7W6
      OFFSETS:	30-34
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	with+his/its

 INPUT STRING:	مكانوش
     IS_TRANS:	mkAnw$
        INDEX:	P7W7
      OFFSETS:	35-41
       TOKENS:	P7W9-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kAnuw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	mA+kAn+uwA+$
        GLOSS:	not+be+they+not

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P7W8
      OFFSETS:	42-45
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	قاعدوا
     IS_TRANS:	qAEdwA
        INDEX:	P7W9
      OFFSETS:	46-52
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(qAEoduwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAEod+uwA
        GLOSS:	sit+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W10
      OFFSETS:	53-56
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كراسى
     IS_TRANS:	krAsY
        INDEX:	P7W11
      OFFSETS:	57-62
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurosiy_1]
   UNSPLITVOC:	(karAsiy)
          POS:	NOUN
          VOC:	karAsiy
        GLOSS:	chairs/seats

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P7W12
      OFFSETS:	63-68
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+rule/government

 INPUT STRING:	يصقفوا
     IS_TRANS:	ySqfwA
        INDEX:	P7W13
      OFFSETS:	69-75
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saq~af_1]
   UNSPLITVOC:	(yiSaq~afuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Saq~af+uwA
        GLOSS:	they+applaud/clap+we

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P8W2
      OFFSETS:	4-9
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArifuh)
          POS:	ADJ+PRON_3MS
          VOC:	EArif+uh
        GLOSS:	knowing/having knowledge of+him

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P8W3
      OFFSETS:	10-13
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(>in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>in~+iy
        GLOSS:	that+I

 INPUT STRING:	هتهاجم
     IS_TRANS:	hthAjm
        INDEX:	P8W4
      OFFSETS:	14-20
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(HaAathAjim)
          POS:	FUT_PART+IV1S+IV_PASS
          VOC:	Ha+Aa+thAjim
        GLOSS:	will+I+be attacked

 INPUT STRING:	واقسم
     IS_TRANS:	wAqsm
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qisim_1]
   UNSPLITVOC:	(wiAaqosam)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+qosam
        GLOSS:	and+I+swear

 INPUT STRING:	باللذى
     IS_TRANS:	bAll*Y
        INDEX:	P9W2
      OFFSETS:	6-12
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ail~*iy_1]
   UNSPLITVOC:	(biAil~*iy)
          POS:	PREP+DEM_PRON
          VOC:	bi+Ail~*iy
        GLOSS:	with/by+that/who

 INPUT STRING:	رفع
     IS_TRANS:	rfE
        INDEX:	P9W3
      OFFSETS:	13-16
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(rafaE)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rafaE+(null)
        GLOSS:	promote/raise+he/it

 INPUT STRING:	السماء
     IS_TRANS:	AlsmA'
        INDEX:	P9W4
      OFFSETS:	17-23
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samA'_1]
   UNSPLITVOC:	(Als~amA')
          POS:	DET+NOUN
          VOC:	Al+samA'
        GLOSS:	the+sky/heaven

 INPUT STRING:	بلا
     IS_TRANS:	blA
        INDEX:	P9W5
      OFFSETS:	24-27
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA_1]
   UNSPLITVOC:	(balA)
          POS:	PREP
          VOC:	balA
        GLOSS:	without

 INPUT STRING:	عمد
     IS_TRANS:	Emd
        INDEX:	P9W6
      OFFSETS:	28-31
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamod_1]
   UNSPLITVOC:	(Eamod)
          POS:	NOUN
          VOC:	Eamod
        GLOSS:	columns/masts

 INPUT STRING:	اقسم
     IS_TRANS:	Aqsm
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qisim_1]
   UNSPLITVOC:	(Aaqosam)
          POS:	IV1S+IV
          VOC:	Aa+qosam
        GLOSS:	I+swear

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P10W2
      OFFSETS:	5-10
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+God/Allah

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P10W3
      OFFSETS:	11-17
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(>in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>in~+iy
        GLOSS:	that+I

 INPUT STRING:	ماكنت
     IS_TRANS:	mAknt
        INDEX:	P11W2
      OFFSETS:	4-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAknt)
          POS:	NO_FUNC
          VOC:	mAknt
        GLOSS:	nogloss

 INPUT STRING:	هادى
     IS_TRANS:	hAdY
        INDEX:	P11W3
      OFFSETS:	10-14
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(HaAad~iy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+d~iy
        GLOSS:	will+I+give

 INPUT STRING:	صوتى
     IS_TRANS:	SwtY
        INDEX:	P11W4
      OFFSETS:	15-19
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(Sawtiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Sawt+iy
        GLOSS:	voice/sound/voices/sounds+my

 INPUT STRING:	للبرادعى
     IS_TRANS:	llbrAdEY
        INDEX:	P11W5
      OFFSETS:	20-28
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAdiEiy_1]
   UNSPLITVOC:	(lilbarAdiEiy)
          POS:	PREP+DET+NOUN_PROP
          VOC:	li+Al+barAdiEiy
        GLOSS:	to/for+the+Baradei

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P11W6
      OFFSETS:	29-31
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P11W7
      OFFSETS:	32-35
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	استمر
     IS_TRANS:	Astmr
        INDEX:	P11W8
      OFFSETS:	36-41
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotamar~_1]
   UNSPLITVOC:	(Aisotamar~)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aisotamar~+(null)
        GLOSS:	continue+you

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W9
      OFFSETS:	42-44
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الترشح
     IS_TRANS:	Altr$H
        INDEX:	P11W10
      OFFSETS:	45-51
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tara$~uH_1]
   UNSPLITVOC:	(Alt~ara$~uH)
          POS:	DET+NOUN
          VOC:	Al+tara$~uH
        GLOSS:	the+infiltration/candidature

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P12W2
      OFFSETS:	4-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W3
      OFFSETS:	7-10
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	حبيت
     IS_TRANS:	Hbyt
        INDEX:	P12W4
      OFFSETS:	11-15
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(Hab~ayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Hab~+ayt
        GLOSS:	love/like+I

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P12W5
      OFFSETS:	16-20
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P12W6
      OFFSETS:	21-25
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word+[fem.sg.]

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P12W7
      OFFSETS:	26-28
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P12W8
      OFFSETS:	29-34
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(wiAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Alliy
        GLOSS:	and+that

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P12W9
      OFFSETS:	35-39
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting/needing

 INPUT STRING:	يهاجم
     IS_TRANS:	yhAjm
        INDEX:	P12W10
      OFFSETS:	40-45
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(yihAjim)
          POS:	IV3MS+IV
          VOC:	yi+hAjim
        GLOSS:	he/it+attack

 INPUT STRING:	يهاجم
     IS_TRANS:	yhAjm
        INDEX:	P12W11
      OFFSETS:	46-51
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(yihAjim)
          POS:	IV3MS+IV
          VOC:	yi+hAjim
        GLOSS:	he/it+attack

 INPUT STRING:	وشكرا
     IS_TRANS:	w$krA
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	(wi$ukorAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+$ukor+AF
        GLOSS:	and+thank you/thanks+[acc.indef.]

 INPUT STRING:	لرئيس
     IS_TRANS:	lr}ys
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(lira}iys)
          POS:	PREP+NOUN
          VOC:	li+ra}iys
        GLOSS:	for/to+president/head/chairman

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P13W3
      OFFSETS:	12-16
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P13W4
      OFFSETS:	17-22
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	المحترم
     IS_TRANS:	AlmHtrm
        INDEX:	P13W5
      OFFSETS:	23-30
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(AlmuHotaram)
          POS:	DET+ADJ
          VOC:	Al+muHotaram
        GLOSS:	the+esteemed/respected

 INPUT STRING:	اللذى
     IS_TRANS:	All*Y
        INDEX:	P13W6
      OFFSETS:	31-36
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Ail~a*iy)
          POS:	DEM_PRON
          VOC:	Ail~a*iy
        GLOSS:	that/who

 INPUT STRING:	اوقفة
     IS_TRANS:	Awqfp
        INDEX:	P13W7
      OFFSETS:	37-42
       TOKENS:	P13W9-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awqaf_1]
   UNSPLITVOC:	(>awqafuh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	>awqaf+(null)+uh
        GLOSS:	detain/make stand/be detained/be made to stand+he/it+it/him

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P13W8
      OFFSETS:	43-46
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	with

 INPUT STRING:	حدة
     IS_TRANS:	Hdp
        INDEX:	P13W9
      OFFSETS:	47-50
       TOKENS:	P13W12-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Had~_2]
   UNSPLITVOC:	(Had~hi)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Had~+hi
        GLOSS:	extent/limit/level+its/his

 INPUT STRING:	ومنعة
     IS_TRANS:	wmnEp
        INDEX:	P13W10
      OFFSETS:	51-56
       TOKENS:	P13W14-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manaE_1]
   UNSPLITVOC:	(wimanaEuh)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	wi+manaE+(null)+uh
        GLOSS:	and+prevent/forbid/be prevented/be forbidden+he/it+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W11
      OFFSETS:	57-59
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	استمرار
     IS_TRANS:	AstmrAr
        INDEX:	P13W12
      OFFSETS:	60-67
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimorAr_1]
   UNSPLITVOC:	(AisotimorAr)
          POS:	NOUN
          VOC:	AisotimorAr
        GLOSS:	continuity

 INPUT STRING:	القاء
     IS_TRANS:	AlqA'
        INDEX:	P13W13
      OFFSETS:	68-73
       TOKENS:	P13W19-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iloqA'_1]
   UNSPLITVOC:	(<iloqA')
          POS:	NOUN
          VOC:	<iloqA'
        GLOSS:	delivering/throwing/arresting

 INPUT STRING:	التهم
     IS_TRANS:	Althm
        INDEX:	P13W14
      OFFSETS:	74-79
       TOKENS:	P13W20-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuhomap_1]
   UNSPLITVOC:	(Alt~uham)
          POS:	DET+NOUN
          VOC:	Al+tuham
        GLOSS:	the+accusations/charges

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P13W15
      OFFSETS:	80-83
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P13W16
      OFFSETS:	84-90
       TOKENS:	P13W22-P13W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	المحترم
     IS_TRANS:	AlmHtrm
        INDEX:	P13W17
      OFFSETS:	91-98
       TOKENS:	P13W23-P13W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(AlmuHotaram)
          POS:	DET+ADJ
          VOC:	Al+muHotaram
        GLOSS:	the+esteemed/respected

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P14W2
      OFFSETS:	6-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
