 INPUT STRING:	ا
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	غزلان
     IS_TRANS:	gzlAn
        INDEX:	P4W4
      OFFSETS:	19-24
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gazolAn_1]
   UNSPLITVOC:	(gazolAn)
          POS:	NOUN_PROP
          VOC:	gazolAn
        GLOSS:	Ghazlan

 INPUT STRING:	عضو
     IS_TRANS:	EDw
        INDEX:	P4W5
      OFFSETS:	25-28
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDow)
          POS:	NOUN
          VOC:	EuDow
        GLOSS:	member/members

 INPUT STRING:	مكتب
     IS_TRANS:	mktb
        INDEX:	P4W6
      OFFSETS:	29-33
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(makotab)
          POS:	NOUN
          VOC:	makotab
        GLOSS:	bureau/office/department

 INPUT STRING:	الإرشاد
     IS_TRANS:	Al<r$Ad
        INDEX:	P4W7
      OFFSETS:	34-41
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iro$Ad_1]
   UNSPLITVOC:	(Al<iro$Ad)
          POS:	DET+NOUN
          VOC:	Al+<iro$Ad
        GLOSS:	the+guidance/advice/counseling/instruction

 INPUT STRING:	والمتحدث
     IS_TRANS:	wAlmtHdv
        INDEX:	P4W8
      OFFSETS:	42-50
       TOKENS:	P4W9-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaHad~iv_1]
   UNSPLITVOC:	(wiAlmutaHad~iv)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+mutaHad~iv
        GLOSS:	and+the+spokesman/speaker

 INPUT STRING:	الإعلامي
     IS_TRANS:	Al<ElAmy
        INDEX:	P4W9
      OFFSETS:	51-59
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAmiy_1]
   UNSPLITVOC:	(Al<iEolAmiy)
          POS:	DET+ADJ
          VOC:	Al+<iEolAmiy
        GLOSS:	the+media/information

 INPUT STRING:	للجماعة
     IS_TRANS:	lljmAEp
        INDEX:	P4W10
      OFFSETS:	60-67
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(liljamAEap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+jamAE+ap
        GLOSS:	for/to+the+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P4W11
      OFFSETS:	68-70
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	طرح
     IS_TRANS:	TrH
        INDEX:	P4W12
      OFFSETS:	71-74
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaroH_1]
   UNSPLITVOC:	(TaroH)
          POS:	NOUN
          VOC:	TaroH
        GLOSS:	suggestion/proposal/suggestions/proposals

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P4W13
      OFFSETS:	75-78
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisom)
          POS:	NOUN
          VOC:	Aisom
        GLOSS:	name

 INPUT STRING:	العربي
     IS_TRANS:	AlErby
        INDEX:	P4W14
      OFFSETS:	79-85
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earabiy_2]
   UNSPLITVOC:	(AlEarabiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Earabiy
        GLOSS:	the+Arabi

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P4W15
      OFFSETS:	86-91
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(HAliyAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	ربما
     IS_TRANS:	rbmA
        INDEX:	P4W16
      OFFSETS:	92-96
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rub~amA_1]
   UNSPLITVOC:	(rub~amA)
          POS:	ADV
          VOC:	rub~amA
        GLOSS:	perhaps/maybe

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P4W17
      OFFSETS:	97-101
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	بهدف
     IS_TRANS:	bhdf
        INDEX:	P4W18
      OFFSETS:	102-106
       TOKENS:	P4W21-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(bihadaf)
          POS:	PREP+NOUN
          VOC:	bi+hadaf
        GLOSS:	with/by+goal/objective/intention/goals/objectives/intentions

 INPUT STRING:	تلميعه
     IS_TRANS:	tlmyEh
        INDEX:	P4W19
      OFFSETS:	107-113
       TOKENS:	P4W23-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[talmiyE_1]
   UNSPLITVOC:	(talmiyEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	talmiyE+uh
        GLOSS:	polishing+its/his

 INPUT STRING:	إعلاميا
     IS_TRANS:	<ElAmyA
        INDEX:	P4W20
      OFFSETS:	114-121
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAmiy_1]
   UNSPLITVOC:	(<iEolAmiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	<iEolAmiy~+AF
        GLOSS:	media/information+[acc.indef.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W21
      OFFSETS:	121-122
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P4W22
      OFFSETS:	123-125
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	وضعه
     IS_TRANS:	wDEh
        INDEX:	P4W23
      OFFSETS:	126-130
       TOKENS:	P4W28-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(waDoEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	waDoE+uh
        GLOSS:	laying down/putting/placing+his/its

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W24
      OFFSETS:	131-133
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بؤرة
     IS_TRANS:	b&rp
        INDEX:	P4W25
      OFFSETS:	134-138
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bu&orap_1]
   UNSPLITVOC:	(bu&orap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bu&or+ap
        GLOSS:	center/focus/centers/foci+[fem.sg.]

 INPUT STRING:	اهتمام
     IS_TRANS:	AhtmAm
        INDEX:	P4W26
      OFFSETS:	139-145
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AihotimAm_1]
   UNSPLITVOC:	(AihotimAm)
          POS:	NOUN
          VOC:	AihotimAm
        GLOSS:	interest/concern/care/attention

 INPUT STRING:	الرأي
     IS_TRANS:	Alr>y
        INDEX:	P4W27
      OFFSETS:	146-151
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(Alr~a>oy)
          POS:	DET+NOUN
          VOC:	Al+ra>oy
        GLOSS:	the+opinion/view/idea

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P4W28
      OFFSETS:	152-157
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W29
      OFFSETS:	157-158
       TOKENS:	P4W35-P4W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأوضح
     IS_TRANS:	w>wDH
        INDEX:	P4W30
      OFFSETS:	159-164
       TOKENS:	P4W36-P4W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awDaH_1]
   UNSPLITVOC:	(wi>awDaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>awDaH+(null)
        GLOSS:	and+clarify/explain/indicate/be clarified/be explained/be indicated+he/it

 INPUT STRING:	غزلان
     IS_TRANS:	gzlAn
        INDEX:	P4W31
      OFFSETS:	165-170
       TOKENS:	P4W38-P4W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gazolAn_1]
   UNSPLITVOC:	(gazolAn)
          POS:	NOUN_PROP
          VOC:	gazolAn
        GLOSS:	Ghazlan

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W32
      OFFSETS:	173-175
       TOKENS:	P4W39-P4W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تصريح
     IS_TRANS:	tSryH
        INDEX:	P4W33
      OFFSETS:	176-181
       TOKENS:	P4W40-P4W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSoriyH_1]
   UNSPLITVOC:	(taSoriyH)
          POS:	NOUN
          VOC:	taSoriyH
        GLOSS:	declaration/statement

 INPUT STRING:	لـصحيفة
     IS_TRANS:	l_SHyfp
        INDEX:	P4W34
      OFFSETS:	182-189
       TOKENS:	P4W41-P4W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyfap_1]
   UNSPLITVOC:	(liSaHiyfap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+SaHiyf+ap
        GLOSS:	to/for+newspaper+[fem.sg.]

 INPUT STRING:	الأهرام
     IS_TRANS:	Al>hrAm
        INDEX:	P4W35
      OFFSETS:	190-197
       TOKENS:	P4W43-P4W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haram_2]
   UNSPLITVOC:	(Al>ahorAm)
          POS:	DET+NOUN_PROP
          VOC:	Al+>ahorAm
        GLOSS:	the+Ahram

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W36
      OFFSETS:	200-202
       TOKENS:	P4W44-P4W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	المرشح
     IS_TRANS:	Almr$H
        INDEX:	P4W37
      OFFSETS:	203-209
       TOKENS:	P4W45-P4W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aH)
          POS:	DET+NOUN
          VOC:	Al+mura$~aH
        GLOSS:	the+candidate/nominee

 INPUT STRING:	الرئاسي
     IS_TRANS:	Alr}Asy
        INDEX:	P4W38
      OFFSETS:	210-217
       TOKENS:	P4W46-P4W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alri}Asiy_1]
   UNSPLITVOC:	(Alri}Asiy)
          POS:	DET+ADJ
          VOC:	Al+ri}Asiy
        GLOSS:	the+presidential/executive

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P4W39
      OFFSETS:	218-222
       TOKENS:	P4W47-P4W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	who/which/whom

 INPUT STRING:	سيدعمه
     IS_TRANS:	sydEmh
        INDEX:	P4W40
      OFFSETS:	223-229
       TOKENS:	P4W48-P4W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEam_1]
   UNSPLITVOC:	(sayadEamuh)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	sa+ya+dEam+uh
        GLOSS:	will+he/it+support/strengthen+it/him

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P4W41
      OFFSETS:	230-237
       TOKENS:	P4W51-P4W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixwAn_2]
   UNSPLITVOC:	(Al<ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	سيكون
     IS_TRANS:	sykwn
        INDEX:	P4W42
      OFFSETS:	238-243
       TOKENS:	P4W52-P4W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(sayakuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W43
      OFFSETS:	244-246
       TOKENS:	P4W54-P4W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الشخصيات
     IS_TRANS:	Al$xSyAt
        INDEX:	P4W44
      OFFSETS:	247-255
       TOKENS:	P4W55-P4W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~ap_1]
   UNSPLITVOC:	(Al$~axoSiy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+$axoSiy~+At
        GLOSS:	the+identities/personalities/persons/individuals+[fem.pl.]

 INPUT STRING:	العامة
     IS_TRANS:	AlEAmp
        INDEX:	P4W45
      OFFSETS:	256-262
       TOKENS:	P4W56-P4W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlEAm_1]
   UNSPLITVOC:	(AlEAm~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAm~+ap
        GLOSS:	the+general/common/public+[fem.sg.]

 INPUT STRING:	والمعروفة
     IS_TRANS:	wAlmErwfp
        INDEX:	P4W46
      OFFSETS:	263-272
       TOKENS:	P4W57-P4W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(wiAlmaEoruwfap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wi+Al+maEoruwf+ap
        GLOSS:	and+the+known/well-known+[fem.sg.]

 INPUT STRING:	لدى
     IS_TRANS:	ldY
        INDEX:	P4W47
      OFFSETS:	273-276
       TOKENS:	P4W59-P4W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladaY)
          POS:	NOUN
          VOC:	ladaY
        GLOSS:	with/by

 INPUT STRING:	الرأي
     IS_TRANS:	Alr>y
        INDEX:	P4W48
      OFFSETS:	277-282
       TOKENS:	P4W60-P4W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(Alr~a>oy)
          POS:	DET+NOUN
          VOC:	Al+ra>oy
        GLOSS:	the+opinion/view/idea

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P4W49
      OFFSETS:	283-288
       TOKENS:	P4W61-P4W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W50
      OFFSETS:	288-289
       TOKENS:	P4W62-P4W62
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P4W51
      OFFSETS:	290-294
       TOKENS:	P4W63-P4W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosa)
          POS:	CONJ+NEG_PART
          VOC:	wa+layosa
        GLOSS:	and+not

 INPUT STRING:	وجها
     IS_TRANS:	wjhA
        INDEX:	P4W52
      OFFSETS:	295-299
       TOKENS:	P4W65-P4W65
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(wajohAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	wajoh+AF
        GLOSS:	face/front+[acc.indef.]

 INPUT STRING:	جديدا
     IS_TRANS:	jdydA
        INDEX:	P4W53
      OFFSETS:	300-305
       TOKENS:	P4W66-P4W66
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jadiyd_1]
   UNSPLITVOC:	(jadiydAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	jadiyd+AF
        GLOSS:	new/modern+[acc.indef.]

 INPUT STRING:	مغمورا
     IS_TRANS:	mgmwrA
        INDEX:	P4W54
      OFFSETS:	306-312
       TOKENS:	P4W67-P4W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[magomuwr_1]
   UNSPLITVOC:	(magomuwrAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	magomuwr+AF
        GLOSS:	unknown+[acc.indef.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W55
      OFFSETS:	312-313
       TOKENS:	P4W68-P4W68
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لأنه
     IS_TRANS:	l>nh
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(la>an~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+>an~+uh
        GLOSS:	for+that+it/he

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P5W2
      OFFSETS:	5-7
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	اعتمد
     IS_TRANS:	AEtmd
        INDEX:	P5W3
      OFFSETS:	8-13
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotamad_1]
   UNSPLITVOC:	(AiEotamad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AiEotamad+(null)
        GLOSS:	depend/rely (on)+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W4
      OFFSETS:	14-17
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أصوات
     IS_TRANS:	>SwAt
        INDEX:	P5W5
      OFFSETS:	18-23
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(>aSowAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	>aSow+At
        GLOSS:	vote/votes+[fem.pl.]

 INPUT STRING:	الجماعة
     IS_TRANS:	AljmAEp
        INDEX:	P5W6
      OFFSETS:	24-31
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(AljamAEap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jamAE+ap
        GLOSS:	the+Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	فحسب
     IS_TRANS:	fHsb
        INDEX:	P5W7
      OFFSETS:	32-36
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faHasb_1]
   UNSPLITVOC:	(faHasb)
          POS:	ADV
          VOC:	faHasb
        GLOSS:	only/that is all

 INPUT STRING:	سيخسر
     IS_TRANS:	syxsr
        INDEX:	P5W8
      OFFSETS:	37-42
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xisir_1]
   UNSPLITVOC:	(sayaxsar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+xsar
        GLOSS:	will+he/it+loose

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P5W9
      OFFSETS:	42-43
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	مضيفا
     IS_TRANS:	mDyfA
        INDEX:	P5W10
      OFFSETS:	44-49
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muDiyf_1]
   UNSPLITVOC:	(muDiyfAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	muDiyf+AF
        GLOSS:	adding+[acc.indef.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W11
      OFFSETS:	50-52
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P5W12
      OFFSETS:	53-60
