 INPUT STRING:	حكم
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	kalAm+iy
        GLOSS:	speech/statement/remark/talk/saying+my

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W9
      OFFSETS:	35-38
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	أخاف
     IS_TRANS:	>xAf
        INDEX:	P10W10
      OFFSETS:	39-43
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(AaxAf)
          POS:	IV1S+IV
          VOC:	Aa+xAf
        GLOSS:	I+fear/be afraid (of)

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P10W11
      OFFSETS:	44-46
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P10W12
      OFFSETS:	47-51
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	لومة
     IS_TRANS:	lwmp
        INDEX:	P10W13
      OFFSETS:	52-56
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawmap_1]
   UNSPLITVOC:	(lawmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lawm+ap
        GLOSS:	blame/censure+[fem.sg.]

 INPUT STRING:	لائم
     IS_TRANS:	lA}m
        INDEX:	P10W14
      OFFSETS:	57-61
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA}im_1]
   UNSPLITVOC:	(lA}im)
          POS:	NOUN
          VOC:	lA}im
        GLOSS:	critic/censurer

 INPUT STRING:	وأبقى
     IS_TRANS:	w>bqY
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(wiAiboqiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+Aiboq+iy
        GLOSS:	and+become/remain+you [fem.sg.] [verb]

 INPUT STRING:	أبحثى
     IS_TRANS:	>bHvY
        INDEX:	P11W2
      OFFSETS:	6-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHav_1]
   UNSPLITVOC:	(AiboHaviy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AiboHav+iy
        GLOSS:	discuss/search for+you [fem.sg.] [verb]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W3
      OFFSETS:	12-14
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ردود
     IS_TRANS:	rdwd
        INDEX:	P11W4
      OFFSETS:	15-19
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(ruduwd)
          POS:	NOUN
          VOC:	ruduwd
        GLOSS:	reply/response

 INPUT STRING:	عضوة
     IS_TRANS:	EDwp
        INDEX:	P11W5
      OFFSETS:	20-24
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EuDow+ap
        GLOSS:	member+[fem.sg.]

 INPUT STRING:	أخوانية
     IS_TRANS:	>xwAnyp
        INDEX:	P11W6
      OFFSETS:	25-32
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAniy_1]
   UNSPLITVOC:	(<ixowAniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<ixowAniy~+ap
        GLOSS:	ikhwanite+[fem.sg.]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P11W7
      OFFSETS:	33-37
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	ذكر
     IS_TRANS:	*kr
        INDEX:	P11W8
      OFFSETS:	38-41
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ikor_1]
   UNSPLITVOC:	(*ikor)
          POS:	NOUN
          VOC:	*ikor
        GLOSS:	mention/citation/memory

 INPUT STRING:	أسمها
     IS_TRANS:	>smhA
        INDEX:	P11W9
      OFFSETS:	42-47
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(AisomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aisom+hA
        GLOSS:	name+its/their/her

 INPUT STRING:	لأنها
     IS_TRANS:	l>nhA
        INDEX:	P11W10
      OFFSETS:	48-53
       TOKENS:	P11W13-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(li>an~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	li+>an~+hA
        GLOSS:	for+that+it/they/she

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W11
      OFFSETS:	54-56
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	موجودة
     IS_TRANS:	mwjwdp
        INDEX:	P11W12
      OFFSETS:	57-63
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P11W13
      OFFSETS:	64-69
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	something with+our

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P11W14
      OFFSETS:	70-74
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	لكنها
     IS_TRANS:	lknhA
        INDEX:	P11W15
      OFFSETS:	75-80
       TOKENS:	P11W21-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin~ahA)
          POS:	CONJ+PRON_3FS
          VOC:	lakin+hA
        GLOSS:	but+it/they/she

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P11W16
      OFFSETS:	81-85
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she [verb]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W17
      OFFSETS:	86-88
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P11W18
      OFFSETS:	89-96
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P11W19
      OFFSETS:	97-101
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	ألمحتى
     IS_TRANS:	>lmHtY
        INDEX:	P11W20
      OFFSETS:	102-108
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>alomaH_1]
   UNSPLITVOC:	(>alomaHtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	>alomaH+tiy
        GLOSS:	mention/refer+you [fem.sg.] [verb]

 INPUT STRING:	إليه
     IS_TRANS:	<lyh
        INDEX:	P11W21
      OFFSETS:	109-113
       TOKENS:	P11W28-P11W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<iliyh)
          POS:	PREP+PRON_3MS
          VOC:	<ilaY+uh
        GLOSS:	to/towards+it/him

 INPUT STRING:	وأى
     IS_TRANS:	w>Y
        INDEX:	P11W22
      OFFSETS:	114-117
       TOKENS:	P11W30-P11W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(wi>ay~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+>ay~
        GLOSS:	and+any

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P11W23
      OFFSETS:	118-123
       TOKENS:	P11W32-P11W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	أتكلم
     IS_TRANS:	>tklm
        INDEX:	P11W24
      OFFSETS:	124-129
       TOKENS:	P11W33-P11W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aatokal~im)
          POS:	IV1S+IV
          VOC:	Aa+tokal~im
        GLOSS:	I+talk/speak/discuss

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P11W25
      OFFSETS:	130-133
       TOKENS:	P11W34-P11W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P11W26
      OFFSETS:	134-138
       TOKENS:	P11W36-P11W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word/remark/speech+[fem.sg.]

 INPUT STRING:	وأنت
     IS_TRANS:	w>nt
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinoti)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainoti
        GLOSS:	and+you [fem.sg.]

 INPUT STRING:	تعرفى
     IS_TRANS:	tErfY
        INDEX:	P12W2
      OFFSETS:	5-10
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEorafiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Eoraf+iy
        GLOSS:	you [fem.sg.]+know+you [fem.sg.] [verb]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P12W3
      OFFSETS:	11-13
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اللمز
     IS_TRANS:	Allmz
        INDEX:	P12W4
      OFFSETS:	14-19
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamoz_1]
   UNSPLITVOC:	(Allamoz)
          POS:	DET+NOUN
          VOC:	Al+lamoz
        GLOSS:	the+criticizing/slandering

 INPUT STRING:	واضح
     IS_TRANS:	wADH
        INDEX:	P12W5
      OFFSETS:	20-24
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADiH)
          POS:	ADJ
          VOC:	wADiH
        GLOSS:	clear/obvious/visible

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P12W6
      OFFSETS:	25-28
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	صار
     IS_TRANS:	SAr
        INDEX:	P12W7
      OFFSETS:	29-32
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAr_1]
   UNSPLITVOC:	(SAr)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	SAr+(null)
        GLOSS:	become+he/it [verb]

 INPUT STRING:	منهج
     IS_TRANS:	mnhj
        INDEX:	P12W8
      OFFSETS:	33-37
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manohaj_1]
   UNSPLITVOC:	(manohaj)
          POS:	NOUN
          VOC:	manohaj
        GLOSS:	method/approach/program/curriculum

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P12W9
      OFFSETS:	38-41
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	with/at

 INPUT STRING:	بعضكن
     IS_TRANS:	bEDkn
        INDEX:	P12W10
      OFFSETS:	42-47
       TOKENS:	P12W12-P12W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoDikun~a)
          POS:	NOUN_QUANT+CASE_DEF_GEN+POSS_PRON_2FP
          VOC:	baEoD+i+kun~a
        GLOSS:	some, a few, little, part+[def.gen.]+your [fem.pl.]

 INPUT STRING:	امال
     IS_TRANS:	AmAl
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence/then/so

 INPUT STRING:	الدعوة
     IS_TRANS:	AldEwp
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(Ald~aEowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+daEow+ap
        GLOSS:	the+call/invitation/supplication+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P13W3
      OFFSETS:	12-14
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P13W4
      OFFSETS:	15-20
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	something with+our

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P13W5
      OFFSETS:	21-24
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P13W6
      OFFSETS:	25-26
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fi)
          POS:	TYPO
          VOC:	fi
        GLOSS:	in

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P13W7
      OFFSETS:	27-30
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	موضوعك
     IS_TRANS:	mwDwEk
        INDEX:	P13W8
      OFFSETS:	31-37
       TOKENS:	P13W9-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mawDuwE+ik
        GLOSS:	subject/theme/issue+your [fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W9
      OFFSETS:	37-38
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W10
      OFFSETS:	38-39
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P14W2
      OFFSETS:	3-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	رافض
     IS_TRANS:	rAfD
        INDEX:	P14W3
      OFFSETS:	8-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAfiD_1]
   UNSPLITVOC:	(rAfiD)
          POS:	ADJ
          VOC:	rAfiD
        GLOSS:	rejecting/refusing

 INPUT STRING:	ومتمسك
     IS_TRANS:	wmtmsk
        INDEX:	P14W4
      OFFSETS:	13-19
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutamas~ik_1]
   UNSPLITVOC:	(wimutamas~ik)
          POS:	CONJ+ADJ.VN
          VOC:	wi+mutamas~ik
        GLOSS:	and+adhering/tenacious

 INPUT STRING:	بالقصاص
     IS_TRANS:	bAlqSAS
        INDEX:	P14W5
      OFFSETS:	20-27
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaSAS_1]
   UNSPLITVOC:	(biAlqaSAS)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+qaSAS
        GLOSS:	with/by+the+reprisal/retaliation/punishment

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P14W6
      OFFSETS:	28-31
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	وابنه
     IS_TRANS:	wAbnh
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(wiAibonuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+Aibon+uh
        GLOSS:	and+son+his/its

 INPUT STRING:	بيموت
     IS_TRANS:	bymwt
        INDEX:	P15W2
      OFFSETS:	6-11
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(biyimuwt)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+muwt
        GLOSS:	[present-tense]+he/it+die/pass away

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P15W3
      OFFSETS:	12-18
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	رفض
     IS_TRANS:	rfD
        INDEX:	P15W4
      OFFSETS:	19-22
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaD_1]
   UNSPLITVOC:	(rafaD)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rafaD+(null)
        GLOSS:	reject/refuse+he/it [verb]

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P15W5
      OFFSETS:	23-27
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P15W6
      OFFSETS:	28-30
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

