 INPUT STRING:	المستشار
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	OK

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P7W2
      OFFSETS:	4-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P7W3
      OFFSETS:	8-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P7W4
      OFFSETS:	12-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	لازمتها
     IS_TRANS:	lAzmthA
        INDEX:	P7W5
      OFFSETS:	16-23
       TOKENS:	P7W5-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzomithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	lAzom+ap+hA
        GLOSS:	necessary/required/needed+[fem.sg.]+its/their/her

 INPUT STRING:	فنجرة
     IS_TRANS:	fnjrp
        INDEX:	P7W6
      OFFSETS:	24-29
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fanojarap_1]
   UNSPLITVOC:	(fanojarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fanojar+ap
        GLOSS:	glaring/staring+[fem.sg.]

 INPUT STRING:	البؤ
     IS_TRANS:	Alb&
        INDEX:	P7W7
      OFFSETS:	30-34
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buq~_1]
   UNSPLITVOC:	(Albu&~)
          POS:	DET+NOUN
          VOC:	Al+buq~
        GLOSS:	the+mouth

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P7W8
      OFFSETS:	35-37
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	تحية
     IS_TRANS:	tHyp
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	taHiy~+ap
        GLOSS:	greeting/salute+[fem.sg.]

 INPUT STRING:	منى
     IS_TRANS:	mnY
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	لهؤلاء
     IS_TRANS:	lh&lA'
        INDEX:	P8W3
      OFFSETS:	9-15
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(lih`&ulA'i)
          POS:	PREP+DEM_PRON_P
          VOC:	li+h`&ulA'i
        GLOSS:	for/to+these

 INPUT STRING:	القضاة
     IS_TRANS:	AlqDAp
        INDEX:	P8W4
      OFFSETS:	16-22
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(AlquDAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quDA+ap
        GLOSS:	the+judges/magistrates+[fem.sg.]

 INPUT STRING:	الشرفاء
     IS_TRANS:	Al$rfA'
        INDEX:	P8W5
      OFFSETS:	23-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyf_1]
   UNSPLITVOC:	(Al$~urafA')
          POS:	DET+ADJ
          VOC:	Al+$urafA'
        GLOSS:	the+noble/honorable/respectable

 INPUT STRING:	اللذين
     IS_TRANS:	All*yn
        INDEX:	P8W6
      OFFSETS:	31-37
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(All~a*iyna)
          POS:	REL_PRON
          VOC:	All~a*iyna
        GLOSS:	which/who/whom [pl.]

 INPUT STRING:	رفضوا
     IS_TRANS:	rfDwA
        INDEX:	P8W7
      OFFSETS:	38-43
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaD_1]
   UNSPLITVOC:	(rafaDuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	rafaD+uwA
        GLOSS:	reject/refuse/be rejected/be refused+they

 INPUT STRING:	تلقى
     IS_TRANS:	tlqY
        INDEX:	P8W8
      OFFSETS:	44-48
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[talaq~iy_1]
   UNSPLITVOC:	(talaq~iy)
          POS:	NOUN
          VOC:	talaq~iy
        GLOSS:	receiving/receipt/acquisition

 INPUT STRING:	اوامر
     IS_TRANS:	AwAmr
        INDEX:	P8W9
      OFFSETS:	49-54
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>awAmir)
          POS:	NOUN
          VOC:	>awAmir
        GLOSS:	orders/commands

 INPUT STRING:	الخزى
     IS_TRANS:	AlxzY
        INDEX:	P8W10
      OFFSETS:	55-60
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xizy_1]
   UNSPLITVOC:	(Alxizy)
          POS:	DET+NOUN
          VOC:	Al+xizy
        GLOSS:	the+shame/disgrace

 INPUT STRING:	والعار
     IS_TRANS:	wAlEAr
        INDEX:	P8W11
      OFFSETS:	61-67
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAr_1]
   UNSPLITVOC:	(wiAlEAr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+EAr
        GLOSS:	and+the+shame/disgrace/infamy

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P9W1
      OFFSETS:	0-7
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	يتحاكمواااااااااااا
     IS_TRANS:	ytHAkmwAAAAAAAAAAAA
        INDEX:	P9W2
      OFFSETS:	8-27
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitHAkam_1]
   UNSPLITVOC:	(yitHAkmuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+tHAkm+uwA
        GLOSS:	they (people)+litigate/appeal+[pl.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P10W2
      OFFSETS:	5-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	يتسمحلهم
     IS_TRANS:	ytsmHlhm
        INDEX:	P10W3
      OFFSETS:	9-17
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ytsmHlhm)
          POS:	NO_FUNC
          VOC:	ytsmHlhm
        GLOSS:	nogloss

 INPUT STRING:	بالسفرر
     IS_TRANS:	bAlsfrr
        INDEX:	P10W4
      OFFSETS:	18-25
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(biAls~afar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+safar
        GLOSS:	with/by+the+travel

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W5
      OFFSETS:	25-26
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W6
      OFFSETS:	26-27
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	سيادة
     IS_TRANS:	syAdp
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAdap_1]
   UNSPLITVOC:	(siyAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAd+ap
        GLOSS:	sovereignty/supremacy+[fem.sg.]

 INPUT STRING:	قانون
     IS_TRANS:	qAnwn
        INDEX:	P11W2
      OFFSETS:	6-11
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(qAnuwn)
          POS:	NOUN
          VOC:	qAnuwn
        GLOSS:	law/statutes/regulations

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W3
      OFFSETS:	12-15
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	يمشي
     IS_TRANS:	ym$y
        INDEX:	P11W4
      OFFSETS:	16-20
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$aY_1]
   UNSPLITVOC:	(yimo$iy)
          POS:	IV3MS+IV
          VOC:	yi+mo$iy
        GLOSS:	he/it+make walk/adjust/be made to walk

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P11W5
      OFFSETS:	21-24
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuwq_1]
   UNSPLITVOC:	(fuwq)
          POS:	NOUN
          VOC:	fuwq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P11W6
      OFFSETS:	25-29
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN
          VOC:	Al+kul~
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	واولهم
     IS_TRANS:	wAwlhm
        INDEX:	P11W7
      OFFSETS:	30-36
       TOKENS:	P11W7-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(wi>aw~alhum)
          POS:	CONJ+ADJ_NUM+POSS_PRON_3P
          VOC:	wi+>aw~al+hum
        GLOSS:	and+first+their

 INPUT STRING:	الامريكان
     IS_TRANS:	AlAmrykAn
        INDEX:	P11W8
      OFFSETS:	37-46
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(Al>amoriykAn)
          POS:	DET+ADJ
          VOC:	Al+>amoriykAn
        GLOSS:	the+American

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W9
      OFFSETS:	46-47
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W10
      OFFSETS:	47-48
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P12W1
      OFFSETS:	0-2
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ماتحاكموش
     IS_TRANS:	mAtHAkmw$
        INDEX:	P12W2
      OFFSETS:	3-12
       TOKENS:	P12W2-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAkam_1]
   UNSPLITVOC:	(mAtHAkmuw$)
          POS:	NEG_PART+IV3P+IV_PASS+IVSUFF_SUBJ:P+NEG_PART
          VOC:	mA+t+HAkm+uw+$
        GLOSS:	not+they (people)+be prosecuted/be arraigned+[pl.]+nogloss

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P12W3
      OFFSETS:	13-17
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain/last

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P12W4
      OFFSETS:	18-24
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P12W5
      OFFSETS:	25-32
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P12W6
      OFFSETS:	33-37
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting/needing

 INPUT STRING:	يتفجر
     IS_TRANS:	ytfjr
        INDEX:	P12W7
      OFFSETS:	38-43
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faj~ar_1]
   UNSPLITVOC:	(yitfaj~ar)
          POS:	IV3MS+IV_PASS
          VOC:	yi+tfaj~ar
        GLOSS:	he/it+be exploded/be erupted

 INPUT STRING:	برافو
     IS_TRANS:	brAfw
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brAfw)
          POS:	FOREIGN
          VOC:	brAfw
        GLOSS:	nogloss

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P13W3
      OFFSETS:	12-17
       TOKENS:	P13W4-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+rab~+nA
        GLOSS:	and+lord/master+our

 INPUT STRING:	ينتقم
     IS_TRANS:	yntqm
        INDEX:	P13W4
      OFFSETS:	18-23
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqam_1]
   UNSPLITVOC:	(yinotiqim)
          POS:	IV3MS+IV
          VOC:	yi+notiqim
        GLOSS:	he/it+retaliate/take revenge/avenge

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W5
      OFFSETS:	24-26
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الظالم
     IS_TRANS:	AlZAlm
        INDEX:	P13W6
      OFFSETS:	27-33
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAlim_1]
   UNSPLITVOC:	(AlZ~Alim)
          POS:	DET+NOUN
          VOC:	Al+ZAlim
        GLOSS:	the+oppressor/tyrant/oppressors/tyrants

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	ياعنى
     IS_TRANS:	yAEnY
        INDEX:	P14W2
      OFFSETS:	3-8
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yAEniy)
          POS:	IV3MS+IV
          VOC:	ya+Eniy
        GLOSS:	he/it+mean/signify

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P14W3
      OFFSETS:	9-14
       TOKENS:	P14W3-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mAfiy$)
          POS:	NEG_PART+PREP+NEG_PART
          VOC:	mA+fiy+$
        GLOSS:	not+in+not

 INPUT STRING:	فايدة
     IS_TRANS:	fAydp
        INDEX:	P14W4
      OFFSETS:	15-20
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAyodap_1]
   UNSPLITVOC:	(fAyodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fAyod+ap
        GLOSS:	benefit/use+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P14W5
      OFFSETS:	21-23
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هاينضفوا
     IS_TRANS:	hAynDfwA
        INDEX:	P14W6
      OFFSETS:	24-32
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naD~af_1]
   UNSPLITVOC:	(HayinaD~afuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+naD~af+uwA
        GLOSS:	will+they (people)+become clean/become neat+[pl.]

 INPUT STRING:	بقة
     IS_TRANS:	bqp
        INDEX:	P14W7
      OFFSETS:	33-36
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqap_]
   UNSPLITVOC:	(baqap)
          POS:	ADV
          VOC:	baqap
        GLOSS:	so, then

 INPUT STRING:	اقسم
     IS_TRANS:	Aqsm
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qisim_1]
   UNSPLITVOC:	(Aaqosam)
          POS:	IV1S+IV
          VOC:	Aa+qosam
        GLOSS:	I+take an oath/swear

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P15W2
      OFFSETS:	5-10
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P15W3
      OFFSETS:	11-17
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P15W4
      OFFSETS:	18-21
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I [verb]

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P15W5
      OFFSETS:	22-27
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	وواضحه
     IS_TRANS:	wwADHh
        INDEX:	P15W6
      OFFSETS:	28-34
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wiwADoHap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+wADoH+ap
        GLOSS:	and+clear/obvious/visible+[fem.sg.]

 INPUT STRING:	وضوح
     IS_TRANS:	wDwH
        INDEX:	P15W7
      OFFSETS:	35-39
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuDuwH_1]
   UNSPLITVOC:	(wuDuwH)
          POS:	NOUN
          VOC:	wuDuwH
