 INPUT STRING:	سأنتخب

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P21W7
      OFFSETS:	29-32
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الأسئلة
     IS_TRANS:	Al>s}lp
        INDEX:	P21W8
      OFFSETS:	33-40
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Al>aso}ilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>aso}il+ap
        GLOSS:	the+question/inquiry+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+that

 INPUT STRING:	نستفيد
     IS_TRANS:	nstfyd
        INDEX:	P22W2
      OFFSETS:	6-12
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotafAd_1]
   UNSPLITVOC:	(nisotafiyd)
          POS:	IV1P+IV
          VOC:	ni+sotafiyd
        GLOSS:	we+benefit form

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P22W3
      OFFSETS:	13-15
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P22W4
      OFFSETS:	16-23
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	ونتعلم
     IS_TRANS:	wntElm
        INDEX:	P22W5
      OFFSETS:	24-30
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEal~im_1]
   UNSPLITVOC:	(winitoEal~im)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+toEal~im
        GLOSS:	and+we+study/learn

 INPUT STRING:	الردود
     IS_TRANS:	Alrdwd
        INDEX:	P22W6
      OFFSETS:	31-37
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(Alr~uduwd)
          POS:	DET+NOUN
          VOC:	Al+ruduwd
        GLOSS:	the+reply/response

 INPUT STRING:	المنطقية
     IS_TRANS:	AlmnTqyp
        INDEX:	P22W7
      OFFSETS:	38-46
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqiy_1]
   UNSPLITVOC:	(AlmanoTiqiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+manoTiqiy~+ap
        GLOSS:	the+logical+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P22W8
      OFFSETS:	46-47
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	معقول
     IS_TRANS:	mEqwl
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoquwl_1]
   UNSPLITVOC:	(maEoquwl)
          POS:	ADJ
          VOC:	maEoquwl
        GLOSS:	plausible/logical/reasonable

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P23W2
      OFFSETS:	6-9
       TOKENS:	P23W2-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ak)
          POS:	SUB_CONJ+PRON_2MS
          VOC:	<in~+ak
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly+gloss

 INPUT STRING:	تنكر
     IS_TRANS:	tnkr
        INDEX:	P23W3
      OFFSETS:	10-14
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nakar_1]
   UNSPLITVOC:	(tinokir)
          POS:	IV2MS+IV
          VOC:	ti+nokir
        GLOSS:	you+deny/refuse

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P23W4
      OFFSETS:	15-17
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	That, to

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P23W5
      OFFSETS:	18-21
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P23W6
      OFFSETS:	22-27
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P23W7
      OFFSETS:	28-31
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	سلفى
     IS_TRANS:	slfY
        INDEX:	P23W8
      OFFSETS:	32-36
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(salafiy)
          POS:	ADJ
          VOC:	salafiy
        GLOSS:	Salafi/Salafist

 INPUT STRING:	بتمويل
     IS_TRANS:	btmwyl
        INDEX:	P23W9
      OFFSETS:	37-43
       TOKENS:	P23W10-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(bitamowiyl)
          POS:	PREP+NOUN
          VOC:	bi+tamowiyl
        GLOSS:	with/by+financing/funding/backing

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W10
      OFFSETS:	44-46
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السلفيين
     IS_TRANS:	Alslfyyn
        INDEX:	P23W11
      OFFSETS:	47-55
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(Als~alafiy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+salafiy~+iyn
        GLOSS:	the+Salafi/Salafist+[masc.pl.]

 INPUT STRING:	وشيوخهم
     IS_TRANS:	w$ywxhm
        INDEX:	P23W12
      OFFSETS:	56-63
       TOKENS:	P23W14-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iyx_1]
   UNSPLITVOC:	(wa$uyuwxhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wa+$uyuwx+hum
        GLOSS:	and+Sheikhs/chieftains+their

 INPUT STRING:	ونابع
     IS_TRANS:	wnAbE
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAbiE_1]
   UNSPLITVOC:	(winAbiE)
          POS:	CONJ+ADJ.VN
          VOC:	wi+nAbiE
        GLOSS:	and+stem

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P24W2
      OFFSETS:	6-10
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them [masc.pl.]

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P24W3
      OFFSETS:	11-14
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hum_1]
   UNSPLITVOC:	(wahum)
          POS:	CONJ+PRON_3P
          VOC:	wa+hum
        GLOSS:	and+they [masc.pl]

 INPUT STRING:	يؤيدوه
     IS_TRANS:	y&ydwh
        INDEX:	P24W4
      OFFSETS:	15-21
       TOKENS:	P24W7-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~id_1]
   UNSPLITVOC:	(yu&ay~iduwh)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	yu+&ay~id+uwA+uh
        GLOSS:	they+approve of/endorse/assist/support+we+it/him

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	اخى
     IS_TRANS:	AxY
        INDEX:	P25W2
      OFFSETS:	3-6
       TOKENS:	P25W2-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax_1]
   UNSPLITVOC:	(>axiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>ax+iy
        GLOSS:	brother/brothers+my

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P25W3
      OFFSETS:	7-9
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	تعتقد
     IS_TRANS:	tEtqd
        INDEX:	P25W4
      OFFSETS:	10-15
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(tiEotiqid)
          POS:	IV2MS+IV
          VOC:	ti+Eotiqid
        GLOSS:	you+believe

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P25W5
      OFFSETS:	16-20
       TOKENS:	P25W6-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	مغيبين
     IS_TRANS:	mgybyn
        INDEX:	P25W6
      OFFSETS:	21-27
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mugay~ab_1]
   UNSPLITVOC:	(mugay~abiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mugay~ab+iyn
        GLOSS:	concealed/hidden+[masc.pl.]

 INPUT STRING:	للدرجة
     IS_TRANS:	lldrjp
        INDEX:	P25W7
      OFFSETS:	28-34
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(lild~arajap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+daraj+ap
        GLOSS:	for/to+the+degree/class/rank/grade/level/degrees/classes/ranks/grades/levels+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P25W8
      OFFSETS:	35-37
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	تنكر
     IS_TRANS:	tnkr
        INDEX:	P26W2
      OFFSETS:	3-7
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nakar_1]
   UNSPLITVOC:	(tinokir)
          POS:	IV2MS+IV
          VOC:	ti+nokir
        GLOSS:	you+deny/refuse

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P26W3
      OFFSETS:	8-12
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	الشمس
     IS_TRANS:	Al$ms
        INDEX:	P26W4
      OFFSETS:	13-18
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amos_1]
   UNSPLITVOC:	(Al$~amos)
          POS:	DET+NOUN
          VOC:	Al+$amos
        GLOSS:	the+Sun

 INPUT STRING:	براحتك
     IS_TRANS:	brAHtk
        INDEX:	P27W1
      OFFSETS:	0-6
       TOKENS:	P27W1-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAHap_1]
   UNSPLITVOC:	(birAHtak)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	bi+rAH+ap+ak
        GLOSS:	with/by+rest/repose/leisure+[fem.sg.]+your

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P27W2
      OFFSETS:	7-9
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	كلامك
     IS_TRANS:	klAmk
        INDEX:	P27W3
      OFFSETS:	10-15
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	kalAm+ak
        GLOSS:	speech/statement/remark/talk/saying+your

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P27W4
      OFFSETS:	16-18
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	ينطلى
     IS_TRANS:	ynTlY
        INDEX:	P27W5
      OFFSETS:	19-24
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inoTalay_1]
   UNSPLITVOC:	(yanoTaliy)
          POS:	IV3MS+IV
          VOC:	ya+noTaliy
        GLOSS:	he/it+be deceived

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P27W6
      OFFSETS:	25-28
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طفل
     IS_TRANS:	Tfl
        INDEX:	P27W7
      OFFSETS:	29-32
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(Tifol)
          POS:	NOUN
          VOC:	Tifol
        GLOSS:	child/boy/child/girl/children/infants

 INPUT STRING:	رضيع
     IS_TRANS:	rDyE
        INDEX:	P27W8
      OFFSETS:	33-37
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raDiyE_1]
   UNSPLITVOC:	(raDiyE)
          POS:	ADJ
          VOC:	raDiyE
        GLOSS:	breast-feeding infant/

 INPUT STRING:	الحقيق
     IS_TRANS:	AlHqyq
        INDEX:	P28W1
      OFFSETS:	0-6
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyq_1]
   UNSPLITVOC:	(AlHaqiyq)
          POS:	DET+NOUN
          VOC:	Al+Haqiyq
        GLOSS:	the+real

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P28W2
      OFFSETS:	7-10
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P28W3
      OFFSETS:	11-16
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P28W4
      OFFSETS:	17-19
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P28W5
      OFFSETS:	20-23
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party

 INPUT STRING:	سلفى
     IS_TRANS:	slfY
        INDEX:	P28W6
      OFFSETS:	24-28
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(salafiy)
          POS:	ADJ
          VOC:	salafiy
        GLOSS:	Salafi/Salafist

 INPUT STRING:	نابع
     IS_TRANS:	nAbE
        INDEX:	P28W7
      OFFSETS:	29-33
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAbiE_1]
   UNSPLITVOC:	(nAbiE)
          POS:	NOUN.VN
          VOC:	nAbiE
        GLOSS:	stem

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W8
      OFFSETS:	34-36
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفكر
     IS_TRANS:	Alfkr
        INDEX:	P28W9
      OFFSETS:	37-42
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikor_1]
   UNSPLITVOC:	(Alfikor)
          POS:	DET+NOUN
          VOC:	Al+fikor
        GLOSS:	the+thought/thinking/thoughts/ideas/concepts

 INPUT STRING:	السلفى
     IS_TRANS:	AlslfY
        INDEX:	P28W10
      OFFSETS:	43-49
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(Als~alafiy)
          POS:	DET+ADJ
          VOC:	Al+salafiy
        GLOSS:	the+Salafist/Salafi

 INPUT STRING:	بتمويل
     IS_TRANS:	btmwyl
        INDEX:	P28W11
      OFFSETS:	50-56
       TOKENS:	P28W11-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(bitamowiyl)
          POS:	PREP+NOUN
          VOC:	bi+tamowiyl
        GLOSS:	with/by+financing/funding/backing

 INPUT STRING:	الحركة
     IS_TRANS:	AlHrkp
        INDEX:	P28W12
      OFFSETS:	57-63
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(AlHarakap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Harak+ap
        GLOSS:	the+movement/activity/organization+[fem.sg.]

 INPUT STRING:	السلفية
     IS_TRANS:	Alslfyp
        INDEX:	P28W13
      OFFSETS:	64-71
       TOKENS:	P28W14-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alsalafiy~_1]
   UNSPLITVOC:	(Alsalafiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+salafiy~+ap
        GLOSS:	the+Salafi/Salafist+[fem.sg.]

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P28W14
      OFFSETS:	72-75
       TOKENS:	P28W15-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	اعضاؤه
     IS_TRANS:	AEDA&h
        INDEX:	P28W15
      OFFSETS:	76-82
       TOKENS:	P28W17-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eudow_1]
   UNSPLITVOC:	(>aEoDA&uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aEoDA&+uh
        GLOSS:	members+its/his

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W16
      OFFSETS:	83-85
       TOKENS:	P28W19-P28W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اتباع
     IS_TRANS:	AtbAE
        INDEX:	P28W17
      OFFSETS:	86-91
       TOKENS:	P28W20-P28W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(>atobAE)
          POS:	NOUN
          VOC:	>atobAE
        GLOSS:	followers/partisans

 INPUT STRING:	الشيوخ
     IS_TRANS:	Al$ywx
        INDEX:	P28W18
      OFFSETS:	92-98
       TOKENS:	P28W21-P28W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iyox_1]
   UNSPLITVOC:	(Al$uyuwx)
          POS:	DET+NOUN
          VOC:	Al+$uyuwx
        GLOSS:	the+Sheikh/elderly woman/chieftains/chieftain/sheik/senators

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W2
