 INPUT STRING:	زواج
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	وظيفة
     IS_TRANS:	wZyfp
        INDEX:	P3W9
      OFFSETS:	44-49
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waZiyfap_1]
   UNSPLITVOC:	(waZiyfap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	waZiyf+ap
        GLOSS:	job/position/function+[fem.sg.]

 INPUT STRING:	بمؤهله
     IS_TRANS:	bm&hlh
        INDEX:	P3W10
      OFFSETS:	50-56
       TOKENS:	P3W13-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu&ah~il_1]
   UNSPLITVOC:	(bim&h_luh)
          POS:	PREP+NOUN+PREP+PRON_3MS
          VOC:	bi+m&h+li+uh
        GLOSS:	with/by+qualification+to/for+him

 INPUT STRING:	الجامعي
     IS_TRANS:	AljAmEy
        INDEX:	P3W11
      OFFSETS:	57-64
       TOKENS:	P3W17-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmiEiy_1]
   UNSPLITVOC:	(AljAmiEiy)
          POS:	DET+ADJ
          VOC:	Al+jAmiEiy
        GLOSS:	the+university

 INPUT STRING:	سيحصل
     IS_TRANS:	syHSl
        INDEX:	P3W12
      OFFSETS:	65-70
       TOKENS:	P3W18-P3W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(syHSl)
          POS:	NO_FUNC
          VOC:	syHSl
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W13
      OFFSETS:	71-74
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مبلغ
     IS_TRANS:	mblg
        INDEX:	P3W14
      OFFSETS:	75-79
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabolag_1]
   UNSPLITVOC:	(mabolag)
          POS:	NOUN
          VOC:	mabolag
        GLOSS:	amount/sum

 INPUT STRING:	معقول
     IS_TRANS:	mEqwl
        INDEX:	P3W15
      OFFSETS:	80-85
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoquwl_1]
   UNSPLITVOC:	(maEoquwl)
          POS:	ADJ
          VOC:	maEoquwl
        GLOSS:	plausible/logical/reasonable

 INPUT STRING:	ومصروف
     IS_TRANS:	wmSrwf
        INDEX:	P3W16
      OFFSETS:	86-92
       TOKENS:	P3W22-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoruwf_1]
   UNSPLITVOC:	(wamaSoruwf)
          POS:	PREP+NOUN
          VOC:	wa+maSoruwf
        GLOSS:	with+expenditure/expense/allowance

 INPUT STRING:	جيب
     IS_TRANS:	jyb
        INDEX:	P3W17
      OFFSETS:	93-96
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jayb_1]
   UNSPLITVOC:	(jayb)
          POS:	NOUN
          VOC:	jayb
        GLOSS:	pocket/purse/sine/pockets/cavities

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P3W18
      OFFSETS:	97-100
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	سيئاً
     IS_TRANS:	sy}AF
        INDEX:	P3W19
      OFFSETS:	101-106
       TOKENS:	P3W26-P3W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[say~i}_1]
   UNSPLITVOC:	(sy}AF)
          POS:	ADJ
          VOC:	sy}AF
        GLOSS:	bad

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W20
      OFFSETS:	107-109
       TOKENS:	P3W27-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P3W21
      OFFSETS:	110-112
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~)
          POS:	NOUN
          VOC:	Zil~
        GLOSS:	patronage/shelter/shade/auspices/shelter

 INPUT STRING:	ظروفه
     IS_TRANS:	Zrwfh
        INDEX:	P3W22
      OFFSETS:	113-118
       TOKENS:	P3W29-P3W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(Zuruwfuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Zuruwf+uh
        GLOSS:	circumstance/condition/situation/circumstances/condition/situation+his/its

 INPUT STRING:	المادية
     IS_TRANS:	AlmAdyp
        INDEX:	P3W23
      OFFSETS:	119-126
       TOKENS:	P3W31-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAd~iy_1]
   UNSPLITVOC:	(AlmAd~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mAd~iy~+ap
        GLOSS:	the+material/physical+[fem.sg.]

 INPUT STRING:	المتردية
     IS_TRANS:	Almtrdyp
        INDEX:	P3W24
      OFFSETS:	127-135
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutarad~iy_1]
   UNSPLITVOC:	(Almutarad~iyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mutarad~iy+ap
        GLOSS:	the+deteriorating/worsened+[fem.sg.]

 INPUT STRING:	وزوجة
     IS_TRANS:	wzwjp
        INDEX:	P3W25
      OFFSETS:	136-141
       TOKENS:	P3W33-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawjap_1]
   UNSPLITVOC:	(wizawjap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+zawj+ap
        GLOSS:	and+wife/wives+[fem.sg.]

 INPUT STRING:	عزيزة
     IS_TRANS:	Ezyzp
        INDEX:	P3W26
      OFFSETS:	142-147
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaziyz_1]
   UNSPLITVOC:	(Eaziyzap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eaziyz+ap
        GLOSS:	dear/precious+[fem.sg.]

 INPUT STRING:	المنال
     IS_TRANS:	AlmnAl
        INDEX:	P3W27
      OFFSETS:	148-154
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manAl_1]
   UNSPLITVOC:	(AlmanAl)
          POS:	DET+NOUN
          VOC:	Al+manAl
        GLOSS:	the+attainment/acquiring/obtaining

 INPUT STRING:	ربما
     IS_TRANS:	rbmA
        INDEX:	P3W28
      OFFSETS:	155-159
       TOKENS:	P3W37-P3W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rub~amA_1]
   UNSPLITVOC:	(rub~amA)
          POS:	ADV
          VOC:	rub~amA
        GLOSS:	perhaps/maybe

 INPUT STRING:	توافق
     IS_TRANS:	twAfq
        INDEX:	P3W29
      OFFSETS:	160-165
       TOKENS:	P3W38-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAfiq_1]
   UNSPLITVOC:	(tiwAfiq)
          POS:	IV2MS+IV
          VOC:	ti+wAfiq
        GLOSS:	you+accept/agree

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W30
      OFFSETS:	166-169
       TOKENS:	P3W39-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الاستمرار
     IS_TRANS:	AlAstmrAr
        INDEX:	P3W31
      OFFSETS:	170-179
       TOKENS:	P3W40-P3W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimorAr_1]
   UNSPLITVOC:	(AlAisotimorAr)
          POS:	DET+NOUN
          VOC:	Al+AisotimorAr
        GLOSS:	the+continuation/continuity

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W32
      OFFSETS:	180-182
       TOKENS:	P3W41-P3W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العيش
     IS_TRANS:	AlEy$
        INDEX:	P3W33
      OFFSETS:	183-188
       TOKENS:	P3W42-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay$_1]
   UNSPLITVOC:	(AlEay$)
          POS:	DET+NOUN
          VOC:	Al+Eay$
        GLOSS:	the+life/living

 INPUT STRING:	معه
     IS_TRANS:	mEh
        INDEX:	P3W34
      OFFSETS:	189-192
       TOKENS:	P3W43-P3W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	with/at+his/its

 INPUT STRING:	والإنفاق
     IS_TRANS:	wAl<nfAq
        INDEX:	P3W35
      OFFSETS:	193-201
       TOKENS:	P3W45-P3W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inofAq_1]
   UNSPLITVOC:	(wiAl<inofAq)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+<inofAq
        GLOSS:	and+the+expenditure/disbursement/expenses

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P3W36
      OFFSETS:	202-206
       TOKENS:	P3W47-P3W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W37
      OFFSETS:	206-207
       TOKENS:	P3W49-P3W49
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W38
      OFFSETS:	207-208
       TOKENS:	P3W50-P3W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وبالتالي
     IS_TRANS:	wbAltAly
        INDEX:	P4W1
      OFFSETS:	1-9
       TOKENS:	P4W1-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAliy_1]
   UNSPLITVOC:	(wibiAltAliy)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+bi+Al+tAliy
        GLOSS:	and+with/by+the+therefore/consequently

 INPUT STRING:	أصبح
     IS_TRANS:	>SbH
        INDEX:	P4W2
      OFFSETS:	10-14
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(>aSobaH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aSobaH+(null)
        GLOSS:	become/begin/start+he/it

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P4W3
      OFFSETS:	15-21
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W4
      OFFSETS:	22-24
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أجنبية
     IS_TRANS:	>jnbyp
        INDEX:	P4W5
      OFFSETS:	25-31
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajonabiy~ap_1]
   UNSPLITVOC:	(>ajonabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>ajonabiy~+ap
        GLOSS:	foreigner+[fem.sg.]

 INPUT STRING:	فرصة
     IS_TRANS:	frSp
        INDEX:	P4W6
      OFFSETS:	32-36
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(furoSap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	furoS+ap
        GLOSS:	opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P4W7
      OFFSETS:	37-42
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	big+[fem.sg.]

 INPUT STRING:	للهروب
     IS_TRANS:	llhrwb
        INDEX:	P4W8
      OFFSETS:	43-49
       TOKENS:	P4W10-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huruwb_1]
   UNSPLITVOC:	(lilhuruwb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+huruwb
        GLOSS:	for/to+the+escape/fleeing

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W9
      OFFSETS:	50-52
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المشاكل
     IS_TRANS:	Alm$Akl
        INDEX:	P4W10
      OFFSETS:	53-60
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Alma$Akil)
          POS:	DET+NOUN
          VOC:	Al+ma$Akil
        GLOSS:	the+problem/issue

 INPUT STRING:	الاقتصادية
     IS_TRANS:	AlAqtSAdyp
        INDEX:	P4W11
      OFFSETS:	61-71
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotiSAdiy_1]
   UNSPLITVOC:	(AlAiqotiSAdiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AiqotiSAdiy~+ap
        GLOSS:	the+economic/economical+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P4W12
      OFFSETS:	72-76
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	تواجه
     IS_TRANS:	twAjh
        INDEX:	P4W13
      OFFSETS:	77-82
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAjih_1]
   UNSPLITVOC:	(tiwAjih)
          POS:	IV3FS+IV
          VOC:	ti+wAjih
        GLOSS:	it/they/she+encounter/confront

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P4W14
      OFFSETS:	83-89
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abAb_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+Jeunesse

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P4W15
      OFFSETS:	90-95
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy~_1]
   UNSPLITVOC:	(HAliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy~+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W16
      OFFSETS:	95-96
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W1
      OFFSETS:	1-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	الظاهرة
     IS_TRANS:	AlZAhrp
        INDEX:	P5W2
      OFFSETS:	4-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAhirap_1]
   UNSPLITVOC:	(AlZ~Ahirap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ZAhir+ap
        GLOSS:	the+phenomenon/phenomena+[fem.sg.]

 INPUT STRING:	تدفع
     IS_TRANS:	tdfE
        INDEX:	P5W3
      OFFSETS:	12-16
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(tidofaE)
          POS:	IV3FS+IV
          VOC:	ti+dofaE
        GLOSS:	it/they/she+push/motivate/pay/be pushed/be motivated/be paid

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P5W4
      OFFSETS:	17-23
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abAb_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+Jeunesse

 INPUT STRING:	لهجرة
     IS_TRANS:	lhjrp
        INDEX:	P5W5
      OFFSETS:	24-29
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hijorap_1]
   UNSPLITVOC:	(lihijorap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+hijor+ap
        GLOSS:	for/to+immigration+[fem.sg.]

 INPUT STRING:	وطنه
     IS_TRANS:	wTnh
        INDEX:	P5W6
      OFFSETS:	30-34
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(waTanhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	waTan+hu
        GLOSS:	nation/homeland+its/his

 INPUT STRING:	جسديا
     IS_TRANS:	jsdyA
        INDEX:	P5W7
      OFFSETS:	35-40
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jasadiy~_1]
   UNSPLITVOC:	(jasadiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	jasadiy~+AF
        GLOSS:	bodily+[acc.indef.]

 INPUT STRING:	ومعنويا
     IS_TRANS:	wmEnwyA
        INDEX:	P5W8
      OFFSETS:	41-48
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEonawiy~_1]
   UNSPLITVOC:	(wamaEonawiy~AF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wa+maEonawiy~+AF
        GLOSS:	and+moral/spiritual+[acc.indef.]

 INPUT STRING:	وانتماء
     IS_TRANS:	wAntmA'
        INDEX:	P5W9
      OFFSETS:	49-56
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotimA'_1]
   UNSPLITVOC:	(waAinotimA')
          POS:	CONJ+NOUN
          VOC:	wa+{inotimA'
        GLOSS:	and+membership/affiliation/commitment

 INPUT STRING:	الشاب
     IS_TRANS:	Al$Ab
        INDEX:	P5W10
      OFFSETS:	57-62
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~Ab~)
          POS:	DET+NOUN
          VOC:	Al+$Ab~
        GLOSS:	the+young man/young men

 INPUT STRING:	لموطن
     IS_TRANS:	lmwTn
        INDEX:	P5W11
      OFFSETS:	63-68
       TOKENS:	P5W15-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawTin_1]
   UNSPLITVOC:	(limawTin)
          POS:	PREP+NOUN
          VOC:	li+mawTin
        GLOSS:	for/to+native country/residence

 INPUT STRING:	زوجته
     IS_TRANS:	zwjth
        INDEX:	P5W12
      OFFSETS:	69-74
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawjap_1]
   UNSPLITVOC:	(zuwjtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	zuwj+ap+uh
        GLOSS:	wife/wives+[fem.sg.]+his/its

 INPUT STRING:	الأجنبية
     IS_TRANS:	Al>jnbyp
        INDEX:	P5W13
      OFFSETS:	75-83
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ajonabiy~_1]
   UNSPLITVOC:	(Al>ajonabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>ajonabiy~+ap
        GLOSS:	the+foreign+[fem.sg.]

 INPUT STRING:	بالإضافة
     IS_TRANS:	bAl<DAfp
        INDEX:	P5W14
      OFFSETS:	84-92
       TOKENS:	P5W20-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiDAfap_1]
   UNSPLITVOC:	(biAlAiDAfap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+AiDAf+ap
        GLOSS:	with/by+the+addition+[fem.sg.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P5W15
      OFFSETS:	93-96
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	انتشار
     IS_TRANS:	Ant$Ar
        INDEX:	P5W16
      OFFSETS:	97-103
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainoti$Ar_1]
   UNSPLITVOC:	(Ainoti$Ar)
          POS:	NOUN
          VOC:	Ainoti$Ar
        GLOSS:	widespread

 INPUT STRING:	العنوسة
     IS_TRANS:	AlEnwsp
        INDEX:	P5W17
      OFFSETS:	104-111
       TOKENS:	P5W24-P5W24
