 INPUT STRING:	ههههههههههههههههههههه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAwiy_1]
   UNSPLITVOC:	(nAwiy)
          POS:	ADJ.VN
          VOC:	nAwiy
        GLOSS:	Intending

 INPUT STRING:	يقدم
     IS_TRANS:	yqdm
        INDEX:	P8W5
      OFFSETS:	20-24
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(yiqad~im)
          POS:	IV3MS+IV
          VOC:	yi+qad~im
        GLOSS:	he/it+submit

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W6
      OFFSETS:	25-27
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رياسه
     IS_TRANS:	ryAsh
        INDEX:	P8W7
      OFFSETS:	28-33
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyAsap_1]
   UNSPLITVOC:	(riyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	riyAs+ap
        GLOSS:	Presidency+[fem.sg.]

 INPUT STRING:	الجمهوريه
     IS_TRANS:	Aljmhwryh
        INDEX:	P8W8
      OFFSETS:	34-43
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jumohuwriy~_1]
   UNSPLITVOC:	(Aljumohuwriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumohuwriy~+ap
        GLOSS:	the+republican+[fem.sg.]

 INPUT STRING:	وخايفه
     IS_TRANS:	wxAyfh
        INDEX:	P8W9
      OFFSETS:	44-50
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(wixAyofap)
          POS:	SUB_CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+xAyof+ap
        GLOSS:	while+afriad+[fem.sg.]

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P8W10
      OFFSETS:	51-55
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	مجموعه
     IS_TRANS:	mjmwEh
        INDEX:	P8W11
      OFFSETS:	56-62
       TOKENS:	P8W12-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majomuwE_1]
   UNSPLITVOC:	(majomuwEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	majomuwE+uh
        GLOSS:	total/results+his/its

 INPUT STRING:	يجيب
     IS_TRANS:	yjyb
        INDEX:	P8W12
      OFFSETS:	63-67
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(yijiyb)
          POS:	IV3MS+IV
          VOC:	yi+jiyb
        GLOSS:	he/it+traverse/bring

 INPUT STRING:	اصل
     IS_TRANS:	ASl
        INDEX:	P8W13
      OFFSETS:	68-71
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital

 INPUT STRING:	شفشق
     IS_TRANS:	$f$q
        INDEX:	P8W14
      OFFSETS:	72-76
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$afo$aq_1]
   UNSPLITVOC:	($afo$aq)
          POS:	NOUN
          VOC:	$afo$aq
        GLOSS:	jug/carafe

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P8W15
      OFFSETS:	77-79
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W16
      OFFSETS:	80-82
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P8W17
      OFFSETS:	83-88
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W18
      OFFSETS:	89-93
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بتذاكر
     IS_TRANS:	bt*Akr
        INDEX:	P8W19
      OFFSETS:	94-100
       TOKENS:	P8W21-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Akir_1]
   UNSPLITVOC:	(biti*Akir)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+*Akir
        GLOSS:	[present-tense]+it/they/she+study

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W20
      OFFSETS:	101-103
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اواخر
     IS_TRANS:	AwAxr
        INDEX:	P8W21
      OFFSETS:	104-109
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(>awAxir)
          POS:	ADJ_COMP
          VOC:	>awAxir
        GLOSS:	last/end

 INPUT STRING:	الايام
     IS_TRANS:	AlAyAm
        INDEX:	P8W22
      OFFSETS:	110-116
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(AlAy~Am)
          POS:	DET+NOUN
          VOC:	Al+Ay~Am
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	وتجيب
     IS_TRANS:	wtjyb
        INDEX:	P8W23
      OFFSETS:	117-122
       TOKENS:	P8W26-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(witijiyb)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+jiyb
        GLOSS:	and+it/they/she+bring/traverse

 INPUT STRING:	مجموع
     IS_TRANS:	mjmwE
        INDEX:	P8W24
      OFFSETS:	123-128
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majomuwE_1]
   UNSPLITVOC:	(majomuwE)
          POS:	NOUN
          VOC:	majomuwE
        GLOSS:	result/total

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	المشكله
     IS_TRANS:	Alm$klh
        INDEX:	P9W2
      OFFSETS:	3-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P9W3
      OFFSETS:	11-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	actually/in effect+[acc.indef.]

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P9W4
      OFFSETS:	16-19
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P9W5
      OFFSETS:	20-23
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	ليكون
     IS_TRANS:	lykwn
        INDEX:	P9W6
      OFFSETS:	24-29
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lykwn)
          POS:	NO_FUNC
          VOC:	lykwn
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P9W7
      OFFSETS:	30-32
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P9W8
      OFFSETS:	33-37
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	هيقدموا
     IS_TRANS:	hyqdmwA
        INDEX:	P9W9
      OFFSETS:	38-45
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(Hayiqad~imuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+qad~im+uwA
        GLOSS:	will+they+submit+[pl.]

 INPUT STRING:	للرياسه
     IS_TRANS:	llryAsh
        INDEX:	P9W10
      OFFSETS:	46-53
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyAsap_1]
   UNSPLITVOC:	(lilr~iyAsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+riyAs+ap
        GLOSS:	for/to+the+Presidency+[fem.sg.]

 INPUT STRING:	شفيق
     IS_TRANS:	$fyq
        INDEX:	P9W11
      OFFSETS:	56-60
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$afiyq_1]
   UNSPLITVOC:	($afiyq)
          POS:	NOUN_PROP
          VOC:	$afiyq
        GLOSS:	Shafiq

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P9W12
      OFFSETS:	61-63
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	راجل
     IS_TRANS:	rAjl
        INDEX:	P9W13
      OFFSETS:	64-68
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rAjil)
          POS:	NOUN
          VOC:	rAjil
        GLOSS:	man

 INPUT STRING:	ولون
     IS_TRANS:	wlwn
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawn_1]
   UNSPLITVOC:	(wilawn)
          POS:	CONJ+NOUN
          VOC:	wi+lawn
        GLOSS:	and+type/sort/types/sorts

 INPUT STRING:	شفيق
     IS_TRANS:	$fyq
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$afiyq_1]
   UNSPLITVOC:	($afiyq)
          POS:	NOUN_PROP
          VOC:	$afiyq
        GLOSS:	Shafiq

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P10W3
      OFFSETS:	10-13
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	عاقل
     IS_TRANS:	EAql
        INDEX:	P10W4
      OFFSETS:	14-18
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAqil_1]
   UNSPLITVOC:	(EAqil)
          POS:	ADJ
          VOC:	EAqil
        GLOSS:	rational/reasonable/judicious

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P10W5
      OFFSETS:	19-22
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like/that

 INPUT STRING:	ورزين
     IS_TRANS:	wrzyn
        INDEX:	P10W6
      OFFSETS:	23-28
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raziyn_1]
   UNSPLITVOC:	(wiraziyn)
          POS:	CONJ+ADJ
          VOC:	wi+raziyn
        GLOSS:	and+serious/calm

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P10W7
      OFFSETS:	29-31
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	الكتاتنى
     IS_TRANS:	AlktAtnY
        INDEX:	P10W8
      OFFSETS:	32-40
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katAtoniy_1]
   UNSPLITVOC:	(AlkatAtoniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+katAtoniy
        GLOSS:	the+katatny

 INPUT STRING:	بالضبط
     IS_TRANS:	bAlDbT
        INDEX:	P10W9
      OFFSETS:	41-47
       TOKENS:	P10W12-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaboT_1]
   UNSPLITVOC:	(biAlD~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+DaboT
        GLOSS:	with/by+the+adjusting/regulating/precision

 INPUT STRING:	ههههههههههههههههه
     IS_TRANS:	hhhhhhhhhhhhhhhhh
        INDEX:	P11W1
      OFFSETS:	0-17
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	express happiness

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlA)
          POS:	TYPO
          VOC:	AlA
        GLOSS:	nogloss

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/really/truly

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P12W3
      OFFSETS:	9-11
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	القماش
     IS_TRANS:	AlqmA$
        INDEX:	P12W4
      OFFSETS:	12-18
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qumA$_1]
   UNSPLITVOC:	(AlqumA$)
          POS:	DET+NOUN
          VOC:	Al+qumA$
        GLOSS:	the+fabric/cloth

 INPUT STRING:	الكتان
     IS_TRANS:	AlktAn
        INDEX:	P12W5
      OFFSETS:	19-25
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kit~An_1]
   UNSPLITVOC:	(Alkit~An)
          POS:	DET+NOUN
          VOC:	Al+kit~An
        GLOSS:	the+flax/linen

 INPUT STRING:	بكام
     IS_TRANS:	bkAm
        INDEX:	P12W6
      OFFSETS:	26-30
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(bikAm)
          POS:	PREP+INTERROG_PRON
          VOC:	bi+kAm
        GLOSS:	with+how much

 INPUT STRING:	اليومين
     IS_TRANS:	Alywmyn
        INDEX:	P12W7
      OFFSETS:	31-38
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyuwmayn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+yuwm+ayn
        GLOSS:	the+today/some day/ever/days+two

 INPUT STRING:	دووووول
     IS_TRANS:	dwwwwwl
        INDEX:	P12W8
      OFFSETS:	39-46
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(duwl)
          POS:	DEM_PRON_P
          VOC:	duwl
        GLOSS:	those

 INPUT STRING:	فاكرين
     IS_TRANS:	fAkryn
        INDEX:	P13W1
      OFFSETS:	0-6
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAkir_1]
   UNSPLITVOC:	(fAkoriyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	fAkor+iyn
        GLOSS:	remembering+[masc.pl.]

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P13W2
      OFFSETS:	7-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P13W3
      OFFSETS:	12-15
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	حسن
     IS_TRANS:	Hsn
        INDEX:	P13W4
      OFFSETS:	16-19
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasan_1]
   UNSPLITVOC:	(Hasan)
          POS:	NOUN_PROP
          VOC:	Hasan
        GLOSS:	Hasan

 INPUT STRING:	عابدين
     IS_TRANS:	EAbdyn
        INDEX:	P13W5
      OFFSETS:	20-26
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAbodiyn_1]
   UNSPLITVOC:	(EAbodiyn)
          POS:	NOUN_PROP
          VOC:	EAbodiyn
        GLOSS:	Abdiyn

 INPUT STRING:	حدف
     IS_TRANS:	Hdf
        INDEX:	P13W6
      OFFSETS:	27-30
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadaf_1]
   UNSPLITVOC:	(Hadaf)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hadaf+(null)
        GLOSS:	throw+he/it

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P13W7
      OFFSETS:	31-35
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	نجم
     IS_TRANS:	njm
        INDEX:	P13W8
      OFFSETS:	36-39
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nijom_1]
   UNSPLITVOC:	(nijom)
          POS:	NOUN_PROP
          VOC:	nijom
        GLOSS:	negm

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P13W9
      OFFSETS:	40-42
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البحر
     IS_TRANS:	AlbHr
        INDEX:	P13W10
      OFFSETS:	43-48
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHor_1]
   UNSPLITVOC:	(AlbaHor)
          POS:	DET+NOUN
          VOC:	Al+baHor
        GLOSS:	the+sea/seas

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P13W11
      OFFSETS:	49-53
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P13W12
      OFFSETS:	54-56
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بيبقلل
     IS_TRANS:	bybqll
        INDEX:	P13W13
      OFFSETS:	57-63
       TOKENS:	P13W14-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqolil_1]
   UNSPLITVOC:	(biyibaqolil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+baqolil
        GLOSS:	[present-tense]+he/it+make bubbles

 INPUT STRING:	ههههههههههههههههههه
     IS_TRANS:	hhhhhhhhhhhhhhhhhhh
        INDEX:	P14W1
