 INPUT STRING:	زواج
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(<inosAn)
          POS:	NOUN
          VOC:	<inosAn
        GLOSS:	human being

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W20
      OFFSETS:	103-104
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	رقم
     IS_TRANS:	rqm
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqam_1]
   UNSPLITVOC:	(raqam)
          POS:	NOUN
          VOC:	raqam
        GLOSS:	number/numeral

 INPUT STRING:	مخيف
     IS_TRANS:	mxyf
        INDEX:	P7W2
      OFFSETS:	4-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxiyf_1]
   UNSPLITVOC:	(muxiyf)
          POS:	ADJ
          VOC:	muxiyf
        GLOSS:	frightful/horrible

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P7W3
      OFFSETS:	9-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P7W4
      OFFSETS:	13-17
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	who/whom/which [masc.sg.]

 INPUT STRING:	صرحت
     IS_TRANS:	SrHt
        INDEX:	P7W5
      OFFSETS:	18-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sar~aH_1]
   UNSPLITVOC:	(Sar~aHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Sar~aH+it
        GLOSS:	clarify+it/they/she [verb]

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P7W6
      OFFSETS:	23-25
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	by/with+him/it

 INPUT STRING:	وزيرة
     IS_TRANS:	wzyrp
        INDEX:	P7W7
      OFFSETS:	26-31
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	waziyr+ap
        GLOSS:	minister+[fem.sg.]

 INPUT STRING:	الشؤون
     IS_TRANS:	Al$&wn
        INDEX:	P7W8
      OFFSETS:	32-38
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Al$~u&uwn)
          POS:	DET+NOUN
          VOC:	Al+$u&uwn
        GLOSS:	the+affairs/matters

 INPUT STRING:	الاجتماعية
     IS_TRANS:	AlAjtmAEyp
        INDEX:	P7W9
      OFFSETS:	39-49
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAEiy_1]
   UNSPLITVOC:	(AlAijotimAEiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AijotimAEiy~+ap
        GLOSS:	the+social+[fem.sg.]

 INPUT STRING:	سابقاً
     IS_TRANS:	sAbqAF
        INDEX:	P7W10
      OFFSETS:	50-56
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(sAbiqAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	sAbiq+AF
        GLOSS:	former/previous/preceding+[acc.indef.]

 INPUT STRING:	14
     IS_TRANS:	14
        INDEX:	P7W11
      OFFSETS:	57-59
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(14)
          POS:	NOUN_NUM
          VOC:	14
        GLOSS:	14

 INPUT STRING:	ألف
     IS_TRANS:	>lf
        INDEX:	P7W12
      OFFSETS:	60-63
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P7W13
      OFFSETS:	64-68
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	تحمل
     IS_TRANS:	tHml
        INDEX:	P7W14
      OFFSETS:	69-73
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamal_1]
   UNSPLITVOC:	(tiHomil)
          POS:	IV3FS+IV
          VOC:	ti+Homil
        GLOSS:	it/she/they+carry/bear/transport

 INPUT STRING:	زوجاتهم
     IS_TRANS:	zwjAthm
        INDEX:	P7W15
      OFFSETS:	74-81
       TOKENS:	P7W16-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawjap_1]
   UNSPLITVOC:	(zawjAthum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3P
          VOC:	zawj+At+hum
        GLOSS:	wives+[fem.pl.]+their

 INPUT STRING:	جواز
     IS_TRANS:	jwAz
        INDEX:	P7W16
      OFFSETS:	82-86
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jawAz_1]
   UNSPLITVOC:	(jawAz)
          POS:	NOUN
          VOC:	jawAz
        GLOSS:	permit/authorization

 INPUT STRING:	سفر
     IS_TRANS:	sfr
        INDEX:	P7W17
      OFFSETS:	87-90
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(safar)
          POS:	NOUN
          VOC:	safar
        GLOSS:	travel/trip

 INPUT STRING:	إسرائيلياً
     IS_TRANS:	<srA}ylyAF
        INDEX:	P7W18
      OFFSETS:	91-101
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isrA}iyliy_1]
   UNSPLITVOC:	(<isrA}iyliy)
          POS:	ADJ
          VOC:	<isrA}iyliy
        GLOSS:	Israeli

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W19
      OFFSETS:	101-102
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ماذا
     IS_TRANS:	mA*A
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA*A_1]
   UNSPLITVOC:	(mA*A)
          POS:	INTERROG_PRON
          VOC:	mA*A
        GLOSS:	what

 INPUT STRING:	حدث
     IS_TRANS:	Hdv
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Hadav)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hadav+(null)
        GLOSS:	happen/take place+he/it [verb]

 INPUT STRING:	لشباب
     IS_TRANS:	l$bAb
        INDEX:	P8W3
      OFFSETS:	9-14
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(li$abAb)
          POS:	PREP+NOUN
          VOC:	li+$abAb
        GLOSS:	for/to+young men

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W4
      OFFSETS:	15-18
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(maSr)
          POS:	NOUN_PROP
          VOC:	maSr
        GLOSS:	Egypt

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W5
      OFFSETS:	18-19
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P8W6
      OFFSETS:	19-20
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	عوض
     IS_TRANS:	EwD
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EawaD_1]
   UNSPLITVOC:	(EawaD)
          POS:	NOUN_PROP
          VOC:	EawaD
        GLOSS:	Awad

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P9W3
      OFFSETS:	9-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P9W4
      OFFSETS:	11-15
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P9W5
      OFFSETS:	16-18
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	ضحايا
     IS_TRANS:	DHAyA
        INDEX:	P9W6
      OFFSETS:	19-24
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHAyA)
          POS:	NOUN
          VOC:	DaHAyA
        GLOSS:	victims

 INPUT STRING:	لجهلهم
     IS_TRANS:	ljhlhm
        INDEX:	P9W7
      OFFSETS:	25-31
       TOKENS:	P9W7-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jahol_1]
   UNSPLITVOC:	(lijaholuhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+jahol+hum
        GLOSS:	for/to+ignorance+their

 INPUT STRING:	الشخصي
     IS_TRANS:	Al$xSy
        INDEX:	P9W8
      OFFSETS:	32-38
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy_1]
   UNSPLITVOC:	(Al$~axoSiy)
          POS:	DET+ADJ
          VOC:	Al+$axoSiy
        GLOSS:	the+private/personal

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P9W9
      OFFSETS:	38-39
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	لقلة
     IS_TRANS:	lqlp
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(liqil~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+qil~+ap
        GLOSS:	for/to+scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	وعيهم
     IS_TRANS:	wEyhm
        INDEX:	P10W2
      OFFSETS:	5-10
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waEy_1]
   UNSPLITVOC:	(waEyuhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	waEy+hum
        GLOSS:	conciousness/awareness/attention+their

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W3
      OFFSETS:	10-11
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	لقلة
     IS_TRANS:	lqlp
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
   UNSPLITVOC:	(liqil~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+qil~+ap
        GLOSS:	for/to+scarcity/lack of/small number or amount of+[fem.sg.]

 INPUT STRING:	انتماءهم
     IS_TRANS:	AntmA'hm
        INDEX:	P11W2
      OFFSETS:	5-13
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AintimA'_1]
   UNSPLITVOC:	(AintimA'hum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	AintimA'+hum
        GLOSS:	membership/affiliation/commitment+their

 INPUT STRING:	وضحايا
     IS_TRANS:	wDHAyA
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(wiDaHAyA)
          POS:	CONJ+NOUN
          VOC:	wi+DaHAyA
        GLOSS:	and+victims

 INPUT STRING:	للسياسة
     IS_TRANS:	llsyAsp
        INDEX:	P12W2
      OFFSETS:	7-14
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(lils~iyAsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+siyAs+ap
        GLOSS:	to/for+the+politics+[fem.sg.]

 INPUT STRING:	العامة
     IS_TRANS:	AlEAmp
        INDEX:	P12W3
      OFFSETS:	15-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAm~_1]
   UNSPLITVOC:	(AlEAm~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAm~+ap
        GLOSS:	the+general/common/public+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P12W4
      OFFSETS:	22-26
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	بتصور
     IS_TRANS:	btSwr
        INDEX:	P12W5
      OFFSETS:	27-32
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(bitiSaw~ar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Saw~ar
        GLOSS:	[present-tense]+she/it/they+draw/portray

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P12W6
      OFFSETS:	33-40
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	تصوير
     IS_TRANS:	tSwyr
        INDEX:	P12W7
      OFFSETS:	41-46
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSowiyr_1]
   UNSPLITVOC:	(taSowiyr)
          POS:	NOUN
          VOC:	taSowiyr
        GLOSS:	photography/filming/illustration

 INPUT STRING:	خاطئ
     IS_TRANS:	xAT}
        INDEX:	P12W8
      OFFSETS:	47-51
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xATi}_1]
   UNSPLITVOC:	(xATi})
          POS:	ADJ
          VOC:	xATi}
        GLOSS:	mistaken/at fault

 INPUT STRING:	منذ
     IS_TRANS:	mn*
        INDEX:	P12W9
      OFFSETS:	52-55
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muno*_1]
   UNSPLITVOC:	(muno*)
          POS:	NOUN
          VOC:	muno*
        GLOSS:	the time since

 INPUT STRING:	المعاهدة
     IS_TRANS:	AlmEAhdp
        INDEX:	P12W10
      OFFSETS:	56-64
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAhodap_1]
   UNSPLITVOC:	(AlmuEAhodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muEAhod+ap
        GLOSS:	the+treaty/accord/pact+[fem.sg.]

 INPUT STRING:	الأولى
     IS_TRANS:	Al>wlY
        INDEX:	P12W11
      OFFSETS:	65-71
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awlaY_1]
   UNSPLITVOC:	(Al>awlaY)
          POS:	DET+ADJ_COMP
          VOC:	Al+>awlaY
        GLOSS:	the+first

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P12W12
      OFFSETS:	72-76
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	عملها
     IS_TRANS:	EmlhA
        INDEX:	P12W13
      OFFSETS:	77-82
       TOKENS:	P12W16-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	Eamal+(null)+hA
        GLOSS:	act/function/work+he/it [verb]+her/them/it

 INPUT STRING:	السادات
     IS_TRANS:	AlsAdAt
        INDEX:	P12W14
      OFFSETS:	83-90
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAdAt_1]
   UNSPLITVOC:	(Als~AdAt)
          POS:	DET+NOUN_PROP
          VOC:	Al+sAdAt
        GLOSS:	the+Sadat

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P12W15
      OFFSETS:	91-93
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	إسرائيل
     IS_TRANS:	<srA}yl
        INDEX:	P12W16
      OFFSETS:	94-101
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	وضحايا
     IS_TRANS:	wDHAyA
        INDEX:	P13W1
      OFFSETS:	0-6
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(wiDaHAyA)
          POS:	CONJ+NOUN
          VOC:	wi+DaHAyA
        GLOSS:	and+victims

 INPUT STRING:	أيضاً
     IS_TRANS:	>yDAF
        INDEX:	P13W2
      OFFSETS:	7-12
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aydAF_1]
   UNSPLITVOC:	(>ayDAF)
          POS:	ADV
          VOC:	>ayDAF
        GLOSS:	also, too, as well (as), along with, in addition (to)

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P13W3
      OFFSETS:	13-16
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	يشوفوا
     IS_TRANS:	y$wfwA
        INDEX:	P13W4
      OFFSETS:	17-23
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(yi$uwfuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+$uwf+uwA
        GLOSS:	they+look+[pl.]

 INPUT STRING:	عرفات
     IS_TRANS:	ErfAt
        INDEX:	P13W5
      OFFSETS:	24-29
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EarafAt_1]
   UNSPLITVOC:	(EarafAt)
          POS:	NOUN_PROP
          VOC:	EarafAt
        GLOSS:	Arafat

 INPUT STRING:	مثلاً
     IS_TRANS:	mvlAF
        INDEX:	P13W6
      OFFSETS:	30-35
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	for example+[acc.indef.]

 INPUT STRING:	قاعد
     IS_TRANS:	qAEd
        INDEX:	P13W7
      OFFSETS:	36-40
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEid)
          POS:	ADJ.VN
          VOC:	qAEid
        GLOSS:	sitting/seated

 INPUT STRING:	ياخد
     IS_TRANS:	yAxd
        INDEX:	P13W8
      OFFSETS:	41-45
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(yAxud)
