 INPUT STRING:	في
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoE_1]
   UNSPLITVOC:	(birafoE)
          POS:	PREP+NOUN.VN
          VOC:	bi+rafoE
        GLOSS:	with/by+raising/lifting/elevating/increasing/augmenting/boosting

 INPUT STRING:	حظر
     IS_TRANS:	HZr
        INDEX:	P5W7
      OFFSETS:	29-32
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaZor_1]
   UNSPLITVOC:	(HaZor)
          POS:	NOUN
          VOC:	HaZor
        GLOSS:	prohibition/ban

 INPUT STRING:	السفر
     IS_TRANS:	Alsfr
        INDEX:	P5W8
      OFFSETS:	33-38
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(Als~afar)
          POS:	DET+NOUN
          VOC:	Al+safar
        GLOSS:	the+travel/trip/journeys

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W9
      OFFSETS:	39-41
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	المتهمين
     IS_TRANS:	Almthmyn
        INDEX:	P5W10
      OFFSETS:	42-50
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(Almut~ahamiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mut~aham+iyn
        GLOSS:	the+accused/indicted/suspect+two

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W11
      OFFSETS:	51-53
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P5W12
      OFFSETS:	55-62
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P6W2
      OFFSETS:	1-2
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	المستشار
     IS_TRANS:	Almst$Ar
        INDEX:	P6W3
      OFFSETS:	3-11
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(Almusota$Ar)
          POS:	DET+NOUN
          VOC:	Al+musota$Ar
        GLOSS:	the+counselor/adviser

 INPUT STRING:	أشرف
     IS_TRANS:	>$rf
        INDEX:	P6W4
      OFFSETS:	12-16
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$oraf_1]
   UNSPLITVOC:	(>a$oraf)
          POS:	NOUN_PROP
          VOC:	>a$oraf
        GLOSS:	Ashraf

 INPUT STRING:	زهران
     IS_TRANS:	zhrAn
        INDEX:	P6W5
      OFFSETS:	17-22
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zahorAn_1]
   UNSPLITVOC:	(zahorAn)
          POS:	NOUN_PROP
          VOC:	zahorAn
        GLOSS:	Zahran

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W6
      OFFSETS:	22-23
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P6W7
      OFFSETS:	24-31
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+NOUN
          VOC:	Al+Easokariy
        GLOSS:	the+soldier/private

 INPUT STRING:	يتدخل
     IS_TRANS:	ytdxl
        INDEX:	P6W8
      OFFSETS:	32-37
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitdax~al_1]
   UNSPLITVOC:	(yitdax~al)
          POS:	IV3MS+IV
          VOC:	yi+tdax~al
        GLOSS:	he/it+interfere/intrude/intervene

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P6W9
      OFFSETS:	38-40
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P6W10
      OFFSETS:	41-47
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary/extermination/annihilation/spending (time)/district/province/districts

 INPUT STRING:	ليتم
     IS_TRANS:	lytm
        INDEX:	P6W11
      OFFSETS:	48-52
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lytm)
          POS:	NO_FUNC
          VOC:	lytm
        GLOSS:	nogloss

 INPUT STRING:	صفقة
     IS_TRANS:	Sfqp
        INDEX:	P6W12
      OFFSETS:	53-57
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safoqap_1]
   UNSPLITVOC:	(Safoqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Safoq+ap
        GLOSS:	deal/transaction/deals/transactions+[fem.sg.]

 INPUT STRING:	بينه
     IS_TRANS:	bynh
        INDEX:	P6W13
      OFFSETS:	58-62
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biynuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	biyn+uh
        GLOSS:	between/betwen/among+his/its

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P6W14
      OFFSETS:	63-67
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(wabiyn)
          POS:	CONJ+NOUN
          VOC:	wa+biyn
        GLOSS:	and+between/among

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P6W15
      OFFSETS:	68-74
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W16
      OFFSETS:	74-75
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P7W1
      OFFSETS:	0-1
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P7W2
      OFFSETS:	1-2
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	تنحى
     IS_TRANS:	tnHY
        INDEX:	P7W3
      OFFSETS:	3-7
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanaH~iy_1]
   UNSPLITVOC:	(tanaH~iy)
          POS:	NOUN
          VOC:	tanaH~iy
        GLOSS:	withdrawal/abandonment

 INPUT STRING:	قاضى
     IS_TRANS:	qADY
        INDEX:	P7W4
      OFFSETS:	8-12
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(qADiy)
          POS:	NOUN
          VOC:	qADiy
        GLOSS:	judge/magistrate/judges/magistrates

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P7W5
      OFFSETS:	14-21
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	الأجنبى
     IS_TRANS:	Al>jnbY
        INDEX:	P7W6
      OFFSETS:	22-29
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajonabiy_1]
   UNSPLITVOC:	(Al>ajonabiy)
          POS:	DET+ADJ
          VOC:	Al+>ajonabiy
        GLOSS:	the+foreign/foreigner

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P7W7
      OFFSETS:	31-32
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P8W1
      OFFSETS:	0-1
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P8W2
      OFFSETS:	1-2
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	رفع
     IS_TRANS:	rfE
        INDEX:	P8W3
      OFFSETS:	3-6
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoE_1]
   UNSPLITVOC:	(rafoE)
          POS:	NOUN
          VOC:	rafoE
        GLOSS:	raising/lifting/elevating/increasing/augmenting/boosting

 INPUT STRING:	أسماء
     IS_TRANS:	>smA'
        INDEX:	P8W4
      OFFSETS:	7-12
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(AsomA')
          POS:	NOUN
          VOC:	AsomA'
        GLOSS:	name

 INPUT STRING:	16
     IS_TRANS:	16
        INDEX:	P8W5
      OFFSETS:	13-15
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[16_1]
   UNSPLITVOC:	(16)
          POS:	NOUN_NUM
          VOC:	16
        GLOSS:	16

 INPUT STRING:	أمريكياً
     IS_TRANS:	>mrykyAF
        INDEX:	P8W6
      OFFSETS:	16-24
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoriykiy~_1]
   UNSPLITVOC:	(>amoriykiy~AF)
          POS:	ADJ+CASE_DEF_ACC
          VOC:	>amoriykiy~+AF
        GLOSS:	American+[acc.def.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W7
      OFFSETS:	25-27
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P8W8
      OFFSETS:	28-32
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	problem/issue/problems/issues/lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P8W9
      OFFSETS:	34-41
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W10
      OFFSETS:	43-45
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كشوف
     IS_TRANS:	k$wf
        INDEX:	P8W11
      OFFSETS:	46-50
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ka$of_1]
   UNSPLITVOC:	(ku$uwf)
          POS:	NOUN
          VOC:	ku$uwf
        GLOSS:	reports/disclosures

 INPUT STRING:	الممنوعين
     IS_TRANS:	AlmmnwEyn
        INDEX:	P8W12
      OFFSETS:	51-60
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mamonuwE_1]
   UNSPLITVOC:	(AlmamonuwEiyn)
          POS:	DET+ADJ.VN+NSUFF_MASC_PL
          VOC:	Al+mamonuwE+iyn
        GLOSS:	the+prohibited/banned+two

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W13
      OFFSETS:	61-63
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السفر
     IS_TRANS:	Alsfr
        INDEX:	P8W14
      OFFSETS:	64-69
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(Als~afar)
          POS:	DET+NOUN
          VOC:	Al+safar
        GLOSS:	the+travel/trip/journeys

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W15
      OFFSETS:	69-70
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P9W1
      OFFSETS:	0-1
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P9W2
      OFFSETS:	1-2
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	طائرة
     IS_TRANS:	TA}rp
        INDEX:	P9W3
      OFFSETS:	3-8
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TA}irap_1]
   UNSPLITVOC:	(TA}irap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	TA}ir+ap
        GLOSS:	aircraft/airplane+[fem.sg.]

 INPUT STRING:	عسكرية
     IS_TRANS:	Eskryp
        INDEX:	P9W4
      OFFSETS:	9-15
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Easokariy~+ap
        GLOSS:	military/army+[fem.sg.]

 INPUT STRING:	أمريكية
     IS_TRANS:	>mrykyp
        INDEX:	P9W5
      OFFSETS:	16-23
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykiy_1]
   UNSPLITVOC:	(>amoriykiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>amoriykiy~+ap
        GLOSS:	American+[fem.sg.]

 INPUT STRING:	تصل
     IS_TRANS:	tSl
        INDEX:	P9W6
      OFFSETS:	24-27
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(taSilo)
          POS:	IV3FS+IV
          VOC:	ta+Silo
        GLOSS:	she/it+arrive

 INPUT STRING:	مطار
     IS_TRANS:	mTAr
        INDEX:	P9W7
      OFFSETS:	28-32
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTAr_1]
   UNSPLITVOC:	(maTAr)
          POS:	NOUN
          VOC:	maTAr
        GLOSS:	airport/airfield/airports/airfields

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P9W8
      OFFSETS:	33-40
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	لنقل
     IS_TRANS:	lnql
        INDEX:	P9W9
      OFFSETS:	41-45
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(linaqol)
          POS:	PREP+NOUN
          VOC:	li+naqol
        GLOSS:	for/to+transportation/transfer

 INPUT STRING:	متهمى
     IS_TRANS:	mthmY
        INDEX:	P9W10
      OFFSETS:	46-51
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mut~ahim_1]
   UNSPLITVOC:	(mut~ahimiy)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	mut~ahim+iy
        GLOSS:	accused+[masc.pl.]

 INPUT STRING:	قضية
     IS_TRANS:	qDyp
        INDEX:	P9W11
      OFFSETS:	52-56
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	problem/issue/problems/issues/lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	التمويل
     IS_TRANS:	Altmwyl
        INDEX:	P9W12
      OFFSETS:	57-64
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamowiyl_1]
   UNSPLITVOC:	(Alt~amowiyl)
          POS:	DET+NOUN
          VOC:	Al+tamowiyl
        GLOSS:	the+financing/funding/backing

 INPUT STRING:	والآن
     IS_TRANS:	wAl|n
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|an_1]
   UNSPLITVOC:	(wiAl|an)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+|an
        GLOSS:	and+the+time/moment

 INPUT STRING:	سيدي
     IS_TRANS:	sydy
        INDEX:	P10W2
      OFFSETS:	6-10
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(say~idiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	say~id+iy
        GLOSS:	Sir/Mr./Mister/Sirs/Messrs./gentlement/master+my

 INPUT STRING:	القارىء
     IS_TRANS:	AlqArY'
        INDEX:	P10W3
      OFFSETS:	11-18
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAri}_1]
   UNSPLITVOC:	(AlqAri})
          POS:	DET+NOUN
          VOC:	Al+qAri}
        GLOSS:	the+reader/readers

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W4
      OFFSETS:	18-19
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W5
      OFFSETS:	19-20
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W6
      OFFSETS:	20-21
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P10W7
      OFFSETS:	22-24
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	استنتجت
     IS_TRANS:	Astntjt
        INDEX:	P10W8
      OFFSETS:	25-32
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotanotaj_1]
   UNSPLITVOC:	(<isotanotajit)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	<isotanotaj+it
        GLOSS:	conclude/deduce/derive+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W9
      OFFSETS:	33-35
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	هو
     IS_TRANS:	hw
