 INPUT STRING:	وانا
   UNSPLITVOC:	(AlEajal)
          POS:	DET+NOUN
          VOC:	Al+Eajal
        GLOSS:	the+hurry/haste/wheel/tire/wheels/tires

 INPUT STRING:	اكثر
     IS_TRANS:	Akvr
        INDEX:	P7W8
      OFFSETS:	43-47
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more/most/majority

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W9
      OFFSETS:	48-50
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P7W10
      OFFSETS:	51-53
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(30)
          POS:	NOUN_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P7W11
      OFFSETS:	54-56
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	المقصات
     IS_TRANS:	AlmqSAt
        INDEX:	P7W12
      OFFSETS:	57-64
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqaS~_1]
   UNSPLITVOC:	(AlmaqaS~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+maqaS~+At
        GLOSS:	the+scissors/shears+[fem.pl.]

 INPUT STRING:	اوجزاء
     IS_TRANS:	AwjzA'
        INDEX:	P7W13
      OFFSETS:	65-71
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AwjzA')
          POS:	TYPO
          VOC:	AwjzA'
        GLOSS:	nogloss

 INPUT STRING:	العقشه
     IS_TRANS:	AlEq$h
        INDEX:	P7W14
      OFFSETS:	72-78
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlEq$h)
          POS:	TYPO
          VOC:	AlEq$h
        GLOSS:	nogloss

 INPUT STRING:	محجره
     IS_TRANS:	mHjrh
        INDEX:	P7W15
      OFFSETS:	79-84
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miHaj~ar_1]
   UNSPLITVOC:	(miHaj~arap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	miHaj~ar+ap
        GLOSS:	stoned+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P7W16
      OFFSETS:	85-87
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P7W17
      OFFSETS:	88-93
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/her

 INPUT STRING:	اتربه
     IS_TRANS:	Atrbh
        INDEX:	P7W18
      OFFSETS:	94-99
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[turAb_1]
   UNSPLITVOC:	(>atoribap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>atorib+ap
        GLOSS:	dirt/soil+[fem.sg.]

 INPUT STRING:	واوساخ
     IS_TRANS:	wAwsAx
        INDEX:	P7W19
      OFFSETS:	100-106
       TOKENS:	P7W22-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wasax_1]
   UNSPLITVOC:	(wi>awosAx)
          POS:	CONJ+NOUN
          VOC:	wi+>awosAx
        GLOSS:	and+filth/squalor

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	Rather/even/but/yet/however/but rather

 INPUT STRING:	الجلد
     IS_TRANS:	Aljld
        INDEX:	P8W2
      OFFSETS:	4-9
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jilod_1]
   UNSPLITVOC:	(Aljilod)
          POS:	DET+NOUN
          VOC:	Al+jilod
        GLOSS:	the+skin/leather

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P8W3
      OFFSETS:	10-13
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/betwen/among

 INPUT STRING:	اليليلت
     IS_TRANS:	Alylylt
        INDEX:	P8W4
      OFFSETS:	14-21
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Alylylt)
          POS:	TYPO
          VOC:	Alylylt
        GLOSS:	nogloss

 INPUT STRING:	وقعده
     IS_TRANS:	wqEdh
        INDEX:	P8W5
      OFFSETS:	22-27
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEodap_1]
   UNSPLITVOC:	(wiqaEodap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+qaEod+ap
        GLOSS:	and+sitting place/seat+[fem.sg.]

 INPUT STRING:	المساعد
     IS_TRANS:	AlmsAEd
        INDEX:	P8W6
      OFFSETS:	28-35
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musAEid_1]
   UNSPLITVOC:	(AlmusAEid)
          POS:	DET+NOUN
          VOC:	Al+musAEid
        GLOSS:	the+assistant/supporter/warrant officer/master sergeant

 INPUT STRING:	لاحكام
     IS_TRANS:	lAHkAm
        INDEX:	P8W7
      OFFSETS:	36-42
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHokAm_1]
   UNSPLITVOC:	(li<iHokAm)
          POS:	PREP+NOUN
          VOC:	li+<iHokAm
        GLOSS:	for/to+accuracy/precision

 INPUT STRING:	الياي
     IS_TRANS:	AlyAy
        INDEX:	P8W8
      OFFSETS:	43-48
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAy_1]
   UNSPLITVOC:	(AlyAy)
          POS:	DET+NOUN
          VOC:	Al+yAy
        GLOSS:	the+spring/spiral

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W9
      OFFSETS:	49-51
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القعده
     IS_TRANS:	AlqEdh
        INDEX:	P8W10
      OFFSETS:	52-58
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEodap_1]
   UNSPLITVOC:	(AlqaEodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaEod+ap
        GLOSS:	the+sitting place/seat+[fem.sg.]

 INPUT STRING:	وتقليل
     IS_TRANS:	wtqlyl
        INDEX:	P8W11
      OFFSETS:	59-65
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoliyl_1]
   UNSPLITVOC:	(witaqoliyl)
          POS:	CONJ+NOUN
          VOC:	wi+taqoliyl
        GLOSS:	and+decrease/diminution/reduction

 INPUT STRING:	الصوت
     IS_TRANS:	AlSwt
        INDEX:	P8W12
      OFFSETS:	66-71
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(AlS~awt)
          POS:	DET+NOUN
          VOC:	Al+Sawt
        GLOSS:	the+sounds/soundu/votes/vote/sound/voices/voice

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W13
      OFFSETS:	72-74
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المطبات
     IS_TRANS:	AlmTbAt
        INDEX:	P8W14
      OFFSETS:	75-82
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTab~_1]
   UNSPLITVOC:	(AlmaTab~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+maTab~+At
        GLOSS:	the+pothole/air pocket/wind shear+[fem.pl.]

 INPUT STRING:	حديد
     IS_TRANS:	Hdyd
        INDEX:	P8W15
      OFFSETS:	84-88
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyd_1]
   UNSPLITVOC:	(Hadiyd)
          POS:	NOUN
          VOC:	Hadiyd
        GLOSS:	iron

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W16
      OFFSETS:	89-92
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حديد
     IS_TRANS:	Hdyd
        INDEX:	P8W17
      OFFSETS:	93-97
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyd_1]
   UNSPLITVOC:	(Hadiyd)
          POS:	NOUN
          VOC:	Hadiyd
        GLOSS:	iron

