 INPUT STRING:	اقتل
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAbaE_1]
   UNSPLITVOC:	(tAbaEnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	tAbaE+nA
        GLOSS:	continue/follow/monitor+we [verb]

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P4W3
      OFFSETS:	12-17
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W4
      OFFSETS:	18-21
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	قناه
     IS_TRANS:	qnAh
        INDEX:	P4W5
      OFFSETS:	22-26
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	channel/channels

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P4W6
      OFFSETS:	27-33
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HayAp_2]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+HayA+ap
        GLOSS:	the+Hayat+[fem.sg.]

 INPUT STRING:	مظاهر
     IS_TRANS:	mZAhr
        INDEX:	P4W7
      OFFSETS:	34-39
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maZohar_1]
   UNSPLITVOC:	(maZAhir)
          POS:	NOUN
          VOC:	maZAhir
        GLOSS:	appearance/facade

 INPUT STRING:	الفرح
     IS_TRANS:	AlfrH
        INDEX:	P4W8
      OFFSETS:	40-45
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(AlfaraH)
          POS:	DET+NOUN
          VOC:	Al+faraH
        GLOSS:	the+gladness

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P4W9
      OFFSETS:	46-50
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	what/which

 INPUT STRING:	ظهرت
     IS_TRANS:	Zhrt
        INDEX:	P4W10
      OFFSETS:	51-55
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(Zaharit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Zahar+it
        GLOSS:	appear/emerge+it/they/she

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P4W11
      OFFSETS:	56-59
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	وجوه
     IS_TRANS:	wjwh
        INDEX:	P4W12
      OFFSETS:	60-64
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(wujuwh)
          POS:	NOUN
          VOC:	wujuwh
        GLOSS:	faces

 INPUT STRING:	اهالى
     IS_TRANS:	AhAlY
        INDEX:	P4W13
      OFFSETS:	65-70
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahAliy)
          POS:	NOUN
          VOC:	>ahAliy
        GLOSS:	families/indigenous people

 INPUT STRING:	الضحايا
     IS_TRANS:	AlDHAyA
        INDEX:	P4W14
      OFFSETS:	71-78
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(AlD~aHAyA)
          POS:	DET+NOUN
          VOC:	Al+DaHAyA
        GLOSS:	the+victim/victims

 INPUT STRING:	ومظاهرات
     IS_TRANS:	wmZAhrAt
        INDEX:	P4W15
      OFFSETS:	79-87
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(wimuZAharAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+muZAhar+At
        GLOSS:	and+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	الفرح
     IS_TRANS:	AlfrH
        INDEX:	P4W16
      OFFSETS:	88-93
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(AlfaraH)
          POS:	DET+NOUN
          VOC:	Al+faraH
        GLOSS:	the+gladness

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P4W17
      OFFSETS:	94-98
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	عمت
     IS_TRANS:	Emt
        INDEX:	P4W18
      OFFSETS:	99-102
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~at)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Eam~+at
        GLOSS:	be universal/be prevalent+it/they/she [verb]

 INPUT STRING:	ارجاء
     IS_TRANS:	ArjA'
        INDEX:	P4W19
      OFFSETS:	103-108
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arojA'_1]
   UNSPLITVOC:	(>arojA')
          POS:	NOUN
          VOC:	>arojA'
        GLOSS:	periphery/zones/throughout

 INPUT STRING:	البلاد
     IS_TRANS:	AlblAd
        INDEX:	P4W20
      OFFSETS:	109-115
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(AlbilAd)
          POS:	DET+NOUN
          VOC:	Al+bilAd
        GLOSS:	the+country/country/countries

 INPUT STRING:	جدير
     IS_TRANS:	jdyr
        INDEX:	P5W1
      OFFSETS:	1-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadiyr_1]
   UNSPLITVOC:	(jadiyr)
          POS:	ADJ
          VOC:	jadiyr
        GLOSS:	worthy/appropriate

 INPUT STRING:	بالذكر
     IS_TRANS:	bAl*kr
        INDEX:	P5W2
      OFFSETS:	6-12
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ikor_1]
   UNSPLITVOC:	(biAl*~ikor)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+*ikor
        GLOSS:	with/by+the+mention/citation/memory

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W3
      OFFSETS:	13-15
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P5W4
      OFFSETS:	16-19
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tlk)
          POS:	NO_FUNC
          VOC:	tlk
        GLOSS:	nogloss

 INPUT STRING:	الفرحه
     IS_TRANS:	AlfrHh
        INDEX:	P5W5
      OFFSETS:	20-26
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(AlfaroHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+faroH+ap
        GLOSS:	the+joy/joys+[fem.sg.]

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P5W6
      OFFSETS:	27-29
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(qd)
          POS:	NO_FUNC
          VOC:	qd
        GLOSS:	nogloss

 INPUT STRING:	عمت
     IS_TRANS:	Emt
        INDEX:	P5W7
      OFFSETS:	30-33
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~at)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Eam~+at
        GLOSS:	be universal/be prevalent+it/they/she [verb]

 INPUT STRING:	جميع
     IS_TRANS:	jmyE
        INDEX:	P5W8
      OFFSETS:	34-38
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyE)
          POS:	NOUN
          VOC:	jamiyE
        GLOSS:	all, entire, every, whole

 INPUT STRING:	قاطنى
     IS_TRANS:	qATnY
        INDEX:	P5W9
      OFFSETS:	39-44
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qATin_1]
   UNSPLITVOC:	(qATiniy)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	qATin+iy
        GLOSS:	resident/residing/domiciled+[masc.pl.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W10
      OFFSETS:	45-48
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P5W11
      OFFSETS:	49-52
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P5W12
      OFFSETS:	53-56
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P5W13
      OFFSETS:	57-62
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+judgment/decision/verdict/statutes/laws/judgments/decisions//verdicts

 INPUT STRING:	دليل
     IS_TRANS:	dlyl
        INDEX:	P5W14
      OFFSETS:	63-67
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daliyl_2]
   UNSPLITVOC:	(daliyl)
          POS:	NOUN
          VOC:	daliyl
        GLOSS:	evidence/proof/indication

 INPUT STRING:	صارخ
     IS_TRANS:	SArx
        INDEX:	P5W15
      OFFSETS:	68-72
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SArix_1]
   UNSPLITVOC:	(SArix)
          POS:	ADJ
          VOC:	SArix
        GLOSS:	loud/noisy/shouting

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W16
      OFFSETS:	73-76
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P5W17
      OFFSETS:	77-79
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P5W18
      OFFSETS:	80-86
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P5W19
      OFFSETS:	87-93
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	مازال
     IS_TRANS:	mAzAl
        INDEX:	P5W20
      OFFSETS:	94-99
       TOKENS:	P5W22-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azAl_1]
   UNSPLITVOC:	(mA_>azAl)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS
          VOC:	mA+>azAl+(null)
        GLOSS:	not+remove/eliminate/be removed/be eliminated+he/it

 INPUT STRING:	عادلا
     IS_TRANS:	EAdlA
        INDEX:	P5W21
      OFFSETS:	100-105
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdilAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	EAdil+AF
        GLOSS:	fair/just/equitable+[acc.indef.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P6W1
      OFFSETS:	1-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kino_1]
   UNSPLITVOC:	(wal`kino)
          POS:	CONJ+CONJ
          VOC:	wa+l`kino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P6W2
      OFFSETS:	6-10
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+remain

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P6W3
      OFFSETS:	11-15
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	بضع
     IS_TRANS:	bDE
        INDEX:	P6W4
      OFFSETS:	16-19
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biDoE_1]
   UNSPLITVOC:	(biDoE)
          POS:	NOUN_QUANT
          VOC:	biDoE
        GLOSS:	some, a few, several

 INPUT STRING:	اسئلة
     IS_TRANS:	As}lp
        INDEX:	P6W5
      OFFSETS:	20-25
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(>aso}ilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>aso}il+ap
        GLOSS:	question/inquiry+[fem.sg.]

 INPUT STRING:	تشغل
     IS_TRANS:	t$gl
        INDEX:	P6W6
      OFFSETS:	26-30
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$agal_1]
   UNSPLITVOC:	(ti$ogil)
          POS:	IV3FS+IV
          VOC:	ti+$ogil
        GLOSS:	it/they/she+occupy/preoccupy/employ

 INPUT STRING:	بال
     IS_TRANS:	bAl
        INDEX:	P6W7
      OFFSETS:	31-34
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAl)
          POS:	NOUN
          VOC:	bAl
        GLOSS:	mind/attention

 INPUT STRING:	الكثيرين
     IS_TRANS:	Alkvyryn
        INDEX:	P6W8
      OFFSETS:	35-43
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_1]
   UNSPLITVOC:	(Alkaviyriyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+kaviyr+iyn
        GLOSS:	the+many/much/numerous+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W9
      OFFSETS:	44-46
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P6W10
      OFFSETS:	47-50
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W11
      OFFSETS:	51-54
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	وتتمثل
     IS_TRANS:	wttmvl
        INDEX:	P6W12
      OFFSETS:	55-61
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tamav~al_1]
   UNSPLITVOC:	(watatamav~al)
          POS:	CONJ+IV3FS+IV
          VOC:	wa+ta+tamav~al
        GLOSS:	and+it/they/she+be represented

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W13
      OFFSETS:	62-64
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الاتى
     IS_TRANS:	AlAtY
        INDEX:	P6W14
      OFFSETS:	65-70
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|atiy_1]
   UNSPLITVOC:	(Al|atiy)
          POS:	DET+ADJ
          VOC:	Al+|atiy
        GLOSS:	the+coming/following

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W15
      OFFSETS:	71-72
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P7W1
      OFFSETS:	1-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	سينفذ
     IS_TRANS:	synf*
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naf~a*_1]
   UNSPLITVOC:	(sayunaf~a*)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+yu+naf~a*
        GLOSS:	will+he/it+be implemented/be carried out/be accomplished

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P7W3
      OFFSETS:	10-15
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+judgment/decision/verdict/statutes/laws/judgments/decisions//verdicts

 INPUT STRING:	الصادر
     IS_TRANS:	AlSAdr
        INDEX:	P7W4
      OFFSETS:	16-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAdir_1]
   UNSPLITVOC:	(AlS~Adir)
          POS:	DET+ADJ.VN
          VOC:	Al+SAdir
        GLOSS:	the+issued/published

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W5
      OFFSETS:	23-26
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المتهم
     IS_TRANS:	Almthm
        INDEX:	P7W6
      OFFSETS:	27-33
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(Almut~aham)
          POS:	DET+ADJ
          VOC:	Al+mut~aham
        GLOSS:	the+accused/indicted/suspected

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W7
      OFFSETS:	34-35
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P8W1
      OFFSETS:	1-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	INTERROG_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P8W2
      OFFSETS:	4-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	جدوى
     IS_TRANS:	jdwY
        INDEX:	P8W3
      OFFSETS:	7-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadoway_1]
   UNSPLITVOC:	(jadowaY)
          POS:	NOUN
          VOC:	jadowaY
        GLOSS:	advantage/benefit

 INPUT STRING:	الحكم
