 INPUT STRING:	وجة
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuDuwr_1]
   UNSPLITVOC:	(HuDuwr)
          POS:	NOUN
          VOC:	HuDuwr
        GLOSS:	presence/attendance

 INPUT STRING:	المحاضرات
     IS_TRANS:	AlmHADrAt
        INDEX:	P2W18
      OFFSETS:	95-104
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHADorap_1]
   UNSPLITVOC:	(AlmuHADarAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muHADar+At
        GLOSS:	the+lecture+[fem.pl.]

 INPUT STRING:	ابتداء
     IS_TRANS:	AbtdA'
        INDEX:	P2W19
      OFFSETS:	105-111
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotidA'_1]
   UNSPLITVOC:	(AibotidA')
          POS:	NOUN
          VOC:	AibotidA'
        GLOSS:	beginning/start

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W20
      OFFSETS:	112-114
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السبت
     IS_TRANS:	Alsbt
        INDEX:	P2W21
      OFFSETS:	115-120
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabot_1]
   UNSPLITVOC:	(Als~abot)
          POS:	DET+NOUN
          VOC:	Al+sabot
        GLOSS:	the+Saturday

 INPUT STRING:	المقبل
     IS_TRANS:	Almqbl
        INDEX:	P2W22
      OFFSETS:	121-127
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqobil_1]
   UNSPLITVOC:	(Almuqobil)
          POS:	DET+ADJ
          VOC:	Al+muqobil
        GLOSS:	the+next/coming/approaching

 INPUT STRING:	11
     IS_TRANS:	11
        INDEX:	P2W23
      OFFSETS:	128-130
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(11)
          POS:	NOUN_NUM
          VOC:	11
        GLOSS:	11

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P2W24
      OFFSETS:	130-131
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P2W25
      OFFSETS:	131-132
       TOKENS:	P2W27-P2W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P2W26
      OFFSETS:	132-133
       TOKENS:	P2W28-P2W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	2012
     IS_TRANS:	2012
        INDEX:	P2W27
      OFFSETS:	133-137
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2012)
          POS:	NOUN_NUM
          VOC:	2012
        GLOSS:	2012

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P2W28
      OFFSETS:	138-141
       TOKENS:	P2W30-P2W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wa+huw~a
        GLOSS:	and+he/it

 INPUT STRING:	بداية
     IS_TRANS:	bdAyp
        INDEX:	P2W29
      OFFSETS:	142-147
       TOKENS:	P2W32-P2W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(bidAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bidAy+ap
        GLOSS:	beginning/start+[fem.sg.]

 INPUT STRING:	النصف
     IS_TRANS:	AlnSf
        INDEX:	P2W30
      OFFSETS:	148-153
       TOKENS:	P2W33-P2W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niSof_1]
   UNSPLITVOC:	(Aln~iSof)
          POS:	DET+NOUN
          VOC:	Al+niSof
        GLOSS:	the+half

 INPUT STRING:	الثنى
     IS_TRANS:	AlvnY
        INDEX:	P2W31
      OFFSETS:	154-159
       TOKENS:	P2W34-P2W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniy)
          POS:	DET+ADJ
          VOC:	Al+vAniy
        GLOSS:	the+second

 INPUT STRING:	للعام
     IS_TRANS:	llEAm
        INDEX:	P2W32
      OFFSETS:	160-165
       TOKENS:	P2W35-P2W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(lilEAm)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+EAm
        GLOSS:	for/to+the+year/years

 INPUT STRING:	الدراسى
     IS_TRANS:	AldrAsY
        INDEX:	P2W33
      OFFSETS:	166-173
       TOKENS:	P2W37-P2W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dirAsiy_1]
   UNSPLITVOC:	(Ald~irAsiy)
          POS:	DET+ADJ
          VOC:	Al+dirAsiy
        GLOSS:	the+educational/scholastic/instructional

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W34
      OFFSETS:	173-174
       TOKENS:	P2W38-P2W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أنضم
     IS_TRANS:	>nDm
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoDam~_1]
   UNSPLITVOC:	(AinoDam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AinoDam~+(null)
        GLOSS:	join+he/it

 INPUT STRING:	الكثير
     IS_TRANS:	Alkvyr
        INDEX:	P3W2
      OFFSETS:	5-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(Alkaviyr)
          POS:	DET+ADJ
          VOC:	Al+kaviyr
        GLOSS:	the+many/much/numerous

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W3
      OFFSETS:	12-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مجالس
     IS_TRANS:	mjAls
        INDEX:	P3W4
      OFFSETS:	15-20
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majAlis)
          POS:	NOUN
          VOC:	majAlis
        GLOSS:	council/board/Majlis

 INPUT STRING:	اتحاد
     IS_TRANS:	AtHAd
        INDEX:	P3W5
      OFFSETS:	21-26
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iHAd_1]
   UNSPLITVOC:	(Ait~iHAd)
          POS:	NOUN
          VOC:	Ait~iHAd
        GLOSS:	union

 INPUT STRING:	الطلاب
     IS_TRANS:	AlTlAb
        INDEX:	P3W6
      OFFSETS:	27-33
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(AlT~ul~Ab)
          POS:	DET+NOUN
          VOC:	Al+Tul~Ab
        GLOSS:	the+student/students

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P3W7
      OFFSETS:	34-37
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P3W8
      OFFSETS:	38-41
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	المبادرة
     IS_TRANS:	AlmbAdrp
        INDEX:	P3W9
      OFFSETS:	42-50
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubAdorap_1]
   UNSPLITVOC:	(AlmubAdorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mubAdor+ap
        GLOSS:	the+initiative/proposal+[fem.sg.]

 INPUT STRING:	واكدوا
     IS_TRANS:	wAkdwA
        INDEX:	P3W10
      OFFSETS:	51-57
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ak~id_1]
   UNSPLITVOC:	(wiAk~iduwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+Ak~id+uwA
        GLOSS:	and+ensure+they

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P3W11
      OFFSETS:	58-60
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	العصيان
     IS_TRANS:	AlESyAn
        INDEX:	P3W12
      OFFSETS:	61-68
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSoyAn_1]
   UNSPLITVOC:	(AlEiSoyAn)
          POS:	DET+NOUN
          VOC:	Al+EiSoyAn
        GLOSS:	the+mutiny/insubordination

 INPUT STRING:	سوف
     IS_TRANS:	swf
        INDEX:	P3W13
      OFFSETS:	69-72
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(sawofa)
          POS:	FUT_PART
          VOC:	sawofa
        GLOSS:	will/shall

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P3W14
      OFFSETS:	73-77
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	شامل
     IS_TRANS:	$Aml
        INDEX:	P3W15
      OFFSETS:	78-82
       TOKENS:	P3W16-P3W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Amil_1]
   UNSPLITVOC:	($Amil)
          POS:	ADJ
          VOC:	$Amil
        GLOSS:	comprehensive/general/complete/mass

 INPUT STRING:	ولن
     IS_TRANS:	wln
        INDEX:	P3W16
      OFFSETS:	83-86
       TOKENS:	P3W17-P3W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(walano)
          POS:	CONJ+NEG_PART
          VOC:	wa+lano
        GLOSS:	and+not, never, nevermore

 INPUT STRING:	يتوقف
     IS_TRANS:	ytwqf
        INDEX:	P3W17
      OFFSETS:	87-92
       TOKENS:	P3W19-P3W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~af_1]
   UNSPLITVOC:	(yitowaq~af)
          POS:	IV3MS+IV_PASS
          VOC:	yi+towaq~af
        GLOSS:	he/it+stop/detain

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W18
      OFFSETS:	93-96
       TOKENS:	P3W20-P3W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	عدم
     IS_TRANS:	Edm
        INDEX:	P3W19
      OFFSETS:	97-100
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(Eadam)
          POS:	NOUN
          VOC:	Eadam
        GLOSS:	absence of/lack of/not/non-

 INPUT STRING:	حضور
     IS_TRANS:	HDwr
        INDEX:	P3W20
      OFFSETS:	101-105
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HuDuwr_1]
   UNSPLITVOC:	(HuDuwr)
          POS:	NOUN
          VOC:	HuDuwr
        GLOSS:	presence/attendance

 INPUT STRING:	المحاضرات
     IS_TRANS:	AlmHADrAt
        INDEX:	P3W21
      OFFSETS:	106-115
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHADorap_1]
   UNSPLITVOC:	(AlmuHADarAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muHADar+At
        GLOSS:	the+lecture+[fem.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W22
      OFFSETS:	116-117
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P3W23
      OFFSETS:	118-120
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	والاعتصام
     IS_TRANS:	wAlAEtSAm
        INDEX:	P3W24
      OFFSETS:	121-130
       TOKENS:	P3W26-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiSAm_1]
   UNSPLITVOC:	(wiAlAiEotiSAm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AiEotiSAm
        GLOSS:	and+the+refuge/preservation/adhering/preserving

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P3W25
      OFFSETS:	131-135
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	NOUN
          VOC:	dAxil
        GLOSS:	inside of/interior/inside

 INPUT STRING:	الجامعات
     IS_TRANS:	AljAmEAt
        INDEX:	P3W26
      OFFSETS:	136-144
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmiEap_1]
   UNSPLITVOC:	(AljAmiEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+jAmiE+At
        GLOSS:	the+universities+[fem.pl.]

 INPUT STRING:	وسوف
     IS_TRANS:	wswf
        INDEX:	P3W27
      OFFSETS:	145-149
       TOKENS:	P3W30-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(wasawofa)
          POS:	CONJ+FUT_PART
          VOC:	wa+sawofa
        GLOSS:	and+will/shall

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P3W28
      OFFSETS:	150-154
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	مبنى
     IS_TRANS:	mbnY
        INDEX:	P3W29
      OFFSETS:	155-159
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabonaY_1]
   UNSPLITVOC:	(mabonaY)
          POS:	NOUN
          VOC:	mabonaY
        GLOSS:	building/structure

 INPUT STRING:	قبة
     IS_TRANS:	qbp
        INDEX:	P3W30
      OFFSETS:	160-163
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qub~ap_1]
   UNSPLITVOC:	(qub~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qub~+ap
        GLOSS:	dome/cupola/domes/cupolas+[fem.sg.]

 INPUT STRING:	جامعة
     IS_TRANS:	jAmEp
        INDEX:	P3W31
      OFFSETS:	164-169
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmoEap_1]
   UNSPLITVOC:	(jAmoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jAmoE+ap
        GLOSS:	university+[fem.sg.]

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P3W32
      OFFSETS:	170-177
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W33
      OFFSETS:	178-180
       TOKENS:	P3W37-P3W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	مركز
     IS_TRANS:	mrkz
        INDEX:	P3W34
      OFFSETS:	181-185
       TOKENS:	P3W38-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaz_1]
   UNSPLITVOC:	(marokaz)
          POS:	NOUN
          VOC:	marokaz
        GLOSS:	ranking/position

 INPUT STRING:	اعتصام
     IS_TRANS:	AEtSAm
        INDEX:	P3W35
      OFFSETS:	186-192
       TOKENS:	P3W39-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iEotiSAm_1]
   UNSPLITVOC:	(AiEotiSAm)
          POS:	NOUN
          VOC:	{iEotiSAm
        GLOSS:	refuge/preservation/adhering/preserving

 INPUT STRING:	الجامعات
     IS_TRANS:	AljAmEAt
        INDEX:	P3W36
      OFFSETS:	193-201
       TOKENS:	P3W40-P3W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmiEap_1]
   UNSPLITVOC:	(AljAmiEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+jAmiE+At
        GLOSS:	the+universities+[fem.pl.]

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P3W37
      OFFSETS:	202-205
       TOKENS:	P3W41-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(kamA)
          POS:	PREP+REL_PRON
          VOC:	ka+mA
        GLOSS:	like/such as+what/which

 INPUT STRING:	اعلن
     IS_TRANS:	AEln
        INDEX:	P3W38
      OFFSETS:	206-210
       TOKENS:	P3W43-P3W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(>aEolan)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aEolan+(null)
        GLOSS:	announce/declare/be announced/be declared+he/it

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P3W39
      OFFSETS:	211-215
       TOKENS:	P3W44-P3W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P3W40
      OFFSETS:	216-219
       TOKENS:	P3W45-P3W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P3W41
      OFFSETS:	220-224
       TOKENS:	P3W46-P3W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	امين
     IS_TRANS:	Amyn
        INDEX:	P3W42
      OFFSETS:	225-229
       TOKENS:	P3W47-P3W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amiyn_3]
   UNSPLITVOC:	(>amiyn)
          POS:	NOUN
          VOC:	>amiyn
        GLOSS:	secretary

 INPUT STRING:	اتحاد
     IS_TRANS:	AtHAd
        INDEX:	P3W43
      OFFSETS:	230-235
       TOKENS:	P3W48-P3W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iHAd_1]
   UNSPLITVOC:	(Ait~iHAd)
          POS:	NOUN
          VOC:	Ait~iHAd
        GLOSS:	union

 INPUT STRING:	طلاب
     IS_TRANS:	TlAb
        INDEX:	P3W44
      OFFSETS:	236-240
       TOKENS:	P3W49-P3W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(Tul~Ab)
          POS:	NOUN
          VOC:	Tul~Ab
        GLOSS:	student/students

 INPUT STRING:	جامعة
     IS_TRANS:	jAmEp
        INDEX:	P3W45
      OFFSETS:	241-246
       TOKENS:	P3W50-P3W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAmoEap_1]
   UNSPLITVOC:	(jAmoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jAmoE+ap
        GLOSS:	university+[fem.sg.]

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P3W46
      OFFSETS:	247-254
       TOKENS:	P3W51-P3W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W47
      OFFSETS:	254-255
       TOKENS:	P3W52-P3W52
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ويذكر
     IS_TRANS:	wy*kr
        INDEX:	P4W1
      OFFSETS:	0-5
       TOKENS:	P4W1-P4W2
