 INPUT STRING:	عندما
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	الفاسدة
     IS_TRANS:	AlfAsdp
        INDEX:	P7W9
      OFFSETS:	39-46
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAsid_1]
   UNSPLITVOC:	(AlfAsidap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+fAsid+ap
        GLOSS:	the+corrupt/immoral+[fem.sg.]

 INPUT STRING:	فلقد
     IS_TRANS:	flqd
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(falaqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+laqado
        GLOSS:	so/and+already

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hak~im_1]
   UNSPLITVOC:	(Hak~im)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hak~im+(null)
        GLOSS:	rule/govern+he/it [verb]

 INPUT STRING:	الطاغية
     IS_TRANS:	AlTAgyp
        INDEX:	P8W3
      OFFSETS:	9-16
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlTAgiy_1]
   UNSPLITVOC:	(AlTAgiyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+TAgiy+ap
        GLOSS:	the+tyrant/oppressor+[fem.sg.]

 INPUT STRING:	الفرعون
     IS_TRANS:	AlfrEwn
        INDEX:	P8W4
      OFFSETS:	17-24
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlfiroEuwn_1]
   UNSPLITVOC:	(AlfiroEuwn)
          POS:	DET+ADJ
          VOC:	Al+firoEuwn
        GLOSS:	the+pharoes

 INPUT STRING:	الدكتاتور
     IS_TRANS:	AldktAtwr
        INDEX:	P8W5
      OFFSETS:	25-34
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AldikotAtuwr_1]
   UNSPLITVOC:	(AldikotAtuwr)
          POS:	DET+ADJ
          VOC:	Al+dikotAtuwr
        GLOSS:	the+dictator

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P8W6
      OFFSETS:	35-40
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P8W7
      OFFSETS:	41-43
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	بارك
     IS_TRANS:	bArk
        INDEX:	P8W8
      OFFSETS:	44-48
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bArak_1]
   UNSPLITVOC:	(bArak)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bArak+(null)
        GLOSS:	bless/approve/congratulate+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W9
      OFFSETS:	49-53
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P8W10
      OFFSETS:	54-57
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	ثلاثون
     IS_TRANS:	vlAvwn
        INDEX:	P8W11
      OFFSETS:	58-64
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[valAvuwn_1]
   UNSPLITVOC:	(valAvuwna)
          POS:	NOUN_NUM+NSUFF_MASC_PL_NOM
          VOC:	valAv+uwna
        GLOSS:	thirty/thirtieth+[masc.pl.]

 INPUT STRING:	عاما
     IS_TRANS:	EAmA
        INDEX:	P8W12
      OFFSETS:	65-69
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	EAm+AF
        GLOSS:	year+[acc.indef.]

 INPUT STRING:	فكم
     IS_TRANS:	fkm
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam_1]
   UNSPLITVOC:	(fakam)
          POS:	CONJ+INTERROG_PRON
          VOC:	fa+kam
        GLOSS:	so/and+how many/much

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P9W3
      OFFSETS:	8-11
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN.VN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	الحاشية
     IS_TRANS:	AlHA$yp
        INDEX:	P9W4
      OFFSETS:	12-19
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HA$iyap_1]
   UNSPLITVOC:	(AlHA$iyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HA$iy+ap
        GLOSS:	the+followers/supporters+[fem.sg.]

 INPUT STRING:	ايغير
     IS_TRANS:	Aygyr
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Aygyr)
          POS:	TYPO
          VOC:	Aygyr
        GLOSS:	nogloss

 INPUT STRING:	حاشية
     IS_TRANS:	HA$yp
        INDEX:	P10W2
      OFFSETS:	6-11
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HA$iyap_1]
   UNSPLITVOC:	(HA$iyap)
          POS:	NOUN
          VOC:	HA$iyap
        GLOSS:	followers

 INPUT STRING:	فاسدة
     IS_TRANS:	fAsdp
        INDEX:	P10W3
      OFFSETS:	12-17
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAsid_1]
   UNSPLITVOC:	(fAsidap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAsid+ap
        GLOSS:	corrupt/immoral+[fem.sg.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P10W4
      OFFSETS:	18-21
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	اشد
     IS_TRANS:	A$d
        INDEX:	P10W5
      OFFSETS:	22-25
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$ad~_1]
   UNSPLITVOC:	(>a$ad~)
          POS:	ADJ_COMP
          VOC:	>a$ad~
        GLOSS:	more stronger

 INPUT STRING:	فسادا
     IS_TRANS:	fsAdA
        INDEX:	P10W6
      OFFSETS:	26-31
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(fasAdAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fasAd+AF
        GLOSS:	corruption+[acc.indef.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P11W3
      OFFSETS:	8-14
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	موظفا
     IS_TRANS:	mwZfA
        INDEX:	P11W4
      OFFSETS:	15-20
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwaZ~af_2]
   UNSPLITVOC:	(muwaZ~afA)
          POS:	ADJ+NSUFF_MASC_DU_NOM_POSS
          VOC:	muwaZ~af+A
        GLOSS:	employed/hired+two

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W5
      OFFSETS:	21-23
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P11W6
      OFFSETS:	24-30
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	وله
     IS_TRANS:	wlh
        INDEX:	P11W7
      OFFSETS:	31-34
       TOKENS:	P11W7-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(wiluh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+li+uh
        GLOSS:	and+for/to+him/it

 INPUT STRING:	راتب
     IS_TRANS:	rAtb
        INDEX:	P11W8
      OFFSETS:	35-39
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAtib_1]
   UNSPLITVOC:	(rAtib)
          POS:	NOUN
          VOC:	rAtib
        GLOSS:	salary/pay

 INPUT STRING:	فمن
     IS_TRANS:	fmn
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(famin)
          POS:	CONJ+PREP
          VOC:	fa+min
        GLOSS:	so/and+from

 INPUT STRING:	أين
     IS_TRANS:	>yn
        INDEX:	P12W2
      OFFSETS:	4-7
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	أتى
     IS_TRANS:	>tY
        INDEX:	P12W3
      OFFSETS:	8-11
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ataY_1]
   UNSPLITVOC:	(>ataY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ataY+(null)
        GLOSS:	arrive/come/reach+he/it

 INPUT STRING:	الطاغية
     IS_TRANS:	AlTAgyp
        INDEX:	P12W4
      OFFSETS:	12-19
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAgiy_1]
   UNSPLITVOC:	(AlTAgiyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+TAgiy+ap
        GLOSS:	the+tyrant/oppressor+[fem.sg.]

 INPUT STRING:	بهذه
     IS_TRANS:	bh*h
        INDEX:	P12W5
      OFFSETS:	20-24
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*iha_1]
   UNSPLITVOC:	(biha*iha)
          POS:	PREP+DEM_PRON_FS
          VOC:	bi+ha*iha
        GLOSS:	with/by+this

 INPUT STRING:	الأموال
     IS_TRANS:	Al>mwAl
        INDEX:	P12W6
      OFFSETS:	25-32
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(AlAmowAl)
          POS:	DET+NOUN
          VOC:	Al+AmowAl
        GLOSS:	the+money/capital/funds/assets/capital/funds

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P12W7
      OFFSETS:	33-37
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W8
      OFFSETS:	38-40
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بنوك
     IS_TRANS:	bnwk
        INDEX:	P12W9
      OFFSETS:	41-45
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[banok_1]
   UNSPLITVOC:	(bunuwk)
          POS:	NOUN
          VOC:	bunuwk
        GLOSS:	banks

 INPUT STRING:	سويسرا
     IS_TRANS:	swysrA
        INDEX:	P12W10
      OFFSETS:	46-52
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suwiysorA_1]
   UNSPLITVOC:	(suwiysorA)
          POS:	NOUN_PROP
          VOC:	suwiysorA
        GLOSS:	Switzerland

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	أين
     IS_TRANS:	>yn
        INDEX:	P13W2
      OFFSETS:	4-7
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	لأبنائه
     IS_TRANS:	l>bnA}h
        INDEX:	P13W3
      OFFSETS:	8-15
       TOKENS:	P13W4-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(li>bonA}uh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+>bonA}+uh
        GLOSS:	for/to+sons+his

 INPUT STRING:	بامتلاك
     IS_TRANS:	bAmtlAk
        INDEX:	P13W4
      OFFSETS:	16-23
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimotlAk_1]
   UNSPLITVOC:	(biAimotlAk)
          POS:	PREP+NOUN
          VOC:	bi+AimotlAk
        GLOSS:	with/by+possession/seizure/control

 INPUT STRING:	المشروعات
     IS_TRANS:	Alm$rwEAt
        INDEX:	P13W5
      OFFSETS:	24-33
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwE_1]
   UNSPLITVOC:	(Alma$oruwEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+ma$oruwE+At
        GLOSS:	the+projects+[fem.pl.]

 INPUT STRING:	الضخمة
     IS_TRANS:	AlDxmp
        INDEX:	P13W6
      OFFSETS:	34-40
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daxom_1]
   UNSPLITVOC:	(AlD~axomap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Daxom+ap
        GLOSS:	the+large/voluminous/huge+[fem.sg.]

 INPUT STRING:	والأراضى
     IS_TRANS:	wAl>rADY
        INDEX:	P13W7
      OFFSETS:	41-49
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(wiAl>arADiy)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+>arADiy
        GLOSS:	and+the+territories/land

 INPUT STRING:	والمعروف
     IS_TRANS:	wAlmErwf
        INDEX:	P14W1
      OFFSETS:	0-8
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(waAlmaEoruwf)
          POS:	PART+DET+ADJ
          VOC:	wa+Al+maEoruwf
        GLOSS:	[part.]+the+known/well-known

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P14W2
      OFFSETS:	9-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P14W3
      OFFSETS:	12-16
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosny/Hosni

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W4
      OFFSETS:	17-19
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أسرة
     IS_TRANS:	>srp
        INDEX:	P14W5
      OFFSETS:	20-24
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usorap_1]
   UNSPLITVOC:	(>usorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>usor+ap
        GLOSS:	family/community+[fem.sg.]

 INPUT STRING:	فقيرة
     IS_TRANS:	fqyrp
        INDEX:	P14W6
      OFFSETS:	25-30
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqiyr_1]
   UNSPLITVOC:	(faqiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faqiyr+ap
        GLOSS:	poor/destitute+[fem.sg.]

 INPUT STRING:	فوالده
     IS_TRANS:	fwAldh
        INDEX:	P15W1
      OFFSETS:	0-6
       TOKENS:	P15W1-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAlid_1]
   UNSPLITVOC:	(fawAliduh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	fa+wAlid+uh
        GLOSS:	so/and+father+its/his

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P15W2
      OFFSETS:	7-10
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	حاجبا
     IS_TRANS:	HAjbA
        INDEX:	P15W3
      OFFSETS:	11-16
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(HAjbA)
          POS:	NO_FUNC
          VOC:	HAjbA
        GLOSS:	nogloss

 INPUT STRING:	بالمحكمة
     IS_TRANS:	bAlmHkmp
        INDEX:	P15W4
      OFFSETS:	17-25
       TOKENS:	P15W6-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(biAlmaHokamap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+maHokam+ap
        GLOSS:	with/by+the+court/tribunal+[fem.sg.]

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P16W2
      OFFSETS:	4-7
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P16W3
      OFFSETS:	8-12
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W4
      OFFSETS:	13-15
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P16W5
      OFFSETS:	16-23
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+TAHRIR

