 INPUT STRING:	قالت
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(salafiy)
          POS:	NOUN_PROP
          VOC:	salafiy
        GLOSS:	Salafi/Salafist

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P3W25
      OFFSETS:	122-124
       TOKENS:	P3W37-P3W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P3W26
      OFFSETS:	125-128
       TOKENS:	P3W38-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	إخوانجي
     IS_TRANS:	<xwAnjy
        INDEX:	P3W27
      OFFSETS:	129-136
       TOKENS:	P3W39-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixowAnojiy_1]
   UNSPLITVOC:	(<ixowAnojiy)
          POS:	NOUN_PROP
          VOC:	<ixowAnojiy
        GLOSS:	Ikhwany

 INPUT STRING:	وأن
     IS_TRANS:	w>n
        INDEX:	P3W28
      OFFSETS:	137-140
       TOKENS:	P3W40-P3W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P3W29
      OFFSETS:	141-145
       TOKENS:	P3W42-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	طيباً
     IS_TRANS:	TybAF
        INDEX:	P3W30
      OFFSETS:	146-151
       TOKENS:	P3W43-P3W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tayib_1]
   UNSPLITVOC:	(Tayib)
          POS:	ADJ
          VOC:	Tayib
        GLOSS:	good/pleasant

 INPUT STRING:	ومتفهما
     IS_TRANS:	wmtfhmA
        INDEX:	P3W31
      OFFSETS:	152-159
       TOKENS:	P3W44-P3W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutafah~im_1]
   UNSPLITVOC:	(wimutafah~imAF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wi+mutafah~im+AF
        GLOSS:	and+reasonable/understanding+[acc.indef.]

 INPUT STRING:	لطبيعة
     IS_TRANS:	lTbyEp
        INDEX:	P3W32
      OFFSETS:	160-166
       TOKENS:	P3W46-P3W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEap_1]
   UNSPLITVOC:	(liTabiyEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+TabiyE+ap
        GLOSS:	for/to+nature/natural+[fem.sg.]

 INPUT STRING:	عملي
     IS_TRANS:	Emly
        INDEX:	P3W33
      OFFSETS:	167-171
       TOKENS:	P3W48-P3W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eamal+iy
        GLOSS:	work/action+my

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W34
      OFFSETS:	172-173
       TOKENS:	P3W50-P3W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اقرأ
     IS_TRANS:	Aqr>
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qarA_1]
   UNSPLITVOC:	(AiqorA())
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	AiqorA+(null)
        GLOSS:	read+you [verb]

 INPUT STRING:	المقال
     IS_TRANS:	AlmqAl
        INDEX:	P4W2
      OFFSETS:	5-11
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqAl_1]
   UNSPLITVOC:	(AlmaqAl)
          POS:	DET+NOUN
          VOC:	Al+maqAl
        GLOSS:	the+article/essay

 INPUT STRING:	الأصلي
     IS_TRANS:	Al>Sly
        INDEX:	P4W3
      OFFSETS:	12-18
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>aSoliy_1]
   UNSPLITVOC:	(Al>aSoliy)
          POS:	DET+ADJ
          VOC:	Al+>aSoliy
        GLOSS:	the+original/authentic

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P4W4
      OFFSETS:	19-22
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بوابة
     IS_TRANS:	bwAbp
        INDEX:	P4W5
      OFFSETS:	23-28
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baw~Abap_1]
   UNSPLITVOC:	(baw~Abap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baw~Ab+ap
        GLOSS:	portal/gate+[fem.sg.]

 INPUT STRING:	الوفد
     IS_TRANS:	Alwfd
        INDEX:	P4W6
      OFFSETS:	29-34
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wafod_2]
   UNSPLITVOC:	(Alwafod)
          POS:	DET+NOUN_PROP
          VOC:	Al+wafod
        GLOSS:	the+Wafd

 INPUT STRING:	الاليكترونية
     IS_TRANS:	AlAlyktrwnyp
        INDEX:	P4W7
      OFFSETS:	35-47
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iliykotiruwniy_1]
   UNSPLITVOC:	(Al<iliykotiruwniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<iliykotiruwniy~+ap
        GLOSS:	the+electronic+[fem.sg.]

 INPUT STRING:	الوفد
     IS_TRANS:	Alwfd
        INDEX:	P4W8
      OFFSETS:	48-53
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wafod_2]
   UNSPLITVOC:	(Alwafod)
          POS:	DET+NOUN_PROP
          VOC:	Al+wafod
        GLOSS:	the+Wafd

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P4W9
      OFFSETS:	54-55
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	سمية
     IS_TRANS:	smyp
        INDEX:	P4W10
      OFFSETS:	56-60
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sumay~ap_1]
   UNSPLITVOC:	(sumay~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	sumay~+ap
        GLOSS:	Sumaya+[fem.sg.]

 INPUT STRING:	الخشاب
     IS_TRANS:	Alx$Ab
        INDEX:	P4W11
      OFFSETS:	61-67
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa$~Ab_2]
   UNSPLITVOC:	(Alxa$~Ab)
          POS:	DET+NOUN_PROP
          VOC:	Al+xa$~Ab
        GLOSS:	the+Khashab

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P4W12
      OFFSETS:	67-68
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P4W13
      OFFSETS:	69-73
       TOKENS:	P4W13-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nifs_1]
   UNSPLITVOC:	(nifsiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifs+iy
        GLOSS:	soul+mine

 INPUT STRING:	أتجوز
     IS_TRANS:	>tjwz
        INDEX:	P4W14
      OFFSETS:	74-79
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(Aatojaw~iz)
          POS:	IV1S+IV
          VOC:	Aa+tojaw~iz
        GLOSS:	I+marry

 INPUT STRING:	سلفى
     IS_TRANS:	slfY
        INDEX:	P4W15
      OFFSETS:	80-84
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(salafiy)
          POS:	NOUN_PROP
          VOC:	salafiy
        GLOSS:	Salafi/Salafist

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P4W16
      OFFSETS:	85-87
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	إخوانى
     IS_TRANS:	<xwAnY
        INDEX:	P4W17
      OFFSETS:	88-94
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAniy_1]
   UNSPLITVOC:	(<ixowAniy)
          POS:	NOUN_PROP
          VOC:	<ixowAniy
        GLOSS:	Ikhwany

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	رئيكم
     IS_TRANS:	r}ykm
        INDEX:	P5W2
      OFFSETS:	4-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(r}ykm)
          POS:	TYPO
          VOC:	r}ykm
        GLOSS:	nogloss

 INPUT STRING:	هههههههههههههههه
     IS_TRANS:	hhhhhhhhhhhhhhhh
        INDEX:	P6W1
      OFFSETS:	0-16
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laughing

 INPUT STRING:	تجوز
     IS_TRANS:	tjwz
        INDEX:	P6W2
      OFFSETS:	17-21
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~iz_1]
   UNSPLITVOC:	(tijaw~iz)
          POS:	IV3FS+IV
          VOC:	ti+jaw~iz
        GLOSS:	she/it/they+marry

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P6W3
      OFFSETS:	22-26
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P6W4
      OFFSETS:	27-31
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	ماهى
     IS_TRANS:	mAhY
        INDEX:	P6W5
      OFFSETS:	32-36
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(mAhiy~a)
          POS:	PART+PRON_3FS
          VOC:	mA+hiy~a
        GLOSS:	[part.]+she/it/they

 INPUT STRING:	متجوزة
     IS_TRANS:	mtjwzp
        INDEX:	P6W6
      OFFSETS:	37-43
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitojaw~iz_1]
   UNSPLITVOC:	(mitojaw~izap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mitojaw~iz+ap
        GLOSS:	married+[fem.sg.]

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P6W7
      OFFSETS:	44-48
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	originally/primarily+[acc.indef.]

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P6W8
      OFFSETS:	49-52
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	EXCLAM_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الهبل
     IS_TRANS:	Alhbl
        INDEX:	P6W9
      OFFSETS:	53-58
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahobal_1]
   UNSPLITVOC:	(Alhibol)
          POS:	DET+ADJ
          VOC:	Al+hibol
        GLOSS:	the+Idiocy

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P6W10
      OFFSETS:	59-61
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it/they

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P7W2
      OFFSETS:	3-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P7W3
      OFFSETS:	7-11
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for/to+her/it/them

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P7W4
      OFFSETS:	12-15
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafas_1]
   UNSPLITVOC:	(nafas)
          POS:	NOUN
          VOC:	nafas
        GLOSS:	desire

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P7W5
      OFFSETS:	16-18
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	داخله
     IS_TRANS:	dAxlh
        INDEX:	P7W6
      OFFSETS:	19-24
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dAxol+ap
        GLOSS:	entering+[fem.sg.]

 INPUT STRING:	عالستين
     IS_TRANS:	EAlstyn
        INDEX:	P7W7
      OFFSETS:	25-32
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sitiyn_1]
   UNSPLITVOC:	(EAls~itiyn)
          POS:	PREP+DET+NOUN_NUM
          VOC:	Ea+Al+sitiyn
        GLOSS:	on/above+the+sixty

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جماعة
     IS_TRANS:	jmAEp
        INDEX:	P8W2
      OFFSETS:	3-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P8W3
      OFFSETS:	9-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P8W4
      OFFSETS:	12-17
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+say

 INPUT STRING:	زوج
     IS_TRANS:	zwj
        INDEX:	P8W5
      OFFSETS:	18-21
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawj_1]
   UNSPLITVOC:	(zawj)
          POS:	NOUN
          VOC:	zawj
        GLOSS:	spouse/husband

 INPUT STRING:	يتفهم
     IS_TRANS:	ytfhm
        INDEX:	P8W6
      OFFSETS:	22-27
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofaham_1]
   UNSPLITVOC:	(yitofihim)
          POS:	IV3MS+IV
          VOC:	yi+tofihim
        GLOSS:	he/it+come to understand/comprehend

 INPUT STRING:	طبيعى
     IS_TRANS:	TbyEY
        INDEX:	P8W7
      OFFSETS:	28-33
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(TabiyEiy)
          POS:	ADJ
          VOC:	TabiyEiy
        GLOSS:	natural/normal

 INPUT STRING:	عملى
     IS_TRANS:	EmlY
        INDEX:	P8W8
      OFFSETS:	34-38
       TOKENS:	P8W9-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eamal+iy
        GLOSS:	work/action+my

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P9W2
      OFFSETS:	5-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	تتجوز
     IS_TRANS:	ttjwz
        INDEX:	P9W3
      OFFSETS:	11-16
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(titojaw~iz)
          POS:	IV3FS+IV
          VOC:	ti+tojaw~iz
        GLOSS:	it/they/she+marry

 INPUT STRING:	ستالايت
     IS_TRANS:	stAlAyt
        INDEX:	P9W4
      OFFSETS:	17-24
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(stAlAyt)
          POS:	FOREIGN
          VOC:	stAlAyt
        GLOSS:	nogloss

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يهديها
     IS_TRANS:	yhdyhA
        INDEX:	P10W2
      OFFSETS:	5-11
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiyhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+hodiy+hA
        GLOSS:	he/it+guide/direct/lead+it/them/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W3
      OFFSETS:	11-12
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W4
      OFFSETS:	12-13
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P10W5
      OFFSETS:	14-18
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+concern/signify/mean

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P10W6
      OFFSETS:	19-21
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it/they

 INPUT STRING:	هتفضل
     IS_TRANS:	htfDl
        INDEX:	P10W7
      OFFSETS:	22-27
       TOKENS:	P10W9-P10W10
