 INPUT STRING:	لقد
        INDEX:	P5W8
      OFFSETS:	32-39
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ixwAn_1]
   UNSPLITVOC:	(Al>ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+>ixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	المسلمون
     IS_TRANS:	Almslmwn
        INDEX:	P5W9
      OFFSETS:	40-48
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolimuwn_1]
   UNSPLITVOC:	(Almusolimuwn)
          POS:	DET+NOUN_PROP
          VOC:	Al+musolimuwn
        GLOSS:	the+muslims

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W10
      OFFSETS:	49-50
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W11
      OFFSETS:	51-52
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	جعل
     IS_TRANS:	jEl
        INDEX:	P5W12
      OFFSETS:	53-56
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEol_1]
   UNSPLITVOC:	(jaEol)
          POS:	NOUN.VN
          VOC:	jaEol
        GLOSS:	making/bringing about/appointing

 INPUT STRING:	الجماعة
     IS_TRANS:	AljmAEp
        INDEX:	P5W13
      OFFSETS:	57-64
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(AljamAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jamAE+ap
        GLOSS:	the+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	قاصرة
     IS_TRANS:	qASrp
        INDEX:	P5W14
      OFFSETS:	65-70
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qASir_1]
   UNSPLITVOC:	(qASirap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qASir+ap
        GLOSS:	limited/restricted+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W15
      OFFSETS:	71-74
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الجانب
     IS_TRANS:	AljAnb
        INDEX:	P5W16
      OFFSETS:	75-81
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(AljAnib)
          POS:	DET+NOUN
          VOC:	Al+jAnib
        GLOSS:	the+side/aspect/next /beside/sides/aspects

 INPUT STRING:	الدعوى
     IS_TRANS:	AldEwY
        INDEX:	P5W17
      OFFSETS:	82-88
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AldaEawiy_1]
   UNSPLITVOC:	(AldaEawiy)
          POS:	DET+ADJ
          VOC:	Al+daEawiy
        GLOSS:	the+(Islamic) mission/Da'wah-related/propagandistic

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P5W18
      OFFSETS:	89-92
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W19
      OFFSETS:	93-94
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W20
      OFFSETS:	95-96
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P5W21
      OFFSETS:	97-101
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	خاضعة
     IS_TRANS:	xADEp
        INDEX:	P5W22
      OFFSETS:	102-107
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xADiE_1]
   UNSPLITVOC:	(xADiEap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	xADiE+ap
        GLOSS:	subservient/obedient/subject+[fem.sg.]

 INPUT STRING:	لاشراف
     IS_TRANS:	lA$rAf
        INDEX:	P5W23
      OFFSETS:	108-114
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$orAf_1]
   UNSPLITVOC:	(liAi$orAf)
          POS:	PREP+NOUN
          VOC:	li+Ai$orAf
        GLOSS:	for/to+supervision/direction/patronage

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P5W24
      OFFSETS:	115-121
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P5W25
      OFFSETS:	122-125
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as/like/such as/the likes of

 INPUT STRING:	باقى
     IS_TRANS:	bAqY
        INDEX:	P5W26
      OFFSETS:	126-130
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(bAqiy)
          POS:	NOUN
          VOC:	bAqiy
        GLOSS:	remaining

 INPUT STRING:	الجمعيات
     IS_TRANS:	AljmEyAt
        INDEX:	P5W27
      OFFSETS:	131-139
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamoEiy~ap_1]
   UNSPLITVOC:	(AljamoEiy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+jamoEiy~+At
        GLOSS:	the+associations/societies+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W28
      OFFSETS:	139-140
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	خامسا
     IS_TRANS:	xAmsA
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAmis_1]
   UNSPLITVOC:	(xAmisAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	xAmis+AF
        GLOSS:	fifth+[acc.indef.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W2
      OFFSETS:	6-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	اعلانهم
     IS_TRANS:	AElAnhm
        INDEX:	P6W3
      OFFSETS:	8-15
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiElAn_1]
   UNSPLITVOC:	(AiElAnhum)
          POS:	NOUN.VN+POSS_PRON_3P
          VOC:	AiElAn+hum
        GLOSS:	declaration/statement/announcement+their

 INPUT STRING:	قبول
     IS_TRANS:	qbwl
        INDEX:	P6W4
      OFFSETS:	16-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qubuwl_1]
   UNSPLITVOC:	(qubuwl)
          POS:	NOUN
          VOC:	qubuwl
        GLOSS:	reception/approval/admission/acceptance

 INPUT STRING:	الديموقراطية
     IS_TRANS:	AldymwqrATyp
        INDEX:	P6W5
      OFFSETS:	21-33
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diymuqrATiy~ap_1]
   UNSPLITVOC:	(AldiymuwqrATiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+diymuwqrATiy~+ap
        GLOSS:	the+democracy+[fem.sg.]

 INPUT STRING:	ونتائجها
     IS_TRANS:	wntA}jhA
        INDEX:	P6W6
      OFFSETS:	34-42
       TOKENS:	P6W7-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(winatA}ijhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+natA}ij+hA
        GLOSS:	and+results/consequences+its/their/her

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W7
      OFFSETS:	43-44
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فلو
     IS_TRANS:	flw
        INDEX:	P6W8
      OFFSETS:	45-48
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(falaw)
          POS:	CONJ+SUB_CONJ
          VOC:	fa+law
        GLOSS:	so/and+if

 INPUT STRING:	أراد
     IS_TRANS:	>rAd
        INDEX:	P6W9
      OFFSETS:	49-53
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(>arAd)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>arAd+(null)
        GLOSS:	want/desire/intend/be desired/be intended+he/it

 INPUT STRING:	المصريون
     IS_TRANS:	AlmSrywn
        INDEX:	P6W10
      OFFSETS:	54-62
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmiSoriy~_1]
   UNSPLITVOC:	(AlmiSoriy~uwn)
          POS:	DET+NOUN+NSUFF_MASC_PL_NOM
          VOC:	Al+miSoriy~+uwn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	انتخاب
     IS_TRANS:	AntxAb
        INDEX:	P6W11
      OFFSETS:	63-69
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAb_1]
   UNSPLITVOC:	(AinotixAb)
          POS:	NOUN
          VOC:	AinotixAb
        GLOSS:	election/selection

 INPUT STRING:	قبطى
     IS_TRANS:	qbTY
        INDEX:	P6W12
      OFFSETS:	70-74
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(qiboTiy)
          POS:	ADJ
          VOC:	qiboTiy
        GLOSS:	Coptic

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P6W13
      OFFSETS:	75-77
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	امرأة
     IS_TRANS:	Amr>p
        INDEX:	P6W14
      OFFSETS:	78-83
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aimra>ap_1]
   UNSPLITVOC:	(Aimra>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Aimra>+ap
        GLOSS:	woman+[fem.sg.]

 INPUT STRING:	لرئاسة
     IS_TRANS:	lr}Asp
        INDEX:	P6W15
      OFFSETS:	84-90
       TOKENS:	P6W19-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(liri}Asap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+ri}As+ap
        GLOSS:	for/to+presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W16
      OFFSETS:	91-94
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W17
      OFFSETS:	95-96
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	أعلن
     IS_TRANS:	>Eln
        INDEX:	P6W18
      OFFSETS:	97-101
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(>aEolan)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aEolan+(null)
        GLOSS:	announce/declare/be announced/be declared+he/it

 INPUT STRING:	جماعة
     IS_TRANS:	jmAEp
        INDEX:	P6W19
      OFFSETS:	102-107
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P6W20
      OFFSETS:	108-115
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixwAn_1]
   UNSPLITVOC:	(AlAixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+AixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	المسلمون
     IS_TRANS:	Almslmwn
        INDEX:	P6W21
      OFFSETS:	116-124
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolimuwn_1]
   UNSPLITVOC:	(Almusolimuwn)
          POS:	DET+NOUN_PROP
          VOC:	Al+musolimuwn
        GLOSS:	the+muslims

 INPUT STRING:	قبولهم
     IS_TRANS:	qbwlhm
        INDEX:	P6W22
      OFFSETS:	125-131
       TOKENS:	P6W27-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qubuwl_1]
   UNSPLITVOC:	(qubuwlhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	qubuwl+hum
        GLOSS:	reception/approval/admission/acceptance+their

 INPUT STRING:	لنتائج
     IS_TRANS:	lntA}j
        INDEX:	P6W23
      OFFSETS:	132-138
       TOKENS:	P6W29-P6W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natijap_1]
   UNSPLITVOC:	(linatA}ij)
          POS:	PREP+NOUN
          VOC:	li+natA}ij
        GLOSS:	for/to+results/consequences

 INPUT STRING:	الديوقراطية
     IS_TRANS:	AldywqrATyp
        INDEX:	P6W24
      OFFSETS:	139-150
       TOKENS:	P6W31-P6W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AldywqrATyp)
          POS:	TYPO
          VOC:	AldywqrATyp
        GLOSS:	nogloss

 INPUT STRING:	مادام
     IS_TRANS:	mAdAm
        INDEX:	P6W25
      OFFSETS:	151-156
       TOKENS:	P6W32-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAm_1]
   UNSPLITVOC:	(mA_dAm)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS
          VOC:	mA+dAm+(null)
        GLOSS:	not+last/persevere/continue+he/it

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P6W26
      OFFSETS:	157-160
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*A)
          POS:	DEM_PRON_MS
          VOC:	h`*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	اختيار
     IS_TRANS:	AxtyAr
        INDEX:	P6W27
      OFFSETS:	161-167
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotiyAr_1]
   UNSPLITVOC:	(AixotiyAr)
          POS:	NOUN
          VOC:	AixotiyAr
        GLOSS:	choice/selection/preference

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P6W28
      OFFSETS:	168-173
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W29
      OFFSETS:	173-174
       TOKENS:	P6W37-P6W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مرحبا
     IS_TRANS:	mrHbA
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maroHab_1]
   UNSPLITVOC:	(maroHabAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maroHab+AF
        GLOSS:	welcome!/hello!+[acc.indef.]

 INPUT STRING:	بجماعة
     IS_TRANS:	bjmAEp
        INDEX:	P7W2
      OFFSETS:	6-12
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(bijamAEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+jamAE+ap
        GLOSS:	with/by+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P7W3
      OFFSETS:	13-20
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixwAn_1]
   UNSPLITVOC:	(AlAixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+AixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	المسلمون
     IS_TRANS:	Almslmwn
        INDEX:	P7W4
      OFFSETS:	21-29
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolimuwn_1]
   UNSPLITVOC:	(Almusolimuwn)
          POS:	DET+NOUN_PROP
          VOC:	Al+musolimuwn
        GLOSS:	the+muslims

 INPUT STRING:	كفصيل
     IS_TRANS:	kfSyl
        INDEX:	P7W5
      OFFSETS:	30-35
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faSiyl_1]
   UNSPLITVOC:	(kafaSiyl)
          POS:	PREP+NOUN
          VOC:	ka+faSiyl
        GLOSS:	like/such+cell/branch/group

 INPUT STRING:	ضمن
     IS_TRANS:	Dmn
        INDEX:	P7W6
      OFFSETS:	36-39
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dimon_1]
   UNSPLITVOC:	(Dimon)
          POS:	NOUN
          VOC:	Dimon
        GLOSS:	within/inside/among

 INPUT STRING:	فصائل
     IS_TRANS:	fSA}l
        INDEX:	P7W7
      OFFSETS:	40-45
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faSiyl_1]
   UNSPLITVOC:	(faSA}il)
          POS:	NOUN
          VOC:	faSA}il
        GLOSS:	cell/branch/group

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P7W8
      OFFSETS:	46-53
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P7W9
      OFFSETS:	54-60
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P7W10
      OFFSETS:	60-61
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W11
      OFFSETS:	62-63
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	مرحبا
     IS_TRANS:	mrHbA
        INDEX:	P7W12
      OFFSETS:	64-69
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maroHab_1]
   UNSPLITVOC:	(maroHabAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maroHab+AF
        GLOSS:	welcome!/hello!+[acc.indef.]

 INPUT STRING:	بالحوار
     IS_TRANS:	bAlHwAr
        INDEX:	P7W13
      OFFSETS:	70-77
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(biAlHiwAr)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+HiwAr
        GLOSS:	with/by+the+conversation/dialogue/discussion/dialogue/discussions/talks

 INPUT STRING:	معهم
     IS_TRANS:	mEhm
        INDEX:	P7W14
      OFFSETS:	78-82
       TOKENS:	P7W17-P7W18
