 INPUT STRING:	افتحوا
      COMMENT:	[]
        LEMMA:	[jawz_1]
   UNSPLITVOC:	(juwziy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	juwz+iy
        GLOSS:	husband/spouse+my

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P12W31
      OFFSETS:	153-156
       TOKENS:	P12W40-P12W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	EXCLAM_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W32
      OFFSETS:	157-159
       TOKENS:	P12W41-P12W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P13W2
      OFFSETS:	3-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hawl_1]
   UNSPLITVOC:	(Hawl)
          POS:	NOUN
          VOC:	Hawl
        GLOSS:	about/around/concerning/power

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P13W3
      OFFSETS:	7-10
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	قوة
     IS_TRANS:	qwp
        INDEX:	P13W4
      OFFSETS:	11-14
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength/force/violence/armed forces/forces+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P13W5
      OFFSETS:	15-18
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	except

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P13W6
      OFFSETS:	19-24
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P13W7
      OFFSETS:	25-29
       TOKENS:	P13W9-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يهدينا
     IS_TRANS:	yhdynA
        INDEX:	P13W8
      OFFSETS:	30-36
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiynA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+hodiy+nA
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led+us

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P13W9
      OFFSETS:	37-43
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P13W10
      OFFSETS:	44-46
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P13W11
      OFFSETS:	47-51
       TOKENS:	P13W15-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P13W12
      OFFSETS:	52-54
       TOKENS:	P13W16-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P13W13
      OFFSETS:	55-60
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	بتحصل
     IS_TRANS:	btHSl
        INDEX:	P13W14
      OFFSETS:	61-66
       TOKENS:	P13W18-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(bitiHoSal)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+HoSal
        GLOSS:	[present-tense]+it/they/she+obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P13W15
      OFFSETS:	67-71
       TOKENS:	P13W20-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+be/became/become/last/remain

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P13W16
      OFFSETS:	72-77
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+troops/army

 INPUT STRING:	والدخلية
     IS_TRANS:	wAldxlyp
        INDEX:	P13W17
      OFFSETS:	78-86
       TOKENS:	P13W22-P13W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daxliy~ap_1]
   UNSPLITVOC:	(waAldaxliy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wa+Al+daxliy~+ap
        GLOSS:	and+the+interior of state+[fem.sg.]

 INPUT STRING:	لطفك
     IS_TRANS:	lTfk
        INDEX:	P13W18
      OFFSETS:	87-91
       TOKENS:	P13W24-P13W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luTof_1]
   UNSPLITVOC:	(luTofak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	luTof+ak
        GLOSS:	gentleness/civility+your [masc.sg.]

 INPUT STRING:	بينا
     IS_TRANS:	bynA
        INDEX:	P13W19
      OFFSETS:	92-96
       TOKENS:	P13W26-P13W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biynA)
          POS:	PREP+PRON_1P
          VOC:	bi+nA
        GLOSS:	with/by/him/them/her+us

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P13W20
      OFFSETS:	97-101
       TOKENS:	P13W28-P13W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	لالالالالالالالالالالالالالالا
     IS_TRANS:	lAlAlAlAlAlAlAlAlAlAlAlAlAlAlA
        INDEX:	P14W1
      OFFSETS:	0-30
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	اوعى
     IS_TRANS:	AwEY
        INDEX:	P14W2
      OFFSETS:	31-35
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(>uwEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	>uwE+iy
        GLOSS:	be aware of/pay attention to/be paid attention to+you

 INPUT STRING:	تقولى
     IS_TRANS:	tqwlY
        INDEX:	P14W3
      OFFSETS:	36-41
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tuquwliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	tu+quwl+iy
        GLOSS:	you+said/say/be said/(for example)+[fem.sg.]

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P14W4
      OFFSETS:	42-48
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	ruffian/gangster+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W5
      OFFSETS:	48-49
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W6
      OFFSETS:	49-50
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W7
      OFFSETS:	50-51
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	عييييييييييييب
     IS_TRANS:	Eyyyyyyyyyyyyb
        INDEX:	P14W8
      OFFSETS:	51-65
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eayb_1]
   UNSPLITVOC:	(Eayb)
          POS:	NOUN
          VOC:	Eayb
        GLOSS:	shame /fault

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/this

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W2
      OFFSETS:	4-6
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P15W3
      OFFSETS:	7-13
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangester/ruffian/gangster+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W4
      OFFSETS:	13-14
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W5
      OFFSETS:	14-15
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P15W6
      OFFSETS:	15-16
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P15W7
      OFFSETS:	16-19
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/this

 INPUT STRING:	ثوار
     IS_TRANS:	vwAr
        INDEX:	P15W8
      OFFSETS:	20-24
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vA}ir_1]
   UNSPLITVOC:	(vuw~Ar)
          POS:	ADJ
          VOC:	vuw~Ar
        GLOSS:	revolutionaries

 INPUT STRING:	احرار
     IS_TRANS:	AHrAr
        INDEX:	P15W9
      OFFSETS:	25-30
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(AHorAr)
          POS:	ADJ
          VOC:	AHorAr
        GLOSS:	free/independent

 INPUT STRING:	هههههههههه
     IS_TRANS:	hhhhhhhhhh
        INDEX:	P15W10
      OFFSETS:	31-41
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	sound of laugh

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(walaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+law
        GLOSS:	and+if

 INPUT STRING:	مصممة
     IS_TRANS:	mSmmp
        INDEX:	P16W2
      OFFSETS:	4-9
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSam~im_1]
   UNSPLITVOC:	(muSam~imap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	muSam~im+ap
        GLOSS:	determined/resolute+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P16W3
      OFFSETS:	10-14
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P16W4
      OFFSETS:	15-19
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P16W5
      OFFSETS:	20-26
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baloTajiy~_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[fem.sg.]

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+be/became/become/last/remain

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P17W2
      OFFSETS:	5-10
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+troops/army

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P17W3
      OFFSETS:	11-15
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	باعتهم
     IS_TRANS:	bAEthm
        INDEX:	P17W4
      OFFSETS:	16-22
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAEit_1]
   UNSPLITVOC:	(bAEothum)
          POS:	ADJ+PRON_3P
          VOC:	bAEot+hum
        GLOSS:	sender/incentive/motive/incentives/motives/sending/provider+they

 INPUT STRING:	انما
     IS_TRANS:	AnmA
        INDEX:	P17W5
      OFFSETS:	23-27
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	RESTRIC_PART
          VOC:	<in~amA
        GLOSS:	but rather/indeed

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P17W6
      OFFSETS:	28-30
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P17W7
      OFFSETS:	31-33
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one/someone

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P17W8
      OFFSETS:	34-38
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	لالالالالالالالالالالالا
     IS_TRANS:	lAlAlAlAlAlAlAlAlAlAlAlA
        INDEX:	P17W9
      OFFSETS:	39-63
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P17W10
      OFFSETS:	64-68
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced+[fem.sg.]

 INPUT STRING:	جداااااااااا
     IS_TRANS:	jdAAAAAAAAAA
        INDEX:	P18W2
      OFFSETS:	6-18
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~_2]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very much+[acc.indef.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	المستعاااااان
     IS_TRANS:	AlmstEAAAAAAn
        INDEX:	P19W2
      OFFSETS:	5-18
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmustEAn_1]
   UNSPLITVOC:	(AlmustEAn)
          POS:	DET+ADJ
          VOC:	Al+mustEAn
        GLOSS:	the+asked for help

 INPUT STRING:	طبعااااااااااااااااااااااا
     IS_TRANS:	TbEAAAAAAAAAAAAAAAAAAAAAAA
        INDEX:	P20W1
      OFFSETS:	0-26
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabE_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TabE+AF
        GLOSS:	naturally/ofcourse+[indef.acc.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P20W2
      OFFSETS:	27-29
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him

 INPUT STRING:	بلطجيه
     IS_TRANS:	blTjyh
        INDEX:	P20W3
      OFFSETS:	30-36
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	ruffian/gangster+[fem.sg.]

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P21W1
      OFFSETS:	0-2
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	well/ok/good

 INPUT STRING:	مسمعتوش
     IS_TRANS:	msmEtw$
        INDEX:	P21W2
      OFFSETS:	3-10
       TOKENS:	P21W2-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
