 INPUT STRING:	وما
   UNSPLITVOC:	($uftuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	$uf+tuwA
        GLOSS:	look+you

 INPUT STRING:	الحوار
     IS_TRANS:	AlHwAr
        INDEX:	P327W2
      OFFSETS:	6-12
       TOKENS:	P327W2-P327W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(AlHiwAr)
          POS:	DET+NOUN
          VOC:	Al+HiwAr
        GLOSS:	the+conversation/dialogue/discussion/discussions/talks

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P327W3
      OFFSETS:	13-15
       TOKENS:	P327W3-P327W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P328W1
      OFFSETS:	0-2
       TOKENS:	P328W1-P328W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	تقولي
     IS_TRANS:	tqwly
        INDEX:	P328W2
      OFFSETS:	3-8
       TOKENS:	P328W2-P328W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+quwl+iy
        GLOSS:	you+said/say/be said/(for example)+you

 INPUT STRING:	لهاش
     IS_TRANS:	lhA$
        INDEX:	P328W3
      OFFSETS:	9-13
       TOKENS:	P328W3-P328W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA$)
          POS:	PREP+PRON_3FS+NEG_PART
          VOC:	li+hA+$
        GLOSS:	to/for+her/it/them+not

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P328W4
      OFFSETS:	14-16
       TOKENS:	P328W6-P328W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	بصيت
     IS_TRANS:	bSyt
        INDEX:	P328W5
      OFFSETS:	17-21
       TOKENS:	P328W7-P328W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(baS~iyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baS~+iyt
        GLOSS:	look/glow/sparkle+I

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P328W6
      OFFSETS:	22-24
       TOKENS:	P328W8-P328W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدم
     IS_TRANS:	Aldm
        INDEX:	P328W7
      OFFSETS:	25-29
       TOKENS:	P328W9-P328W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Aldm)
          POS:	FOREIGN
          VOC:	Aldm
        GLOSS:	nogloss

 INPUT STRING:	لقيت
     IS_TRANS:	lqyt
        INDEX:	P328W8
      OFFSETS:	30-34
       TOKENS:	P328W10-P328W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(laqiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	laq+iyt
        GLOSS:	find/be found/exist/ascertain/come upon/modal of probability/encounter/discover+I

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P328W9
      OFFSETS:	35-37
       TOKENS:	P328W11-P328W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P328W10
      OFFSETS:	38-41
       TOKENS:	P328W12-P328W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	بالضبط
     IS_TRANS:	bAlDbT
        INDEX:	P328W11
      OFFSETS:	42-48
       TOKENS:	P328W13-P328W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaboT_1]
   UNSPLITVOC:	(biAlDaboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+DaboT
        GLOSS:	with/by+the+adjusting/regulating/precision/seizure/confiscation

 INPUT STRING:	”
     IS_TRANS:	&#x201d;
        INDEX:	P329W1
      OFFSETS:	0-1
       TOKENS:	P329W1-P329W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x201d;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	صحيتي
     IS_TRANS:	SHyty
        INDEX:	P329W2
      OFFSETS:	1-6
       TOKENS:	P329W2-P329W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiHiy_1]
   UNSPLITVOC:	(SiHiytiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	SiHiy+tiy
        GLOSS:	wake up/be alert/be roused+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P329W3
      OFFSETS:	7-9
       TOKENS:	P329W3-P329W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P329W4
      OFFSETS:	10-16
       TOKENS:	P329W4-P329W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P329W5
      OFFSETS:	16-17
       TOKENS:	P329W6-P329W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	صباحية
     IS_TRANS:	SbAHyp
        INDEX:	P329W6
      OFFSETS:	18-24
       TOKENS:	P329W7-P329W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SabAHiy_1]
   UNSPLITVOC:	(SabAHiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SabAHiy~+ap
        GLOSS:	morning/matinal+[fem.sg.]

 INPUT STRING:	مباركة
     IS_TRANS:	mbArkp
        INDEX:	P329W7
      OFFSETS:	25-31
       TOKENS:	P329W8-P329W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArokap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mubArok+ap
        GLOSS:	blessed/fortunate+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P329W8
      OFFSETS:	32-34
       TOKENS:	P329W9-P329W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيقولوا
     IS_TRANS:	byqwlwA
        INDEX:	P329W9
      OFFSETS:	35-42
       TOKENS:	P329W10-P329W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+quwl+uwA
        GLOSS:	[present-tense]+they+said/say/be said/(for example)+[pl.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P329W10
      OFFSETS:	43-46
       TOKENS:	P329W12-P329W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P329W11
      OFFSETS:	47-51
       TOKENS:	P329W13-P329W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P329W12
      OFFSETS:	51-52
       TOKENS:	P329W14-P329W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	”
     IS_TRANS:	&#x201d;
        INDEX:	P329W13
      OFFSETS:	52-53
       TOKENS:	P329W15-P329W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x201d;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	شادي
     IS_TRANS:	$Ady
        INDEX:	P329W14
      OFFSETS:	54-58
       TOKENS:	P329W16-P329W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Adiy_1]
   UNSPLITVOC:	($Adiy)
          POS:	NOUN_PROP
          VOC:	$Adiy
        GLOSS:	Shadi

 INPUT STRING:	”
     IS_TRANS:	&#x201d;
        INDEX:	P330W1
      OFFSETS:	0-1
       TOKENS:	P330W1-P330W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x201d;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	حاحههه
     IS_TRANS:	HAHhhh
        INDEX:	P330W2
      OFFSETS:	1-7
       TOKENS:	P330W2-P330W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(HAHahahaha)
          POS:	INTERJ
          VOC:	HAHahahaha
        GLOSS:	laughing

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P330W3
      OFFSETS:	8-12
       TOKENS:	P330W3-P330W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P330W4
      OFFSETS:	13-15
       TOKENS:	P330W4-P330W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حبيبي
     IS_TRANS:	Hbyby
        INDEX:	P330W5
      OFFSETS:	16-21
       TOKENS:	P330W5-P330W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Habiyb+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	”
     IS_TRANS:	&#x201d;
        INDEX:	P330W6
      OFFSETS:	21-22
       TOKENS:	P330W7-P330W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x201d;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	نورهان
     IS_TRANS:	nwrhAn
        INDEX:	P330W7
      OFFSETS:	23-29
       TOKENS:	P330W8-P330W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuwrohAn_1]
   UNSPLITVOC:	(nuwrohAn)
          POS:	NOUN_PROP
          VOC:	nuwrohAn
        GLOSS:	Norhan

 INPUT STRING:	مات
     IS_TRANS:	mAt
        INDEX:	P331W1
      OFFSETS:	0-3
       TOKENS:	P331W1-P331W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(mAt)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	mAt+(null)
        GLOSS:	die/pass away+he/it

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P331W2
      OFFSETS:	4-10
       TOKENS:	P331W2-P331W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P332W1
      OFFSETS:	0-3
       TOKENS:	P332W1-P332W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	أبقى
     IS_TRANS:	>bqY
        INDEX:	P332W2
      OFFSETS:	4-8
       TOKENS:	P332W2-P332W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(AaboqaY)
          POS:	IV1S+IV
          VOC:	Aa+boqaY
        GLOSS:	I+become/begin/start/be/begin a new day

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P332W3
      OFFSETS:	9-11
       TOKENS:	P332W3-P332W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	راجل
     IS_TRANS:	rAjl
        INDEX:	P332W4
      OFFSETS:	12-16
       TOKENS:	P332W4-P332W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rAjil)
          POS:	NOUN
          VOC:	rAjil
        GLOSS:	man/men/pedestrian/pedestrians

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P332W5
      OFFSETS:	17-19
       TOKENS:	P332W5-P332W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P332W6
      OFFSETS:	20-22
       TOKENS:	P332W6-P332W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P332W7
      OFFSETS:	23-25
       TOKENS:	P332W7-P332W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	يضايقنيش
     IS_TRANS:	yDAyqny$
        INDEX:	P332W8
      OFFSETS:	26-34
       TOKENS:	P332W8-P332W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAyiq_1]
   UNSPLITVOC:	(yiDAyiqniy$)
          POS:	IV3MS+IV+IVSUFF_DO:1S+NEG_PART
          VOC:	yi+DAyiq+niy+$
        GLOSS:	he/it+disturb/bother+me+not

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P332W9
      OFFSETS:	35-39
       TOKENS:	P332W11-P332W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P332W10
      OFFSETS:	40-43
       TOKENS:	P332W13-P332W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	قابل
     IS_TRANS:	qAbl
        INDEX:	P332W11
      OFFSETS:	44-48
       TOKENS:	P332W14-P332W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAbil_1]
   UNSPLITVOC:	(qAbil)
          POS:	ADJ.VN
          VOC:	qAbil
        GLOSS:	capable/able

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P332W12
      OFFSETS:	49-52
       TOKENS:	P332W15-P332W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+her/it/them

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P332W13
      OFFSETS:	53-57
       TOKENS:	P332W17-P332W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	كفاية
     IS_TRANS:	kfAyp
        INDEX:	P332W14
      OFFSETS:	58-63
       TOKENS:	P332W18-P332W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	sufficiency/competence+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P332W15
      OFFSETS:	64-67
       TOKENS:	P332W19-P332W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P333W1
      OFFSETS:	0-2
       TOKENS:	P333W1-P333W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P333W2
      OFFSETS:	3-6
       TOKENS:	P333W2-P333W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P333W3
      OFFSETS:	7-10
       TOKENS:	P333W3-P333W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+her/it/them

 INPUT STRING:	هزارك
     IS_TRANS:	hzArk
        INDEX:	P333W4
      OFFSETS:	11-16
       TOKENS:	P333W5-P333W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hizAr_1]
   UNSPLITVOC:	(hizArik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	hizAr+ik
        GLOSS:	joking+your

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P333W5
      OFFSETS:	17-19
       TOKENS:	P333W7-P333W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الرجالة
     IS_TRANS:	AlrjAlp
        INDEX:	P333W6
      OFFSETS:	20-27
       TOKENS:	P333W8-P333W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alrij~Alap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+rij~Al+ap
        GLOSS:	the+man/men/pedestrian/pedestrians+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P333W7
      OFFSETS:	28-30
       TOKENS:	P333W9-P333W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P333W8
      OFFSETS:	31-35
       TOKENS:	P333W10-P333W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تغيريه
     IS_TRANS:	tgyryh
        INDEX:	P333W9
      OFFSETS:	36-42
       TOKENS:	P333W11-P333W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(tigay~ariyh)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	ti+gay~ar+iy+uh
        GLOSS:	you+change/modify+you+it/him

 INPUT STRING:	بعدين
     IS_TRANS:	bEdyn
        INDEX:	P334W1
      OFFSETS:	0-5
       TOKENS:	P334W1-P334W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEodiyn_1]
   UNSPLITVOC:	(baEodiyn)
          POS:	ADV
          VOC:	baEodiyn
        GLOSS:	then

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P335W1
      OFFSETS:	0-2
       TOKENS:	P335W1-P335W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P335W2
      OFFSETS:	3-5
       TOKENS:	P335W2-P335W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P335W3
      OFFSETS:	6-11
       TOKENS:	P335W3-P335W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	تغيري
     IS_TRANS:	tgyry
        INDEX:	P335W4
      OFFSETS:	12-17
       TOKENS:	P335W4-P335W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(tigay~ariy)
