 INPUT STRING:	ازيه
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced+[fem.sg.]

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P98W1
      OFFSETS:	0-5
       TOKENS:	P98W1-P98W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P98W2
      OFFSETS:	6-10
       TOKENS:	P98W2-P98W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	أني
     IS_TRANS:	>ny
        INDEX:	P98W3
      OFFSETS:	11-14
       TOKENS:	P98W3-P98W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	غسلت
     IS_TRANS:	gslt
        INDEX:	P98W4
      OFFSETS:	15-19
       TOKENS:	P98W5-P98W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gasal_1]
   UNSPLITVOC:	(gasalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	gasal+t
        GLOSS:	wash/clean+I

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P98W5
      OFFSETS:	20-25
       TOKENS:	P98W6-P98W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P99W1
      OFFSETS:	0-2
       TOKENS:	P99W1-P99W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P99W2
      OFFSETS:	3-8
       TOKENS:	P99W2-P99W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P100W1
      OFFSETS:	0-2
       TOKENS:	P100W1-P100W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	الدكتوره
     IS_TRANS:	Aldktwrh
        INDEX:	P100W2
      OFFSETS:	3-11
       TOKENS:	P100W2-P100W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(Aldukotuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dukotuwr+ap
        GLOSS:	the+doctor/Dr./doctors+[fem.sg.]

 INPUT STRING:	شفتي
     IS_TRANS:	$fty
        INDEX:	P101W1
      OFFSETS:	0-4
       TOKENS:	P101W1-P101W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uf+tiy
        GLOSS:	look+you

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P101W2
      OFFSETS:	5-11
       TOKENS:	P101W2-P101W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P101W3
      OFFSETS:	12-16
       TOKENS:	P101W3-P101W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamor)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	أديب
     IS_TRANS:	>dyb
        INDEX:	P101W4
      OFFSETS:	17-21
       TOKENS:	P101W4-P101W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adiyb_1]
   UNSPLITVOC:	(Adiyb)
          POS:	NOUN_PROP
          VOC:	Adiyb
        GLOSS:	Adeeb/Adib

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P101W5
      OFFSETS:	22-25
       TOKENS:	P101W5-P101W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P101W6
      OFFSETS:	26-29
       TOKENS:	P101W6-P101W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P101W7
      OFFSETS:	30-32
       TOKENS:	P101W7-P101W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	اسكندرية
     IS_TRANS:	Askndryp
        INDEX:	P101W8
      OFFSETS:	33-41
       TOKENS:	P101W8-P101W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisokinodiriy~ap_1]
   UNSPLITVOC:	(Aisokinodiriy~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Aisokinodiriy~+ap
        GLOSS:	Alexandria+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P101W9
      OFFSETS:	41-42
       TOKENS:	P101W9-P101W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P101W10
      OFFSETS:	42-43
       TOKENS:	P101W10-P101W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P101W11
      OFFSETS:	43-46
       TOKENS:	P101W11-P101W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	HAsp
     IS_TRANS:	HAsp
        INDEX:	P101W12
      OFFSETS:	47-51
       TOKENS:	P101W12-P101W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	إننا
     IS_TRANS:	<nnA
        INDEX:	P101W13
      OFFSETS:	52-56
       TOKENS:	P101W13-P101W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	بقينا
     IS_TRANS:	bqynA
        INDEX:	P101W14
      OFFSETS:	57-62
       TOKENS:	P101W15-P101W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqaynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	baq+aynA
        GLOSS:	become/begin/start/be/begin a new day+we

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P101W15
      OFFSETS:	63-65
       TOKENS:	P101W16-P101W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	b&rp
     IS_TRANS:	b&rp
        INDEX:	P101W16
      OFFSETS:	66-70
       TOKENS:	P101W17-P101W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bu&orap_1]
   UNSPLITVOC:	(bu&orap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bu&or+ap
        GLOSS:	center/focus/centers/foci+[fem.sg.]

 INPUT STRING:	امراض
     IS_TRANS:	AmrAD
        INDEX:	P101W17
      OFFSETS:	71-76
       TOKENS:	P101W18-P101W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maraD_1]
   UNSPLITVOC:	(AmorAD)
          POS:	NOUN
          VOC:	AmorAD
        GLOSS:	disease/illness/diseases/illnesses

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P102W1
      OFFSETS:	0-4
       TOKENS:	P102W1-P102W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P103W1
      OFFSETS:	0-4
       TOKENS:	P103W1-P103W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	وحشة
     IS_TRANS:	wH$p
        INDEX:	P103W2
      OFFSETS:	5-9
       TOKENS:	P103W2-P103W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHo$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wiHo$+ap
        GLOSS:	wicked/evil/bad guy (film)/bad+[fem.sg.]

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P103W3
      OFFSETS:	10-13
       TOKENS:	P103W3-P103W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(Aawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P104W1
      OFFSETS:	0-3
       TOKENS:	P104W1-P104W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P104W2
      OFFSETS:	4-8
       TOKENS:	P104W2-P104W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P104W3
      OFFSETS:	9-14
       TOKENS:	P104W3-P104W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	صاحبتي
     IS_TRANS:	SAHbty
        INDEX:	P104W4
      OFFSETS:	15-21
       TOKENS:	P104W4-P104W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHobap_1]
   UNSPLITVOC:	(SAHobitiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	SAHob+ap+iy
        GLOSS:	friend+[fem.sg.]+my

 INPUT STRING:	جتلها
     IS_TRANS:	jtlhA
        INDEX:	P104W5
      OFFSETS:	22-27
       TOKENS:	P104W6-P104W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(jat_lahA)
          POS:	PV+PVSUFF_SUBJ:3FS+PREP+PRON_3FS
          VOC:	ja+t+li+hA
        GLOSS:	came/come+it/they/she+to/for+it/them/her

 INPUT STRING:	أميبا
     IS_TRANS:	>mybA
        INDEX:	P104W6
      OFFSETS:	28-33
       TOKENS:	P104W9-P104W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amiybap_1]
   UNSPLITVOC:	(>amiybA)
          POS:	NOUN
          VOC:	>amiybA
        GLOSS:	amoeba

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P104W7
      OFFSETS:	34-36
       TOKENS:	P104W10-P104W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المياه
     IS_TRANS:	AlmyAh
        INDEX:	P104W8
      OFFSETS:	37-43
       TOKENS:	P104W11-P104W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA'_1]
   UNSPLITVOC:	(AlmiyAh)
          POS:	DET+NOUN
          VOC:	Al+miyAh
        GLOSS:	the+water/waters

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P105W1
      OFFSETS:	0-4
       TOKENS:	P105W1-P105W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	العيد
     IS_TRANS:	AlEyd
        INDEX:	P105W2
      OFFSETS:	5-10
       TOKENS:	P105W2-P105W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(AlEiyd)
          POS:	DET+NOUN
          VOC:	Al+Eiyd
        GLOSS:	the+feast/holiday/festival/holidays/feasts

 INPUT STRING:	الربع
     IS_TRANS:	AlrbE
        INDEX:	P105W3
      OFFSETS:	11-16
       TOKENS:	P105W3-P105W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruboE_1]
   UNSPLITVOC:	(AlruboE)
          POS:	DET+NOUN_QUANT
          VOC:	Al+ruboE
        GLOSS:	the+quarter

 INPUT STRING:	سنوي
     IS_TRANS:	snwy
        INDEX:	P105W4
      OFFSETS:	17-21
       TOKENS:	P105W4-P105W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanawiy_1]
   UNSPLITVOC:	(sanawiy)
          POS:	ADJ
          VOC:	sanawiy
        GLOSS:	yearly

 INPUT STRING:	بتاعنا
     IS_TRANS:	btAEnA
        INDEX:	P105W5
      OFFSETS:	22-28
       TOKENS:	P105W5-P105W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bitAE+nA
        GLOSS:	owners/something/belongings+our

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P106W1
      OFFSETS:	0-1
       TOKENS:	P106W1-P106W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	شهور
     IS_TRANS:	$hwr
        INDEX:	P106W2
      OFFSETS:	2-6
       TOKENS:	P106W2-P106W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($uhuwr)
          POS:	NOUN
          VOC:	$uhuwr
        GLOSS:	month/months

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P106W3
      OFFSETS:	7-10
       TOKENS:	P106W3-P106W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الإنجاز
     IS_TRANS:	Al<njAz
        INDEX:	P106W4
      OFFSETS:	11-18
       TOKENS:	P106W4-P106W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inojAz_1]
   UNSPLITVOC:	(Al<inojAz)
          POS:	DET+NOUN
          VOC:	Al+<inojAz
        GLOSS:	the+implementation/effectuation/accomplishment/achievement/success/accomplishments/achievements/successes

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P106W5
      OFFSETS:	19-23
       TOKENS:	P106W5-P106W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	عملناه
     IS_TRANS:	EmlnAh
        INDEX:	P106W6
      OFFSETS:	24-30
       TOKENS:	P106W6-P106W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalnAh)
          POS:	PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3MS
          VOC:	Eamal+nA+uh
        GLOSS:	function/make/act/do+we+it/him

 INPUT STRING:	ايوا
     IS_TRANS:	AywA
        INDEX:	P107W1
      OFFSETS:	0-4
       TOKENS:	P107W1-P107W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AywA_1]
   UNSPLITVOC:	(AywA)
          POS:	INTERJ
          VOC:	AywA
        GLOSS:	yes

 INPUT STRING:	بقا
     IS_TRANS:	bqA
        INDEX:	P107W2
      OFFSETS:	5-8
       TOKENS:	P107W2-P107W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqA+(null)
        GLOSS:	be/became/become/remain+he/it

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P107W3
      OFFSETS:	9-12
       TOKENS:	P107W3-P107W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lnA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P107W4
      OFFSETS:	13-14
       TOKENS:	P107W5-P107W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	شهور
     IS_TRANS:	$hwr
        INDEX:	P107W5
      OFFSETS:	15-19
       TOKENS:	P107W6-P107W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($uhuwr)
          POS:	NOUN
          VOC:	$uhuwr
        GLOSS:	month/months

 INPUT STRING:	دايت
     IS_TRANS:	dAyt
        INDEX:	P108W1
      OFFSETS:	0-4
       TOKENS:	P108W1-P108W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dAyt)
          POS:	FOREIGN
          VOC:	dAyt
        GLOSS:	nogloss

 INPUT STRING:	ومكملين
     IS_TRANS:	wmkmlyn
        INDEX:	P109W1
      OFFSETS:	0-7
       TOKENS:	P109W1-P109W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mikam~il_1]
   UNSPLITVOC:	(wimikam~iliyn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	wi+mikam~il+iyn
        GLOSS:	and+finishing/completing+plural

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P109W2
      OFFSETS:	8-10
       TOKENS:	P109W3-P109W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P109W3
      OFFSETS:	11-14
       TOKENS:	P109W4-P109W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P109W4
      OFFSETS:	15-19
       TOKENS:	P109W5-P109W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اليأس
     IS_TRANS:	Aly>s
        INDEX:	P110W1
      OFFSETS:	0-5
       TOKENS:	P110W1-P110W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ya>os_1]
   UNSPLITVOC:	(Alya>os)
          POS:	DET+NOUN
          VOC:	Al+ya>os
        GLOSS:	the+despair/hopelessness

 INPUT STRING:	خيانة
     IS_TRANS:	xyAnp
        INDEX:	P110W2
      OFFSETS:	6-11
       TOKENS:	P110W2-P110W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyAnap_1]
   UNSPLITVOC:	(xiyAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xiyAn+ap
        GLOSS:	treason/betrayal+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P111W1
      OFFSETS:	0-2
       TOKENS:	P111W1-P111W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الكشري
     IS_TRANS:	Alk$ry
        INDEX:	P111W2
      OFFSETS:	3-9
       TOKENS:	P111W2-P111W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ku$ariy_1]
   UNSPLITVOC:	(Alka$ariy)
          POS:	DET+NOUN
          VOC:	Al+ku$ary
        GLOSS:	the+Koushariy

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P111W3
      OFFSETS:	10-12
       TOKENS:	P111W3-P111W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P112W1
