 INPUT STRING:	بوسي
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>m)
          POS:	FOREIGN
          VOC:	>m
        GLOSS:	nogloss

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P9W2
      OFFSETS:	3-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dyn)
          POS:	FOREIGN
          VOC:	dyn
        GLOSS:	nogloss

 INPUT STRING:	ببر
     IS_TRANS:	bbr
        INDEX:	P9W3
      OFFSETS:	7-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bbr)
          POS:	FOREIGN
          VOC:	bbr
        GLOSS:	nogloss

 INPUT STRING:	ورك
     IS_TRANS:	wrk
        INDEX:	P9W4
      OFFSETS:	11-14
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wrk)
          POS:	FOREIGN
          VOC:	wrk
        GLOSS:	nogloss

 INPUT STRING:	فالتلج
     IS_TRANS:	fAltlj
        INDEX:	P9W5
      OFFSETS:	15-21
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fAltlj)
          POS:	FOREIGN
          VOC:	fAltlj
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W6
      OFFSETS:	22-24
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P9W7
      OFFSETS:	25-30
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	حأخلص
     IS_TRANS:	H>xlS
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(HaAaxal~aS)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+xal~aS
        GLOSS:	will+I+purify/refine/clarify/finish

 INPUT STRING:	واكلمك
     IS_TRANS:	wAklmk
        INDEX:	P10W2
      OFFSETS:	6-12
       TOKENS:	P10W3-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(wiAakal~imik)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2FS
          VOC:	wi+Aa+kal~im+ik
        GLOSS:	and+I+talk/speak/talk to+you

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P10W3
      OFFSETS:	13-18
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	أمي
     IS_TRANS:	>my
        INDEX:	P11W2
      OFFSETS:	3-6
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>um~+iy
        GLOSS:	mother/maternal/mothers+my

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P11W3
      OFFSETS:	7-9
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P11W4
      OFFSETS:	10-14
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kAnt)
          POS:	FOREIGN
          VOC:	kAnt
        GLOSS:	nogloss

 INPUT STRING:	أنسور
     IS_TRANS:	>nswr
        INDEX:	P11W5
      OFFSETS:	15-20
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>nswr)
          POS:	FOREIGN
          VOC:	>nswr
        GLOSS:	nogloss

 INPUT STRING:	موهة
     IS_TRANS:	mwhp
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muw~ah_1]
   UNSPLITVOC:	(muw~ah)
          POS:	INTERJ
          VOC:	muw~ah
        GLOSS:	kissing

