 INPUT STRING:	خرمان
        INDEX:	P13W10
      OFFSETS:	39-43
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqam_1]
   UNSPLITVOC:	(raqamak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	raqam+ak
        GLOSS:	numerals/number/numbers/numeral+your

 INPUT STRING:	حأبعثهم
     IS_TRANS:	H>bEvhm
        INDEX:	P13W11
      OFFSETS:	44-51
       TOKENS:	P13W13-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(Ha>aboEavhum)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3P
          VOC:	Ha+>a+boEav+hum
        GLOSS:	will+I+send+them

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P13W12
      OFFSETS:	52-54
       TOKENS:	P13W16-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P13W13
      OFFSETS:	55-56
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P13W14
      OFFSETS:	56-57
       TOKENS:	P13W19-P13W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P14W2
      OFFSETS:	3-5
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P14W3
      OFFSETS:	6-8
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	paternal uncle/paternal uncles

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P14W4
      OFFSETS:	9-13
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	اتصرفت
     IS_TRANS:	AtSrft
        INDEX:	P14W5
      OFFSETS:	14-20
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitoSaraf_1]
   UNSPLITVOC:	(AitoSaraft)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AitoSaraf+t
        GLOSS:	divert/spend/be diverted/be spent/behave/exchange/expedite/substitute+I

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W6
      OFFSETS:	20-21
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	حبيبي
     IS_TRANS:	Hbyby
        INDEX:	P14W7
      OFFSETS:	22-27
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiybiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Habiyb+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P14W8
      OFFSETS:	28-33
       TOKENS:	P14W9-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W9
      OFFSETS:	34-35
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P14W10
      OFFSETS:	35-36
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P15W1
      OFFSETS:	0-1
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P15W2
      OFFSETS:	1-2
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قاعد
     IS_TRANS:	qAEd
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEid)
          POS:	ADJ
          VOC:	qAEid
        GLOSS:	sitting/seated/lazy/inactive/evaders (draft dodgers)

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W3
      OFFSETS:	9-12
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	وعمك
     IS_TRANS:	wEmk
        INDEX:	P16W4
      OFFSETS:	13-17
       TOKENS:	P16W4-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(wiEam~ak)
          POS:	CONJ+NOUN+POSS_PRON_2MS
          VOC:	wi+Eam~+ak
        GLOSS:	and+paternal uncle/paternal uncles+your

 INPUT STRING:	بنتفرج
     IS_TRANS:	bntfrj
        INDEX:	P16W5
      OFFSETS:	18-24
       TOKENS:	P16W7-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(binitofar~aj)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+tofar~aj
        GLOSS:	[present-tense]+we+watch/observe

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W6
      OFFSETS:	25-28
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الماتش
     IS_TRANS:	AlmAt$
        INDEX:	P16W7
      OFFSETS:	29-35
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAto$_1]
   UNSPLITVOC:	(AlmAto$)
          POS:	DET+NOUN
          VOC:	Al+mAto$
        GLOSS:	the+match/matches

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W8
      OFFSETS:	36-39
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	القهوة
     IS_TRANS:	Alqhwp
        INDEX:	P16W9
      OFFSETS:	40-46
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qahowap_1]
   UNSPLITVOC:	(Alqahowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qahow+ap
        GLOSS:	the+coffee/coffees+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P16W10
      OFFSETS:	47-48
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P16W11
      OFFSETS:	48-49
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahaha)
          POS:	INTERJ
          VOC:	hahahaha
        GLOSS:	laughing

 INPUT STRING:	وإيه
     IS_TRANS:	w<yh
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(wi<iyh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+<iyh
        GLOSS:	and+what

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P17W3
      OFFSETS:	10-16
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+word

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P17W4
      OFFSETS:	17-18
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(AldunoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world/worlds

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	sweet/pleasant+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P18W3
      OFFSETS:	12-13
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P19W2
      OFFSETS:	3-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning/in the morning

 INPUT STRING:	الفل
     IS_TRANS:	Alfl
        INDEX:	P19W3
      OFFSETS:	8-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ful~_1]
   UNSPLITVOC:	(Alful~)
          POS:	DET+NOUN
          VOC:	Al+ful~
        GLOSS:	the+jasmine

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P19W4
      OFFSETS:	13-14
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	mmkn
     IS_TRANS:	mmkn
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	طلب
     IS_TRANS:	Tlb
        INDEX:	P20W2
      OFFSETS:	5-8
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(Talab)
          POS:	NOUN
          VOC:	Talab
        GLOSS:	quest/search/request/demand/requests/demands

 INPUT STRING:	بسيط
     IS_TRANS:	bsyT
        INDEX:	P20W3
      OFFSETS:	9-13
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyT)
          POS:	ADJ
          VOC:	basiyT
        GLOSS:	simple/plain/okay/no problem

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W4
      OFFSETS:	14-15
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	tbEt
     IS_TRANS:	tbEt
        INDEX:	P20W5
      OFFSETS:	16-20
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(tiboEat)
          POS:	IV2MS+IV
          VOC:	ti+boEat
        GLOSS:	you+send

 INPUT STRING:	lkl
     IS_TRANS:	lkl
        INDEX:	P20W6
      OFFSETS:	21-24
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all/entire/every/whole

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P20W7
      OFFSETS:	25-29
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	فاتحين
     IS_TRANS:	fAtHyn
        INDEX:	P20W8
      OFFSETS:	30-36
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAtiH_1]
   UNSPLITVOC:	(fAtoHiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	fAtoH+iyn
        GLOSS:	opener/opening/clear (color)+[pl.]

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P20W9
      OFFSETS:	37-41
       TOKENS:	P20W10-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P20W10
      OFFSETS:	42-43
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P20W11
      OFFSETS:	43-48
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ahum~a_1]
   UNSPLITVOC:	(All~ahum~a)
          POS:	NOUN
          VOC:	All~ahum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	صلّ
     IS_TRANS:	Sl~
        INDEX:	P20W12
      OFFSETS:	49-52
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(Sal~i)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Sal~i+(null)
        GLOSS:	pray/worship+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P20W13
      OFFSETS:	53-56
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	سيدنا
     IS_TRANS:	sydnA
        INDEX:	P20W14
      OFFSETS:	57-62
       TOKENS:	P20W16-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(say~idnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	say~id+nA
        GLOSS:	Sir/Mr./Mister/Sirs/Messrs./gentlement/master+our

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P20W15
      OFFSETS:	63-67
       TOKENS:	P20W18-P20W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mohamed/Mohammed/Muhammad

 INPUT STRING:	(
     IS_TRANS:	(
        INDEX:	P20W16
      OFFSETS:	68-69
       TOKENS:	P20W19-P20W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(()
          POS:	PUNC
          VOC:	(
        GLOSS:	(

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P20W17
      OFFSETS:	70-72
       TOKENS:	P20W20-P20W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فضلك
     IS_TRANS:	fDlk
        INDEX:	P20W18
      OFFSETS:	73-77
       TOKENS:	P20W21-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDol_1]
   UNSPLITVOC:	(faDolak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	faDol+ak
        GLOSS:	distinction/quality/in addition (to)/good graces/goodwill/merits/favors/superiority+your

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P20W19
      OFFSETS:	78-83
       TOKENS:	P20W23-P20W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Alyuwm)
          POS:	DET+NOUN
          VOC:	Al+yuwm
        GLOSS:	the+today/day/some day/ever/days

 INPUT STRING:	سنهدي
     IS_TRANS:	snhdy
        INDEX:	P20W20
      OFFSETS:	84-89
       TOKENS:	P20W24-P20W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ahodaY_1]
   UNSPLITVOC:	(sanuhodiy)
          POS:	FUT_PART+IV1P+IV+IVSUFF_MOOD:I
          VOC:	sa+nu+hodiy+(null)
        GLOSS:	will+we+convey/present/lead+[ind.]

 INPUT STRING:	رسولنا
     IS_TRANS:	rswlnA
        INDEX:	P20W21
      OFFSETS:	90-96
       TOKENS:	P20W26-P20W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(rasuwlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rasuwl+nA
        GLOSS:	messenger (Muhammad)/messenger/apostle/messengers/apostles+our

 INPUT STRING:	هدية
     IS_TRANS:	hdyp
        INDEX:	P20W22
      OFFSETS:	97-101
       TOKENS:	P20W28-P20W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hidiy~ap_1]
   UNSPLITVOC:	(hidiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	hidiy~+ap
        GLOSS:	sweetness/candies/beauty/hala/sweeten/adorn/furnish/be sweetened+[fem.sg.]

 INPUT STRING:	why
     IS_TRANS:	why
        INDEX:	P20W23
      OFFSETS:	102-105
       TOKENS:	P20W29-P20W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	wi+hiy~a
        GLOSS:	and+it/they/she

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P20W24
      OFFSETS:	106-107
       TOKENS:	P20W31-P20W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(E)
          POS:	TYPO
          VOC:	E
        GLOSS:	nogloss

 INPUT STRING:	$
     IS_TRANS:	$
        INDEX:	P20W25
      OFFSETS:	107-108
       TOKENS:	P20W32-P20W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	($)
          POS:	PUNC
          VOC:	$
        GLOSS:	$

 INPUT STRING:	rp
     IS_TRANS:	rp
        INDEX:	P20W26
      OFFSETS:	108-110
       TOKENS:	P20W33-P20W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rp)
          POS:	TYPO
          VOC:	rp
        GLOSS:	nogloss

 INPUT STRING:	mlywwwn
     IS_TRANS:	mlywwwn
        INDEX:	P20W27
      OFFSETS:	111-118
       TOKENS:	P20W34-P20W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyuwn_1]
   UNSPLITVOC:	(miloyuwn)
          POS:	NOUN_NUM
          VOC:	miloyuwn
        GLOSS:	million

