 INPUT STRING:	هاي
          POS:	FOREIGN
          VOC:	wfy
        GLOSS:	nogloss

 INPUT STRING:	عز
     IS_TRANS:	Ez
        INDEX:	P21W5
      OFFSETS:	16-18
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ez)
          POS:	FOREIGN
          VOC:	Ez
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W6
      OFFSETS:	19-21
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mn)
          POS:	FOREIGN
          VOC:	mn
        GLOSS:	nogloss

 INPUT STRING:	فك
     IS_TRANS:	fk
        INDEX:	P21W7
      OFFSETS:	22-24
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fk)
          POS:	FOREIGN
          VOC:	fk
        GLOSS:	nogloss

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P22W2
      OFFSETS:	3-6
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(HtY)
          POS:	FOREIGN
          VOC:	HtY
        GLOSS:	nogloss

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P22W3
      OFFSETS:	7-11
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كملتوش
     IS_TRANS:	kmltw$
        INDEX:	P23W2
      OFFSETS:	3-9
       TOKENS:	P23W2-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(kam~iltuw$)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3MS+NEG_PART
          VOC:	kam~il+t+uh+$
        GLOSS:	complete/finish+I+it/him+not

 INPUT STRING:	ورا
     IS_TRANS:	wrA
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wrA)
          POS:	FOREIGN
          VOC:	wrA
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P24W2
      OFFSETS:	4-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ElY)
          POS:	FOREIGN
          VOC:	ElY
        GLOSS:	nogloss

 INPUT STRING:	وأصلا
     IS_TRANS:	w>SlA
        INDEX:	P24W3
      OFFSETS:	8-13
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(wi>aSolAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+>aSol+AF
        GLOSS:	and+origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	اروح
     IS_TRANS:	ArwH
        INDEX:	P25W2
      OFFSETS:	6-10
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(AaruwH)
          POS:	IV1S+IV
          VOC:	Aa+ruwH
        GLOSS:	I+begin/go

 INPUT STRING:	اخلص
     IS_TRANS:	AxlS
        INDEX:	P25W3
      OFFSETS:	11-15
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(Aaxal~aS)
          POS:	IV1S+IV
          VOC:	Aa+xal~aS
        GLOSS:	I+purify/refine/clarify/finish

 INPUT STRING:	ورق
     IS_TRANS:	wrq
        INDEX:	P25W4
      OFFSETS:	16-19
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waraqap_1]
   UNSPLITVOC:	(waraq)
          POS:	NOUN
          VOC:	waraq
        GLOSS:	sheet/leaf/documents papers sheets/paper

 INPUT STRING:	كوليج
     IS_TRANS:	kwlyj
        INDEX:	P25W5
      OFFSETS:	20-25
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwlyj)
          POS:	FOREIGN
          VOC:	kwlyj
        GLOSS:	nogloss

 INPUT STRING:	ساحل
     IS_TRANS:	sAHl
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAHil_1]
   UNSPLITVOC:	(sAHil)
          POS:	NOUN_PROP
          VOC:	sAHil
        GLOSS:	Sahel

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	نازله
     IS_TRANS:	nAzlh
        INDEX:	P27W2
      OFFSETS:	3-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nAzolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nAzol+ap
        GLOSS:	descending/staying+[fem.sg.]

 INPUT STRING:	الكس
     IS_TRANS:	Alks
        INDEX:	P27W3
      OFFSETS:	9-13
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alks)
          POS:	FOREIGN
          VOC:	Alks
        GLOSS:	nogloss

 INPUT STRING:	مشاوير
     IS_TRANS:	m$Awyr
        INDEX:	P27W4
      OFFSETS:	14-20
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$owAr_1]
   UNSPLITVOC:	(ma$Awiyr)
          POS:	NOUN
          VOC:	ma$Awiyr
        GLOSS:	cycle/stroke/course/trajectory/walk/promenade

 INPUT STRING:	تيجي
     IS_TRANS:	tyjy
        INDEX:	P28W1
      OFFSETS:	0-4
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(tiyjiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	tiy+j+iy
        GLOSS:	you+came/come+you

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P28W2
      OFFSETS:	5-10
       TOKENS:	P28W2-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P29W1
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	سكيببد
     IS_TRANS:	skybbd
        INDEX:	P29W2
      OFFSETS:	3-9
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(skybbd)
          POS:	FOREIGN
          VOC:	skybbd
        GLOSS:	nogloss

 INPUT STRING:	ورق
     IS_TRANS:	wrq
        INDEX:	P29W3
      OFFSETS:	10-13
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wrq)
          POS:	FOREIGN
          VOC:	wrq
        GLOSS:	nogloss

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P29W4
      OFFSETS:	14-18
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(E$>n)
          POS:	TYPO
          VOC:	E$>n
        GLOSS:	nogloss

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P29W5
      OFFSETS:	19-23
       TOKENS:	P29W5-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	مشاوير
     IS_TRANS:	m$Awyr
        INDEX:	P29W6
      OFFSETS:	24-30
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$owAr_1]
   UNSPLITVOC:	(ma$Awiyr)
          POS:	NOUN
          VOC:	ma$Awiyr
        GLOSS:	cycle/stroke/course/trajectory/walk/promenade

 INPUT STRING:	يأس
     IS_TRANS:	y>s
        INDEX:	P30W1
      OFFSETS:	0-3
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(y>s)
          POS:	FOREIGN
          VOC:	y>s
        GLOSS:	nogloss

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P30W2
      OFFSETS:	4-6
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P30W3
      OFFSETS:	7-10
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(myn)
          POS:	FOREIGN
          VOC:	myn
        GLOSS:	nogloss

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P30W4
      OFFSETS:	11-16
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P30W5
      OFFSETS:	17-22
       TOKENS:	P30W5-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P31W2
      OFFSETS:	3-5
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	سنك
     IS_TRANS:	snk
        INDEX:	P31W3
      OFFSETS:	6-9
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(snk)
          POS:	FOREIGN
          VOC:	snk
        GLOSS:	nogloss

 INPUT STRING:	ومامي
     IS_TRANS:	wmAmy
        INDEX:	P31W4
      OFFSETS:	10-15
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wmAmy)
          POS:	FOREIGN
          VOC:	wmAmy
        GLOSS:	nogloss

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P31W5
      OFFSETS:	16-19
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	بننجز
     IS_TRANS:	bnnjz
        INDEX:	P31W6
      OFFSETS:	20-25
       TOKENS:	P31W6-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anojaz_1]
   UNSPLITVOC:	(bininojiz)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+nojiz
        GLOSS:	[present-tense]+we+implement/accomplish/perform

 INPUT STRING:	الحاجات
     IS_TRANS:	AlHAjAt
        INDEX:	P31W7
      OFFSETS:	26-33
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+HAj+At
        GLOSS:	the+need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P31W8
      OFFSETS:	34-38
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P31W9
      OFFSETS:	39-41
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P31W10
      OFFSETS:	42-46
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P31W11
      OFFSETS:	47-51
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+become/begin/start/be/begin a new day

 INPUT STRING:	معايا
     IS_TRANS:	mEAyA
        INDEX:	P31W12
      OFFSETS:	52-57
       TOKENS:	P31W13-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	maEa+iy
        GLOSS:	with+my

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P31W13
      OFFSETS:	58-62
       TOKENS:	P31W15-P31W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	الأول
     IS_TRANS:	Al>wl
        INDEX:	P31W14
      OFFSETS:	63-68
       TOKENS:	P31W17-P31W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(AlAw~il)
          POS:	DET+ADJ
          VOC:	Al+Aw~il
        GLOSS:	the+first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	جايز
     IS_TRANS:	jAyz
        INDEX:	P32W1
      OFFSETS:	0-4
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jAyz)
          POS:	FOREIGN
          VOC:	jAyz
        GLOSS:	nogloss

 INPUT STRING:	كتب
     IS_TRANS:	ktb
        INDEX:	P32W2
      OFFSETS:	5-8
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katob_1]
   UNSPLITVOC:	(katob)
          POS:	NOUN
          VOC:	katob
        GLOSS:	writing/essay/piece of writing/writings/essays

 INPUT STRING:	الكتاب
     IS_TRANS:	AlktAb
        INDEX:	P32W3
      OFFSETS:	9-15
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAb_1]
   UNSPLITVOC:	(AlkitAb)
          POS:	DET+NOUN
          VOC:	Al+kitAb
        GLOSS:	the+book/books

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P32W4
      OFFSETS:	16-19
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>yh)
          POS:	FOREIGN
          VOC:	>yh
        GLOSS:	nogloss

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P32W5
      OFFSETS:	20-22
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(En)
          POS:	FOREIGN
          VOC:	En
        GLOSS:	nogloss

 INPUT STRING:	توسدي
     IS_TRANS:	twsdy
        INDEX:	P32W6
      OFFSETS:	23-28
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(twsdy)
          POS:	FOREIGN
          VOC:	twsdy
        GLOSS:	nogloss

 INPUT STRING:	27
     IS_TRANS:	27
        INDEX:	P32W7
      OFFSETS:	29-31
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(27)
          POS:	ADJ_NUM
          VOC:	27
        GLOSS:	27

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P32W8
      OFFSETS:	31-32
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	nogloss

 INPUT STRING:	8
     IS_TRANS:	8
        INDEX:	P32W9
      OFFSETS:	32-33
       TOKENS:	P32W9-P32W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(8)
          POS:	ADJ_NUM
          VOC:	8
        GLOSS:	8

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P32W10
      OFFSETS:	34-36
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(|h)
          POS:	FOREIGN
          VOC:	|h
        GLOSS:	nogloss

 INPUT STRING:	2.30
     IS_TRANS:	2.30
        INDEX:	P32W11
      OFFSETS:	37-41
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2.30)
          POS:	NOUN_NUM
          VOC:	2.30
        GLOSS:	2.30

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P32W12
      OFFSETS:	42-44
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P32W13
      OFFSETS:	45-48
       TOKENS:	P32W13-P32W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves/soul/souls

 INPUT STRING:	المكان
     IS_TRANS:	AlmkAn
        INDEX:	P32W14
      OFFSETS:	49-55
       TOKENS:	P32W14-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AlmakAn)
          POS:	DET+NOUN
          VOC:	Al+makAn
        GLOSS:	the+place/location/position/places/locations/positions

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P32W15
      OFFSETS:	56-58
       TOKENS:	P32W15-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P32W16
      OFFSETS:	59-62
       TOKENS:	P32W16-P32W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P32W17
      OFFSETS:	63-67
       TOKENS:	P32W17-P32W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	وأيتين
     IS_TRANS:	w>ytyn
        INDEX:	P32W18
      OFFSETS:	68-74
       TOKENS:	P32W18-P32W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w>ytyn)
          POS:	FOREIGN
          VOC:	w>ytyn
        GLOSS:	nogloss

 INPUT STRING:	فور
     IS_TRANS:	fwr
        INDEX:	P32W19
      OFFSETS:	75-78
